Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,alpha-actinin binding (GO:0051393),0.914231605543773,2.1587217745435243,0.0,0.0,0.0,14/24,4.42%,PDLIM3;SYNPO2;PALLD;MYOT;LDB3;TTN;CACNA1C;PDLIM1;NRAP;PDLIM5;MYPN;KCNA5;KCNN2;PDLIM7
prerank,actin binding (GO:0003779),0.7231274641112466,2.1296042822561927,0.0,0.0,0.0,42/170,6.28%,PDLIM3;SYNPO2;TPM2;CAP2;DMD;KCNMA1;TPM1;LDB3;MYOZ2;TNNI2;SMTN;TNNC2;ABRA;PDLIM1;NRAP;PDLIM5;CALD1;LMOD2;ACTN4;TNNT3;MYL2;VCL;MICAL2;SYNPO2L;LMOD3;SYNE1;FERMT2;MYH9;MYL3;MYO9B;LCP1;MRTFA;ITGB1;MAP1B;FHL3;SLC6A2;PDLIM7;UTRN;SYNE2;GC;MAPT;SORBS1
prerank,muscle alpha-actinin binding (GO:0051371),0.948083231077574,2.0981984867798684,0.0,0.0003268410489370842,0.001,9/15,0.96%,PDLIM3;SYNPO2;PALLD;LDB3;TTN;PDLIM1;NRAP;PDLIM5;MYPN
prerank,transmembrane receptor protein serine/threonine kinase binding (GO:0070696),-0.8013373134055664,-2.0860024535332786,0.0,0.002079643288303769,0.002,4/13,2.30%,BMP6;BMP7;BMP4;CDH5
prerank,BMP receptor binding (GO:0070700),-0.8013387398332441,-2.047636822289527,0.0,0.002599554110379711,0.005,4/12,2.30%,BMP6;BMP7;BMP4;CDH5
prerank,retinoid binding (GO:0005501),-0.6475960157813642,-1.9317324587381117,0.0028328611898017,0.02114304009775498,0.056,6/22,4.19%,ALDH1A2;RBP1;PTGDS;CYP26B1;ABCA4;RBP4
prerank,actinin binding (GO:0042805),0.8580535183863829,1.9238821268818451,0.0,0.07966750567841427,0.222,9/21,4.09%,SYNPO2;MYOT;TTN;CACNA1C;PDLIM5;CSRP1;CSRP3;KCNA5;KCNN2
prerank,phosphatidylinositol-5-phosphate binding (GO:0010314),0.8732767853294248,1.8817892643844303,0.0,0.1421758562876316,0.413,2/15,0.33%,JPH2;OBSCN
prerank,myosin binding (GO:0017022),0.7194092681942428,1.8814079579340028,0.0012836970474967907,0.11913356233756718,0.414,6/55,1.34%,MYBPC1;MYLK2;DMD;CALD1;ACTA1;MYL2
prerank,titin binding (GO:0031432),0.8800225023386363,1.8675320562642073,0.0,0.12816838276175657,0.497,5/13,3.15%,MYBPC1;OBSCN;TCAP;TRIM63;CAMK2D
prerank,tropomyosin binding (GO:0005523),0.8492388308659652,1.849274944116905,0.004739336492890996,0.14523999112141678,0.578,5/16,1.60%,LMOD1;CALD1;LMOD2;TNNT3;LMOD3
prerank,voltage-gated calcium channel activity (GO:0005245),0.7215526043201416,1.8433455572305186,0.0013908205841446453,0.14065059805925856,0.606,7/37,4.25%,CACNB2;RYR1;CACNA1S;CACNA1C;CACNA2D1;CACNA1H;CACNB4
prerank,high voltage-gated calcium channel activity (GO:0008331),0.8997092969828153,1.813313998868213,0.0018214936247723133,0.19080980436946973,0.751,4/10,4.25%,CACNB2;CACNA1S;CACNA1C;CACNB4
prerank,adenylate cyclase binding (GO:0008179),0.8797783367252571,1.806961413598344,0.007434944237918215,0.18817130571986856,0.78,6/10,7.26%,CAP2;AKAP6;ADCY5;ADCY2;CALM1;CAP1
prerank,cell-cell adhesion mediator activity (GO:0098632),0.7072525427195585,1.8028848927469383,0.0013736263736263737,0.18278585661806432,0.796,11/42,7.35%,NEXN;PALLD;PDLIM1;PDLIM5;MYPN;ROBO3;ANXA1;JAM3;DSCAM;CD200;CNN3
prerank,monocarboxylic acid transmembrane transporter activity (GO:0008028),-0.5749075516079736,-1.7910847468121263,0.003067484662576687,0.13959605572739048,0.382,9/26,8.03%,SLC6A13;SLC16A12;ABCG2;SLC16A9;SLC6A1;SLC6A12;SLC6A6;SLC16A1;SLC16A11
prerank,intracellular ligand-gated ion channel activity (GO:0005217),0.8768310903352905,1.788529479005526,0.0034602076124567475,0.20198776824311804,0.858,3/11,1.66%,RYR1;RYR2;ITPR1
prerank,cell adhesion mediator activity (GO:0098631),0.7678185203113764,1.7758790015126316,0.006379585326953748,0.21508475598981117,0.889,7/24,6.20%,NEXN;PALLD;MYPN;BCAM;ROBO3;JAM3;DSCAM
prerank,phosphatidylinositol-4-phosphate binding (GO:0070273),0.7560657508958609,1.7692738956579541,0.00625,0.21774150680188548,0.908,2/24,0.33%,JPH2;OBSCN
prerank,calcium activated cation channel activity (GO:0005227),0.7872537476253665,1.7635116463352012,0.016556291390728478,0.21761485589542237,0.913,7/17,8.74%,KCNMA1;ANO1;KCNMB1;ANO6;KCNN2;ANO10;TRPM4
prerank,calcium ion transmembrane transporter activity (GO:0015085),0.6652979207201843,1.75145414150766,0.009055627425614488,0.23238398579426683,0.931,17/55,12.48%,CACNB2;RYR1;ATP2A1;RYR2;ATP2B4;ATP2A2;ITPR1;SLC8A2;PKD1L3;TRPV2;ATP2B1;TRPC5;ATP2A3;ANXA9;PANX1;CHRNA7;TRPM2
prerank,"phosphatidylinositol-3,4,5-trisphosphate binding (GO:0005547)",0.7100580902510684,1.7400704753169574,0.009668508287292817,0.24725525352090416,0.952,4/34,3.92%,JPH2;OBSCN;FERMT2;MYO1B
prerank,voltage-gated cation channel activity (GO:0022843),0.6081625822159756,1.737561915961029,0.0011547344110854503,0.23919604134053452,0.957,13/97,5.58%,CACNB2;KCNMA1;RYR1;CACNA1S;CACNA1C;CACNA2D1;GRIN2C;KCNQ5;KCNA5;KCNQ4;CACNB4;KCNB1;KCNH1
prerank,ligand-gated calcium channel activity (GO:0099604),0.7773503914265544,1.7371433365743523,0.00778816199376947,0.2279716316336162,0.958,4/19,2.87%,RYR1;RYR2;ITPR1;GRIN2C
prerank,GABA-gated chloride ion channel activity (GO:0022851),0.8217244317258127,1.7295821769820772,0.01967799642218247,0.23541893839153977,0.966,6/12,11.98%,GABRE;GABRA4;GABRA5;GABRB2;GABRG1;GABRB3
prerank,P-type ion transporter activity (GO:0015662),0.8206669493498235,1.7175463802352555,0.019097222222222224,0.2541783411938442,0.972,5/12,10.32%,ATP2A1;ATP2B4;ATP2A2;ATP2B1;ATP2A3
prerank,calcium-activated potassium channel activity (GO:0015269),0.8310739272579335,1.7152705094293454,0.016574585635359115,0.24802972470208118,0.973,3/11,4.09%,KCNMA1;KCNMB1;KCNN2
prerank,NADPH binding (GO:0070402),0.808021856860049,1.7127143437525598,0.019332161687170474,0.24390513276929907,0.976,2/13,3.45%,KCNAB1;CRYZ
prerank,miRNA binding (GO:0035198),-0.5324383403352236,-1.7047606055904172,0.006289308176100629,0.311738528916735,0.727,17/30,34.50%,AGO3;PUM1;MATR3;ZC3H7A;TUT4;PNPT1;ZC3H12A;FMR1;TUT7;ZC3H7B;YBX1;RBM10;AGO4;ZC3H10;HNRNPA2B1;ELAVL1;SPOUT1
prerank,anion transmembrane transporter activity (GO:0008509),-0.6765586009501541,-1.6982458243477383,0.009216589861751152,0.27901880784742233,0.751,5/12,8.18%,ABCG2;SLCO2B1;SLC39A8;SLC22A6;SLC4A2
prerank,GABA-A receptor activity (GO:0004890),0.7559642594187383,1.6882519473342734,0.026101141924959218,0.2895288747904266,0.991,6/18,11.98%,GABRE;GABRA4;GABRA5;GABRB2;GABRG1;GABRB3
prerank,phosphatidylinositol-3-phosphate binding (GO:0032266),0.6752590279792025,1.6881840024494892,0.02112676056338028,0.27850628612311923,0.991,3/38,1.87%,JPH2;OBSCN;HIP1
prerank,mannosyltransferase activity (GO:0000030),-0.5932886572980414,-1.6840747848835973,0.005698005698005698,0.27896929253103414,0.805,9/21,21.60%,TMTC1;TMTC2;DPY19L4;TMTC4;DPY19L1;PIGV;ALG1;ALG12;POMT1
