Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,cytosolic large ribosomal subunit (GO:0022625),-0.684320168235424,-2.262903880212608,0.0,0.0,0.0,44/53,26.46%,RPL38;RPLP1;RPL21;RPL41;RPL37A;RPLP2;RPL27A;RPL34;RPL13;RPL9;RPL30;RPL37;RPL19;RPL18;RPL18A;RPL23;RPL17;RPL22;RPL23A;RPL26;RPL35A;RPL11;RPL13A;RPL7;RPL36;RPL32;RPL39;RPL14;RPL8;RPL24;RPL29;RPL10A;RPL3;RPL12;RPL27;RPL5;RPL4;RPL36A;RPL36AL;RPL31;RPL7A;RPL35;RPL28;RPLP0
prerank,large ribosomal subunit (GO:0015934),-0.6599167378336825,-2.2521617286180082,0.0,0.0,0.0,40/57,22.61%,RPL38;RPLP1;RPL21;RPL41;RPL37A;RPLP2;RPL27A;RPL34;RPL13;RPL9;RPL30;RPL37;RPL19;RPL18;RPL18A;RPL23;RPL17;RPL22;RPL23A;RPL26;RPL35A;RPL11;RPL13A;RPL7;RPL36;RPL32;RPL39;RPL14;RPL8;RPL24;RPL29;RPL10A;RPL3;RPL12;RPL27;RPL5;RPL4;RPL36A;RPL36AL;RPL31
prerank,cytosolic small ribosomal subunit (GO:0022627),-0.6166443232056973,-1.9078808575412742,0.0,0.024283683232843162,0.06,27/36,19.39%,RPS14;RPS9;RPS13;RPS21;RPS29;RPS19;RPS3;RPS8;RPS23;RPS5;RPS4X;RPS16;RPS15;RPS27;RPS11;RPS24;RPS7;RPS20;RPS25;RPS18;RPS17;RPS2;MRPS11;RPS27A;RPS12;RPS28;RPS10
prerank,small ribosomal subunit (GO:0015935),-0.5988537058627872,-1.9006378061799538,0.0,0.02045433318458713,0.067,28/41,19.39%,RPS14;RPS9;RPS13;RPS21;RPS29;RPS19;RPS3;RPS8;RPS23;RPS5;RPS4X;RPS16;RPS15;RPS27;RPS11;RPS24;RPS7;RPS20;RPS25;RPS18;RPS17;RPS2;MRPS11;RACK1;RPS27A;RPS12;RPS28;RPS10
prerank,ribosome (GO:0005840),-0.5518936350796155,-1.846973803854386,0.0,0.030261205259389173,0.118,40/61,22.61%,RPL38;RPS9;RPS13;RPL41;RPS21;RPS29;RPS19;RPS3;RPS23;RPS5;RPS4X;RPL9;RPS27;RPL30;RPS11;RPL19;RPL18;RPL18A;RPS7;RPL23;RPS25;RPS18;RPL11;RPL13A;RPL36;RPS17;RPL32;RPL39;RPL8;RPL24;SF1;BTF3;RPL10A;RPL27;RPS28;RPS10;SERP1;MRPS12;RPL36A;RPL31
prerank,spanning component of membrane (GO:0089717),0.8252522370655989,1.8199586203922191,0.0,0.2849470398442895,0.213,3/18,0.69%,SLC4A4;SLC12A2;SLC24A3
prerank,integral component of postsynaptic specialization membrane (GO:0099060),-0.7247407890452484,-1.8036755899331443,0.0076726342710997444,0.04427102250910638,0.191,8/15,13.52%,CDH2;LRRC4C;LRFN2;LRFN5;LRRC4B;SORCS3;GSG1L;ADAM22
prerank,basolateral plasma membrane (GO:0016323),0.617067685826451,1.797487986142303,0.0,0.21299552978327324,0.3,27/143,6.71%,SLC4A10;SLC47A1;SLC26A7;SLC4A4;SLC23A2;EGFR;SLC38A1;SLC5A6;PKD1;ANK2;EZR;DISP1;ANXA2;SLC16A1;CNNM2;PLPP3;CXADR;CD44;SLC26A6;SLC39A14;DLG2;LDLR;SLC4A2;LRP1;B4GALT1;IDE;DLG1
prerank,connexin complex (GO:0005922),-0.6842156015133654,-1.7934399276770712,0.005449591280653951,0.04355051762197807,0.216,5/19,4.99%,GJB6;GJB2;GJC1;GJD3;GJA1
prerank,intrinsic component of external side of plasma membrane (GO:0031233),0.7663231607558768,1.73828964022979,0.00949367088607595,0.34085638099545434,0.562,3/20,1.97%,F3;EFNA5;ADAM9
