Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,intracellular ligand-gated ion channel activity (GO:0005217),-0.7917101260729631,-2.0148880322195013,0.0,0.08791543634873075,0.073,5/11,9.90%,ITPR1;RYR2;ITPR3;RASA3;MCOLN1
prerank,"inositol 1,4,5 trisphosphate binding (GO:0070679)",-0.8097614964405102,-2.0056507829056236,0.0,0.05084266198480815,0.086,6/11,13.20%,ITPR1;TRPC3;ITPR3;TRPC6;ITPR2;TRPC4
prerank,L-glutamate transmembrane transporter activity (GO:0005313),-0.7265585823555527,-1.9420922163622423,0.0035587188612099642,0.0688494381044277,0.162,6/14,9.02%,SLC7A11;SLC1A3;SLC25A13;SLC1A1;SLC1A2;SLC38A7
prerank,solute:sodium symporter activity (GO:0015370),0.8018706475460815,1.9191174425825246,0.0,0.020690104001894558,0.021,5/27,3.53%,SLC4A10;SLC4A4;SLC5A6;SLC5A2;SLC4A8
prerank,calcium-release channel activity (GO:0015278),-0.6644603499062708,-1.886086057738994,0.007936507936507936,0.09427076909683177,0.284,6/17,10.40%,ITPR1;RYR2;ITPR3;RASA3;MCOLN1;ITPR2
prerank,platelet-derived growth factor binding (GO:0048407),0.8818136299969315,1.8430451655232822,0.0,0.06650390572037536,0.11,4/11,1.32%,COL6A1;COL3A1;COL1A2;COL1A1
prerank,chloride transmembrane transporter activity (GO:0015108),0.8235459271359449,1.8198586441709894,0.0013297872340425532,0.07389322857819484,0.176,4/16,3.53%,SLC26A7;SLC26A2;SLC26A6;SLC4A8
prerank,retinoid binding (GO:0005501),-0.6012053472744516,-1.8145595912144339,0.0091324200913242,0.15422274135391803,0.472,5/22,2.50%,ALDH1A2;NR2F2;PTGDS;RBP4;CYP26B1
prerank,metalloendopeptidase activity (GO:0004222),0.6543605921412432,1.8131379658943187,0.0,0.06034613667219246,0.19,13/76,6.79%,ADAMTSL3;ADAMTS3;ADAMTS17;ADAMTS2;TRABD2B;ADAM9;ADAMTSL1;ECE1;ADAMTS10;MMP28;ADAM10;SPG7;MMP14
prerank,intracellular chloride channel activity (GO:0061778),-0.6261973243601936,-1.788798931004205,0.011320754716981131,0.1348238447275716,0.544,8/16,16.27%,ANO4;ANO1;ANO3;TTYH2;ANO10;ANO6;ANO2;TTYH3
prerank,intracellular calcium activated chloride channel activity (GO:0005229),-0.6261973243601936,-1.788798931004205,0.011320754716981131,0.1348238447275716,0.544,8/16,16.27%,ANO4;ANO1;ANO3;TTYH2;ANO10;ANO6;ANO2;TTYH3
prerank,monocarboxylate:sodium symporter activity (GO:0140161),-0.7250961876241644,-1.7638480573249615,0.009404388714733543,0.14882070851803217,0.635,3/10,2.06%,SLC6A13;SLC6A1;SLC6A12
prerank,cAMP binding (GO:0030552),-0.7053140775349124,-1.750193183893893,0.026402640264026403,0.14876186284443865,0.682,5/11,10.27%,RAPGEF4;PDE4D;RAPGEF2;PDE2A;PDE4B
prerank,aldehyde dehydrogenase [NAD(P)+] activity (GO:0004030),-0.6213652221025479,-1.7364859677244535,0.007874015748031496,0.14924439736790557,0.723,6/15,11.01%,ALDH1A2;ALDH1A1;ALDH4A1;ALDH1L1;ALDH2;ALDH9A1
prerank,ligand-gated calcium channel activity (GO:0099604),-0.590082003716216,-1.7320589511477062,0.01680672268907563,0.13991361337864816,0.734,7/19,10.00%,ITPR1;RYR2;ITPR3;GRIN2B;RASA3;MCOLN1;GRIN2A
prerank,bicarbonate transmembrane transporter activity (GO:0015106),0.7887446706966962,1.7309186432949504,0.001358695652173913,0.22463541487771235,0.62,5/15,5.65%,SLC26A7;SLC26A2;SLC26A6;SLC4A8;SLC4A11
prerank,MAP kinase phosphatase activity (GO:0033549),-0.6605587113939643,-1.7245312542218652,0.013651877133105802,0.13672792259456218,0.764,4/12,11.79%,DUSP16;DUSP10;DUSP3;DUSP6
prerank,metallopeptidase activity (GO:0008237),0.6040264113269947,1.7193400398692884,0.0,0.22660590097313088,0.685,17/113,6.79%,ADAMTSL3;ADAMTS3;ADAMTS17;ADAMTS2;TRABD2B;BMP1;ADAM9;ADAMTSL1;ECE1;ADAM30;PAPPA;PSMD7;ADAMTS10;MMP28;ADAM10;SPG7;MMP14
prerank,sulfate transmembrane transporter activity (GO:0015116),0.7962317301494102,1.6996304444324943,0.0,0.2637636387724517,0.791,3/14,2.99%,SLC26A7;SLC26A2;SLC26A6
prerank,neutral amino acid transmembrane transporter activity (GO:0015175),0.6797869078548319,1.671539152987393,0.006002400960384154,0.34187933755511485,0.902,9/32,9.01%,SLC38A2;SLC38A1;SLC38A6;SLC1A5;SFXN3;SLC7A10;SLC38A3;SLC43A1;SLC6A7
prerank,anion:anion antiporter activity (GO:0015301),0.7599503169878693,1.6666002287332116,0.008108108108108109,0.32633439169125755,0.916,7/17,15.62%,SLC26A7;SLC26A2;SLC26A6;SLC4A2;SLC26A4;SLC4A3;SLC26A11
prerank,carbohydrate:cation symporter activity (GO:0005402),0.7986978643969724,1.6584832607473279,0.005917159763313609,0.3293667508492072,0.938,3/11,2.03%,SLC23A1;SLC23A2;SLC5A2
prerank,calcium-dependent phospholipase A2 activity (GO:0047498),0.7359122523926852,1.636426498690407,0.012195121951219513,0.39373894888453886,0.976,4/15,14.43%,PLA2G4F;PLA2G4A;PLA2G5;PLA2G12A
prerank,aldehyde dehydrogenase (NAD+) activity (GO:0004029),-0.6251999752064192,-1.6361584646371237,0.031496062992125984,0.25437626717399203,0.935,6/13,11.01%,ALDH1A2;ALDH1A1;ALDH4A1;ALDH1L1;ALDH2;ALDH9A1
prerank,"3',5'-cyclic-AMP phosphodiesterase activity (GO:0004115)",-0.630324926878663,-1.6328931470002186,0.027586206896551724,0.24097303336549694,0.939,8/12,14.78%,PDE8B;PDE7B;PDE4D;PDE2A;PDE4B;PDE8A;PDE1B;PDE4C
prerank,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor (GO:0016620)",-0.5588866468574257,-1.6238788134045703,0.04201680672268908,0.2398078890283451,0.952,7/18,11.01%,ALDH1A2;ALDH1A1;FAR2;ALDH6A1;HSD17B12;ALDH2;ALDH9A1
prerank,chemorepellent activity (GO:0045499),-0.5075972981927775,-1.6080208977244859,0.005025125628140704,0.24759317164476885,0.965,7/25,3.42%,SEMA6A;DPP4;EPHA7;SEMA3D;SEMA7A;NRG3;SEMA5A
