Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,microvillus (GO:0005902),0.7151441581710227,1.9843573796781016,0.0,0.017961368802021052,0.015,14/54,8.19%,MYO1D;SLC6A6;PODXL;TEK;MYO1E;VCAM1;ICAM2;CLIC4;PROM1;MSN;ANGPT1;HYAL2;LRRK2;MYO1C
prerank,actin-based cell projection (GO:0098858),0.6340761984271296,1.8313059163841694,0.0011876484560570072,0.1681383690633637,0.243,16/80,5.46%,MYO1D;PODXL;SPATA13;TEK;TRPV4;UTRN;MYO1E;VCAM1;KITLG;ICAM2;CLIC4;PROM1;MSN;ANGPT1;SHTN1;HYAL2
prerank,voltage-gated calcium channel complex (GO:0005891),-0.5767953774162843,-1.779420668727505,0.006779661016949152,0.34402676638456997,0.251,9/29,15.49%,CACNA2D3;CACNA1C;CACNA2D1;CACNA1G;CATSPER2;CACNB1;CACNB2;PDE4B;CACNG8
prerank,caveola (GO:0005901),0.6102988379925987,1.7404697093641577,0.0,0.38151277807255823,0.593,17/59,8.37%,CDH13;NOS3;CAVIN2;BMPR2;ATP2B4;INSR;CAV1;CAV2;EMP2;PLPP1;NOS1AP;PACSIN2;ASAH2;MAPK1;LRRK2;JAK2;CAVIN4
prerank,cell-cell junction (GO:0005911),0.5315971430875855,1.7266485513514607,0.0,0.33602727467114385,0.66,49/261,9.38%,PTPRM;PTPRJ;PECAM1;HEG1;GJA5;JAG1;TEK;CYTH3;TRPV4;RAPGEF2;CLDN5;CEACAM1;RASIP1;MYO1E;BMPR2;SHROOM4;MAGI1;SMAD7;F11R;RND1;OCLN;NOTCH1;JCAD;JAM2;ZYX;STXBP6;FRMD4B;CADM1;CDC42BPA;USP53;ESAM;VSIG10;CLIC4;CDC42EP1;LIMS2;PDLIM5;PLEKHG5;PCDH1;GJA4;ADAM17;CTNNA1;WDR1;TJP2;PTPRU;APC;ACTG1;NECTIN4;NECTIN1;CDH12
prerank,microvillus membrane (GO:0031528),0.8148484603343724,1.7066054887692983,0.011345218800648298,0.33747416271352887,0.74,2/10,0.21%,SLC6A6;PODXL
prerank,specific granule membrane (GO:0035579),0.5699425455372701,1.6883930996028873,0.0012091898428053204,0.34575634943890526,0.791,18/87,11.34%,PTPRJ;PTPRB;CEACAM1;STK10;CD93;STOM;ANO6;TSPAN14;TNFRSF1B;CD47;PLD1;ITGAM;VAMP8;SLC15A4;HMOX2;ADAM10;CYBA;TRPM2
prerank,plasma membrane raft (GO:0044853),0.5729481672929418,1.6882834698505138,0.0023752969121140144,0.2966476863254429,0.792,18/78,8.37%,CDH13;NOS3;CAVIN2;BMPR2;ATP2B4;INSR;CAV1;CAV2;EMP2;PLPP1;NOS1AP;PACSIN2;ORAI1;ASAH2;MAPK1;ITGAM;JAK2;CAVIN4
prerank,sarcoplasmic reticulum (GO:0016529),0.6367994616979747,1.6834034322857758,0.009628610729023384,0.2747839963253637,0.803,5/41,3.51%,NOS1;ATP2A3;ITPR3;FKBP1A;NOS1AP
prerank,membrane raft (GO:0045121),0.5371277463422893,1.669539306058917,0.0,0.28128390525140373,0.847,36/158,8.79%,NOS1;KCNQ1;TEK;CAVIN2;FYN;MALL;FAS;KCNE3;ATP2B4;ATP1A4;ATP1A1;CAV1;CAV2;STOM;CBL;EMP2;APP;PPT1;PLPP1;ORAI1;ANGPT1;AKAP5;HYAL2;FURIN;TNFRSF1B;ASAH2;PGK1;ADAM17;LRRK2;ITGAM;JAK2;SLC6A4;PLSCR1;MYO1C;STX12;MAL
prerank,endoplasmic reticulum lumen (GO:0005788),-0.36002737453014644,-1.6366766874169896,0.0,0.6805090861378994,0.675,69/262,10.97%,COL1A2;COL3A1;COL4A5;COL1A1;FSTL1;SDC2;COL4A6;COL5A1;IGFBP5;COL12A1;COL22A1;SERPING1;WNT4;COL4A3;GPC3;COL25A1;COL4A4;COL6A2;PDGFC;BMP4;COL6A3;COL11A1;MGAT4A;COL26A1;COL8A2;WNT6;COL6A1;LTBP1;WNT5A;APOE;COL13A1;THBS1;ADAMTS5;COL27A1;COL23A1;FMO1;P4HA1;TXNDC12;DNAJC3;BACE1;FBN1;COL15A1;RCN1;DAG1;ARSI;SERPINH1;IGFBP3;COL20A1;POGLUT2;TSPAN5;LGALS1;GANAB;TOR1B;VCAN;CKAP4;SCG3;COL16A1;P3H1;UGGT2;MSLN;GPX8;SERPIND1;ADAMTSL4;SPP1;COL9A2;SUMF1;MFGE8;P3H2;H6PD
prerank,lysosomal lumen (GO:0043202),-0.42396288104317253,-1.6330445098031352,0.0,0.46641445618025035,0.681,29/81,19.51%,GPC6;SDC2;DCN;OGN;GPC3;HSPG2;FMOD;LIPA;GNS;BGN;PRELP;HEXA;NAAA;VCAN;TXNDC5;HYAL1;PPT2;TCN2;CSPG4;OMD;GYG1;LUM;GPC1;CD74;IDUA;CTSL;SDC1;LGMN;GPC4
prerank,tertiary granule membrane (GO:0070821),0.5663594813582312,1.630717882029363,0.011553273427471117,0.3689065581170657,0.931,15/64,11.34%,PTPRB;CEACAM1;CD93;STOM;ANO6;NRAS;TSPAN14;CD47;PLD1;ITGAM;VAMP8;ADAM10;DYNLL1;CYBA;TRPM2
prerank,integral component of Golgi membrane (GO:0030173),0.5871336322981912,1.6209851984847647,0.010484927916120577,0.3654866409259738,0.946,10/53,7.95%,SGMS1;ACER2;SGMS2;POMGNT1;ATP2C1;PCSK5;FURIN;SLC35B3;ERGIC1;A4GALT
prerank,aggresome (GO:0016235),0.6346872562879121,1.6136329027383056,0.011004126547455296,0.35631696905861204,0.955,7/34,11.43%,PRDM16;KLF8;RANGAP1;HSPA1B;ZBTB14;XRN2;EEF2
prerank,intrinsic component of Golgi membrane (GO:0031228),0.5762804454809454,1.6128833082013359,0.01403061224489796,0.3311339530423881,0.956,10/58,7.95%,SGMS1;ACER2;SGMS2;POMGNT1;ATP2C1;PCSK5;FURIN;SLC35B3;ERGIC1;A4GALT
prerank,trans-Golgi network transport vesicle (GO:0030140),0.7218643275222831,1.612475964458009,0.023547880690737835,0.3084793816474092,0.956,8/14,19.09%,ATP7A;GOPC;TMED10;FURIN;RASSF9;TMED9;RAB27B;STEAP2
prerank,vesicle (GO:0031982),0.4901996597456182,1.5930927856987585,0.0010526315789473684,0.33940334677004225,0.973,39/213,9.29%,NOS1;PLCG2;EPS8L2;MYO1D;KCNN4;NOS3;MYO1E;KCNE3;NOD2;RAB11A;ARHGEF2;ATP1A3;ATP1A1;ITSN2;FBLN2;STOM;PIK3C2A;APOA1;VTI1B;STX7;PROM1;MSN;TAGLN2;RAB34;ARRDC1;TUBB4B;GNAI2;VAMP8;HSPA1B;GPRC5A;PCMT1;MYL6;MYO1C;UBA52;STX12;RPS27A;GAPDH;CLCN3;RIPOR1
prerank,adherens junction (GO:0005912),0.5132326513767288,1.5908961991179777,0.004555808656036446,0.3243648581226093,0.977,18/131,4.50%,PTPRM;JAG1;CYTH3;TRPV4;CEACAM1;MYO1E;BMPR2;SHROOM4;MAGI1;SMAD7;RND1;NOTCH1;JCAD;ZYX;STXBP6;FRMD4B;CDC42EP1;PDLIM5
prerank,clathrin-coated vesicle (GO:0030136),0.5393655416331332,1.5822527238154043,0.01079136690647482,0.32841130211538494,0.982,19/77,12.52%,HIP1;MYO1E;MALL;HIP1R;VWF;PIK3C2A;AP2B1;FCHO2;ATP7A;GOPC;TMED10;FURIN;NUMB;RAB35;STON1;AP2M1;OCRL;INPP5F;TMED9
