Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Hedgehog Signaling,0.7044133896256215,1.9059060504630065,0.004392386530014641,0.00685378590078329,0.007,6/36,5.06%,PTCH1;GLI1;NRP2;NF1;OPHN1;AMOT
prerank,Apical Surface,0.5869111053141396,1.6351334284110446,0.016689847009735744,0.11357702349869453,0.196,8/43,6.15%,NTNG1;EFNA5;ATP8B1;DCBLD2;CRYBG1;FLOT2;ADAM10;SHROOM2
prerank,Interferon Alpha Response,-0.3946742509677071,-1.6315874697710508,0.005025125628140704,0.037162162162162164,0.03303303303303303,37/90,20.23%,TXNIP;LY6E;ADAR;IRF2;TRIM25;B2M;IFIT2;IFIT3;GBP4;BST2;HERC6;TRIM14;USP18;NCOA7;SAMD9L;TDRD7;UBA7;IRF1;EPSTI1;RNF31;CNP;IFI44;SP110;MOV10;MVB12A;LGALS3BP;CSF1;GBP2;OGFR;ISG15;CMPK2;CASP8;RSAD2;DDX60;PSMB8;LPAR6;PSMB9
prerank,KRAS Signaling Up,0.48581315430377475,1.6259476028996247,0.0010893246187363835,0.08485639686684074,0.22,25/189,6.39%,NGF;ALDH1A3;APOD;ETV4;TRIB2;ITGBL1;ETV1;ARG1;AKAP12;EPB41L3;DCBLD2;MPZL2;EMP1;ETV5;MAP3K1;ERO1A;SCG3;TMEM158;SOX9;SATB1;CPE;DOCK2;TNFAIP3;CAB39L;EPHB2
prerank,Hypoxia,0.4637864193272748,1.5691711745311385,0.0021668472372697724,0.11357702349869453,0.364,29/197,8.28%,RORA;TGFBI;DCN;CAV1;GPC3;STC2;PPARGC1A;ACKR3;NEDD4L;AKAP12;EGFR;HK2;GYS1;MAP3K1;PFKP;PNRC1;TPD52;ERO1A;FOXO3;PRKCA;CAVIN1;BHLHE40;NCAN;TNFAIP3;NDST1;ALDOB;PGM1;SELENBP1;GCNT2
prerank,IL-2/STAT5 Signaling,0.4603922998556912,1.5447174538295507,0.006607929515418502,0.1110313315926893,0.421,35/194,13.51%,PTCH1;RORA;AHNAK;ETV4;ITGA6;ST3GAL4;IL18R1;LRIG1;CCND3;HK2;ADAM19;CDC42SE2;EMP1;PRAF2;SPRY4;BHLHE40;TLR7;ANXA4;PHLDA1;AHCY;NT5E;PLSCR1;LCLAT1;SYNGR2;ARL4A;SH3BGRL2;P4HA1;NCOA3;CD81;HOPX;CDC6;ENO3;PHTF2;SPRED2;CDKN1C
prerank,Wnt-beta Catenin Signaling,0.5389981290419852,1.51882923419934,0.056022408963585436,0.11618798955613577,0.496,3/42,2.29%,PTCH1;AXIN1;JAG1
prerank,PI3K/AKT/mTOR  Signaling,0.4487739335222877,1.4156073666043891,0.04784688995215311,0.2500932487877658,0.801,18/104,12.80%,GNA14;NGF;ITPR2;EGFR;MAPK10;PRKAG1;CAB39L;ACACA;PRKAR2A;SFN;GSK3B;RPS6KA3;EIF4E;MAPKAP1;PPP2R1B;STAT2;NFKBIB;PTEN
prerank,Myogenesis,0.4162679036184589,1.4084181342461668,0.024945770065075923,0.2308257180156658,0.821,20/195,6.65%,ITGB4;KLF5;APOD;CDH13;STC2;SORBS1;LAMA2;MYBPH;SGCD;COL6A3;MRAS;FKBP1B;ITGA7;SGCG;CSRP3;CACNA1H;BHLHE40;ANKRD2;CKMT2;COL3A1
prerank,Androgen Response,0.43713475537706925,1.3962997204471483,0.06594724220623502,0.22650130548302874,0.843,14/98,5.50%,ALDH1A3;HOMER2;FKBP5;AKAP12;CCND3;KLK2;ADAMTS1;ELOVL5;TNFAIP8;SLC38A2;TPD52;UBE2I;BMPR1B;KRT19
prerank,p53 Pathway,0.3981248790400398,1.342783245497888,0.0544069640914037,0.31037859007832896,0.943,25/192,9.33%,ITGB4;PLK2;CDH13;INHBB;DGKA;CCND3;CYFIP2;PITPNC1;EPHX1;PHLDA3;CD82;IL1A;PTPN14;FOXO3;NOL8;COQ8A;CCNG1;SDC1;PERP;CCP110;SESN1;DEF6;ABAT;SFN;TRAFD1
