Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Epithelial Mesenchymal Transition,-0.5648929744967268,-2.2744541168931516,0.0,0.0,0.0,92/194,11.42%,CALD1;LAMA2;COL1A2;FSTL1;NOTCH2;COL3A1;LRP1;DPYSL3;FBN1;PRRX1;COL1A1;DCN;TIMP3;PDGFRB;IGFBP2;CDH11;COL5A1;TGFBR3;COL12A1;SGCD;LOXL1;FBLN1;COL6A2;CCN2;COL6A3;FMOD;GJA1;COL11A1;ITGB5;SPARC;PLOD2;NID2;COL8A2;ABI3BP;BGN;MFAP5;SERPINH1;GAS1;THBS2;PCOLCE;FBLN5;THBS1;FOXC2;IGFBP3;FGF2;FAP;SNTB1;TPM1;MMP14;HTRA1;FBN2;PCOLCE2;MGP;COL5A3;TNFRSF11B;SERPINE2;SFRP4;ITGAV;CAP2;SPP1;LUM;TGFBI;ENO2;MATN2;COL16A1;VCAN;LOX;CCN1;COPA;DAB2;CD44;ECM1;EFEMP2;FBLN2;NT5E;TNC;SFRP1;MYL9;SDC4;MMP2;ADAM12;VEGFA;CXCL12;INHBA;TAGLN;TPM2;SERPINE1;GADD45B;ACTA2;SLIT2;PFN2;EMP3
prerank,Interferon Gamma Response,0.6026397358106287,1.9020777598760803,0.0,0.0021561990723329575,0.002,60/184,13.80%,CFH;CD38;NOD1;TNFSF10;PTGS2;VCAM1;IL15;LY6E;ICAM1;GCH1;B2M;PLA2G4A;NLRC5;IRF2;FAS;STAT3;GBP4;SAMHD1;TRIM14;HIF1A;CASP4;NFKBIA;CASP8;SELP;SPPL2A;ISG20;CSF2RB;PELI1;IFNAR2;CD40;ARL4A;ST8SIA4;ZNFX1;CFB;PSMA2;CASP7;TRIM25;NFKB1;CASP1;PTPN1;UPP1;FCGR1A;VAMP8;LAP3;NMI;IL4R;BTG1;IL7;IFI44;ADAR;PIM1;RIPK1;SAMD9L;SLC25A28;OASL;RIPK2;WARS1;IFIH1;TXNIP;SOD2
prerank,IL-6/JAK/STAT3 Signaling,0.6032708574173561,1.7587598129949995,0.0,0.017788642346746895,0.032,21/82,11.79%,IL1R1;CD38;IL6ST;ACVRL1;OSMR;FAS;STAT3;TNFRSF1B;CSF2RB;IFNAR1;PDGFC;TNFRSF1A;TGFB1;PTPN1;CSF1;IL4R;CBL;IL7;IL17RB;ITGB3;PIM1
prerank,Interferon Alpha Response,0.5600089914886818,1.6245657310628832,0.005312084993359893,0.062170406585600274,0.154,37/90,19.34%,IL15;LY6E;B2M;IRF2;GBP4;GMPR;TRIM14;CASP8;UBA7;ISG20;TRIM25;CASP1;PROCR;CSF1;LAP3;NMI;IL4R;IL7;IFI44;ADAR;SAMD9L;SLC25A28;OASL;RIPK2;WARS1;IFIH1;TXNIP;PSME1;IFITM3;PNPT1;HERC6;HELZ2;PLSCR1;PARP9;BST2;IFITM1;EIF2AK2
prerank,Mitotic Spindle,0.5035207114167751,1.6114762304553836,0.0,0.05552212611257365,0.179,48/198,10.93%,RASAL2;SORBS2;RAPGEF5;NET1;EPB41;SPTBN1;FLNB;ARHGEF3;ARAP3;CD2AP;NEDD9;WASF2;MYH9;FGD6;ARHGEF2;BCR;DST;DOCK4;ARHGAP27;TAOK2;NCK1;ACTN4;PXN;SHROOM2;SSH2;SHROOM1;PREX1;CCDC88A;OPHN1;AURKA;PCNT;BCL2L11;RASA1;PKD2;KIF22;MYO1E;ARHGEF7;LLGL1;MAP3K11;PCGF5;CNTRL;CEP57;RICTOR;CYTH2;RASA2;SPTAN1;FSCN1;KIF23
prerank,TGF-beta Signaling,0.5940908340800821,1.5973993559101305,0.011577424023154847,0.05218001755045757,0.203,17/54,7.33%,TJP1;BMPR2;ENG;SPTBN1;SMAD1;SMURF1;TGIF1;WWTR1;FKBP1A;ID1;SMAD7;XIAP;KLF10;ACVR1;JUNB;BCAR3;TGFB1
prerank,Inflammatory Response,0.5003837413776205,1.574382874218143,0.005868544600938967,0.05588149262462914,0.256,46/194,13.33%,IL1R1;CALCRL;PCDH7;TNFSF10;IL15;LY6E;ICAM1;GCH1;AHR;RNF144B;EDN1;LYN;STAB1;OSMR;HIF1A;TNFRSF1B;NFKBIA;PVR;SELE;SLC31A1;BEST1;ACVR2A;SCARF1;IFNAR1;CD40;LCK;ATP2C1;NFKB1;ITGA5;PSEN1;IL7R;CSF1;ICOSLG;BTG2;TNFRSF9;SEMA4D;APLNR;NMI;IL4R;TACR1;ITGB3;RELA;RIPK2;MET;HAS2;KLF6
prerank,Apical Surface,0.6010553359655789,1.5474894557495928,0.030523255813953487,0.0637618868532746,0.325,9/43,4.29%,ATP8B1;ADIPOR2;APP;EPHB4;LYN;ADAM10;AFAP1L2;SHROOM2;MAL
prerank,Notch Signaling,0.602194476439419,1.513152255072385,0.04430379746835443,0.07641030462579917,0.428,9/32,7.06%,ST3GAL6;LFNG;PPARD;MAML2;NOTCH1;DLL1;TCF7L2;WNT5A;ARRB1
prerank,Pancreas Beta Cells,0.6043481227192374,1.4916758072521847,0.051470588235294115,0.084331341495689,0.501,8/36,13.40%,FOXO1;LMO2;NEUROD1;SST;MAFB;AKT3;SRP9;SPCS1
