Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Coagulation,0.5799427533311802,1.74774186486344,0.0021436227224008574,0.0931953314247963,0.082,20/128,7.84%,FN1;DPP4;CLU;TMPRSS6;C8A;MMP9;PRSS23;HPN;GSN;CFH;PEF1;SERPINC1;TIMP1;CD9;THBD;KLKB1;KLF7;CAPN2;ANG;MSRB2
prerank,Cholesterol Homeostasis,0.5740680024167519,1.629939253337768,0.012956419316843345,0.14789693900022022,0.243,22/72,11.92%,ALCAM;CLU;LDLR;FDFT1;SREBF2;CPEB2;SEMA3B;DHCR7;FDPS;HMGCR;S100A11;CD9;ANXA5;PMVK;CYP51A1;LGALS3;GUSB;ACTG1;ACAT2;ABCA2;STARD4;FASN
prerank,Myogenesis,0.5178807632407307,1.5833004901746632,0.002103049421661409,0.14722161051163474,0.333,30/195,7.30%,ADAM12;ITGB4;SORBS1;MYOM2;CDH13;CLU;KLF5;SGCG;ACTN2;ABLIM1;CDKN1A;MRAS;GSN;SGCA;SGCD;ADCY9;HDAC5;FHL1;CSRP3;LARGE1;AK1;BAG1;FDPS;COL6A3;CRYAB;HSPB2;TSC2;HSPB8;MEF2D;ERBB3
prerank,Estrogen Response Late,0.5018196363929419,1.5713816120225252,0.003105590062111801,0.12383836159436248,0.369,35/186,7.92%,CDH1;CD44;KLK11;KRT19;KLF4;TFAP2C;FKBP5;LAMC2;KLK10;GAL;PLXNB1;FDFT1;PRSS23;EMP2;NBL1;CAV1;SEMA3B;HOMER2;SULT2B1;FOS;LARGE1;DHCR7;OLFM1;ARL3;BAG1;IGSF1;CD9;PERP;OVOL2;HSPB8;CPE;FLNB;LSR;GALE;SLC2A8
prerank,p53 Pathway,0.4984837050755192,1.5511207365428838,0.0062176165803108805,0.11649416428099538,0.408,60/192,17.54%,ITGB4;FGF13;CDH13;PTPN14;CYFIP2;KLF4;CDKN1A;NDRG1;NUPR1;NINJ1;EPS8L2;EPHX1;MXD4;CD81;PHLDA3;S100A10;MKNK2;FOXO3;FOS;ZBTB16;AK1;PPP1R15A;PROCR;PERP;PITPNC1;LDHB;CCND2;PLK3;ABAT;JUN;RALGDS;STOM;HDAC3;DGKA;ZMAT3;PTPRE;TM4SF1;SP1;CDKN2AIP;ERCC5;PPM1D;PLXNB2;BTG2;IRAK1;RHBDF2;SLC19A2;HRAS;POLH;KRT17;DCXR;MDM2;PLK2;PCNA;IP6K2;SESN1;UPP1;HEXIM1;CCNG1;F2R;PIDD1
prerank,Pancreas Beta Cells,0.5692035079885738,1.4790261621888454,0.051630434782608696,0.18335168465095794,0.644,4/36,8.68%,DPP4;ABCC8;STXBP1;ELP4
prerank,Apical Junction,0.46398336914244404,1.4431898550768754,0.015789473684210527,0.21316261364708844,0.743,13/191,2.36%,CDH1;ADRA1B;ITGB4;CLDN11;ITGA10;TNFRSF11B;NECTIN3;ACTN2;LAMC2;TJP1;MMP9;PARVA;GTF2F1
prerank,Complement,0.4706487105136029,1.4367404640202268,0.02198952879581152,0.19690046245320414,0.759,26/184,10.42%,FN1;DPP4;CD55;CDH13;CLU;F5;TMPRSS6;ACTN2;CCL5;KIF2A;CFH;EHD1;SERPINC1;TIMP1;ANXA5;TIMP2;PRSS36;KLKB1;ANG;LGALS3;FDX1;PCLO;PREP;KLK1;RAF1;CR2
prerank,Estrogen Response Early,0.4540871344719527,1.402947978867068,0.01973001038421599,0.2302870146076488,0.834,31/189,5.99%,THSD4;RAB17;CD44;KRT19;CELSR1;KLF4;TFAP2C;FKBP5;KLK10;ABLIM1;ELF3;PODXL;FDFT1;MPPED2;PRSS23;NBL1;ADCY9;SEMA3B;PMAIP1;SULT2B1;FOS;DHCR7;KAZN;MLPH;OLFM1;ARL3;BAG1;KDM4B;OVOL2;UNC119;HSPB8
prerank,IL-2/STAT5 Signaling,0.43544936220202973,1.361649325688367,0.04149377593360996,0.28850033032371725,0.927,35/194,11.96%,NT5E;ALCAM;CD44;MAP3K8;CCR4;NCOA3;ST3GAL4;AHNAK;PHTF2;NDRG1;PENK;TWSG1;TTC39B;CD81;ARL4A;TNFRSF8;COL6A1;NOP2;SERPINC1;ANXA4;IL3RA;MAP6;BCL2L1;CTSZ;GSTO1;WLS;CCND2;MYO1C;LRIG1;PLEC;S100A1;UMPS;IL1R2;SOCS2;GADD45B
prerank,Epithelial Mesenchymal Transition,0.42941251404073727,1.331124139415375,0.061139896373056994,0.3255390282476827,0.95,30/194,8.72%,FN1;ADAM12;NT5E;TNFRSF11B;CD44;SGCG;CRLF1;NOTCH2;LAMC2;CALD1;MGP;GPC1;VIM;SGCD;CCN2;COL5A2;IL15;FOXC2;COPA;TIMP1;PCOLCE2;COL6A3;SDC4;FBLN1;SNTB1;PVR;GLIPR1;NNMT;JUN;LAMC1
prerank,TGF-beta Signaling,0.4746268231451153,1.3157691897711872,0.125,0.3306577112236659,0.962,7/54,8.04%,CDH1;TJP1;SMAD6;TRIM33;PPP1R15A;SLC20A1;PPM1A
prerank,Angiogenesis,0.5020570727820441,1.31047573606278,0.14513981358189082,0.3154303525146952,0.965,6/34,7.28%,FGFR1;SLCO2A1;COL5A2;TIMP1;THBD;CCND2
