Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Oxidative Phosphorylation,0.6719398575190776,1.9959519090571307,0.0,0.0,0.0,81/195,14.56%,MRPS12;COX4I1;UQCR11;ATP5F1E;GPX4;COX6C;ATP5MF;ATP6V0C;ATP5F1B;ATP5MC3;ATP5F1D;UQCR10;ATP5PD;NDUFA2;TIMM8B;MRPL34;COX6B1;ATP5MC1;COX7C;TIMM13;ATP5MG;COX5B;ATP5PF;ACADVL;NDUFB7;COX8A;ATP5ME;NDUFA4;NDUFS7;ATP6V1F;CYC1;SLC25A5;ATP5F1A;NDUFB4;COX6A1;NDUFA6;NDUFS6;COX7A2L;POLR2F;COX17;UQCRH;NDUFA3;CYB5R3;MDH1;SLC25A4;UQCRQ;MRPL35;LDHA;COX7A2;ETFB;ATP6V1G1;NDUFA5;OAT;ATP6AP1;NDUFB3;NDUFC2;NDUFC1;NDUFA8;NDUFA1;MRPS11;MRPL11;NDUFB8;ATP5MC2;SDHB;NDUFS2;SLC25A11;UQCRC1;UQCRB;MGST3;BAX;ACAT1;ACAA2;ECH1;NDUFB5;ISCU;TIMM50;NDUFA7;NDUFS8;NDUFA9;SUCLG1;UQCRFS1
prerank,Reactive Oxygen Species Pathway,0.7204880051723123,1.9033238516362758,0.0,0.0,0.0,19/48,9.70%,FTL;GPX4;ATOX1;MBP;SOD1;TXN;PRNP;NDUFB4;NDUFA6;PRDX6;PRDX4;PRDX2;LAMTOR5;JUNB;IPCEF1;MGST1;NDUFS2;GPX3;PRDX1
prerank,Myc Targets V1,0.6170122931660533,1.8192727777744135,0.0,0.0,0.0,100/197,25.07%,MRPL23;RPS3;PPIA;RPS5;RPL18;RPL34;RPL22;RACK1;RPL6;RPS10;RPLP0;RPS2;PCBP1;HSP90AB1;RPL14;SNRPG;EEF1B2;RPS6;CYC1;EIF4G2;NME1;EIF3D;NPM1;HSPE1;RAN;CANX;CCT2;PRDX4;GLO1;PSMD1;SNRPD2;LDHA;MCM5;YWHAE;SNRPA;PGK1;CCT7;FBL;PSMA7;TRIM28;HSPD1;XPO1;SET;KARS1;NHP2;TARDBP;DEK;EIF4A1;SRSF2;APEX1;BUB3;PSMB3;PABPC1;PCNA;ODC1;YWHAQ;EIF3B;HNRNPU;VBP1;HNRNPA1;TUFM;PTGES3;G3BP1;COX5A;PRPF31;CNBP;TXNL4A;SRM;SNRPD3;LSM7;EIF1AX;EPRS1;PSMA6;EIF4H;SF3A1;HNRNPA3;SERBP1;RFC4;PSMA4;CBX3;MYC;SRSF1;AIMP2;CCT4;NOP56;RANBP1;CDC45;NDUFAB1;ACP1;ETF1;SNRPB2;C1QBP;IMPDH2;MRPL9;NAP1L1;CDC20;CCNA2;CCT3;EIF2S1;PSMB2
prerank,UV Response Dn,-0.4043933290119918,-1.7880704131673053,0.0,0.0,0.0,50/144,10.75%,CELF2;GRK5;TGFBR3;SMAD3;NFIB;NOTCH2;ADD3;COL5A2;SIPA1L1;RBPMS;ATXN1;FHL2;PDLIM5;PTPN21;SCAF8;ZMIZ1;BMPR1A;DAB2;LPAR1;PLPP3;NIPBL;CDON;PRKCE;NRP1;YTHDC1;IRS1;DLG1;APBB2;EFEMP1;RASA2;NFKB1;NR1D2;DYRK1A;BCKDHB;F3;PHF3;MET;VAV2;TFPI;SMAD7;PDGFRB;COL11A1;NEK7;PPARG;PTEN;MIOS;LTBP1;RND3;CDK13;SPOP
prerank,Allograft Rejection,0.5754532105005622,1.6888300450751215,0.0,0.0029813047348916173,0.012,63/184,20.21%,RPS9;RPL39;RPS19;CD74;B2M;RPL9;MBL2;CTSS;AKT1;CCL19;ITGB2;NME1;EIF3D;CCND2;NPM1;EIF5A;TNF;PTPRC;HCLS1;TAPBP;SPI1;LY86;FLNA;IL2RB;TAP2;CCR5;CD3D;THY1;IL2;TIMP1;ICOSLG;STAB1;IRF8;SRGN;APBB1;IL11;WARS1;IL2RG;ST8SIA4;GCNT1;RIPK2;PSMB10;CAPG;TLR6;CCL2;IRF7;NCR1;PF4;IFNGR1;TLR1;DEGS1;ACHE;HDAC9;LCP2;NOS2;CCR2;CD86;INHBA;NLRP3;IL6;IFNGR2;TGFB1;TRAT1
prerank,Cholesterol Homeostasis,0.5954107940543403,1.6476462118359816,0.0010615711252653928,0.0037763193308627146,0.019,22/72,11.87%,ACTG1;CLU;ALDOC;S100A11;LGMN;ANXA5;LGALS3;FABP5;CTNNB1;CXCL16;LSS;GUSB;LPL;STARD4;PCYT2;FASN;GNAI1;GSTM2;SCD;ATF5;SC5D;ECH1
prerank,Coagulation,0.5688763149195457,1.6392339254079853,0.0,0.004140701020682802,0.025,39/128,17.33%,SPARC;CLU;CTSB;C1QA;GSN;S100A1;CRIP2;MBL2;C3;TMPRSS6;THBD;LGMN;GNB2;A2M;APOC1;S100A13;PDGFB;RAC1;ANG;FN1;LEFTY2;F9;KLK8;CSRP1;P2RY1;TIMP1;SERPING1;PECAM1;MMP3;PLAT;TIMP3;ISCU;CTSH;SH2B2;PF4;ARF4;PLAU;F10;MMP14
prerank,UV Response Up,0.5653236671790444,1.63882818642011,0.0,0.0036911391955800977,0.026,58/149,21.63%,MRPL23;BSG;ALDOA;HMOX1;RHOB;CNP;ATP6V1F;RPN1;TMBIM6;SELENOW;CA2;TUBA4A;SLC25A4;JUNB;PSMC3;HYAL2;CDKN1C;CDC34;BTG1;TFRC;CREG1;SPR;YKT6;AP2S1;GPX3;GRINA;DNAJA1;MSX1;PTPRD;MAOA;KLHDC3;IGFBP2;BMP2;CCK;HNRNPU;GLS;UROD;DNAJB1;MAPK8IP2;RASGRP1;TST;ARRB2;TYRO3;HTR7;SQSTM1;MMP14;ASNS;NPTXR;IL6;CYB5R1;RFC4;DGAT1;HSPA2;NFKBIA;BAK1;CDC5L;POLR2H;FKBP4
prerank,Complement,0.5473947910809364,1.6287486170743608,0.0,0.00397507297985549,0.032,62/184,18.27%,CTSD;CLU;CTSB;CALM1;C1QA;ATOX1;CTSL;C1QC;GNAI2;MT3;CTSS;C3;TMPRSS6;HSPA5;TIMP2;LGMN;GNB2;SPOCK2;CALM3;APOC1;RCE1;ANXA5;S100A13;CA2;PDGFB;LGALS3;FCER1G;ANG;S100A9;TNFAIP3;PFN1;FN1;RHOG;CEBPB;KLK1;DGKH;CSRP1;TIMP1;CDK5R1;SERPING1;PLA2G7;PSMB9;DOCK10;L3MBTL4;PLAT;HSPA1A;MSRB1;LAP3;CTSH;IRF7;EHD1;RASGRP1;GMFB;USP8;SCG3;LCP2;F10;MMP14;GCA;PDP1;CTSC;LAMP2
prerank,Adipogenesis,0.5429700888484424,1.6194649934851306,0.0,0.003864654285970615,0.035,64/197,18.44%,APOE;ALDOA;UQCR11;UBC;GPX4;CHCHD10;CAVIN1;SPARCL1;UQCR10;CD151;SOD1;C3;TALDO1;NDUFB7;COX8A;CYC1;COX6A1;UCP2;PPP1R15B;PFKL;UCK1;SOWAHC;SCP2;UQCRQ;ETFB;NDUFA5;GHITM;DDT;REEP5;GPHN;REEP6;ENPP2;ALDH2;APLP2;COL4A1;YWHAG;LIPE;SDHB;LPL;HSPB8;UQCRC1;GPX3;NKIRAS1;MGST3;ACAA2;ECH1;QDPR;SLC19A1;CRAT;CAT;SUCLG1;IFNGR1;G3BP2;TST;COX7B;SLC25A1;PIM3;LTC4S;NDUFS3;ECHS1;ATP1B3;SLC66A3;TKT;DNAJB9
