Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Angiogenesis,0.5351813993904799,1.4175945800776535,0.05968331303288672,0.7923631664512901,0.555,11/34,16.44%,VTN;LPL;FGFR1;FSTL1;NRP1;LRPAP1;VAV2;APP;COL5A2;LUM;JAG1
prerank,Protein Secretion,-0.28817766211707047,-1.3270297237163826,0.0,0.31750741839762614,0.11971830985915492,33/96,15.66%,SEC31A;GBF1;DST;RAB2A;EGFR;TSG101;OCRL;RAB14;CLTA;ATP1A1;CLCN3;SEC22B;BET1;SNX2;RAB22A;RAB9A;COG2;M6PR;ERGIC3;CAV2;RER1;TMX1;ANP32E;SGMS1;TOM1L1;YIPF6;GOSR2;TPD52;ICA1;ADAM10;COPE;BNIP3;AP2M1
prerank,Mitotic Spindle,-0.24825791339058154,-1.3261608580476967,0.0,0.15875370919881307,0.11971830985915492,45/199,11.89%,RICTOR;RASAL2;RAPGEF5;DST;WASF2;LATS1;CD2AP;CLIP1;RAPGEF6;RALBP1;PXN;TUBGCP5;CDC42BPA;FLNA;MAPRE1;EPB41;KLC1;ABR;STK38L;PDLIM5;TAOK2;CEP192;PCNT;DOCK2;PCGF5;ARHGAP10;CTTN;LRPPRC;CEP57;NCK1;ANLN;NET1;EZR;ITSN1;CDC27;SYNPO;MARK4;RASA1;TUBGCP6;PCM1;SUN2;ARHGAP5;STAU1;ARHGDIA;ROCK1
prerank,Bile Acid Metabolism,0.4371315242166845,1.2880210505224106,0.0819327731092437,1.0,0.951,25/105,15.47%,SLC29A1;SLC35B2;CYP27A1;MLYCD;BMP6;SLC22A18;ABCA2;PRDX5;ATXN1;CYP7B1;HSD17B4;GC;RBP1;NUDT12;FADS1;PEX1;CROT;AMACR;PXMP2;ABCA6;PEX7;PEX13;BBOX1;EPHX2;ABCD2
prerank,E2F Targets,0.4141089680350843,1.2679073778713514,0.05616850551654965,1.0,0.969,45/198,18.08%,CCP110;ILF3;LIG1;DCK;TBRG4;HMGB3;SLBP;UBE2S;SRSF2;PAICS;MAD2L1;NOP56;USP1;STAG1;ASF1A;MLH1;WEE1;BARD1;EXOSC8;EZH2;TK1;CDC25A;SRSF1;CIT;ORC6;XRCC6;HNRNPD;PSIP1;SUV39H1;CNOT9;NUDT21;PMS2;GSPT1;TRA2B;POLD3;IPO7;TUBB;MRE11;UBR7;CHEK2;RAD50;CBX5;LUC7L3;RAD21;NUP153
prerank,KRAS Signaling Up,0.4084115981730233,1.2415308207447662,0.06565656565656566,1.0,0.984,43/189,17.04%,IL10RA;FGF9;CBX8;HKDC1;LCP1;MMP11;EPHB2;IL33;ANKH;TNFAIP3;NRP1;ALDH1A2;CXCR4;SOX9;MMD;GPRC5B;RABGAP1L;PLAT;PRRX1;LY96;SNAP25;ITGBL1;JUP;IGFBP3;CROT;KIF5C;MAP7;PTCD2;TFPI;PEG3;AKAP12;PTGS2;AMMECR1;EPB41L3;CBL;SATB1;DNMBP;BTBD3;SNAP91;MAP3K1;ADGRA2;SPRY2;NIN
prerank,Myc Targets V2,0.42644678800049535,1.1966438566400837,0.19866814650388456,1.0,0.999,10/57,12.27%,GNL3;NDUFAF4;AIMP2;DDX18;TBRG4;NOP56;SRM;MPHOSPH10;RCL1;NPM1
prerank,Glycolysis,0.39278158142104347,1.194254004006505,0.1263902932254803,1.0,1.0,35/194,13.69%,DPYSL4;PPFIA4;MED24;CLN6;P4HA1;GALK1;KDELR3;CHPF;HS2ST1;MXI1;ALG1;PLOD1;FAM162A;DCN;CAPN5;CXCR4;GPC1;GALE;SOX9;MDH2;VLDLR;ECD;HS6ST2;P4HA2;PGAM1;IRS2;HDLBP;IGFBP3;ENO2;GMPPA;AK4;GPC4;GCLC;PAM;AK3
prerank,Fatty Acid Metabolism,0.389394967206738,1.1788421513576892,0.17497456765005087,1.0,1.0,29/146,13.64%,FASN;ADSL;GPD1;BPHL;MLYCD;NTHL1;HSP90AA1;UROD;IDH3B;ERP29;RAP1GDS1;SDHA;PRDX6;METAP1;RDH11;HADHB;SMS;HSD17B4;GLUL;MDH2;YWHAH;MCEE;ENO2;HSPH1;CPT2;BLVRA;EHHADH;OSTC;SUCLG1
prerank,Apical Surface,-0.3137378301798874,-1.169702012156228,0.16393442622950818,0.32245301681503463,0.31338028169014087,12/43,17.73%,ATP8B1;NCOA6;DCBLD2;AFAP1L2;EPHB4;AKAP7;CRYBG1;ADAM10;ADIPOR2;MAL;RTN4RL1;HSPB1
prerank,Reactive Oxygen Species Pathway,0.4263508513487401,1.169283433012481,0.24169530355097366,1.0,1.0,19/48,21.91%,CDKN2D;SELENOS;TXNRD1;PRDX6;NDUFS2;SOD2;LAMTOR5;GCLC;SCAF4;EGLN2;NDUFB4;NDUFA6;STK25;OXSR1;GPX4;LSP1;ATOX1;PDLIM1;HMOX2
prerank,Pperoxisome,0.3979632295819267,1.16241876595772,0.22489539748953974,0.9680362758857067,1.0,25/97,17.77%,SLC35B2;SLC25A19;CLN6;MLYCD;FIS1;PRDX5;CNBP;ATXN1;RDH11;HSD17B4;YWHAH;MVP;FADS1;PABPC1;PEX5;EHHADH;VPS4B;SOD2;PEX13;EPHX2;ABCD2;CTBP1;ITGB1BP1;CDK7;ECH1
prerank,Xenobiotic Metabolism,0.38038593990417296,1.1560561338754984,0.19250253292806485,0.9120430197173706,1.0,33/183,15.48%,ADH5;ACP1;VTN;NDRG2;ASL;IGF1;SLC35B1;DDT;MPP2;CYP27A1;BPHL;DHRS7;BLVRB;FBLN1;ATP2A2;GART;PSMB10;POR;NMT1;RAP1GAP;JUP;CROT;CNDP2;COMT;LPIN2;HPRT1;GCLC;SMOX;SLC1A5;FAH;SLC6A12;ABCD2;ACOX3
prerank,Pancreas Beta Cells,0.4325850362503926,1.1331734389919894,0.3162193698949825,0.9722789611905457,1.0,5/36,8.03%,NKX6-1;NKX2-2;PCSK2;PAK3;SRP9
prerank,Hypoxia,0.368835426794961,1.114114639741453,0.251503006012024,1.0,1.0,42/197,16.95%,DPYSL4;PPFIA4;PDK1;P4HA1;ADM;CP;GALK1;KDELR3;RORA;MXI1;TNFAIP3;PRKCA;NDST2;PRDX5;ERRFI1;FAM162A;DCN;CXCR4;GPC1;DDIT3;VLDLR;NDRG1;P4HA2;IRS2;HDLBP;IGFBP3;RBPJ;BCL2;ENO2;SLC2A3;GBE1;AK4;GPC4;PAM;AKAP12;ZNF292;F3;SLC25A1;MAP3K1;SERPINE1;ANXA2;TIPARP
prerank,Myc Targets V1,0.3660725186138211,1.1108874790623766,0.25502008032128515,0.9508781268337732,1.0,44/197,15.71%,NHP2;NDUFAB1;ACP1;GNL3;LSM7;AIMP2;DDX18;EXOSC7;FBL;U2AF1;SRSF2;TFDP1;MAD2L1;NOP56;DHX15;USP1;HDDC2;CNBP;SRM;SRSF3;SF3A1;KPNB1;SRSF1;VBP1;SNRPB2;EPRS1;XRCC6;PABPC4;HNRNPD;PABPC1;EIF4G2;EIF1AX;NPM1;STARD7;RACK1;HPRT1;GSPT1;VDAC1;TRA2B;EEF1B2;HNRNPA2B1;PSMD1;HSPD1;UBE2E1
prerank,Myogenesis,0.35894498003851266,1.0965707915992162,0.27648839556004035,0.9614347051922607,1.0,30/195,14.28%,TNNC1;PPFIA4;CAMK2B;IGF1;SIRT2;PDLIM7;TSC2;TNNI1;BIN1;DMPK;MAPRE3;PICK1;MYL1;LPIN1;BAG1;SPARC;HDAC5;DES;BDKRB2;PDE4DIP;APP;IGFBP3;IGFBP7;SLC6A8;ADAM12;SPEG;SOD3;EFS;SVIL;TGFB1
prerank,TGF-beta Signaling,-0.2675828635580716,-1.0925511563865589,0.23015873015873015,0.39762611275964393,0.4671361502347418,13/54,8.26%,HIPK2;FNTA;TJP1;ID3;BCAR3;SMAD1;TRIM33;ACVR1;THBS1;ENG;BMPR1A;CDH1;SLC20A1
