Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Coagulation,-0.527216463399903,-1.9789813651637371,0.0,0.0020564930744571466,0.001,28/128,11.21%,TIMP3;FBN1;CPQ;FN1;GSN;CTSH;LAMP2;SERPING1;VWF;PECAM1;SPARC;CFH;F3;DPP4;THBS1;THBD;CAPN2;ANXA1;ADAM9;HTRA1;CD9;HMGCS2;MMP14;CTSB;CAPN5;PRSS23;USP11;ITGB3
prerank,TGF-beta Signaling,-0.594161399306463,-1.9336216742699428,0.0,0.0010282465372285733,0.001,27/54,16.84%,SMAD3;SMAD6;SKIL;BMPR2;SMURF2;THBS1;TGFBR1;SMAD7;CDH1;ACVR1;ID1;SKI;SMURF1;RHOA;ID3;FKBP1A;KLF10;TGIF1;TGFB1;HDAC1;ID2;FNTA;CDK9;HIPK2;SERPINE1;BMPR1A;JUNB
prerank,Interferon Alpha Response,-0.504581827419273,-1.7707898744580064,0.0,0.003427488457428577,0.005,38/90,18.40%,IL15;HERC6;LY6E;ELF1;B2M;SAMD9L;CSF1;PARP9;DDX60;IFITM3;PARP14;STAT2;MOV10;IRF1;TXNIP;IRF2;CD47;IFI27;GBP4;IFIT2;IRF9;USP18;IFI35;IFIT3;CASP8;EPSTI1;LGALS3BP;PSME2;CMTR1;TENT5A;SP110;LPAR6;IFITM2;GBP2;PNPT1;UBA7;RSAD2;TRIM14
prerank,Notch Signaling,0.6553903865100069,1.636494908985726,0.026465028355387523,0.17689066841963724,0.286,6/32,4.23%,NOTCH3;HEYL;NOTCH1;MAML2;RBX1;PPARD
prerank,Protein Secretion,-0.4297905932485414,-1.5514293358738818,0.005361930294906166,0.04935583378697151,0.093,42/96,22.71%,ABCA1;EGFR;LAMP2;PAM;SGMS1;SEC24D;AP3S1;CTSC;SEC31A;ADAM10;STX7;SNAP23;TOM1L1;KIF1B;TSPAN8;ANP32E;GNAS;AP3B1;CLTA;RAB2A;USO1;LMAN1;SCRN1;CLCN3;MON2;ZW10;ATP1A1;BNIP3;CAV2;TPD52;NAPA;RER1;ARFGEF2;DOP1A;ARFIP1;COPB1;YIPF6;TMED2;CLN5;SNX2;AP2M1;BET1
prerank,Interferon Gamma Response,-0.3894641154126559,-1.5510208651975341,0.0,0.03989596564446864,0.093,52/184,11.99%,AUTS2;PLA2G4A;VAMP5;SERPING1;CFH;IL15;RNF213;HERC6;LY6E;ARL4A;B2M;NOD1;SAMD9L;VCAM1;DDX60;TAPBP;TNFSF10;IFITM3;PARP14;STAT2;CASP4;FGL2;IRF1;ICAM1;TXNIP;IRF2;STAT1;STAT3;NAMPT;IFI27;GBP4;IFIT2;IRF9;USP18;CMKLR1;HIF1A;OAS2;IFI35;NLRC5;IFIT3;IFIT1;CASP8;CD38;SAMHD1;EPSTI1;PML;GBP6;LGALS3BP;PSME2;PTGS2;GCH1;CMTR1
prerank,Epithelial Mesenchymal Transition,-0.37579109069894706,-1.4826618079819414,0.0,0.07266275529748582,0.196,66/194,8.72%,TGFBR3;NOTCH2;DAB2;TIMP3;FBN1;COL1A2;DPYSL3;FN1;COL3A1;FSTL1;COL5A2;COL1A1;DCN;IGFBP2;ELN;COL12A1;LAMA1;COL5A1;FBLN1;ABI3BP;CCN2;LOXL1;FMOD;COL6A3;SPARC;IL15;SLIT2;COL8A2;VIM;SGCD;MFAP5;TGM2;THBS2;COL6A2;THBS1;GAS1;ITGA5;GJA1;COL11A1;NID2;FOXC2;FBLN5;VCAM1;HTRA1;IGFBP4;TNFRSF11B;IGFBP3;PLOD2;VEGFC;CXCL12;BGN;MATN2;PRRX1;SDC4;SERPINH1;SFRP4;WNT5A;TNC;FBN2;CALU;RHOB;COPA;FUCA1;FBLN2;TGFBI;MMP14
prerank,Reactive Oxygen Species Pathway,-0.45067414610495193,-1.4365903328091676,0.04081632653061224,0.09312975780041649,0.28,24/48,29.14%,LSP1;SBNO2;ATOX1;EGLN2;PTPA;GPX4;PRDX2;FTL;GCLC;MGST1;GLRX2;OXSR1;TXN;HHEX;JUNB;LAMTOR5;FES;TXNRD2;NDUFB4;ERCC2;CDKN2D;PRDX1;SOD2;GSR
prerank,Apoptosis,-0.36579539860004695,-1.4115183457034375,0.012987012987012988,0.10308171535716447,0.339,55/158,17.55%,TGFBR3;TIMP3;DCN;GSN;NEDD9;APP;SPTAN1;AIFM3;CAV1;ANKH;IGFBP6;TIMP2;ANXA1;SMAD7;LEF1;CFLAR;PDCD4;TNFSF10;DAP;BGN;EMP1;IFITM3;CASP4;WEE1;IRF1;DPYD;TXNIP;CCND2;RHOB;BIRC3;IER3;GPX4;BTG3;MCL1;BCL2L11;GSTM1;CASP8;CD38;IL18;LUM;BNIP3L;ADD1;GCH1;RELA;CCND1;MMP2;DNAJC3;CDKN1B;CASP6;HMGB2;RNASEL;BID;BCAP31;GPX1;PSEN2
prerank,Apical Surface,-0.44690243254242945,-1.3852647228788555,0.06526806526806526,0.11036512832920017,0.39,11/43,6.25%,B4GALT1;SHROOM2;APP;ADIPOR2;GAS1;EPHB4;ATP6V0A4;CRYBG1;ADAM10;SULF2;EFNA5
prerank,Hedgehog Signaling,0.5164573905510516,1.338586993842381,0.14694656488549618,0.7460483461320107,0.942,6/36,2.17%,HEY2;CDK6;DPYSL2;SLIT1;MYH9;NF1
prerank,Estrogen Response Late,-0.33223141331591083,-1.3265578825435698,0.030927835051546393,0.16863243210548598,0.557,50/186,14.92%,SLC24A3;UNC13B;FKBP5;ADD3;LARGE1;MYOF;CAV1;CYP26B1;CPE;KCNK5;SLC26A2;IL6ST;KLF4;CDH1;PDCD4;LSR;SLC16A1;TSPAN13;IGFBP4;CD9;PAPSS2;CXCL12;HSPB8;HMGCS2;NBL1;SORD;FOXC1;SLC7A5;ABCA3;AMFR;PGR;AFF1;TIAM1;ST6GALNAC2;BTG3;ARL3;PRSS23;SLC22A5;FKBP4;ITPK1;SEMA3B;ID2;ALDH3A2;CCND1;RET;SCUBE2;RAPGEFL1;SNX10;SLC29A1;LLGL2
prerank,heme Metabolism,-0.3251548461144019,-1.3063906597304837,0.013422818791946308,0.18209311404738732,0.613,44/185,12.36%,TSPAN5;SLC7A11;KDM7A;LAMP2;KLF3;FOXO3;NR3C1;AGPAT4;BSG;SLC2A1;CAST;IGSF3;KAT2B;TFDP2;ABCG2;MXI1;SDCBP;RNF19A;FBXO34;BMP2K;NUDT4;SLC6A9;SLC22A4;LMO2;MFHAS1;CCND3;TFRC;SIDT2;USP15;DCAF11;CTSB;PRDX2;SLC25A38;ALDH1L1;GCLC;OPTN;BNIP3L;YPEL5;UCP2;ADD1;ATP6V0A1;PPOX;NNT;CLCN3
prerank,Adipogenesis,-0.32208601025439143,-1.2954683642704437,0.03272727272727273,0.18045726728361458,0.641,53/197,17.76%,SORBS1;ABCA1;ITIH5;ATP1B3;POR;APOE;ADIPOR2;GPD2;ARL4A;ANGPT1;CAVIN2;PDCD4;CMBL;LPCAT3;HSPB8;CAVIN1;DHRS7;ME1;CPT2;STOM;TALDO1;CMPK1;FZD4;GPX4;AIFM1;RREB1;ACOX1;SLC5A6;SULT1A1;COL15A1;OMD;MGLL;NABP1;ACADL;LIPE;UCP2;SUCLG1;ATL2;EPHX2;PIM3;CS;DNAJC15;PPM1B;PLIN2;MRPL15;APLP2;REEP5;JAGN1;SQOR;IDH3G;CD151;UQCR10;ACADS
prerank,UV Response Dn,0.40570152271428883,1.2917363873035677,0.12571428571428572,0.6527425025647154,0.973,20/144,4.18%,DLC1;INPP4B;PDGFRB;CAP2;PTEN;RGS4;PIK3CD;RBPMS;APBB2;KALRN;SYNE1;SDC2;LAMC1;RND3;AKT3;ATP2C1;NR1D2;LDLR;CDC42BPA;SCHIP1
prerank,Hypoxia,-0.31378084088563235,-1.2623496084266963,0.05357142857142857,0.21466623861833445,0.736,61/197,17.98%,EXT1;EGFR;LARGE1;ERRFI1;DCN;COL5A1;CCN2;SLC6A6;PAM;FOXO3;CP;NR3C1;XPNPEP1;F3;CAV1;AMPD3;ANXA2;TGM2;PDK1;SLC2A1;MAP3K1;NDST1;MXI1;IGFBP3;BGN;HEXA;SDC4;BHLHE40;CAVIN1;ZNF292;HDLBP;TES;CSRP2;HSPA5;HK2;DUSP1;NOCT;IER3;TGFBI;FOSL2;HOXB9;BNIP3L;KDM3A;HS3ST1;CCN1;CAVIN3;ENO1;TPD52;PLIN2;SELENBP1;SERPINE1;CDKN1B;CASP6;P4HA2;TPBG;CCN5;NFIL3;GYS1;ILVBL;GAA;MAFF
prerank,Estrogen Response Early,-0.3210087212445205,-1.2598281964994023,0.06734006734006734,0.20227078310910648,0.739,49/189,10.59%,SLC24A3;FKBP5;ADD3;MYOF;THSD4;TMEM164;B4GALT1;FHL2;ABLIM1;PODXL;CYP26B1;DHRS3;KCNK5;ADCY1;SLC26A2;TGM2;MPPED2;ELF1;SLC2A1;IL6ST;GJA1;IGF1R;KLF4;DEPTOR;SLC7A2;SLC16A1;IGFBP4;NAV2;PAPSS2;CXCL12;AR;HSPB8;BHLHE40;KAZN;NBL1;FOXC1;SLC7A5;ABCA3;AMFR;PGR;KLF10;AFF1;TIAM1;ARL3;SNX24;SVIL;PRSS23;SLC22A5;FKBP4
prerank,IL-2/STAT5 Signaling,-0.3072634933290165,-1.249735016601963,0.0625,0.20427831206274322,0.764,68/194,19.85%,ALCAM;ST3GAL4;ITIH5;NRP1;AHNAK;PRKCH;IKZF2;SWAP70;ENPP1;COL6A1;ANXA4;DHRS3;ITGA6;TGM2;BMPR2;ARL4A;IGF1R;SNX9;PLEC;PLAGL1;CSF1;SOCS2;RABGAP1L;TNFSF10;EMP1;IFITM3;BHLHE40;FGL2;SHE;TNFRSF1B;CCND2;MAP3K8;RHOB;P2RX4;CCND3;HK2;GBP4;GPX4;TIAM1;ECM1;NT5E;SLC39A8;PTCH1;UCK2;CKAP4;AHR;PLPP1;TWSG1;FLT3LG;SPP1;SH3BGRL2;POU2F1;HIPK2;PLIN2;SMPDL3A;PHTF2;ODC1;NFIL3;GABARAPL1;MAFF;RHOH;PNP;PTRH2;ETV4;COCH;CD81;ETFBKMT;GLIPR2
prerank,Complement,-0.3121018283748224,-1.2349676019505176,0.0830188679245283,0.2150320570979254,0.807,37/184,9.71%,CPQ;FN1;PLA2G4A;CTSH;DOCK4;LAMP2;SERPING1;ACTN2;CD55;CP;CFH;XPNPEP1;F3;ANXA5;DPP4;GPD2;LIPA;TIMP2;ADAM9;CTSC;DOCK9;ZFPM2;ATOX1;CASP4;SPOCK2;IRF1;IRF2;USP8;ME1;HSPA5;PRKCD;USP15;EHD1;MMP14;CTSB;PRCP;CDH13
prerank,Inflammatory Response,-0.30686648356419344,-1.2258813787187974,0.07011070110701106,0.21653662372225246,0.825,40/194,13.47%,ABCA1;LPAR1;PDPN;CD55;IL15;PCDH7;F3;IL1R1;ITGB8;SGMS2;KCNJ2;LY6E;ITGA5;CALCRL;CSF1;SLC7A2;IRAK2;TAPBP;TNFSF10;RNF144B;IRF1;TNFRSF1B;KIF1B;ICAM1;P2RX4;NAMPT;MMP14;CMKLR1;HIF1A;STAB1;IL18;P2RX7;EMP3;ITGB3;GCH1;AHR;RELA;KCNMB2;SPHK1;MET
prerank,TNF-alpha Signaling via NF-kB,-0.3101598364190921,-1.2257498200414847,0.07936507936507936,0.20473531052373367,0.825,46/192,13.92%,PDLIM5;ABCA1;SMAD3;NFAT5;B4GALT1;PLPP3;F3;TSC22D1;IL6ST;KLF4;CSF1;KLF2;CFLAR;SPSB1;SLC16A6;SDC4;BHLHE40;IRF1;TNC;ICAM1;MAP3K8;PLK2;RHOB;NAMPT;DUSP1;BIRC3;KLF10;IFIT2;IER3;EHD1;BTG3;MCL1;NR4A2;FOSL2;IL18;ZC3H12A;TGIF1;PTGS2;GCH1;GFPT2;RELA;ID2;CCN1;SPHK1;CCND1;TRIP10
prerank,Apical Junction,-0.30567060726865486,-1.2251629054280437,0.08996539792387544,0.19482565968541388,0.826,49/191,10.63%,FBN1;EGFR;ITGA9;B4GALT1;CDK8;VWF;SHROOM2;LIMA1;PECAM1;ACTN2;SLIT2;DLG1;PLCG1;CLDN5;ADAMTS5;FYB1;VAV2;MPZL2;MPZL1;WNK4;BAIAP2;ADAM9;SORBS3;CDH1;VCAM1;ITGA3;CD34;TNFRSF11B;PARD6G;ITGA10;ICAM1;MAPK14;CLDN11;EXOC4;ZYX;ACTG1;ARPC2;PIK3CB;ITGB4;ADRA1B;TGFBI;FLNC;MYH10;TAOK2;ADAM15;CTNNA1;NLGN2;LAYN;COL16A1
prerank,Fatty Acid Metabolism,-0.3160420047716443,-1.2230452802673328,0.09025270758122744,0.18847759027399746,0.832,44/146,20.99%,ALDH1A1;GLUL;SUCLG2;ADIPOR2;GPD2;FMO1;CPT1A;RAP1GDS1;MAOA;PTPRG;HMGCS2;KMT5A;ME1;CPT2;S100A10;PDHA1;ACOX1;ECI2;SLC22A5;MGLL;ACADL;SUCLG1;BCKDHB;PPARA;ALDH3A2;PTS;AUH;IDI1;SMS;SERINC1;HSD17B7;IDH3G;ODC1;GABARAPL1;ACSL4;ACADS;SUCLA2;CPOX;OSTC;LGALS1;YWHAH;EPHX1;UBE2L6;DECR1
prerank,Cholesterol Homeostasis,-0.350655690149778,-1.1988811310646932,0.1712846347607053,0.21583384457635954,0.88,24/72,22.25%,ALCAM;ERRFI1;ANXA5;ANTXR2;NIBAN1;CD9;CPEB2;ACTG1;ATXN2;SEMA3B;STARD4;GSTM2;IDI1;S100A11;CXCL16;CBS;HSD17B7;FABP5;NFIL3;PLAUR;EBP;PNRC1;GNAI1;LPL
prerank,Myogenesis,0.34617957480444417,1.1676513470310097,0.20949720670391062,0.9084770072011235,0.999,31/195,8.64%,CASQ2;LAMA2;MEF2C;DMD;ITGA7;IGFBP7;NOTCH1;MYLK;CACNA1H;MYH9;MYH11;AK1;MB;PVALB;PKIA;ITGB5;AGRN;SCHIP1;FGF2;ITGB1;FABP3;SOD3;SMTN;ADCY9;BIN1;GPX3;MYL3;CDKN1A;ACHE;STC2;AGL
prerank,Bile Acid Metabolism,-0.3167945064193592,-1.1676267802954874,0.17318435754189945,0.25780944997058225,0.927,22/105,15.06%,BMP6;ALDH1A1;ABCA1;RBP1;NR3C2;ABCA9;AR;CYP27A1;ATXN1;ABCA3;ABCA4;TFCP2L1;EFHC1;OPTN;LIPE;PXMP2;EPHX2;NUDT12;SLC22A18;IDI1;SLC29A1;PIPOX
prerank,mTORC1 Signaling,-0.29117952300010513,-1.1599661482059644,0.14963503649635038,0.2584922381850265,0.936,41/197,14.39%,SLC7A11;ADD3;IGFBP5;SLC6A6;ADIPOR2;NUPR1;PDK1;SLC2A1;CTSC;NIBAN1;CD9;PLOD2;DAPP1;SERPINH1;BHLHE40;FGL2;TES;SORD;SLC7A5;GGA2;ME1;HSPA5;NAMPT;IFRD1;HK2;TFRC;EIF2S2;CCNG1;EGLN3;ACACA;ABCF2;GCLC;USO1;NFYC;CALR;SKAP2;STARD4;PPIA;ENO1;IDI1;RPA1
prerank,KRAS Signaling Up,0.3332619762456624,1.1185541548721303,0.2742616033755274,0.9083574864792183,0.999,16/189,5.81%,ANO1;GUCY1A1;PRDM1;BTBD3;IL1RL2;ETV1;IL1B;ETS1;PTCD2;SNAP25;G0S2;MAP7;SPRY2;SPARCL1;TRIB2;CXCL10
prerank,Spermatogenesis,0.3563081953348182,1.1147179191461953,0.27982326951399117,0.7700321709943129,0.999,13/122,12.01%,ART3;SLC12A2;JAM3;HSPA4L;MAP7;MTOR;PRKAR2A;NAA11;GAD1;PGS1;BRAF;TSN;MLLT10
prerank,Xenobiotic Metabolism,-0.27791694539879347,-1.109300409281638,0.19572953736654805,0.34137785035988627,0.976,42/183,15.98%,IGF1;PDLIM5;PTGDS;FBLN1;AOX1;POR;SLC6A6;APOE;IL1R1;SLC6A12;RBP4;XDH;ESR1;CYFIP2;FMO1;IGFBP4;PAPSS2;PGRMC1;MAOA;CYP27A1;DHRS7;UPB1;CSAD;ACOX1;TNFRSF1A;GCLC;KARS1;ALAS1;GCH1;CCL25;PGD;ID2;ENTPD5;ATOH8;TMEM176B;ASL;PTS;NINJ1;ACOX3;TMBIM6;SERPINE1;CASP6
prerank,p53 Pathway,-0.26697329950424264,-1.0637495227182967,0.28762541806020064,0.4316167664670658,0.997,45/192,15.66%,SLC7A11;ZBTB16;PTPN14;TGFA;STEAP3;FOXO3;APP;KIF13B;NUPR1;TSC22D1;CYFIP2;KLF4;BAIAP2;RPS12;TXNIP;CCND2;PLK2;STOM;CCND3;S100A10;IER3;FUCA1;ITGB4;ERCC5;EPS8L2;RPL18;DGKA;CCNG1;CDH13;SLC3A2;HINT1;MKNK2;VWA5A;TGFB1;POLH;RHBDF2;MDM2;ELP1;PRKAB1;SPHK1;IP6K2;NINJ1;MAPKAPK3;WWP1;SDC1
prerank,Angiogenesis,0.4141549529306087,1.0522964643867163,0.4014466546112116,0.8433382137628112,0.999,4/34,1.34%,KCNJ8;VTN;TNFRSF21;PTK2
prerank,Mitotic Spindle,0.3117959502366062,1.0388510609237125,0.38579387186629527,0.7750918815549646,0.999,31/198,10.33%,RAPGEF5;ARHGAP10;PLEKHG2;FARP1;EPB41L2;NCK2;VCL;BCAR1;MYH9;ROCK1;NF1;SSH2;CDC42EP1;EPB41;SPTBN1;CDC42BPA;RASAL2;STK38L;WASL;ACTN4;ARFGEF1;ARHGEF12;WASF2;BIN1;HOOK3;CNTROB;CLIP2;PKD2;MARCKS;NUSAP1;UXT
prerank,UV Response Up,-0.26122690504024,-1.0007623803759216,0.4458204334365325,0.595433840942823,1.0,35/149,16.85%,IGFBP2;NTRK3;SLC6A12;BSG;IL6ST;FMO1;CLCN2;RAB27A;MAOA;IRF1;ICAM1;RHOB;CCND3;TFRC;PRKCD;MGAT1;GLS;MMP14;SLC25A4;BTG3;BCL2L11;SULT1A1;FKBP4;NXF1;CEBPG;ALAS1;GCH1;STARD3;CLTB;RET;PRPF3;TMBIM6;SELENOW;JUNB;BID
prerank,PI3K/AKT/mTOR  Signaling,-0.26681674299446295,-0.9728837857785211,0.5058823529411764,0.654421796138363,1.0,28/104,19.25%,PLCB1;EGFR;PLCG1;PDK1;SLC2A1;NOD1;DAPP1;STAT2;MAP2K6;PRKCB;TIAM1;AKT1;PPP2R1B;TNFRSF1A;ACACA;GNA14;ARHGDIA;MKNK2;PFN1;GRK2;CALR;PRKAA2;CDKN1B;ATF1;RIPK1;HSP90B1;ADCY2;E2F1
prerank,Oxidative Phosphorylation,-0.2429321503947196,-0.9714071721570566,0.5219123505976095,0.6346484520137214,1.0,71/195,30.23%,POR;CPT1A;MTX2;SLC25A20;GPX4;ATP6V1G1;MAOB;AIFM1;SLC25A4;PDHA1;ATP5PF;ATP6V0B;ALAS1;TCIRG1;SUCLG1;NNT;OAT;POLR2F;CS;NDUFB8;NDUFS4;COX7C;ATP5MF;BDH2;NDUFC1;ATP5MC3;ATP5MC1;MRPL15;TIMM13;AFG3L2;IDH3G;UQCR10;TOMM22;SUCLA2;CYB5R3;TIMM8B;NDUFA4;TIMM9;DECR1;NDUFB5;BCKDHA;ATP6V1F;HSPA9;ATP5MC2;NDUFB4;NDUFS7;MTRF1;NDUFB7;NDUFS8;MRPL35;NDUFS1;COX5B;SDHB;UQCR11;COX10;NDUFA3;MRPL34;ATP6AP1;LDHA;ALDH6A1;MTRR;COX6B1;TIMM50;PDHB;SLC25A11;ATP5F1E;ATP6V0C;TIMM10;ATP6V1D;IDH3B;UQCRH
prerank,Allograft Rejection,-0.2428887376447182,-0.9658994624666528,0.5483870967741935,0.6284359181323873,1.0,31/184,12.23%,EGFR;IL15;FYB1;ELF4;B2M;CSF1;HDAC9;IL16;TAPBP;SRGN;RPL9;ICAM1;CCND2;PRKCB;STAT1;RPS19;CD47;CCND3;AKT1;RPS9;HIF1A;STAB1;LY75;IL18;EIF5A;PRKCG;TGFB1;EIF4G3;CTSS;RPL39;NME1
prerank,Androgen Response,0.30941924886435607,0.9377581450395839,0.5413290113452188,0.9768827003715104,1.0,6/98,4.72%,INPP4B;GUCY1A1;CDK6;MERTK;STK39;MAP7
prerank,IL-6/JAK/STAT3 Signaling,0.3128703415800733,0.9197585436345981,0.5379537953795379,0.9251381958347029,1.0,5/82,3.28%,ITGA4;IL15RA;TNFRSF21;IL1B;IL2RA
prerank,Pperoxisome,-0.2506763156448348,-0.9088359072247705,0.6789772727272727,0.7707736043065385,1.0,30/97,27.64%,ALDH1A1;SEMA3C;DHRS3;ATXN1;SLC25A17;CTPS1;SLC25A4;ACOX1;ECI2;CRABP2;IDE;EPHX2;SLC25A19;SMARCC1;IDI1;CLN8;ACSL4;YWHAH;PEX11A;CLN6;TOP2A;CTBP1;ERCC1;HMGCL;CDK7;ERCC3;ESR2;BCL10;PRDX1;SOD2
