Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Myogenesis,0.7803934635019534,2.331620460070768,0.0,0.0,0.0,56/195,4.42%,MYH11;MYOM1;MYL1;TPM2;TAGLN;DMD;MYLK;RYR1;ATP2A1;LDB3;MYH2;TCAP;TNNI2;SMTN;MYH1;TNNC2;IGFBP7;CKM;MEF2C;COL4A2;MYOM2;PYGM;ACTA1;SGCG;TNNT3;MYL2;PDE4DIP;PTP4A3;CASQ1;HRC;CSRP3;SGCA;CD36;ITGA7;CKMT2;CACNA1H;SPEG;DTNA;LARGE1;MYH9;DES;MYL3;CDH13;FST;MB;ENO3;AGL;IFRD1;SSPN;SH3BGR;ITGB1;ADCY9;FHL1;PTGIS;PDLIM7;ANKRD2
prerank,Epithelial Mesenchymal Transition,0.5729762650287107,1.7051803667303123,0.0010649627263045794,0.059849029475197706,0.132,28/194,3.68%,ACTA2;TPM2;FLNA;SLIT3;CAP2;TAGLN;MYLK;TPM1;MYL9;CDH6;COL4A2;COL4A1;CALD1;ELN;SGCG;SNTB1;CCN1;FERMT2;RGS4;VIM;CRLF1;LOXL2;PRRX1;HTRA1;SERPINE2;ITGB1;BGN;GEM
prerank,KRAS Signaling Dn,0.5647434810353221,1.6712581356203717,0.0021436227224008574,0.056344356578001444,0.182,40/179,17.26%,NTF3;RYR1;MYOT;TG;RYR2;CKM;HTR1B;KCNMB1;SLC16A7;BTG2;ITGB1BP2;CDKAL1;ARHGDIG;COQ8A;GDNF;ENTPD7;FGGY;NRIP2;TGFB2;KMT2D;SYNPO;NR4A2;EDAR;BMPR1B;SLC29A3;CPEB3;NR6A1;CCDC106;PDK2;SGK1;VPS50;AKR1B10;MFSD6;NOS1;MSH5;SOX10;MAST3;PLAG1;FGFR3;SLC38A3
prerank,TGF-beta Signaling,-0.44686393380434,-1.5877390341751676,0.009009009009009009,0.09693877551020409,0.035317860746720484,22/54,18.84%,SPTBN1;TJP1;SMAD3;SMAD6;ENG;UBE2D3;CDH1;BMPR2;ID1;CTNNB1;FURIN;FKBP1A;SMURF2;TGFB1;TGFBR1;WWTR1;TRIM33;KLF10;ARID4B;SERPINE1;PMEPA1;TGIF1
prerank,Apical Junction,0.48282876584160445,1.4329670090054143,0.02089864158829676,0.408833572969087,0.836,35/191,9.97%,NEXN;MYL9;MAP3K20;CDH6;ACTN1;ACTG2;NRAP;ACTN4;ACTA1;VCL;SPEG;CNN2;MYH9;ITGA3;ADAMTS5;ACTG1;ITGB1;CD276;CDH4;SKAP2;FLNC;RSU1;ACTB;JAM3;IRS1;RRAS;CAP1;SGCE;CRAT;RHOF;MVD;INPPL1;PARVA;ITGA9;ACTN2
prerank,Protein Secretion,-0.3455299374998083,-1.423891657693361,0.0,0.19005102040816327,0.13420787083753785,38/96,19.60%,SGMS1;GNAS;ABCA1;EGFR;MON2;PAM;RAB5A;USO1;ADAM10;GBF1;GOLGA4;RPS6KA3;ERGIC3;TMED10;COPB2;PPT1;RAB2A;CD63;TSPAN8;VPS4B;COPE;AP2S1;SCRN1;ARFGAP3;RER1;AP3S1;ICA1;GALC;YKT6;LMAN1;COG2;M6PR;SH3GL2;RAB9A;KIF1B;NAPG;CLTA;SCAMP3
prerank,Androgen Response,0.49577331521251433,1.400165023765716,0.06157354618015964,0.41312005751258085,0.903,28/98,14.20%,GUCY1A1;ACTN1;PDLIM5;LIFR;MERTK;INPP4B;CDK6;ADRM1;ARID5B;KLK2;H1-0;CAMKK2;SLC38A2;NDRG1;PA2G4;IDI1;HERC3;CCND1;TNFAIP8;TPD52;SMS;GPD1L;BMPR1B;APPBP2;ZBTB10;UBE2J1;SGK1;SRP19
prerank,Interferon Alpha Response,-0.3539188360063782,-1.3950433346889621,0.019736842105263157,0.15816326530612246,0.16145307769929365,45/90,28.80%,ELF1;IL15;B2M;SAMD9L;LY6E;CASP8;TRIM25;RNF31;TRIM5;DDX60;STAT2;IRF9;PARP14;TRIM14;IFIT3;GBP4;SLC25A28;ADAR;BST2;IFITM1;UBA7;IFITM3;PNPT1;TMEM140;EPSTI1;TDRD7;SP110;IFIT2;PARP12;NUB1;CMTR1;TAP1;IFI44;IFI27;TXNIP;TRIM21;CNP;MVB12A;IL4R;IFITM2;OGFR;MOV10;PSME1;IRF2;USP18
prerank,Pancreas Beta Cells,-0.4265553217150025,-1.3906275203906044,0.0673758865248227,0.12117346938775511,0.16448032290615539,15/36,31.17%,AKT3;STXBP1;FOXO1;IAPP;SRPRB;DPP4;SRP9;LMO2;SPCS1;SEC11A;PCSK1;MAFB;SST;CHGA;SYT13
prerank,Mitotic Spindle,0.46169497661028347,1.3801057368085592,0.05190677966101695,0.4027677929547089,0.94,44/198,13.44%,FLNA;SORBS2;PALLD;ARHGEF7;PDLIM5;STK38L;ACTN4;MYO1E;VCL;ROCK1;ABR;RASAL2;MYH9;MYO9B;ITSN1;NET1;ARHGAP10;DST;KIF3B;ARHGEF2;KPTN;TUBGCP6;RABGAP1;TPX2;RAPGEF6;KIF5B;SUN2;RHOF;SYNPO;ANLN;CEP192;CENPE;TBCD;PCGF5;ARHGAP5;KIFAP3;RICTOR;BCR;KIF20B;CLASP1;CEP72;SASS6;CAPZB;NCK2
