Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Wnt-beta Catenin Signaling,-0.5787835457953238,-1.8517404657620733,0.0,0.0017224056265250469,0.001,13/42,8.06%,LEF1;WNT5B;NKD1;WNT6;AXIN2;PTCH1;NOTCH1;PPARD;RBPJ;NOTCH4;JAG2;HEY2;TCF7
prerank,TGF-beta Signaling,0.6257761577017489,1.6119505870874755,0.009320905459387484,0.1986847303232403,0.203,18/54,9.97%,THBS1;CDH1;SMAD6;SKIL;BMPR1A;ID1;TGFBR1;LTBP2;PMEPA1;KLF10;ARID4B;NOG;SKI;ID2;BCAR3;UBE2D3;RHOA;ACVR1
prerank,Epithelial Mesenchymal Transition,0.5348280842590002,1.5905690332514875,0.0,0.1284827922756954,0.246,41/194,6.24%,COL12A1;SLIT3;SLIT2;THBS1;TNFRSF11B;COL6A2;CDH11;SGCD;FSTL1;DPYSL3;COL8A2;NT5E;MGP;COL5A2;MFAP5;CCN1;PLOD2;BMP1;FN1;CALD1;CD44;COL3A1;ITGB1;INHBA;FGF2;NOTCH2;LOXL1;PRRX1;COL6A3;FOXC2;PMP22;HTRA1;ITGB5;PMEPA1;SFRP4;ITGA5;ADAM12;ITGAV;COL11A1;LRP1;PTHLH
prerank,Estrogen Response Late,0.5230233075978429,1.5453516341832556,0.004338394793926247,0.14835126530801943,0.372,36/186,11.72%,SLC26A2;KCNK5;CDH1;FKBP5;SLC24A3;PERP;CCN5;SLC16A1;ADD3;CD44;CD9;KLF4;FLNB;PAPSS2;LARGE1;UNC13B;TSPAN13;PDCD4;KRT19;ATP2B4;FRK;ARL3;AGR2;ID2;NBL1;RABEP1;IGSF1;FOXC1;TOB1;BTG3;HSPB8;ELOVL5;DNAJC1;TIAM1;HOMER2;FARP1
prerank,Coagulation,0.5402802103568146,1.539335498437356,0.009291521486643438,0.11744475170218205,0.392,18/128,6.20%,F3;THBS1;CFH;CAPN5;BMP1;FN1;ADAM9;ANXA1;GSN;CD9;THBD;CPQ;CAPN2;HTRA1;KLF7;DUSP14;LRP1;CLU
prerank,Pancreas Beta Cells,-0.5045500666215196,-1.5277308771398728,0.04529616724738676,0.05856179130185159,0.066,16/36,19.73%,AKT3;FOXO1;LMO2;DPP4;PCSK2;DCX;PAK3;NKX6-1;SRP14;SYT13;SST;CHGA;MAFB;PCSK1;ABCC8;SPCS1
prerank,UV Response Dn,0.49854135038500297,1.4566616880687056,0.02564102564102564,0.2087514233262845,0.665,43/143,9.35%,F3;CDON;MET;GRK5;NFIB;ADGRL2;COL5A2;CCN1;MGLL;ANXA2;SIPA1L1;PLPP3;ADD3;ANXA4;COL3A1;IGFBP5;VAV2;BMPR1A;NOTCH2;PRKCE;NEK7;IRS1;PMP22;ID1;NRP1;EFEMP1;TGFBR2;ATP2B4;BHLHE40;MMP16;LDLR;COL11A1;PDLIM5;DLG1;SCAF8;TOGARAM1;PTPN21;CDKN1B;RXRA;PIAS3;MAP1B;NFKB1;RND3
prerank,Androgen Response,0.5145403291148679,1.44611910450787,0.02874251497005988,0.1907373411103107,0.705,14/98,8.06%,SLC38A2;SLC26A2;STK39;FKBP5;PTK2B;NDRG1;ACSL3;PMEPA1;KRT19;ITGAV;B4GALT1;PDLIM5;GSR;PTPN21
prerank,Glycolysis,0.4757938410643995,1.4272525146446153,0.020697167755991286,0.1938910669884574,0.766,34/194,10.48%,EGFR;ME1;MET;EXT1;CAPN5;SOX9;NT5E;EGLN3;FUT8;PLOD2;GPC3;CD44;PYGB;GCLC;HS6ST2;GLCE;HDLBP;PHKA2;CASP6;P4HA1;P4HA2;PFKP;B4GALT1;MPI;NANP;TKTL1;PFKFB1;GPC4;GALK2;ANKZF1;AURKA;VEGFA;ELF3;B3GALT6
prerank,Apical Junction,0.47357126903800045,1.4028995731682115,0.03751339764201501,0.20939162967954827,0.821,28/191,6.92%,SLIT2;CNTN1;EGFR;CDH1;TNFRSF11B;CDH11;PKD1;SORBS3;ADRA1B;MPZL2;EXOC4;BMP1;ADAM9;NECTIN3;PARVA;EPB41L2;VAV2;CTNNA1;SHC1;ITGB1;IRS1;ITGA10;VCL;CLDN11;ADAMTS5;B4GALT1;DLG1;ARHGEF6
prerank,Estrogen Response Early,0.47177945012309036,1.3952513562899036,0.031453362255965296,0.19652618016664214,0.839,40/189,11.72%,SLC26A2;KCNK5;FKBP5;THSD4;SLC24A3;LRIG1;TMEM164;CCN5;MPPED2;SLC16A1;ADD3;HES1;CD44;KLF4;FLNB;PAPSS2;ELF1;GAB2;MLPH;ADCY9;SNX24;KLF10;KRT19;TSKU;BHLHE40;FRK;ARL3;B4GALT1;SLC7A2;NBL1;FOXC1;TOB1;RARA;HSPB8;ELF3;ELOVL5;KRT18;INHBB;TIAM1;FARP1
prerank,Inflammatory Response,0.47019187149072833,1.3940035098890338,0.02714440825190011,0.17837473566797576,0.841,29/194,11.25%,SLC4A4;F3;KCNJ2;PCDH7;MET;KCNMB2;CD55;ITGB8;ABI1;GPC3;SGMS2;INHBA;CMKLR1;KIF1B;ITGA5;LDLR;RIPK2;SLC7A2;IL10;IRF1;P2RX4;PVR;NFKB1;MMP14;SLC31A2;PROK2;ITGB3;MXD1;TIMP1
prerank,Angiogenesis,0.5640072594966685,1.3870651618835796,0.1154970760233918,0.1710695597247778,0.862,14/34,11.25%,FSTL1;SLCO2A1;COL5A2;COL3A1;VAV2;FGFR1;THBD;LRPAP1;NRP1;ITGAV;JAG1;PDGFA;VEGFA;TIMP1
prerank,Bile Acid Metabolism,0.48811598078358615,1.3785525226027584,0.06755126658624849,0.1682933252775002,0.889,9/104,4.89%,SLC23A1;SLC23A2;NR3C2;TFCP2L1;ABCD3;NEDD4;BMP6;PXMP2;RBP1
prerank,Interferon Alpha Response,-0.36563779801252244,-1.3082734624797576,0.04790419161676647,0.22046792019520597,0.311,32/90,17.94%,B2M;LY6E;CSF1;PARP14;TRIM14;CD47;GBP4;IFIT2;IRF2;IFITM1;BST2;TXNIP;IFITM3;IFI44;IFIT3;IL4R;EPSTI1;RTP4;USP18;TENT5A;NMI;GMPR;CD74;PSMB8;PSME2;TRIM21;LGALS3BP;NCOA7;CASP1;ADAR;CNP;IRF7
prerank,Hypoxia,0.4332416511858051,1.299592807388874,0.07766990291262135,0.28658149649017123,0.98,37/197,8.84%,F3;EGFR;EXT1;TES;PGF;CCN1;CCN5;NDRG1;TGFB3;ANXA2;GPC3;FOXO3;HS3ST1;PPP1R3C;LARGE1;HEXA;KLF7;HDLBP;CASP6;P4HA1;GCNT2;BHLHE40;DDIT3;P4HA2;NFIL3;PFKP;XPNPEP1;PNRC1;PKP1;TKTL1;CSRP2;GPC4;HAS1;CDKN1B;GPI;RORA;ANKZF1
prerank,G2-M Checkpoint,0.43548026525530176,1.2935806119662727,0.08223684210526316,0.27784324986472175,0.983,63/194,22.39%,SLC38A1;SLC12A2;FOXN3;CCNA2;EFNA5;SMC4;NOTCH2;ABL1;ARID4A;PAFAH1B1;XPO1;DMD;MNAT1;EWSR1;E2F3;EXO1;CDC25B;SYNCRIP;TNPO2;CDKN1B;WRN;AURKA;MCM2;LBR;RAD23B;TOP1;GSPT1;BRCA2;SMC1A;CDKN3;HIRA;CDC45;ATRX;CHEK1;TLE3;E2F2;CUL3;JPT1;PRIM2;STIL;UBE2S;CCND1;PML;CUL1;MAD2L1;BARD1;KMT5A;RBM14;EGF;CCNT1;SMARCC1;SRSF2;STAG1;CHAF1A;TRA2B;E2F1;NUP98;HMGN2;CBX1;CUL4A;CASP8AP2;PRMT5;PLK4
prerank,Interferon Gamma Response,-0.31720051018421025,-1.2769366141755196,0.023529411764705882,0.21271709487584325,0.378,57/184,16.79%,AUTS2;VAMP5;PDE4B;ST8SIA4;B2M;ARID5B;VCAM1;LY6E;IL15RA;PARP14;NOD1;CASP4;TRIM14;SAMHD1;GBP4;IFIT2;IRF2;HIF1A;BST2;TNFSF10;FAS;TXNIP;P2RY14;RNF213;CD38;IFNAR2;IFITM3;OAS2;IFI44;BTG1;FGL2;NLRC5;IFIT3;IL4R;EPSTI1;RTP4;USP18;ARL4A;NMI;MT2A;STAT1;CASP3;PIM1;CD74;PSMB8;PSME2;PSMB10;TRIM21;CD40;LGALS3BP;TNFAIP2;FCGR1A;LCP2;GCH1;IFIT1;CASP1;ADAR
prerank,Protein Secretion,0.4482061805282952,1.2468237888173352,0.16004813477737664,0.3551011239436402,0.999,38/96,23.99%,EGFR;TSPAN8;IGF2R;SNX2;AP3B1;KIF1B;GBF1;OCRL;ATP1A1;SNAP23;KRT18;SEC31A;ARCN1;SSPN;ARFIP1;SEC24D;GNAS;SEC22B;ARFGAP3;ADAM10;MON2;TSG101;ARFGEF1;GOLGA4;AP3S1;USO1;GALC;ATP6V1H;BET1;ZW10;RAB5A;TPD52;TOM1L1;YIPF6;BNIP3;TMX1;STX12;AP2B1
prerank,TNF-alpha Signaling via NF-kB,0.40956233010863236,1.218270133914912,0.14456521739130435,0.39466514070596986,0.999,49/192,15.40%,F3;CCN1;TANK;NFAT5;PLPP3;HES1;CD44;KLF4;NFE2L2;INHBA;CLCF1;NR4A3;NR4A2;PMEPA1;KLF10;CD80;BHLHE40;KLF9;LDLR;RIPK2;NFIL3;B4GALT1;PDLIM5;PNRC1;JAG1;ID2;IRF1;REL;CXCL2;DUSP5;EGR2;NFKB1;CCNL1;EHD1;BTG3;JUN;VEGFA;PER1;MXD1;NFKB2;NR4A1;ZC3H12A;IFIH1;RCAN1;TNIP1;CCND1;STAT5A;SDC4;SQSTM1
prerank,Myogenesis,0.39033375390339775,1.1564008594925643,0.2261640798226164,0.5300337224100246,1.0,27/195,7.12%,FHL1;KLF5;COL6A2;SGCD;SORBS3;CSRP3;PTGIS;GSN;PDLIM7;MRAS;COL3A1;SPTAN1;SORBS1;ITGB1;PPP1R3C;FGF2;LARGE1;COL6A3;MEF2A;ITGB5;ADCY9;DMD;BHLHE40;ADAM12;CLU;EPHB3;MYOG
prerank,Hedgehog Signaling,-0.3660318923157955,-1.135295275170138,0.27335640138408307,0.4554040476532223,0.718,10/36,9.21%,TLE1;RTN1;PTCH1;CDK6;MYH9;OPHN1;HEY2;ADGRG1;CRMP1;NKX6-1
prerank,heme Metabolism,-0.2715041959241652,-1.100760896646958,0.2,0.486005454284484,0.796,36/185,12.06%,SLC7A11;SLC2A1;MFHAS1;SLC30A10;BSG;EPB41;KDM7A;MXI1;PICALM;TNS1;TSPAN5;SLC6A9;TFDP2;LMO2;TFRC;ANK1;SLC22A4;TMCC2;OPTN;CA2;SELENBP1;CTSB;SNCA;ARL2BP;TAL1;ALDH1L1;BTRC;BACH1;BLVRB;SLC30A1;ENDOD1;SDCBP;HDGF;MOSPD1;BCAM;VEZF1
prerank,E2F Targets,0.3633607069129625,1.082916133236667,0.3131201764057332,0.7211519841362056,1.0,54/198,21.85%,CIT;SMC4;PAICS;XPO1;IPO7;CDC25B;SYNCRIP;CHEK2;MCM7;CDKN1B;AURKA;MCM2;CBX5;LBR;USP1;GSPT1;BRCA2;EED;SMC1A;CDKN3;TCF19;NOP56;NUP153;CHEK1;PRKDC;TK1;JPT1;PRIM2;UBE2S;RNASEH2A;RRM2;MAD2L1;RPA1;GINS3;BARD1;NBN;EIF2S1;CDKN1A;RBBP7;NAA38;RFC1;BRMS1L;SRSF2;ZW10;RAN;PNN;STAG1;RAD51C;SMC6;TRA2B;POLD3;WEE1;DSCC1;RAD50
prerank,Spermatogenesis,0.3854549304477347,1.0794156214472226,0.3588850174216028,0.6938396114609718,1.0,29/122,18.56%,STRBP;SLC12A2;MLLT10;ZC2HC1C;IDE;TKTL1;TNP2;ZC3H14;PIAS2;CLPB;RAD17;TULP2;HSPA1L;TNNI3;AURKA;MAST2;CNIH2;CDKN3;MTOR;NPHP1;TLE4;IP6K1;CHFR;PSMG1;PRKAR2A;TEKT2;CCT6B;CSNK2A2;TOPBP1
prerank,DNA Repair,0.36469628036051716,1.0672101912634469,0.3541899441340782,0.6938512304510492,1.0,56/147,28.82%,RNMT;REV3L;MPG;ADA;SRSF6;ERCC5;MRPL40;TAF1C;SEC61A1;ELOA;RAD52;DGCR8;NELFE;ERCC8;POLB;BCAP31;ERCC3;TK2;TAF12;VPS37B;TSG101;SNAPC5;HCLS1;PRIM1;RAD51;ERCC1;AK3;DGUOK;UMPS;POLA1;NFX1;POLD3;AAAS;GMPR2;RFC5;AK1;DCTN4;NUDT21;ADRM1;ERCC2;GTF2B;SMAD5;XPC;POLR1D;TAF13;UPF3B;NT5C;GTF2A2;ALYREF;SURF1;CLP1;GTF2H3;TAF9;SNAPC4;NCBP2;POLR3GL
prerank,Pperoxisome,0.38133418504942573,1.0629426808086686,0.38303030303030305,0.6715333636533646,1.0,13/97,11.77%,SLC23A2;ABCD3;EHHADH;SEMA3C;ESR2;IDE;ACOT8;CRABP2;GNPAT;ELOVL5;LONP2;PABPC1;ITGB1BP1
