Imm.M0_like.0.index	Imm.M0_like.0.Term	Imm.M0_like.0.NES	Imm.M0_like.0.FDR q-val	Imm.M0_like.1.index	Imm.M0_like.1.Term	Imm.M0_like.1.NES	Imm.M0_like.1.FDR q-val	Imm.Interferon.0.index	Imm.Interferon.0.Term	Imm.Interferon.0.NES	Imm.Interferon.0.FDR q-val	Imm.DAM.0.index	Imm.DAM.0.Term	Imm.DAM.0.NES	Imm.DAM.0.FDR q-val	Imm.MHCII.0.index	Imm.MHCII.0.Term	Imm.MHCII.0.NES	Imm.MHCII.0.FDR q-val	Imm.Proliferative.0.index	Imm.Proliferative.0.Term	Imm.Proliferative.0.NES	Imm.Proliferative.0.FDR q-val	Imm.PVM.0.index	Imm.PVM.0.Term	Imm.PVM.0.NES	Imm.PVM.0.FDR q-val	Imm.DAM.1.index	Imm.DAM.1.Term	Imm.DAM.1.NES	Imm.DAM.1.FDR q-val
0	chemical synaptic transmission (GO:0007268)	2.7794760018940665	0.0	0.0	cellular response to copper ion (GO:0071280)	2.06370049789255	0.0463725433509839	0.0	type I interferon signaling pathway (GO:0060337)	2.4275191027928504	0.0	0.0	triglyceride catabolic process (GO:0019433)	2.0779639214369925	0.0010337172838286	0.0	regulation of immune response (GO:0050776)	2.1357921226677927	0.0	0.0	microtubule cytoskeleton organization involved in mitosis (GO:1902850)	2.153681826056418	0.0	0.0	SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	2.5828476958789666	0.0	0.0	T cell activation (GO:0042110)	1.9702766115169217	0.006109832691592
1	anterograde trans-synaptic signaling (GO:0098916)	2.7343946720391545	0.0	1.0	synapse assembly (GO:0007416)	-1.9440581928297735	0.0499556656966169	1.0	cellular response to type I interferon (GO:0071357)	2.4275191027928504	0.0	1.0	regulation of T cell proliferation (GO:0042129)	2.069739919479192	0.0010337172838286	1.0	positive regulation of immune effector process (GO:0002699)	2.0559271902048275	0.0059671805072103	1.0	mitotic spindle organization (GO:0007052)	2.115059551677904	0.0	1.0	cotranslational protein targeting to membrane (GO:0006613)	2.5404810033594973	0.0	1.0	regulation of sequestering of triglyceride (GO:0010889)	1.9522613766759631	0.0056006799672927
2	cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	2.606247847928164	0.0	2.0	anterograde trans-synaptic signaling (GO:0098916)	-1.9643982503390416	0.0410040262012407	2.0	defense response to symbiont (GO:0140546)	2.3861054171699045	0.0	2.0	cholesterol transport (GO:0030301)	2.0170327160147195	0.0027565794235431	2.0	regulation of T cell mediated cytotoxicity (GO:0001914)	2.046183680085368	0.0056356704790319	2.0	chromosome condensation (GO:0030261)	2.1105796283302305	0.0	2.0	cytoplasmic translation (GO:0002181)	2.50594044256141	0.0	2.0	positive regulation of nervous system development (GO:0051962)	-2.364239462236204	0.0036148909541181
3	regulation of synapse assembly (GO:0051963)	2.522096484168694	0.0	3.0	receptor clustering (GO:0043113)	-1.9830493444273725	0.0344746353564031	3.0	defense response to virus (GO:0051607)	2.3715020648654863	0.0	3.0	cholesterol efflux (GO:0033344)	2.003333019953456	0.0025842932095717	3.0	interferon-gamma-mediated signaling pathway (GO:0060333)	2.0155724341341994	0.0096966683242168	3.0	mitotic sister chromatid segregation (GO:0000070)	2.106215133630763	0.0	3.0	protein targeting to ER (GO:0045047)	2.4460784188493725	0.0				
4	modulation of chemical synaptic transmission (GO:0050804)	2.518025527455116	0.0	4.0	cAMP-mediated signaling (GO:0019933)	-2.018712483879152	0.0198549436843881	4.0	negative regulation of viral process (GO:0048525)	2.3171847453319234	0.0	4.0	acylglycerol catabolic process (GO:0046464)	1.9711476860793795	0.0064090471597378	4.0	positive regulation of antigen receptor-mediated signaling pathway (GO:0050857)	1.9885465950648016	0.017901541521631	4.0	centromere complex assembly (GO:0034508)	2.062192537907096	0.0	4.0	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	2.4191710446160437	0.0				
5	glutamate receptor signaling pathway (GO:0007215)	2.4313191887940184	0.0	5.0	cGMP-mediated signaling (GO:0019934)	-2.022117667386517	0.0203900676312722	5.0	positive regulation of cytokine-mediated signaling pathway (GO:0001961)	2.2897636787760463	0.0	5.0	secretory granule organization (GO:0033363)	1.948808227896871	0.0108540314802012	5.0	regulation of B cell proliferation (GO:0030888)	1.974273173328317	0.0222111718879496	5.0	sister chromatid segregation (GO:0000819)	2.045755653238566	0.0	5.0	regulation of immune effector process (GO:0002697)	2.3488249303604727	0.0				
6	synapse assembly (GO:0007416)	2.424572983793684	0.0	6.0	modulation of excitatory postsynaptic potential (GO:0098815)	-2.024428265505732	0.0217203287280718	6.0	regulation of viral genome replication (GO:0045069)	2.2831949070355138	0.0	6.0	intestinal lipid absorption (GO:0098856)	1.9468904167322727	0.0097464772475276	6.0	leukocyte cell-cell adhesion (GO:0007159)	1.9670755084887923	0.0218796618597712	6.0	mitotic chromosome condensation (GO:0007076)	2.043992708289288	0.0	6.0	regulation of humoral immune response (GO:0002920)	2.3418778423623263	0.0				
7	neurotransmitter secretion (GO:0007269)	2.3828682942544	0.0	7.0	chemical synaptic transmission (GO:0007268)	-2.026985615309493	0.0231247355253487	7.0	negative regulation of viral genome replication (GO:0045071)	2.248652389684821	0.0	7.0	iron ion transport (GO:0006826)	1.9343675166552057	0.0115001047825941	7.0	innate immune response (GO:0045087)	1.9663574856203805	0.0192690203878667	7.0	mitotic nuclear division (GO:0140014)	2.019402501071582	0.0001128943277313	7.0	regulation of complement activation (GO:0030449)	2.2792657578647173	0.0				
8	synaptic transmission, glutamatergic (GO:0035249)	2.359323175704995	0.0	8.0	regulation of synapse assembly (GO:0051963)	-2.033945323890155	0.0226023233350573	8.0	negative regulation of cytokine-mediated signaling pathway (GO:0001960)	2.20422961685448	0.0	8.0	fatty acid transport (GO:0015908)	1.930002990050516	0.0113708901221155	8.0	immune response-regulating cell surface receptor signaling pathway (GO:0002768)	1.9596381619894845	0.0212166418034145	8.0	chromatin remodeling at centromere (GO:0031055)	2.004223172231652	0.0001003505135389	8.0	receptor-mediated endocytosis (GO:0006898)	2.249565827336718	0.0				
9	positive regulation of nervous system development (GO:0051962)	2.3207601985071307	0.0	9.0	positive regulation of calcium ion transmembrane transporter activity (GO:1901021)	-2.053361909117467	0.0178712945709385	9.0	negative regulation of innate immune response (GO:0045824)	2.196080861079723	0.0	9.0	transferrin transport (GO:0033572)	1.9257581275707112	0.0116810053072642	9.0	T cell activation (GO:0042110)	1.9548819426394324	0.0206862257583291	9.0	cytoskeleton-dependent cytokinesis (GO:0061640)	2.003316040678615	9.031546218508758e-05	9.0	peptide biosynthetic process (GO:0043043)	2.174250925308508	0.0013938948682464				
