Imm.M0_like.0.index	Imm.M0_like.0.Term	Imm.M0_like.0.NES	Imm.M0_like.0.FDR q-val	Imm.M0_like.1.index	Imm.M0_like.1.Term	Imm.M0_like.1.NES	Imm.M0_like.1.FDR q-val	Imm.M0_like.2.index	Imm.M0_like.2.Term	Imm.M0_like.2.NES	Imm.M0_like.2.FDR q-val	Imm.DAM.0.index	Imm.DAM.0.Term	Imm.DAM.0.NES	Imm.DAM.0.FDR q-val	Imm.Proliferative.0.index	Imm.Proliferative.0.Term	Imm.Proliferative.0.NES	Imm.Proliferative.0.FDR q-val	Imm.PVM.0.index	Imm.PVM.0.Term	Imm.PVM.0.NES	Imm.PVM.0.FDR q-val	Imm.DAM.1.index	Imm.DAM.1.Term	Imm.DAM.1.NES	Imm.DAM.1.FDR q-val
0	potassium channel complex (GO:0034705)	2.592167762581619	0.0	0.0	neuron projection (GO:0043005)	-1.7642981914729226	0.0438039812101856	0.0	autolysosome (GO:0044754)	-1.8781817297648256	0.0308856409288708	0.0	lamellar body (GO:0042599)	1.884861732675404	0.0258071978226532	0.0	condensed chromosome (GO:0000793)	2.025164398994919	0.0	0.0	cytosolic small ribosomal subunit (GO:0022627)	2.371152186628146	0.0	0.0	vacuolar proton-transporting V-type ATPase complex (GO:0016471)	1.8367641967290709	0.028096993836962
1	voltage-gated potassium channel complex (GO:0008076)	2.5326368138688635	0.0	1.0	catenin complex (GO:0016342)	-1.7682364216501778	0.0456993457817802	1.0	large ribosomal subunit (GO:0015934)	-1.9230683585840485	0.022386907518913	1.0	vacuolar proton-transporting V-type ATPase complex (GO:0016471)	1.8657220055244477	0.0184337127304665	1.0	spindle microtubule (GO:0005876)	1.9653164391687303	0.0	1.0	small ribosomal subunit (GO:0015935)	2.3629160575397266	0.0	1.0	cytosolic small ribosomal subunit (GO:0022627)	1.8064479052446771	0.0285814247651855
2	ionotropic glutamate receptor complex (GO:0008328)	2.516519404781001	0.0	2.0	calcium channel complex (GO:0034704)	-1.780572466070742	0.0440589676204164	2.0	small ribosomal subunit (GO:0015935)	-2.012337895858908	0.0080841610484963	2.0	vacuolar lumen (GO:0005775)	1.8483964392453556	0.0168975700029277	2.0	mitotic spindle (GO:0072686)	1.9625192395020767	0.0	2.0	cytosolic large ribosomal subunit (GO:0022625)	2.3285773029125254	0.0	2.0	T cell receptor complex (GO:0042101)	1.7993319691115144	0.0213149608418333
3	cation channel complex (GO:0034703)	2.451864154466351	0.0	3.0	glutamatergic synapse (GO:0098978)	-1.8208706244712365	0.0333068373172367	3.0	cytosolic large ribosomal subunit (GO:0022625)	-2.0455919394426663	0.007047730144843	3.0	brush border membrane (GO:0031526)	1.8475302303387509	0.0129035989113266	3.0	spindle (GO:0005819)	1.9604400248451976	0.0	3.0	large ribosomal subunit (GO:0015934)	2.236807658597605	0.0	3.0	small ribosomal subunit (GO:0015935)	1.7975171869177358	0.0162284360954867
4	neuron projection (GO:0043005)	2.379759786654489	0.0	4.0	voltage-gated potassium channel complex (GO:0008076)	-1.831023426002402	0.0329174035270659	4.0	cytosolic small ribosomal subunit (GO:0022627)	-2.2664371816016184	0.0	4.0	azurophil granule lumen (GO:0035578)	1.836780176782125	0.0125349246567172	4.0	chromosome (GO:0005694)	1.8723446430309332	0.0042703284868066	4.0	ribosome (GO:0005840)	2.2363208093002327	0.0	4.0	azurophil granule lumen (GO:0035578)	1.7537435743815823	0.0271281319805151
5	catenin complex (GO:0016342)	2.347651069858236	0.0	5.0	potassium channel complex (GO:0034705)	-1.8356142657939265	0.0345707890923523	5.0	phagocytic vesicle membrane (GO:0030670)	-2.3029230734756245	0.0	5.0	azurophil granule (GO:0042582)	1.835739841243428	0.0104457705472644	5.0	condensed chromosome, centromeric region (GO:0000779)	1.8507034407190603	0.0073909531502423	5.0	polysomal ribosome (GO:0042788)	2.018714619965784	0.0044120399668428	5.0	proton-transporting V-type ATPase complex (GO:0033176)	1.752712113888594	0.0235756385068762
6	postsynaptic density (GO:0014069)	2.342403861260601	0.0	6.0	postsynaptic specialization membrane (GO:0099634)	-1.8758769076346171	0.0250826105642882					6.0	lytic vacuole membrane (GO:0098852)	1.8354234543451395	0.0089535176119409	6.0	microtubule (GO:0005874)	1.8492922349962184	0.0064524194168782	6.0	cytoplasmic vesicle membrane (GO:0030659)	1.880596382588777	0.0402125928406534	6.0	secretory granule lumen (GO:0034774)	1.7423747402184258	0.0258824524507975
7	asymmetric synapse (GO:0032279)	2.329170495406696	0.0	7.0	postsynaptic density membrane (GO:0098839)	-1.8832709512341468	0.02512287157643					7.0	late endosome (GO:0005770)	1.8015991034317311	0.0150926022980695	7.0	acrosomal vesicle (GO:0001669)	1.8344686506378536	0.0096492999461497	7.0	excitatory synapse (GO:0060076)	-1.9414436886626236	0.0195294865149564	7.0	high-density lipoprotein particle (GO:0034364)	1.739780013078298	0.0237371154829507
8	postsynaptic specialization membrane (GO:0099634)	2.297123335709165	0.0	8.0	asymmetric synapse (GO:0032279)	-1.946575594610608	0.0129640459096321					8.0	lysosomal membrane (GO:0005765)	1.7836584211423294	0.0187409412759743	8.0	cyclin-dependent protein kinase holoenzyme complex (GO:0000307)	1.8303030517014849	0.0093983725243822	8.0	integral component of postsynaptic specialization membrane (GO:0099060)	-1.9958537909200773	0.0158677077934021	8.0	ficolin-1-rich granule membrane (GO:0101003)	1.7361376071769372	0.0227144279678122
9	AMPA glutamate receptor complex (GO:0032281)	2.2905000687806263	0.0	9.0	postsynaptic density (GO:0014069)	-1.9815926829222836	0.0083420817157632					9.0	lysosomal lumen (GO:0043202)	1.774758216322441	0.0203692525671655	9.0	serine/threonine protein kinase complex (GO:1902554)	1.7880039512608834	0.0229119547657512					9.0	ficolin-1-rich granule (GO:0101002)	1.715795238264635	0.0291627418790537
10	postsynaptic density membrane (GO:0098839)	2.264000515641672	0.0	10.0	AMPA glutamate receptor complex (GO:0032281)	-2.0862274613418386	0.001690962509952					10.0	phagocytic vesicle membrane (GO:0030670)	1.7692108829160298	0.020779821623435	10.0	microtubule cytoskeleton (GO:0015630)	1.7679327662366284	0.0315048710040632					10.0	cytoplasmic side of plasma membrane (GO:0009898)	1.70587131716966	0.0299466391992699
11	dendrite (GO:0030425)	2.2359797336693963	0.0	11.0	ion channel complex (GO:0034702)	-2.297944761590407	0.0					11.0	secretory granule membrane (GO:0030667)	1.75453288371821	0.0241174408223604	11.0	nuclear chromosome (GO:0000228)	1.7400919071502337	0.0470146742057081					11.0	azurophil granule (GO:0042582)	1.699154685352877	0.0305191484780795
