Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Rheumatoid arthritis Homo sapiens hsa05323,0.6003228046662777,1.72216050849549,0.001076426264800861,0.12403801931626553,0.107,21/66,11.94%,FLT1;CSF1;TCIRG1;ATP6V1C1;ATP6V0D2;ITGAL;ATP6V1A;ATP6V0A1;ATP6V1B2;LTB;ACP5;CD28;ATP6V0D1;ATP6V0B;ATP6V1G1;VEGFA;ANGPT1;ATP6AP1;JUN;CCL5;ATP6V1F
prerank,T cell receptor signaling pathway Homo sapiens hsa04660,0.5710714930696924,1.7170830424705232,0.0,0.06802084930246818,0.116,44/102,19.95%,LCK;CD3E;CD247;ITK;GRAP2;CD8B;PTPRC;PDCD1;PRKCQ;CD4;MALT1;LAT;CD8A;TEC;PIK3CB;MAPK13;CD3G;PAK6;RAF1;CD28;NCK2;PIK3R5;PDPK1;GRB2;NCK1;RASGRP1;PPP3R2;KRAS;NRAS;FYN;JUN;RHOA;CDC42;PAK2;NFKB1;CBL;MAPK9;CBLB;PIK3R2;MAP3K8;PPP3CC;IL2;IL5;NFATC3
prerank,Primary immunodeficiency Homo sapiens hsa05340,0.6405614842392495,1.7123542178641527,0.0,0.04834815269047984,0.124,8/36,6.67%,LCK;CD3E;CD8B;PTPRC;CD4;CD8A;BLNK;RFX5
prerank,Mineral absorption Homo sapiens hsa04978,0.6076481867701438,1.7011844984892588,0.0,0.044013490725126475,0.147,27/50,20.07%,FTL;ATP7A;ATP1B3;ATP2B1;SLC5A1;SLC6A19;VDR;ATOX1;SLC46A1;ATP1A4;ATP1A3;ATP1A1;HEPH;CYBRD1;HMOX1;TRPM7;ATP1A2;SLC11A1;FTH1;MT1B;MT1A;MT1H;MT1X;MT1G;MT1M;MT1F;MT1E
prerank,Ribosome Homo sapiens hsa03010,0.5549764999649487,1.6754503315351819,0.0,0.052616127548673924,0.218,69/126,26.87%,FAU;MRPS12;RPS12;UBA52;RPS27A;RPS6;RPS14;RPL10A;RPL18;RPS24;RPS7;RPS20;RPL36AL;RPL36A;RPL41;MRPL4;RPS26;MRPL23;RPL17;RPL23;RPS25;MRPL21;RPL35A;RPS28;RPLP2;RPL28;RPL27A;RPL11;RPS2;RPL32;MRPL17;MRPS15;RPL21;MRPL24;MRPL12;RPL9;RPL36;RPL37;MRPS16;RPS18;RPL38;MRPS7;RPS19;RPS27;RPS23;RPL14;MRPL11;RPS16;RPL30;RPL12;RPL13A;RPL31;RPS9;RPL4;RPS3;RPS13;RPSA;MRPL19;MRPL15;RPL15;MRPS14;MRPL1;RPL7A;MRPL18;RPL23A;RPL8;RPLP1;RPL29;RPL37A
prerank,Terpenoid backbone biosynthesis Homo sapiens hsa00900,-0.49145471139726604,-1.6297637479265878,0.021621621621621623,0.32093023255813957,0.254,10/22,18.12%,IDI1;HMGCS1;PCYOX1;FNTA;MVK;FDPS;RCE1;PDSS1;HMGCR;GGPS1
prerank,Aldosterone-regulated sodium reabsorption Homo sapiens hsa04960,0.6004062430233341,1.6286675743190386,0.0056947608200455585,0.09069446573662425,0.377,14/37,16.59%,IGF1;SGK1;ATP1B3;PIK3CB;PIK3R5;PDPK1;ATP1A4;ATP1A3;ATP1A1;PRKCB;KRAS;ATP1A2;FXYD4;PIK3R2
prerank,Lysosome Homo sapiens hsa04142,0.5401071000490008,1.6271922576101576,0.0,0.0795958257594008,0.383,50/118,20.69%,LITAF;CTSB;CTSD;GALNS;CTSZ;TCIRG1;GNPTAB;IGF2R;ATP6V0D2;CTSA;GNS;LIPA;ATP6V0A1;CTSW;ACP5;SLC17A5;PSAP;ATP6V0D1;ATP6V0B;HEXA;GLB1;GAA;NAPSA;GALC;ATP6AP1;LAMP2;ARSA;AP4E1;GLA;CLN3;CD63;GUSB;FUCA1;CTSE;NPC1;NEU1;DNASE2;GGA2;AP1G1;AP3D1;SMPD1;IDUA;ATP6V0C;ASAH1;NPC2;SLC11A1;AGA;ATP6V0A4;LAPTM4B;LAPTM5
prerank,Hematopoietic cell lineage Homo sapiens hsa04640,0.5598269628467122,1.6040507702743059,0.001072961373390558,0.0986552391537636,0.502,18/70,5.43%,CD9;CD3E;ANPEP;CSF1;CD5;CD8B;CD4;CSF2RA;ITGA5;CD8A;CD44;CD2;CD24;CD7;CD3G;IL3RA;ITGA4;CD22
prerank,NF-kappa B signaling pathway Homo sapiens hsa04064,0.5401142744461791,1.6037880407818286,0.0030959752321981426,0.08802698145025295,0.502,17/84,9.85%,PLAU;BCL2;LCK;BCL2L1;PRKCQ;MALT1;LAT;TRAF2;CCL4;LTB;TRAF3;BLNK;TAB1;PRKCB;CCL13;TICAM1;TRAF1
