Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Cytosolic DNA-sensing pathway Homo sapiens hsa04623,0.6831310456992925,1.901210277094801,0.0,0.017468638384866876,0.018,11/43,9.35%,ZBP1;CXCL10;IRF7;AIM2;ADAR;CCL5;IKBKE;NFKB1;POLR3B;POLR3GL;POLR2K
prerank,Measles Homo sapiens hsa05162,0.610237888713327,1.865469340160175,0.0,0.016012918519461305,0.033,32/108,14.80%,OAS3;STAT1;STAT2;EIF2AK2;IRF7;OAS2;IFIH1;HSPA1B;TNFSF10;SLAMF1;PIK3CD;ADAR;STAT3;DOK1;CCND2;TACR1;IKBKE;CCND1;NFKB1;CSNK2B;CSNK2A2;SH2D1A;IRF9;HSPA8;IRAK4;FCGR2B;PIK3CB;EIF2S1;FYN;IFNAR2;JAK2;MYD88
prerank,Influenza A Homo sapiens hsa05164,0.600002737309212,1.8478776408343682,0.0,0.01391021204720881,0.043,33/132,14.82%,RSAD2;OAS3;STAT1;STAT2;CXCL10;EIF2AK2;IRF7;OAS2;IFIH1;HSPA1B;TNFSF10;PML;TRIM25;PIK3CD;ADAR;CCL5;IKBKE;NFKB1;NXT1;MAP2K3;RAE1;MAPK14;IRF9;HSPA8;IRAK4;MAP2K2;PIK3CB;EIF2S1;ACTB;IFNAR2;JAK2;MYD88;DDX39B
prerank,Herpes simplex infection Homo sapiens hsa05168,0.5707349762370627,1.7699058752017784,0.0,0.04634041571541074,0.167,37/139,16.30%,OAS3;STAT1;STAT2;SP100;EIF2AK2;IRF7;OAS2;IFIH1;IFIT1;PML;IL15;TAF4B;SKP1;PER2;DAXX;CCL5;IKBKE;HNRNPK;NFKB1;CSNK2B;CSNK2A2;TBPL1;SRPK1;IRF9;TRAF3;HCFC2;TRAF5;TAF3;PTPN11;EIF2S1;IFNAR2;JAK2;MYD88;TLR2;GTF2IRD1;SRSF7;SRSF4
prerank,RIG-I-like receptor signaling pathway Homo sapiens hsa04622,0.6315945504629824,1.7697666789830144,0.0011507479861910242,0.037266428554382676,0.168,13/49,9.95%,CXCL10;IRF7;IFIH1;ISG15;DHX58;TRIM25;AZI2;IKBKE;NFKB1;CYLD;SIKE1;MAPK14;TRAF3
prerank,Drug metabolism - cytochrome P450 Homo sapiens hsa00982,-0.42427571518891133,-1.6763526999393032,0.0,0.3748585383286676,0.261,25/42,44.34%,ALDH3B1;GSTO1;GSTA3;MAOA;CYP2A6;MAOB;GSTM1;GSTA4;GSTO2;HPGDS;GSTM5;UGT1A5;FMO1;FMO5;GSTT1;GSTP1;GSTT2;AOX1;ALDH1A3;GSTK1;UGT1A8;UGT1A6;UGT1A1;UGT1A7;UGT1A4
prerank,Hepatitis C Homo sapiens hsa05160,0.508069007780699,1.5445534951833673,0.003134796238244514,0.545247962920243,0.917,21/109,14.50%,OAS3;STAT1;STAT2;EIF2AK2;IRF7;OAS2;IFIT1;PIK3CD;STAT3;IKBKE;NFKB1;MAPK14;IRF9;TRAF3;SOS1;PSME3;PIK3CB;BAD;EIF2S1;IFNAR2;CLDN10
prerank,Intestinal immune network for IgA production Homo sapiens hsa04672,0.5814456727724081,1.5414056051066365,0.025766871165644172,0.4816353154684725,0.927,6/32,7.75%,IL15;ICOSLG;IL15RA;CXCR4;CD40;TNFRSF17
prerank,Inflammatory bowel disease (IBD) Homo sapiens hsa05321,0.5327890796755242,1.4833774275521412,0.02164009111617312,0.7381712817494093,0.989,8/49,9.26%,STAT1;NOD2;STAT3;IL21R;NFKB1;SMAD2;IL12RB2;RORA
prerank,Toll-like receptor signaling pathway Homo sapiens hsa04620,0.495457313843364,1.4748555071354876,0.016967126193001062,0.7066172057779793,0.994,23/86,17.23%,STAT1;CXCL10;IRF7;CXCL9;PIK3CD;CD40;MAP3K8;CCL5;IKBKE;TLR8;NFKB1;MAP2K3;MAPK14;TRAF3;IRAK4;MAP2K2;PIK3CB;RAC1;IFNAR2;MYD88;TLR2;IRAK1;TLR3
