Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Cardiac muscle contraction Homo sapiens hsa04260,0.5194592787919049,1.9138761292015674,0.0,0.02456621609908068,0.032,29/72,22.22%,CACNB4;CACNG5;UQCRC1;CACNG2;ATP2A2;CACNB2;ATP1B1;CACNA1S;TNNI3;TNNC1;CACNA2D3;ATP1B3;CYC1;COX7B;SLC8A1;CACNG7;COX6C;CACNA2D2;CACNA1D;UQCR11;COX7C;CACNA2D1;CACNG3;ATP1A4;ATP1A3;ATP1A1;COX4I1;COX6B1;SLC9A1
prerank,Phagosome Homo sapiens hsa04145,-0.40064087586588565,-1.840032319372383,0.0,0.19862281580161345,0.116,31/119,13.27%,MRC1;FCGR2B;CYBB;ATP6V0D1;PIK3C3;ATP6V0D2;MSR1;SFTPA2;SFTPA1;TLR2;ATP6V1B2;ATP6V0A1;STX12;TUBB6;CD36;RAB7B;RAB7A;ATP6V0B;M6PR;TUBA4A;CD14;THBS1;TFRC;CTSL;LAMP2;OLR1;CYBA;ATP6V1A;LAMP1;DYNC1LI2;SEC61A1
prerank,Measles Homo sapiens hsa05162,-0.3831173953883024,-1.7251446126746837,0.0,0.25961722380368374,0.263,30/108,13.47%,FCGR2B;CBLB;IFNAR1;OAS2;CDK6;STAT5B;IFIH1;TLR2;IRF9;IRF7;TBK1;STAT2;IFNAR2;NFKB1;TLR7;MSN;FAS;CCND1;FYN;PRKCQ;IL1B;PIK3CA;STAT1;CD28;EIF2S1;CCND2;PIK3R5;OAS3;SLAMF1;IRAK4
prerank,Dorso-ventral axis formation Homo sapiens hsa04320,-0.5069711855220672,-1.7192681073110732,0.005,0.181940584553184,0.274,12/25,20.88%,ETV6;CPEB4;KRAS;NOTCH1;GRB2;PIWIL2;EGFR;NOTCH4;CPEB2;FMN2;CPEB3;NOTCH2
prerank,Tuberculosis Homo sapiens hsa05152,-0.36820539100157,-1.7100232034942364,0.0,0.14623018328701465,0.29,48/139,19.77%,MRC1;FCGR2B;BCL2;ATP6V0D1;CD74;ITGAX;PIK3C3;RAF1;ATP6V0D2;TLR2;CIITA;ATP6V0A1;BAX;RAB7A;ATP6V0B;NFKB1;CEBPG;CD14;PPP3R1;NOD2;HSPD1;CEBPB;SYK;IL1B;LAMP2;CAMK2D;STAT1;RFX5;EP300;CALM3;PPP3CA;LAMP1;CALM2;IRAK4;SPHK2;EEA1;LBP;TNF;FCER1G;TLR4;MAPK8;RFXANK;CLEC4E;MAPK12;TLR1;CAMP;MYD88;ATP6V0A4
prerank,Hepatitis B Homo sapiens hsa05161,-0.3626431493814773,-1.6900470747819303,0.0,0.1376284077995432,0.329,41/129,17.93%,MAP3K1;BCL2;CREB5;IFNAR1;RAF1;CDK6;STAT5B;IFIH1;TLR2;STAT4;IRF7;TBK1;BAX;PCNA;STAT2;LAMTOR5;NFKB1;FAS;SMAD3;EGR2;CCND1;PIK3CA;KRAS;STAT1;BIRC5;EGR3;EP300;VDAC3;CCNA2;GRB2;PIK3R5;RB1;CREB3L1;FOS;PTK2B;TNF;TLR4;MAP2K4;MAPK8;SMAD4;NRAS
prerank,Ribosome Homo sapiens hsa03010,-0.3630616659077125,-1.6589632356937671,0.0,0.15222536014191898,0.413,35/126,12.50%,RPS26;RPL39;RPL5;RPS23;RPS24;RPS16;FAU;RPL28;RPS29;RPS14;RPS20;RPS12;RPL35A;RPL18A;RPS13;RPL27;RPL21;RPS7;RPS5;RPL30;RPL6;RPL37A;RPL10;RPL15;UBA52;RPS10;RPL14;MRPL1;RPL9;RPL32;RPL36;RPL23A;MRPL35;MRPL17;RPL31
prerank,GABAergic synapse Homo sapiens hsa04727,0.4278479616164459,1.6327190855733378,0.0042796005706134095,0.399759334703222,0.63,27/85,16.80%,GABRQ;PLCL1;ADCY8;GABBR1;GABRG1;CACNA1S;GNB3;GABRD;SLC38A2;GABRG2;GNB2;GABRA2;GNG11;GNG4;PRKCA;CACNA1D;GAD2;GNGT2;CACNA1B;GABBR2;SLC6A1;GABRB1;HAP1;GABRR2;GNAI3;CACNA1A;PRKCG
prerank,Osteoclast differentiation Homo sapiens hsa04380,-0.35209283274671116,-1.6211067674721302,0.0,0.1747165826286409,0.506,43/118,20.74%,FCGR2B;CYBB;IFNAR1;MITF;TEC;IRF9;LILRA5;PPARG;STAT2;IFNAR2;TYROBP;JUNB;NFKB1;PPP3R1;SYK;FYN;GAB2;BLNK;IL1B;TAB1;PIK3CA;STAT1;LCP2;LCK;PPP3CA;GRB2;CYBA;FHL2;PIK3R5;FOS;LILRB3;LILRB1;TNF;RELB;MAP2K7;MAPK8;SQSTM1;MAPK12;ITGB3;NFATC2;OSCAR;SOCS1;PIK3CD
prerank,Lysosome Homo sapiens hsa04142,-0.3518777397242831,-1.5987348797794716,0.0,0.1804417903394579,0.562,41/118,18.27%,ATP6V0D1;GALNS;ATP6V0D2;FUCA1;HGSNAT;NPC2;DNASE2;PSAP;ATP6V0A1;AP3B1;ATP6V0B;NAGPA;AP3D1;M6PR;AP1S3;SUMF1;IDUA;LITAF;GGA2;CTSL;CLN5;AP3S1;CTSB;AP4M1;LAMP2;CTSA;IDS;GNPTAB;IGF2R;CLTA;SLC11A1;LAMP1;GLA;SLC17A5;GAA;GALC;CLN3;CLTB;GM2A;MCOLN1;LAPTM4B
prerank,Nicotine addiction Homo sapiens hsa05033,0.474004094683534,1.5936791192213302,0.013888888888888888,0.39256317039137,0.75,15/39,18.56%,GABRQ;GABRG1;GABRD;GRIA2;GABRG2;GRIA1;GABRA2;GRIA4;GRIN1;GRIN2B;CACNA1B;GABRB1;GABRR2;CACNA1A;CHRNA7
prerank,NF-kappa B signaling pathway Homo sapiens hsa04064,-0.3670841182058515,-1.5830285418178263,0.010830324909747292,0.1793339859206169,0.611,25/84,17.74%,BCL2;PLAU;BCL2L1;TRIM25;NFKB1;CD14;RIPK1;SYK;LYN;BLNK;PRKCQ;IL1B;TAB1;PIDD1;LCK;LTB;BIRC2;IRAK4;LBP;TNF;RELB;TRAF1;TLR4;ZAP70;ERC1
prerank,Progesterone-mediated oocyte maturation Homo sapiens hsa04914,-0.37587690034078725,-1.5817439446719177,0.007380073800738007,0.16233896283627935,0.612,35/84,23.49%,IGF1;RAF1;BRAF;PRKACA;ADCY9;RPS6KA6;CPEB4;PIK3CA;ADCY5;MAD2L2;ADCY6;KRAS;CDC27;CDK1;ADCY1;MAD2L1;CCNA2;BUB1;RPS6KA2;PIK3R5;ADCY3;PRKACB;CDC25A;MAPK8;CPEB2;MAPK12;PLK1;PIK3CD;CPEB3;CDC25C;ANAPC7;ANAPC10;CCNB1;MAPK11;RPS6KA3
