Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Proximal tubule bicarbonate reclamation Homo sapiens hsa04964,-0.5842856095414554,-1.7308713270932392,0.004761904761904762,0.18975112884595194,0.127,7/22,8.21%,GLUD1;ATP1B3;CA2;ATP1B1;ATP1A1;ATP1A2;ATP1A3
prerank,Renin-angiotensin system Homo sapiens hsa04614,0.8115022375390685,1.7252428620624265,0.0027210884353741495,0.3990781145805304,0.29,2/20,0.88%,ACE2;NLN
prerank,"Glycine, serine and threonine metabolism Homo sapiens hsa00260",0.7081343677552869,1.6293294862879777,0.009142857142857144,0.811586742632521,0.723,8/40,10.40%,LOC102724560;CBS;PGAM4;PGAM1;ALDH7A1;BPGM;PSAT1;SRR
prerank,RNA polymerase Homo sapiens hsa03020,0.7357149225288427,1.6275871683764658,0.017094017094017096,0.5493719558087751,0.728,7/27,6.09%,POLR2D;POLR1C;POLR1D;POLR3G;POLR3H;POLR2A;POLR1A
prerank,Intestinal immune network for IgA production Homo sapiens hsa04672,0.6976776223761681,1.56545131911543,0.0234192037470726,0.8106274202417024,0.925,4/32,9.15%,CXCL12;ITGA4;CCL25;ICOSLG
prerank,Ubiquinone and other terpenoid-quinone biosynthesis Homo sapiens hsa00130,0.8114735829345444,1.5648597887151063,0.025718608169440244,0.6542578705382734,0.927,3/10,4.00%,COQ6;GGCX;VKORC1L1
prerank,Melanogenesis Homo sapiens hsa04916,0.6273649083723991,1.5598458573156682,0.005128205128205128,0.5714363707976025,0.932,28/95,14.51%,WNT4;WNT2B;NRAS;DVL1;ADCY8;ADCY3;ADCY5;PRKCB;EP300;KITLG;PRKCA;PRKACA;MAPK1;ADCY9;CAMK2D;KRAS;GNAQ;CREB3L2;PLCB4;RAF1;TCF7L2;GNAI3;MAP2K2;CAMK2G;CREB1;CALM1;FZD9;FZD3
prerank,Fat digestion and absorption Homo sapiens hsa04975,0.6780340821996954,1.5531259359116396,0.03245192307692308,0.5246123017219336,0.942,3/34,6.94%,MOGAT3;CD36;CEL
prerank,DNA replication Homo sapiens hsa03030,0.6809925358625102,1.5469687970459796,0.02358490566037736,0.4904535723060004,0.949,9/35,8.49%,RFC2;POLE4;POLE2;RNASEH2A;SSBP1;POLA1;POLA2;POLD3;PRIM2
prerank,Biosynthesis of amino acids Homo sapiens hsa01230,0.6216558413978559,1.5339630716958446,0.02006335797254488,0.49479717090887354,0.959,17/69,11.82%,LOC102724560;CBS;PYCR2;PGAM4;PGAM1;ALDOA;CS;ALDH7A1;RPIA;PSAT1;MAT2B;MTR;ENO1;TKT;TALDO1;IDH2;PFKP
prerank,Retinol metabolism Homo sapiens hsa00830,0.6462592492911785,1.4702710298753403,0.039663461538461536,0.7866443604712379,0.992,3/36,10.20%,ALDH1A2;ALDH1A1;DHRS3
