Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,cytokine receptor activity (GO:0004896),0.6285166299123894,1.9305519481717277,0.0,0.0680401838923889,0.063,24/83,10.90%,CD74;CCR2;CD44;IFNLR1;FLT3;IL27RA;IFNGR1;IL18RAP;XCR1;CCR1;IL10RA;ACKR2;CCR9;IL6R;IL2RG;IL17RA;CCRL2;CSF2RB;IFNAR1;IL6ST;IL1R2;IL1RAPL2;IL31RA;IL17RB
prerank,C-C chemokine binding (GO:0019957),0.7580751626612124,1.8644822771276326,0.0,0.12946534990635108,0.213,6/22,6.59%,CCR2;XCR1;CCR1;ACKR2;CCR9;CCRL2
prerank,C-C chemokine receptor activity (GO:0016493),0.7618008914108156,1.8442874851189894,0.001557632398753894,0.12505533798739996,0.29,6/21,6.59%,CCR2;XCR1;CCR1;ACKR2;CCR9;CCRL2
prerank,chemokine binding (GO:0019956),0.6976997667830998,1.8237410811619112,0.0,0.13206410693001872,0.379,7/30,6.59%,CCR2;ITGA4;XCR1;CCR1;ACKR2;CCR9;CCRL2
prerank,microtubule minus-end binding (GO:0051011),-0.7280887176711659,-1.7806221978737522,0.005012531328320802,0.8599656357388317,0.507,9/13,20.30%,CAMSAP1;NUMA1;TUBGCP5;CAMSAP2;MACF1;TUBGCP6;HAUS4;CEP290;TUBGCP2
prerank,chemokine receptor activity (GO:0004950),0.7175546296280123,1.7765132008035214,0.0,0.2177285884556445,0.64,7/24,6.59%,CCR2;XCR1;CCR1;ACKR2;CCR9;GPR35;CCRL2
prerank,MAP kinase kinase kinase activity (GO:0004709),0.8318713719168713,1.7623835325107298,0.0018018018018018018,0.2258556104205687,0.71,7/11,14.57%,MAP3K15;MAP3K5;MAP3K1;MAP3K4;MAP3K7;MAP3K20;MAP3K13
prerank,thioesterase binding (GO:0031996),0.8313401696040956,1.757608360242553,0.0035149384885764497,0.20871056408260563,0.736,6/11,8.19%,TRAF1;CDC42;TRAF4;ADRA2A;TRAF3;RAC1
prerank,transmitter-gated ion channel activity (GO:0022824),-0.5657312504071489,-1.7567036961540947,0.0,0.5813144329896908,0.615,14/29,18.60%,GRIA4;GRIA2;GABRG3;GABRG2;GRID2;GRIK4;GLRA3;GABRB1;GRIK1;GLRA2;GABRA4;GABRB3;GABRA2;GABRA5
prerank,MHC protein binding (GO:0042287),0.721199658175474,1.7492966552490636,0.006211180124223602,0.20683743402009194,0.782,4/20,6.29%,CD74;LILRB1;PILRA;TAP1
prerank,non-membrane spanning protein tyrosine kinase activity (GO:0004715),0.6631086670759233,1.7452549863838966,0.002881844380403458,0.19404052443384984,0.795,10/35,7.19%,FGR;HCK;LYN;FYN;SYK;SLA;ZAP70;STYK1;PTK2B;DYRK1A
prerank,G protein-coupled chemoattractant receptor activity (GO:0001637),0.7635254450395359,1.7447569434721453,0.00333889816360601,0.175770475055338,0.795,6/15,6.59%,CCR2;XCR1;CCR1;ACKR2;CCR9;CCRL2
prerank,endodeoxyribonuclease activity (GO:0004520),0.7023434839555844,1.717322149329269,0.0124804992199688,0.22602742906676163,0.876,11/20,19.99%,DNA2;RBBP8;MRE11;FEN1;MBD4;RPS3;EXOG;ERCC4;ENDOV;SETMAR;APEX1
prerank,MHC class II protein complex binding (GO:0023026),0.8071767774832485,1.7161273042032146,0.003430531732418525,0.2108930699812702,0.879,1/11,0.02%,CD74
prerank,"oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor (GO:0050664)",0.7765255010503646,1.7145068964906447,0.013333333333333334,0.1989593838819107,0.881,7/14,13.43%,KMO;CYBB;NOX1;CYB5R4;NCF2;AIFM1;NCF1
prerank,voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization (GO:1902282),0.7882344020804338,1.7102835304701798,0.01680672268907563,0.19352302303519742,0.895,2/11,3.31%,KCNE3;KCNQ1
prerank,N-methyltransferase activity (GO:0008170),-0.6100188148971156,-1.7066394465934918,0.013812154696132596,0.6392038946162657,0.763,7/20,9.11%,METTL15;TRMT1;ZCCHC4;SETD3;HNMT;TRMT1L;DIMT1
prerank,cadherin binding involved in cell-cell adhesion (GO:0098641),0.7094041754383382,1.6908929444155574,0.011345218800648298,0.22610761110165162,0.946,7/18,13.46%,PDLIM5;STXBP6;ANXA2;PDLIM1;ANXA1;S100A11;TMOD3
prerank,inhibitory extracellular ligand-gated ion channel activity (GO:0005237),-0.6676794469596758,-1.6642055976497068,0.005076142131979695,0.7304123711340206,0.891,7/13,18.60%,GABRG3;GABRG2;GLRA3;GLRA2;GABRA4;GABRA2;GABRA5
prerank,FAD binding (GO:0071949),0.6676370217719063,1.654118154495799,0.013513513513513514,0.31722554486633747,0.98,8/24,11.17%,KMO;AGPS;CRY1;CRY2;NQO2;MTRR;CYB5R1;AIFM1
