Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,postsynaptic specialization membrane (GO:0099634),-0.6411229276970939,-2.0814195475308486,0.0,0.027649571732176973,0.02,9/21,9.67%,SYNJ2BP;DLG2;GRIN2A;CACNG3;NETO1;GRM1;GRIN2B;GRM5;CACNG8
prerank,postsynaptic density membrane (GO:0098839),-0.6505648419938782,-2.076754421447997,0.0,0.015026941158791836,0.022,9/20,9.67%,SYNJ2BP;DLG2;GRIN2A;CACNG3;NETO1;GRM1;GRIN2B;GRM5;CACNG8
prerank,ionotropic glutamate receptor complex (GO:0008328),-0.5464247533925892,-1.9873331596033077,0.0,0.029252445455781435,0.061,18/32,17.21%,GRIA4;GRIK2;GRIK3;GRIN2A;GRIA3;CACNG3;GRIK4;GRID2;GRIN2B;OLFM2;SHISA6;CACNG8;GRIN1;CNIH3;VWC2;SHISA7;GRIA2;GRIN3A
prerank,vacuolar proton-transporting V-type ATPase complex (GO:0016471),0.7861862340617147,1.8630727721417897,0.0,0.0174300729279093,0.017,10/18,11.94%,TCIRG1;ATP6V1C1;ATP6V0D2;ATP6V1A;ATP6V0A1;ATP6V1B2;ATP6V0D1;ATP6V1G1;TMEM199;ATP6V1F
prerank,cytosolic small ribosomal subunit (GO:0022627),0.6865572798009951,1.822011581337779,0.0,0.018882579005235076,0.033,23/36,21.58%,RPS12;UBA52;RPS27A;RPS6;RPS14;RPS24;RPS7;RPS20;RPS26;RPS25;RPS28;EIF2A;RPS2;DHX29;RPS18;RPS19;RPS27;RPS23;RPS16;RPS9;RPS3;RPS13;RPSA
prerank,dendrite membrane (GO:0032590),-0.5251680496481018,-1.8119002667292006,0.0,0.10037996694072947,0.256,14/28,18.06%,SGCE;KCNB1;GABRG3;LAMP5;GABRA2;SHISA6;GABRA1;KCNC2;MPP2;KCNC1;SHISA7;KCNC3;GABRE;GABRG2
prerank,small ribosomal subunit (GO:0015935),0.6659525405643444,1.7903464125102115,0.0,0.02485399287868548,0.065,26/41,22.80%,RPS12;UBA52;RPS27A;RPS6;RPS14;RPS24;RPS7;RPS20;RPS26;RPS25;RPS28;EIF2A;RPS2;RACK1;DHX29;MRPS16;RPS18;RPS19;RPS27;RPS23;RPS16;RPS9;RPS3;RPS13;RPSA;MRPS14
prerank,T cell receptor complex (GO:0042101),0.8643411773674379,1.7877998010263803,0.0,0.01960883204389796,0.068,7/10,6.30%,CD3E;CD247;CD8B;CD4;CD8A;CD3G;TRAT1
prerank,azurophil granule lumen (GO:0035578),0.6036520333608242,1.7716515165856506,0.0,0.02149708994442147,0.087,33/75,19.75%,FTL;GALNS;SDCBP;FABP5;PSMD1;CTSA;GNS;CCT2;PRDX6;RETN;RNASE3;PRKCD;DYNC1H1;CAP1;GLB1;VAT1;DPP7;VCP;NHLRC3;ARSA;GLA;C3;HRNR;GUSB;FUCA1;CCT8;GCA;PLAC8;GGH;TUBB;NPC2;AGA;CYB5R3
prerank,secretory granule lumen (GO:0034774),0.5632626829582729,1.761244656382773,0.0,0.020657864210855467,0.1,121/280,21.53%,IGF1;S100A8;S100A9;FTL;CAMP;FN1;LCN2;CTSD;GALNS;MMP8;CTSZ;SDCBP;ATG7;FABP5;DOCK2;PSMD1;LTF;TMSB4X;PKM;FGR;CTSA;COTL1;GNS;ALDOA;ARPC5;CCT2;PDGFA;CTSW;PRDX6;HRG;POMC;RETN;A2M;RNASE3;PRKCD;EEF2;DYNC1H1;CAP1;S100A11;DERA;GLB1;GYG1;EEF1A1;CRACR2A;ACTN1;TOR4A;LRG1;VEGFA;VAT1;HP;DPP7;PDXK;CSTB;PSMD6;PFKL;MVP;GTPBP2;VCP;B2M;PSMC3;JUP;NHLRC3;ARSA;GLA;C3;SERPINE1;ERP44;HRNR;HUWE1;GUSB;FUCA1;F5;GSN;ECM1;SRP14;HSPA8;ALDOC;GAS6;PSMD14;NEU1;ROCK1;PROS1;PSMD2;CCT8;PPIA;CAB39;GCA;NFKB1;APRT;CLU;TIMP2;CAT;APAF1;QPCT;PLAC8;APOH;FAM3C;GGH;PPIE;ARHGAP9;HK3;TUBB;SERPINF2;GPI;CFP;PSMA5;OLA1;NPC2;F8;AGA;CYB5R3;ACTN2;OSTF1;HMGB1;CDC37L1;CAND1;EPX;TIMP1;DNASE1L1;HSP90AB1;COMMD9
