Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,glutamate receptor activity (GO:0008066),-0.816729123957956,-2.3547365733327204,0.0,0.0,0.0,14/19,12.16%,GRM5;GRM1;GRIA4;GRM8;GRIA1;GRIK1;GRIA2;GRID2;GRIK2;GRM3;GRIK5;GRID1;GRIK3;GRIN2D
prerank,ligand-gated channel activity (GO:0022834),-0.7144630025964332,-2.315767938336519,0.0,0.0,0.0,16/29,12.16%,GRIN2A;GRIA4;GRIN2B;GRIA1;GRIK1;GRIA2;GRIN3A;GRID2;GRIK2;GRIN1;GABRB1;GRIK5;GRIA3;GRID1;GRIK3;GRIN2D
prerank,ligand-gated ion channel activity (GO:0015276),-0.7144554119886674,-2.2986727558683935,0.0,0.0,0.0,16/30,12.16%,GRIN2A;GRIA4;GRIN2B;GRIA1;GRIK1;GRIA2;GRIN3A;GRID2;GRIK2;GRIN1;GABRB1;GRIK5;GRIA3;GRID1;GRIK3;GRIN2D
prerank,transmitter-gated ion channel activity (GO:0022824),-0.676275650033732,-2.174703307011525,0.0,0.0013717568296630536,0.004,16/29,13.79%,GABRB3;GRIA4;GRIK1;GRIA2;GLRA3;GRID2;GRIK2;GABRA2;GABRB1;GRIK5;GABRA3;GABRG3;GRID1;GRIK3;GRIN2D;GABRA4
prerank,sodium channel activity (GO:0005272),-0.6156048471112141,-2.1089304224102596,0.0,0.004389621854921771,0.019,17/37,21.22%,HCN1;GRIK1;SCN2A;GRIK2;SCN1B;GRIK5;SCN9A;CACNA1G;HCN2;GRIK3;PKD2;PKD2L1;SCN8A;CACNA1I;KCNK1;SCN4B;SCN1A
prerank,postsynaptic neurotransmitter receptor activity (GO:0098960),-0.6710525260483419,-2.0620721647680305,0.0,0.005304126408030474,0.028,3/21,1.76%,GRM5;GRM1;GRIA1
prerank,voltage-gated cation channel activity (GO:0022843),-0.4806848247567284,-2.0440579068920415,0.0,0.005487027318652214,0.034,35/97,17.77%,KCNMA1;KCND2;CACNA2D3;CACNB2;GRIN2A;HCN1;CACNA1E;GRIN2B;KCNH7;KCNC2;CACNA1C;KCNB2;OPRM1;GRIN3A;CACNB4;KCNH1;KCNC1;GRIN1;CACNG4;KCNC3;CACNA2D2;KCNQ2;HCN2;KCNH8;PKD2;GRIN2D;NCS1;HVCN1;CACNA2D1;CACNG3;CACNG2;CACNB1;KCNG2;CACNA1I;KCNK1
prerank,ionotropic glutamate receptor activity (GO:0004970),-0.7137231755375457,-1.985824891372353,0.0,0.010151000539506596,0.07,13/17,12.16%,GRIN2A;GRIA4;GRIN2B;GRIA1;GRIK1;GRIA2;GRIN3A;GRIK2;GRIN1;GRIK5;GRIA3;GRIK3;GRIN2D
prerank,sialyltransferase activity (GO:0008373),-0.6778920036410098,-1.9509484691527743,0.0,0.014754006790153732,0.112,13/20,13.93%,ST3GAL6;ST6GALNAC3;ST8SIA6;ST3GAL5;ST3GAL2;ST6GALNAC5;ST6GALNAC4;ST8SIA1;ST8SIA5;ST6GAL2;ST8SIA3;ST6GAL1;ST6GALNAC6
prerank,ligand-gated cation channel activity (GO:0099094),-0.4731021279261893,-1.9457518521729704,0.0,0.014376011574868803,0.12,21/75,13.82%,GRIN2A;GRIA4;GRIN2B;GRIA1;GRIK1;GRIA2;GRIN3A;GRIK2;KCNJ2;GRIN1;TRPM4;KCNK6;KCNJ3;GRIK5;GRIA3;TRPM2;KCNJ9;MCOLN1;GRIK3;GRIN2D;KCNN2
prerank,lipase activity (GO:0016298),0.7158665047616345,1.9439086046763097,0.0,0.01745824871942533,0.014,5/43,1.78%,DDHD1;CEL;LIPA;LIPG;MGLL
prerank,transforming growth factor beta receptor binding (GO:0005160),-0.673000056629423,-1.9311805119114702,0.0,0.01616178955675743,0.144,8/18,12.28%,SMAD3;TGFBR2;TGFBR1;ENG;SMAD7;TGFB2;FERMT2;SMAD2
prerank,voltage-gated potassium channel activity (GO:0005249),-0.48055697798050506,-1.901841688808034,0.0,0.020576352444945805,0.184,18/80,11.96%,KCNMA1;KCND2;HCN1;KCNH7;KCNC2;KCNB2;KCNH1;KCNK2;KCNC1;KCNJ2;KCNK6;KCNJ3;KCNC3;KCNJ9;KCNQ2;HCN2;KCNH8;PKD2
prerank,chemoattractant activity (GO:0042056),0.7498581606348199,1.8968521155896128,0.0,0.02570242172582063,0.043,4/26,3.00%,GPNMB;LGALS3;VEGFA;HGF
prerank,ion channel activity (GO:0005216),-0.4683640623873418,-1.893088788079209,0.0,0.0210195354206831,0.202,28/80,12.16%,TRPM3;GRIN2A;GRIA4;GRIN2B;GRIA1;GRIK1;GRIA2;TRPC1;GRIN3A;GRID2;UNC80;GRIK2;TMEM63B;GRIN1;TRPM4;GABRB1;GRIK5;GRIA3;NALCN;TRPM2;GRID1;MCOLN1;LRRC8A;TMEM120A;TMC4;GRIK3;PKD2;GRIN2D
prerank,monocarboxylic acid binding (GO:0033293),0.7983310773903716,1.866952756450517,0.0,0.03329999292779277,0.086,5/18,6.24%,PSAP;PYGL;RXRA;RARA;NR1H4
prerank,cholesterol binding (GO:0015485),0.6743752764941846,1.8566753263728881,0.0,0.03127936228897039,0.106,12/47,8.31%,OSBPL8;SOAT1;ABCA1;GRAMD1B;NPC1;ABCG1;OSBPL1A;VDAC2;NR1H3;STARD5;SCARB2;GRAMD1C
prerank,"proton-transporting ATPase activity, rotational mechanism (GO:0046961)",0.8000011721739629,1.842035120064978,0.0,0.02667232443245537,0.133,10/16,13.40%,ATP6V0D2;ATP6V1A;ATP6V1C1;TCIRG1;ATP6V0D1;ATP6V1B2;ATP6V0A1;ATP6V0E1;ATP6V0C;ATP6V0B
prerank,"ATPase activity, coupled to transmembrane movement of ions, rotational mechanism (GO:0044769)",0.8000011721739629,1.842035120064978,0.0,0.02667232443245537,0.133,10/16,13.40%,ATP6V0D2;ATP6V1A;ATP6V1C1;TCIRG1;ATP6V0D1;ATP6V1B2;ATP6V0A1;ATP6V0E1;ATP6V0C;ATP6V0B
prerank,pyrophosphate hydrolysis-driven proton transmembrane transporter activity (GO:0009678),0.7523075158932855,1.8395203889896425,0.0,0.02410901013634927,0.139,11/22,13.40%,ATP6V0D2;ATP6V1A;ATP6V1E1;ATP6V1C1;TCIRG1;ATP6V0D1;ATP6V1B2;ATP6V0A1;ATP6V0E1;ATP6V0C;ATP6V0B
prerank,voltage-gated sodium channel activity (GO:0005248),-0.5976447950209176,-1.8187635034432919,0.0,0.04663973220854382,0.419,13/22,25.52%,HCN1;SCN2A;SCN1B;SCN9A;CACNA1G;HCN2;PKD2;SCN8A;CACNA1I;SCN4B;SCN1A;HCN3;SCN2B
prerank,neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential (GO:0099529),-0.6173413014133453,-1.8018902059472481,0.0034602076124567475,0.05238282080206647,0.482,10/19,13.79%,GRIK1;GRID2;GRIK2;GABRA2;GRIK5;GABRA3;GABRG3;GRID1;GRIK3;GABRA4
prerank,sterol transfer activity (GO:0120015),0.7764104421767168,1.7887194209649855,0.0014388489208633094,0.05734549752977904,0.331,6/17,8.31%,ABCA1;GRAMD1B;ABCG1;PLTP;STARD5;GRAMD1C
prerank,NAD-retinol dehydrogenase activity (GO:0004745),0.8131196888126832,1.7796228527015312,0.0,0.05970289994173848,0.376,3/14,5.06%,DHRS3;AKR1A1;RDH12
prerank,cholesterol transfer activity (GO:0120020),0.782572748149915,1.7751717392054034,0.0014749262536873156,0.058679113751401814,0.405,6/16,8.31%,ABCA1;GRAMD1B;ABCG1;PLTP;STARD5;GRAMD1C
prerank,GTPase inhibitor activity (GO:0005095),0.8058071376054112,1.7549672372929463,0.001447178002894356,0.07776856247744011,0.522,4/13,2.00%,IQGAP2;IQGAP1;IPO5;GPS1
prerank,transmembrane receptor protein tyrosine phosphatase activity (GO:0005001),-0.6485611777635424,-1.7518335507065976,0.003246753246753247,0.07378437912022918,0.639,6/16,4.36%,PTPRD;PTPRM;PTPRT;PTPRG;PTPRO;PTPRN2
prerank,transmembrane receptor protein phosphatase activity (GO:0019198),-0.6485611777635424,-1.7518335507065976,0.003246753246753247,0.07378437912022918,0.639,6/16,4.36%,PTPRD;PTPRM;PTPRT;PTPRG;PTPRO;PTPRN2
prerank,triglyceride lipase activity (GO:0004806),0.741422033830641,1.7448589849404765,0.0027739251040221915,0.0817951282595298,0.57,2/20,1.07%,CEL;LIPG
prerank,water transmembrane transporter activity (GO:0005372),0.8005660778672178,1.7403329554166032,0.007692307692307693,0.08162104315833894,0.597,1/11,1.90%,AQP1
prerank,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1904315),-0.5365272909346306,-1.7391020518373854,0.004608294930875576,0.07846449065672667,0.674,10/28,13.79%,GRIK1;GRID2;GRIK2;GABRA2;GRIK5;GABRA3;GABRG3;GRID1;GRIK3;GABRA4
prerank,serine-type endopeptidase activity (GO:0004252),0.5893022636687641,1.7130366343717611,0.0,0.11673471861996701,0.751,15/80,9.79%,F7;CD5L;PCSK4;KLK3;TMPRSS4;HGF;F11;RHBDF2;HTRA2;F10;PROC;CTSH;HP;HPR;PLAU
prerank,amino acid transmembrane transporter activity (GO:0015171),0.6324414662811039,1.6953970578351387,0.0,0.13720890289859466,0.832,11/47,7.56%,SLC7A2;SLC6A6;SLC36A2;SLC36A4;SLC43A2;SLC38A6;SLC1A5;SLC7A4;SLC7A7;SLC38A1;SLC38A7
prerank,cation transmembrane transporter activity (GO:0008324),0.6240634052760363,1.693521638230824,0.002325581395348837,0.13245233837480677,0.838,12/48,8.78%,SLC7A2;SLC6A6;ATP1B4;SLC36A2;SLC36A4;SLC38A6;SLC1A5;SLC8B1;SLC38A1;MFSD12;SLC38A7;MMGT1
prerank,sterol binding (GO:0032934),0.5986603470018783,1.6875834264101182,0.0022988505747126436,0.1346453169210581,0.859,12/56,8.31%,OSBPL8;SOAT1;ABCA1;GRAMD1B;NPC1;ABCG1;OSBPL1A;VDAC2;NR1H3;STARD5;SCARB2;GRAMD1C
prerank,phospholipase inhibitor activity (GO:0004859),0.800087983850918,1.6715117782549869,0.006349206349206349,0.15954899524141483,0.917,4/10,5.73%,ANXA4;ANXA1;ANXA5;ANXA2
prerank,neutral amino acid transmembrane transporter activity (GO:0015175),0.6589230403027783,1.669015033898423,0.0025412960609911056,0.15533757559418504,0.919,9/32,7.56%,SLC6A6;SLC36A2;SLC36A4;SLC43A2;SLC38A6;SLC1A5;SLC38A1;MFSD12;SLC38A7
prerank,ligand-gated calcium channel activity (GO:0099604),-0.5589415735544296,-1.6501684650767772,0.025,0.16022119770464466,0.906,9/19,12.16%,GRIN2A;RYR3;GRIN2B;RYR2;GRIN1;TRPM4;TRPM2;MCOLN1;GRIN2D
prerank,ferrous iron binding (GO:0008198),0.6787162209869763,1.645746611641986,0.012096774193548387,0.1994604916194344,0.964,10/21,17.14%,CDO1;FTL;ACP5;HEPH;TET2;EGLN3;FTO;FECH;ALKBH1;FTH1
prerank,serine-type peptidase activity (GO:0008236),0.5527573927553342,1.6420946541975068,0.002171552660152009,0.1989686123896411,0.97,16/96,9.79%,F7;CD5L;PCSK4;TPP1;KLK3;TMPRSS4;HGF;F11;RHBDF2;HTRA2;F10;PROC;CTSH;HP;HPR;PLAU
prerank,ligand-gated anion channel activity (GO:0099095),-0.5803360203027818,-1.6402070914329732,0.02572347266881029,0.1626903599980382,0.919,8/17,8.97%,GABRB3;GLRB;GLRA3;GABRA2;GABRB1;GABRA3;GLRA1;GABRG3
prerank,platelet-derived growth factor receptor binding (GO:0005161),0.7392551652194838,1.6327117822080142,0.011560693641618497,0.21271729815966472,0.981,4/13,3.73%,ERN1;VEGFA;ITGA5;PDGFA
prerank,transmembrane receptor protein kinase activity (GO:0019199),-0.4220018546389441,-1.630397983576249,0.009009009009009009,0.16701466009916646,0.937,15/60,9.03%,ERBB4;EPHA5;ACVR1;CSF1R;NTRK3;EPHA6;TGFBR2;RYK;EPHA3;FGFR2;NTRK2;FLT3;EGFR;IGF1R;EPHA7
