Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,positive regulation of nervous system development (GO:0051962),-0.6065120756626707,-2.364239462236204,0.0,0.0036148909541181794,0.004,12/42,6.10%,CX3CR1;NUMB;IL1RAPL1;NRXN1;NLGN1;PTPRD;CLSTN2;TGM2;GRID2;CLSTN3;RGS14;EPHB1
prerank,modulation of excitatory postsynaptic potential (GO:0098815),-0.5760527790690646,-2.016974887987759,0.0,0.2638870396506271,0.399,20/26,24.55%,NRXN1;NLGN1;RIMS1;SLC8A3;LRRK2;SHANK3;RIMS2;APP;SLC8A2;GRIN1;PRKCZ;CUX2;CHRNA7;TMEM25;SHANK1;NLGN2;NLGN3;RELN;CBLN1;MTMR2
prerank,positive regulation of synapse assembly (GO:0051965),-0.5843947045330358,-1.9969446793341306,0.0,0.22111083002689536,0.463,16/27,21.68%,IL1RAPL1;NRXN1;NLGN1;PTPRD;CLSTN2;GRID2;CLSTN3;EPHB1;CUX2;DLG5;CLSTN1;IL1RAP;NLGN2;NLGN3;SYNDIG1;SEMA4A
prerank,regulation of synapse assembly (GO:0051963),-0.5130245339519609,-1.982984270628687,0.0,0.19249294330679306,0.513,24/46,19.67%,MEF2C;IL1RAPL1;NRXN1;NLGN1;LRFN5;PTPRD;CLSTN2;GRID2;IL1RAPL2;CLSTN3;PDLIM5;EPHB1;APP;ROBO2;TLR2;MDGA1;CUX2;DLG5;CLSTN1;GPC4;IL1RAP;NLGN2;NLGN3;SYNDIG1
prerank,T cell activation (GO:0042110),0.6818429866737284,1.9702766115169217,0.0,0.00610983269159205,0.006,26/69,11.73%,LCP1;LCK;CD3E;NLRC3;ITK;CD8B;PTPRC;CD4;MSN;KIF13B;LAT;CD8A;CD44;CD2;CD7;CD3G;CD28;NCK2;PTPN22;GATA3;NCK1;RASGRP1;PTPN2;JAML;CRTAM;DLL4
prerank,regulation of sequestering of triglyceride (GO:0010889),0.8525930052415582,1.9522613766759631,0.0,0.005600679967292713,0.011,7/15,9.02%,OSBPL8;PLIN2;LPL;APOC4;PPARG;TREM2;ABHD5
prerank,potassium ion export across plasma membrane (GO:0097623),-0.669910745058949,-1.9113626136659625,0.007662835249042145,0.30581977471839794,0.77,9/13,31.95%,KCND3;KCNK5;KCNH2;KCNQ1;KCNIP2;KCNE3;KCNE4;KCNA5;KCNE2
prerank,glutamate receptor signaling pathway (GO:0007215),-0.5030967408913269,-1.901614490944175,0.007751937984496124,0.2774428807285703,0.801,18/37,11.50%,GRIA4;GRM7;GRIK2;GRIK3;GRIN2A;PLCB1;GRIA3;GRIK4;KCNB1;GRM1;GRID2;GRIN2B;GRM5;GRM3;APP;HOMER3;GRM8;GRIN1
prerank,negative regulation of osteoclast differentiation (GO:0045671),0.7862115005655149,1.8768152374094562,0.0,0.0529518833271311,0.12,7/18,8.97%,GPR137B;LTF;FSTL3;FBXW7;TCTA;LILRB1;LILRB3
prerank,regulation of cation transmembrane transport (GO:1904062),-0.5379832500240302,-1.8560282102858967,0.00684931506849315,0.35606675898064066,0.904,12/29,13.31%,KCNIP4;DPP10;FGF12;KCNIP3;SNTA1;DPP6;WNK1;WNK3;KCNN2;KCNAB2;KCNIP1;KCNH2
