Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,type I interferon signaling pathway (GO:0060337),0.8682557227644914,2.4275191027928504,0.0,0.0,0.0,18/41,3.86%,IFIT3;RSAD2;OAS3;STAT1;STAT2;SP100;OASL;IRF7;OAS2;SAMHD1;IFIT1;ISG15;XAF1;IFIT2;BST2;IFI35;ADAR;GBP2
prerank,cellular response to type I interferon (GO:0071357),0.8682557227644914,2.4275191027928504,0.0,0.0,0.0,18/41,3.86%,IFIT3;RSAD2;OAS3;STAT1;STAT2;SP100;OASL;IRF7;OAS2;SAMHD1;IFIT1;ISG15;XAF1;IFIT2;BST2;IFI35;ADAR;GBP2
prerank,defense response to symbiont (GO:0140546),0.7823052741621793,2.3861054171699045,0.0,0.0,0.0,24/92,5.02%,IFIT3;RSAD2;OAS3;STAT1;ZBP1;STAT2;OASL;NLRC5;EIF2AK2;IRF7;OAS2;IFIH1;SAMHD1;IFIT1;ISG15;MOV10;IFIT2;BST2;MLKL;CD40;CGAS;RTP4;CNOT7;TLR8
prerank,defense response to virus (GO:0051607),0.7733449162555682,2.3715020648654863,0.0,0.0,0.0,25/100,5.02%,IFIT3;RSAD2;OAS3;STAT1;ZBP1;STAT2;CXCL10;OASL;NLRC5;EIF2AK2;IRF7;OAS2;IFIH1;SAMHD1;IFIT1;ISG15;MOV10;IFIT2;BST2;MLKL;CD40;CGAS;RTP4;CNOT7;TLR8
prerank,negative regulation of viral process (GO:0048525),0.8027934887737923,2.3171847453319234,0.0,0.0,0.0,26/57,10.21%,RSAD2;OAS3;STAT1;OASL;EIF2AK2;OAS2;IFIH1;PARP10;IFIT1;ISG15;PML;TRIM14;ZC3HAV1;BST2;ZFP36;TRIM21;CCL5;ILF3;SLPI;UBP1;N4BP1;PPIA;BANF1;SRPK1;PROX1;TNIP1
prerank,positive regulation of cytokine-mediated signaling pathway (GO:0001961),0.8500971346548333,2.2897636787760463,0.0,0.0,0.0,10/36,1.54%,PARP14;ZBP1;NLRC5;AXL;HSPA1B;PARP9;IRGM;CASP4;CXCR4;WNT5A
prerank,regulation of viral genome replication (GO:0045069),0.7977998187462262,2.2831949070355138,0.0,0.0,0.0,27/56,10.39%,RSAD2;OAS3;OASL;EIF2AK2;OAS2;IFIH1;PARP10;IFIT1;ISG15;ZC3HAV1;BST2;ADAR;PKN2;TARBP2;LARP1;CCL5;ILF3;CNOT7;SLPI;N4BP1;PPIA;BANF1;VAPB;SRPK1;PROX1;TNIP1;STAU1
prerank,negative regulation of viral genome replication (GO:0045071),0.8144220298320997,2.248652389684821,0.0,0.0,0.0,20/40,10.21%,RSAD2;OAS3;OASL;EIF2AK2;OAS2;IFIH1;PARP10;IFIT1;ISG15;ZC3HAV1;BST2;RESF1;CCL5;ILF3;SLPI;N4BP1;BANF1;SRPK1;PROX1;TNIP1
prerank,negative regulation of cytokine-mediated signaling pathway (GO:0001960),0.776460471103252,2.2042296168544797,0.0,0.0,0.0,8/48,0.89%,PARP14;OAS3;USP18;STAT2;NLRC5;SAMHD1;ISG15;NR1H2
prerank,negative regulation of innate immune response (GO:0045824),0.808846059924774,2.196080861079723,0.0,0.0,0.0,13/34,5.01%,OAS3;USP18;STAT2;TRAFD1;NLRC5;SAMHD1;ISG15;DHX58;NMI;TRIM21;USP15;CNOT7;SUSD4
prerank,interferon-gamma-mediated signaling pathway (GO:0060333),0.7899370311345015,2.186063840166014,0.0,0.0,0.0,14/45,4.28%,OAS3;STAT1;SP100;OASL;IRF7;OAS2;PML;CAMK2D;TRIM25;B2M;CAMK2B;TRIM21;GBP2;HCK
prerank,cellular response to interferon-gamma (GO:0071346),0.7232237809211185,2.148732541861843,0.0,0.0,0.0,24/88,5.24%,OAS3;STAT1;GBP4;SP100;OASL;IRF7;OAS2;PML;GBP5;CCL7;DAPK3;CAMK2D;WNT5A;TRIM25;B2M;CAMK2B;GBP3;TRIM21;GBP2;CD47;HCK;CCL5;GBP7;CX3CL1
prerank,regulation of type I interferon-mediated signaling pathway (GO:0060338),0.8043771115665539,2.1094668093927265,0.0,7.708657589722355e-05,0.001,10/29,4.88%,OAS3;USP18;ZBP1;STAT2;NLRC5;SAMHD1;ISG15;WNT5A;CNOT7;HSP90AB1
prerank,positive regulation of response to biotic stimulus (GO:0002833),0.7649013908854239,2.074793158491322,0.0,0.00014316078380912945,0.002,14/38,7.30%,DDX60;OASL;GBP5;DHX58;IFI35;SASH1;NMI;ADAM8;USP15;CCL5;TLR8;LY86;POLR3B;DHX9
prerank,regulation of interferon-gamma-mediated signaling pathway (GO:0060334),0.8074951894087657,2.0432751885887224,0.0,0.0004008501946655625,0.006,8/23,4.88%,PARP14;STAT1;NLRC5;PARP9;IRGM;NR1H2;SOCS1;HSP90AB1
