Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,cellular response to type I interferon (GO:0071357),0.8683379373161435,2.3886706118390486,0.0,0.0,0.0,18/41,3.86%,IFIT3;RSAD2;OAS3;STAT1;STAT2;SP100;OASL;IRF7;OAS2;SAMHD1;IFIT1;ISG15;XAF1;IFIT2;BST2;IFI35;ADAR;GBP2
prerank,type I interferon signaling pathway (GO:0060337),0.8683379373161435,2.3886706118390486,0.0,0.0,0.0,18/41,3.86%,IFIT3;RSAD2;OAS3;STAT1;STAT2;SP100;OASL;IRF7;OAS2;SAMHD1;IFIT1;ISG15;XAF1;IFIT2;BST2;IFI35;ADAR;GBP2
prerank,defense response to symbiont (GO:0140546),0.7825345310739316,2.386960553647076,0.0,0.0,0.0,24/92,5.01%,IFIT3;RSAD2;OAS3;STAT1;ZBP1;STAT2;OASL;NLRC5;EIF2AK2;IRF7;OAS2;IFIH1;SAMHD1;IFIT1;ISG15;MOV10;IFIT2;BST2;MLKL;CD40;CGAS;RTP4;CNOT7;TLR8
prerank,defense response to virus (GO:0051607),0.7735089716492106,2.3678593784740376,0.0,0.0,0.0,25/100,5.01%,IFIT3;RSAD2;OAS3;STAT1;ZBP1;STAT2;CXCL10;OASL;NLRC5;EIF2AK2;IRF7;OAS2;IFIH1;SAMHD1;IFIT1;ISG15;MOV10;IFIT2;BST2;MLKL;CD40;CGAS;RTP4;CNOT7;TLR8
prerank,positive regulation of cytokine-mediated signaling pathway (GO:0001961),0.8506519731965688,2.324034665071829,0.0,0.0,0.0,10/36,1.52%,PARP14;ZBP1;NLRC5;AXL;HSPA1B;PARP9;IRGM;CASP4;CXCR4;WNT5A
prerank,negative regulation of viral process (GO:0048525),0.8033495461228101,2.2986339541635634,0.0,0.0,0.0,26/57,10.15%,RSAD2;OAS3;STAT1;OASL;EIF2AK2;OAS2;IFIH1;PARP10;IFIT1;ISG15;PML;TRIM14;ZC3HAV1;BST2;ZFP36;TRIM21;CCL5;ILF3;SLPI;UBP1;N4BP1;PPIA;BANF1;SRPK1;PROX1;TNIP1
prerank,regulation of viral genome replication (GO:0045069),0.7973802111352385,2.2945122858393945,0.0,0.0,0.0,27/56,10.41%,RSAD2;OAS3;OASL;EIF2AK2;OAS2;IFIH1;PARP10;IFIT1;ISG15;ZC3HAV1;BST2;ADAR;PKN2;TARBP2;LARP1;CCL5;CNOT7;ILF3;SLPI;N4BP1;PPIA;BANF1;VAPB;SRPK1;PROX1;TNIP1;STAU1
prerank,negative regulation of viral genome replication (GO:0045071),0.8150661278193814,2.2279093588176964,0.0,0.0,0.0,20/40,10.15%,RSAD2;OAS3;OASL;EIF2AK2;OAS2;IFIH1;PARP10;IFIT1;ISG15;ZC3HAV1;BST2;RESF1;CCL5;ILF3;SLPI;N4BP1;BANF1;SRPK1;PROX1;TNIP1
prerank,interferon-gamma-mediated signaling pathway (GO:0060333),0.7904977830440064,2.1795926042844416,0.0,0.0,0.0,14/45,4.22%,OAS3;STAT1;SP100;OASL;IRF7;OAS2;PML;CAMK2D;TRIM25;B2M;CAMK2B;TRIM21;GBP2;HCK
prerank,negative regulation of cytokine-mediated signaling pathway (GO:0001960),0.7764835757489138,2.1684372129873175,0.0,0.0,0.0,8/48,0.89%,PARP14;OAS3;USP18;STAT2;NLRC5;SAMHD1;ISG15;NR1H2
prerank,cellular response to interferon-gamma (GO:0071346),0.720627918013033,2.1639616156812598,0.0,0.0,0.0,24/88,5.48%,OAS3;STAT1;GBP4;SP100;OASL;IRF7;OAS2;PML;GBP5;CCL7;DAPK3;CAMK2D;WNT5A;TRIM25;B2M;CAMK2B;GBP3;TRIM21;GBP2;CD47;HCK;CCL5;GBP7;CX3CL1
prerank,negative regulation of innate immune response (GO:0045824),0.8091341811524225,2.1637292459302797,0.0,0.0,0.0,13/34,4.99%,OAS3;USP18;STAT2;TRAFD1;NLRC5;SAMHD1;ISG15;DHX58;NMI;TRIM21;USP15;CNOT7;SUSD4
prerank,regulation of type I interferon-mediated signaling pathway (GO:0060338),0.8049322175230825,2.0912589242844635,0.0,0.0,0.0,10/29,4.85%,OAS3;USP18;ZBP1;STAT2;NLRC5;SAMHD1;ISG15;WNT5A;CNOT7;HSP90AB1
prerank,positive regulation of response to biotic stimulus (GO:0002833),0.7650272060200015,2.0502493021208332,0.0,0.0005021851020325131,0.007,14/38,7.25%,DDX60;OASL;GBP5;DHX58;IFI35;SASH1;NMI;ADAM8;USP15;CCL5;TLR8;LY86;POLR3B;DHX9
prerank,positive regulation of innate immune response (GO:0045089),0.7825525014235709,2.0311553567258316,0.0,0.0011382862312736962,0.017,11/30,7.25%,ZBP1;NLRC5;GBP5;IFI35;WNT5A;NMI;ADAM8;CCL5;TLR8;POLR3B;DHX9
prerank,response to interferon-gamma (GO:0034341),0.6882987099259881,2.0185841686823247,0.0,0.0013182358928353467,0.021,18/67,7.05%,STAT1;GBP4;SP100;GBP5;BST2;CCL7;DAPK3;WNT5A;GBP3;CD40;CXCL16;TRIM21;GBP2;CD47;CCL5;GBP7;CX3CL1;AQP4
prerank,regulation of interferon-gamma-mediated signaling pathway (GO:0060334),0.8075270853294636,2.013709186564719,0.0,0.0015360956062170986,0.024,8/23,4.85%,PARP14;STAT1;NLRC5;PARP9;IRGM;NR1H2;SOCS1;HSP90AB1
prerank,negative regulation of type I interferon-mediated signaling pathway (GO:0060339),0.8803604442321596,2.01287072415098,0.0,0.0015065553060975392,0.025,6/15,0.28%,OAS3;USP18;STAT2;NLRC5;SAMHD1;ISG15
prerank,NAD biosynthesis via nicotinamide riboside salvage pathway (GO:0034356),0.8848537281674786,1.984333954063907,0.0,0.0031716953812579774,0.051,4/13,5.38%,PARP10;PARP9;NAMPT;NAPRT
prerank,positive regulation of type I interferon production (GO:0032481),0.6633485419186128,1.9758553328372088,0.0,0.003364640183617838,0.056,22/73,12.41%,OAS3;STAT1;ZBP1;IRF7;OAS2;IFIH1;ISG15;DHX58;DHX33;NFKB2;CGAS;DHX36;TLR8;CTNNB1;NFKB1;POLR3B;DHX9;POLR3GL;POLR2K;RIOK3;PTPN11;PRKDC
prerank,protein mono-ADP-ribosylation (GO:0140289),0.9072993075856225,1.953516948606423,0.0,0.005308813935772282,0.089,5/11,0.46%,PARP14;PARP12;PARP10;PARP9;PARP11
prerank,protein ADP-ribosylation (GO:0006471),0.7522424355322309,1.9438028441899353,0.0,0.0061631807976717514,0.105,7/28,4.17%,PARP14;PARP12;PARP10;PARP9;PARP11;ZC3HAV1;ART4
prerank,regulation of type I interferon production (GO:0032479),0.645925734583743,1.9348682694747923,0.0,0.007248932777164972,0.128,23/84,9.90%,ZBP1;NLRC5;IRF7;IFIH1;ISG15;UBE2L6;ILRUN;DHX58;TRIM25;DHX33;NFKB2;CGAS;TRIM21;IKBKE;DHX36;CTNNB1;NFKB1;POLR3B;CYLD;DHX9;POLR3GL;POLR2K;TRAF3
prerank,positive regulation of tyrosine phosphorylation of STAT protein (GO:0042531),0.6904456862604262,1.9318957740471825,0.0,0.00728168397947144,0.134,13/49,16.37%,PARP14;PARP9;IL15;CRLF1;CD40;STAT3;CCL5;LYN;JAK2;PIBF1;FGFR3;IL18;ARL2BP
prerank,positive regulation of interferon-beta production (GO:0032728),0.7230044586525805,1.9259691584124938,0.0,0.0076332135508942,0.146,9/33,7.25%,OAS3;IRF7;OAS2;IFIH1;ISG15;DHX58;TLR8;POLR3B;DHX9
prerank,regulation of RIG-I signaling pathway (GO:0039535),0.8136125180310703,1.9210773718835226,0.0,0.008730294850719075,0.172,6/18,4.64%,DDX60;OASL;DHX58;BIRC2;USP15;NOP53
prerank,positive regulation of defense response to virus by host (GO:0002230),0.7581849959631767,1.9098828269048975,0.001310615989515072,0.011345663416290112,0.224,5/24,2.91%,STAT1;PARP9;DTX3L;AIM2;CGAS
prerank,NAD biosynthetic process (GO:0009435),0.7807850300851432,1.8992363856184322,0.0,0.014527497594511987,0.284,4/20,5.38%,PARP10;PARP9;NAMPT;NAPRT
prerank,detection of light stimulus involved in sensory perception (GO:0050962),0.9069495561058658,1.8972671315838454,0.0,0.014262056897723372,0.293,2/10,2.19%,CNGB1;CACNA2D4
prerank,detection of light stimulus involved in visual perception (GO:0050908),0.9069495561058658,1.8972671315838454,0.0,0.014262056897723372,0.293,2/10,2.19%,CNGB1;CACNA2D4
prerank,positive regulation of interferon-alpha production (GO:0032727),0.7782224340158822,1.896244648043877,0.0,0.014061182856910364,0.3,6/19,7.25%,STAT1;IRF7;IFIH1;DHX36;TLR8;DHX9
