Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,double-stranded RNA binding (GO:0003725),0.7075325550469188,2.101707918930522,0.0,0.0,0.0,18/70,5.01%,DDX60;OAS3;ZBP1;OASL;EIF2AK2;OAS2;IFIH1;DHX58;ACTN1;ADAR;DHX33;AGO2;ZFR2;TARBP2;ILF3;DHX36;HSP90AB1;TLR8
prerank,adenylyltransferase activity (GO:0070566),0.7932211057850314,1.9428916444356223,0.0,0.014891801968179007,0.023,4/21,0.82%,OAS3;OASL;OAS2;TENT4A
prerank,NAD+ ADP-ribosyltransferase activity (GO:0003950),0.7383293678211424,1.856489256624672,0.0,0.07017975640176313,0.16,6/25,4.17%,PARP14;PARP10;PARP9;PARP11;ZC3HAV1;ART4
prerank,CARD domain binding (GO:0050700),0.8079092799904528,1.85030806884506,0.0,0.05982396307906395,0.182,4/14,1.42%,IRGM;CASP4;NOD2;NOD1
prerank,glutamate receptor binding (GO:0035254),-0.6180145448583081,-1.8495137748256636,0.0,0.46687294989442374,0.374,10/17,22.44%,DLG4;HOMER1;HOMER3;SHISA6;SHANK3;NSF;GNAS;SHISA7;CAMK2A;SHANK1
prerank,CXCR chemokine receptor binding (GO:0045236),0.8521993755984291,1.843757759031899,0.0015105740181268882,0.05730776205685439,0.208,2/11,0.33%,CXCL10;CXCL9
prerank,chemokine activity (GO:0008009),0.7007144075846514,1.8402343354162067,0.002509410288582183,0.05135104126958279,0.218,6/31,5.48%,CXCL10;CXCL9;CCL7;CXCL16;CCL5;CX3CL1
prerank,single-stranded RNA binding (GO:0003727),0.6574568396152103,1.8311181576741897,0.002328288707799767,0.05193791031266373,0.252,14/43,12.58%,DDX60;IFIH1;DHX58;POLR2G;AGO2;ZFR2;ILF3;TLR8;SRA1;DHX9;EIF4H;LONP1;HNRNPA1;DDX11
prerank,pentosyltransferase activity (GO:0016763),0.676484015792947,1.7974911338624406,0.0,0.08126302280911477,0.4,6/36,4.17%,PARP14;PARP10;PARP9;PARP11;ZC3HAV1;ART4
prerank,chemokine receptor binding (GO:0042379),0.6548292117244212,1.7623952861156948,0.004842615012106538,0.11616746669430061,0.566,6/35,5.48%,CXCL10;CXCL9;CCL7;CXCL16;CCL5;CX3CL1
prerank,water transmembrane transporter activity (GO:0005372),0.8194480385713345,1.753123677530035,0.0,0.12129115947875455,0.622,3/11,9.05%,AQP11;AQP4;PDPN
prerank,channel activity (GO:0015267),0.6433504615110982,1.7454479890962011,0.0,0.12445625093155246,0.67,11/41,12.83%,TRPM5;AQP11;PANX2;ASIC4;AQP4;TMEM120B;PDPN;TMEM266;PANX1;KCNK3;TRPV4
prerank,cytokine activity (GO:0005125),0.5368766471647253,1.6633515205105889,0.0,0.3378042664850721,0.967,17/131,11.08%,CXCL10;CXCL9;WNT11;IL15;CRLF1;CCL7;WNT5A;GDF9;CXCL16;KITLG;CCL5;CX3CL1;WNT7B;CSF1;HMGB1;IL17D;CCL14
prerank,ubiquitin binding (GO:0043130),0.5583496147227588,1.6577492144324633,0.007551240560949299,0.33457178427182016,0.974,30/73,16.34%,UBE2L6;ILRUN;CXCR4;AUP1;BIRC2;UBAP1;FBXO7;RBCK1;USP25;RNFT1;MVB12A;FBXW7;UBXN1;GGA3;NBR1;N4BP1;RAE1;UCHL3;RNF19B;RNF31;UBXN2B;UBXN11;FAF2;VPS28;RNF185;USPL1;SHARPIN;ASCC2;SPRTN;OTULINL
prerank,ATP hydrolysis activity (GO:0140603),0.5903524842689697,1.6225086132534816,0.009626955475330927,0.45717098456005706,0.994,8/41,9.46%,RNF213;HSPA1B;TOR3A;CLU;KIF26A;CHD1L;DHX9;ABCD1
prerank,intracellular cyclic nucleotide activated cation channel activity (GO:0005221),0.7503123017794902,1.6120783523117392,0.01293103448275862,0.4774962157520938,0.997,1/11,0.46%,CNGB1
prerank,peptidoglycan binding (GO:0042834),0.7627581787894214,1.5958882935700092,0.016152716593245228,0.5269900610290934,1.0,5/10,15.45%,NOD2;NOD1;RNASE7;HK1;TLR2
prerank,"4 iron, 4 sulfur cluster binding (GO:0051539)",0.7102535058096899,1.5864603098274608,0.02861230329041488,0.5481270558104996,1.0,3/14,5.90%,RSAD2;EXO5;NFU1
prerank,receptor antagonist activity (GO:0048019),0.6675764890312019,1.5836781003967924,0.025885558583106268,0.532624411390617,1.0,4/17,10.75%,ESR2;CCL5;LRPAP1;DKK3
prerank,cytochrome-c oxidase activity (GO:0004129),-0.5446048954872773,-1.5792624773365551,0.0313588850174216,1.0,0.981,5/15,10.01%,CYB5A;COX15;COX10;NDUFA4;COX8A
prerank,ionotropic glutamate receptor binding (GO:0035255),-0.652094177651275,-1.5734365367542795,0.021739130434782608,1.0,0.983,8/10,27.54%,DLG4;SHISA6;SHANK3;NSF;GNAS;SHISA7;SHANK1;IGSF11
prerank,"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen (GO:0016702)",0.6725729082407101,1.5651525947502742,0.032624113475177303,0.6058882332534248,1.0,2/16,2.10%,BCO2;ETHE1
prerank,semaphorin receptor activity (GO:0017154),0.7194188767980587,1.5516987559507682,0.03273809523809524,0.6525176814125886,1.0,4/11,4.60%,PLXNA3;PLXNB2;NRP2;PLXNB3
prerank,nucleoside-diphosphatase activity (GO:0017110),0.7007886124831219,1.5483409960715753,0.031654676258992806,0.6404208432620825,1.0,5/12,8.53%,CANT1;ENTPD3;ENTPD6;NUDT5;ENTPD5
prerank,regulatory RNA binding (GO:0061980),0.5723881850960183,1.5461251474202096,0.026378896882494004,0.6234483237775257,1.0,13/38,16.68%,PNPT1;ZC3H7A;AGO2;TARBP2;DHX9;HNRNPA2B1;ZC3H12A;HNRNPA1;MATR3;ZC3H7B;SOX2;TUT7;DICER1
prerank,alpha-actinin binding (GO:0051393),-0.46225604548429305,-1.5274076174520967,0.02252252252252252,1.0,0.994,7/24,14.63%,PDLIM5;PPARG;LDB3;RARA;PDLIM1;PKD2L1;PDLIM7
prerank,ribosomal small subunit binding (GO:0043024),0.6395772604640795,1.5274061748707404,0.039492242595204514,0.7049828170123245,1.0,11/17,20.50%,ERAL1;LARP1;MTIF3;ABCE1;EIF4H;NPM1;PIM1;EIF1B;CPEB2;EIF4B;DDX3X
prerank,outward rectifier potassium channel activity (GO:0015271),-0.585105795659168,-1.5255776294218704,0.05571847507331378,1.0,0.994,5/11,21.12%,KCND2;KCND1;KCND3;KCNT2;KCNT1
prerank,mRNA 5'-UTR binding (GO:0048027),0.5916965815616078,1.5206419514703864,0.06233766233766234,0.7145497392662444,1.0,5/24,4.83%,IGF2BP1;IGF2BP3;LARP1;RSL1D1;DHX36
prerank,miRNA binding (GO:0035198),0.5763298650599392,1.502429179724674,0.04247572815533981,0.7924492688722017,1.0,10/30,16.28%,PNPT1;ZC3H7A;AGO2;HNRNPA2B1;ZC3H12A;HNRNPA1;MATR3;ZC3H7B;SOX2;TUT7
prerank,C2H2 zinc finger domain binding (GO:0070742),0.7052228108022388,1.501036392438219,0.04354136429608128,0.7709766334613207,1.0,3/11,6.28%,THAP7;MBD2;ZXDC
prerank,cAMP-dependent protein kinase regulator activity (GO:0008603),0.7120473801220113,1.4975448373567684,0.04484304932735426,0.7631905866910437,1.0,3/10,9.80%,CXCL10;PRKAR2B;PRKAG1
prerank,G protein-coupled chemoattractant receptor activity (GO:0001637),-0.516412863984358,-1.4965614754554606,0.042071197411003236,1.0,0.995,5/15,15.71%,CCR5;CX3CR1;CCR2;CMKLR1;CCR1
prerank,transmembrane receptor protein serine/threonine kinase binding (GO:0070696),-0.5366940799799109,-1.4865671910339904,0.0707395498392283,1.0,0.996,11/13,46.37%,BMP6;SRC;BMP5;BMP3;BMP2;BMP4;CDH5;BMP7;GDF15;PYCARD;BMP8B
prerank,chemoattractant activity (GO:0042056),0.5763946232446029,1.476131140141646,0.05366492146596859,0.8709136599321241,1.0,6/26,11.22%,CXCL10;CCL5;CX3CL1;GDNF;HMGB1;VEGFD
prerank,hexosaminidase activity (GO:0015929),0.6675641639622056,1.4687986121294057,0.06367583212735166,0.8884084284750027,1.0,4/12,8.18%,SPAM1;HYAL1;HYAL4;HEXD
prerank,BMP receptor binding (GO:0070700),-0.5367231638418078,-1.4678080564941018,0.08734939759036145,1.0,0.999,11/12,46.37%,BMP6;SRC;BMP5;BMP3;BMP2;BMP4;CDH5;BMP7;GDF15;PYCARD;BMP8B
prerank,calcium activated cation channel activity (GO:0005227),0.6196422506390568,1.4666653204338354,0.04781420765027322,0.8737893182432207,1.0,2/17,0.73%,TRPM5;KCNMB3
prerank,cysteine-type endopeptidase activity involved in apoptotic process (GO:0097153),0.6759815706209406,1.4610203684883842,0.06758832565284179,0.8821777593073874,1.0,4/11,6.12%,CASP4;CASP7;CASP6;CFLAR
prerank,MHC protein binding (GO:0042287),0.6015518271522227,1.4596744231203993,0.062162162162162166,0.8633393813448605,1.0,4/20,6.76%,FCRL6;LAG3;TAPBP;ABCB9
prerank,ligand-gated calcium channel activity (GO:0099604),0.5969942974727305,1.448901798584796,0.0749665327978581,0.9054277840339224,1.0,5/19,8.96%,TRPM5;TRPM2;GRIN2D;ITPR1;P2RX4
prerank,cysteine-type endopeptidase activity involved in execution phase of apoptosis (GO:0097200),0.6843820029142662,1.4461368955895184,0.07208588957055215,0.8941122479880298,1.0,4/10,6.12%,CASP4;CASP7;CASP6;CFLAR
prerank,mRNA 3'-UTR binding (GO:0003730),0.48630759619815944,1.4377868593794876,0.021668472372697724,0.9233797523835608,1.0,21/79,17.10%,IGF2BP1;ZFP36;IGF2BP3;TARDBP;RNF40;DDX5;LARP1;RSL1D1;ILF3;DHX36;AUH;RBMS2;HNRNPA2B1;ZC3H12A;ZFP36L1;RNPS1;SECISBP2;EXOSC9;DAZAP1;MEX3D;PCBP4
