Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,ionotropic glutamate receptor complex (GO:0008328),-0.6999212111445648,-2.314958036820689,0.0,0.0,0.0,17/32,8.74%,GRIK2;GRID2;GRIA4;OLFM2;SHISA9;GRIA1;GRIN2B;GRIN2A;SHISA6;VWC2;VWC2L;CACNG2;GRIA2;GRIA3;GRIK4;GRIN3A;GRIN2D
prerank,cation channel complex (GO:0034703),-0.5877388786418626,-2.3037012520314257,0.0,0.0,0.0,29/72,8.74%,AKAP6;GRIA4;UNC80;PDE4D;OLFM2;SHISA9;GRIA1;GRIN2B;GRIN2A;SHISA6;MCU;SCN2A;TRPC5;RYR3;RYR2;TRPC4;VWC2;VWC2L;CACNG2;GRIA2;GRIA3;KCNA6;CALM1;MCUB;PKD2;GRIN3A;MICU2;TRPC3;GRIN2D
prerank,ion channel complex (GO:0034702),-0.6738451554167384,-2.297944761590407,0.0,0.0,0.0,14/35,14.35%,GRID2;LRRC8C;UNC80;SHISA9;TRPC5;TRPC4;STXBP5;PKD2;LRRC8B;ANO6;TRPC3;CHRNA4;KCNQ1;PKD1
prerank,AMPA glutamate receptor complex (GO:0032281),-0.7052447270720956,-2.0862274613418386,0.0,0.0016909625099520188,0.006,10/20,5.12%,GRIA4;OLFM2;SHISA9;GRIA1;SHISA6;VWC2;VWC2L;CACNG2;GRIA2;GRIA3
prerank,postsynaptic density (GO:0014069),-0.44651251778956585,-1.9815926829222834,0.0,0.008342081715763294,0.032,43/135,11.53%,DLG2;MAGI2;NLGN1;KCND2;CTNND2;PDLIM5;ADD3;GPHN;DNM3;DNAJC6;LRRC7;GRM5;SPOCK1;SHISA9;GRIA1;GRIN2B;GRIN2A;GRM1;SHISA6;SLC8A3;RPL30;NTRK2;RPS3;CACNG2;GRIA2;MTMR2;SHANK3;ARHGEF9;KCND3;CACNA1C;HOMER1;DNM1;NETO1;RPS27;INSYN2A;SYNDIG1;RPS25;GRIN2D;RPL38;P2RY1;ADCY8;SRCIN1;RPS14
prerank,asymmetric synapse (GO:0032279),-0.4422452415363445,-1.946575594610608,0.0,0.012964045909632146,0.054,43/128,13.32%,DLG2;MAGI2;NLGN1;GRM7;KCND2;CTNND2;PDLIM5;ADD3;GPHN;DNM3;DNAJC6;LRRC7;SPOCK1;SHISA9;GRIA1;GRIN2B;GRIN2A;SHISA6;SLC8A3;RPL30;NTRK2;RPS3;GRIA2;MTMR2;SHANK3;ARHGEF9;KCND3;CACNA1C;HOMER1;DNM1;NETO1;RPS27;INSYN2A;SYNDIG1;RPS25;RPL38;P2RY1;ADCY8;SRCIN1;RPS14;DTNBP1;TMEM108;SLC4A8
prerank,postsynaptic density membrane (GO:0098839),-0.652174059124488,-1.8832709512341468,0.0,0.02512287157643,0.127,9/20,8.74%,DLG2;GRM5;GRIN2B;GRIN2A;GRM1;CACNG2;NETO1;SYNDIG1;GRIN2D
prerank,postsynaptic specialization membrane (GO:0099634),-0.6402662292550111,-1.8758769076346173,0.0,0.02508261056428828,0.14,9/21,8.74%,DLG2;GRM5;GRIN2B;GRIN2A;GRM1;CACNG2;NETO1;SYNDIG1;GRIN2D
prerank,potassium channel complex (GO:0034705),-0.45712647465952994,-1.8356142657939263,0.0,0.03457078909235239,0.21,18/80,6.47%,KCNIP4;CNTNAP2;GRIK2;KCND2;DPP6;KCNB2;DPP10;KCNIP1;KCNC2;KCNQ5;KCNJ3;KCNMB2;KCNH1;KCND3;KCNA6;KCNQ3;KCNAB2;GRIK4
prerank,voltage-gated potassium channel complex (GO:0008076),-0.46753408700315846,-1.831023426002402,0.0,0.03291740352706597,0.222,17/73,6.34%,KCNIP4;CNTNAP2;KCND2;DPP6;KCNB2;DPP10;KCNIP1;HCN1;KCNC2;KCNQ5;KCNJ3;KCNMB2;KCNH1;KCND3;KCNA6;KCNQ3;KCNAB2
