Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,clathrin adaptor activity (GO:0035615),-0.7548263402602919,-2.071739896571743,0.0023923444976076554,0.040402454912178816,0.033,6/15,6.30%,DAB2;HIP1;AP2A2;AP2B1;HIP1R;LDLRAP1
prerank,lipoprotein particle binding (GO:0071813),-0.6258531125862188,-1.9299981781231224,0.0,0.1346748497072627,0.199,8/20,10.27%,MSR1;CD36;THBS1;HSPD1;PLTP;LDLR;LPL;STAB2
prerank,death domain binding (GO:0070513),-0.7277225531819661,-1.9196152000260176,0.0,0.10325071810890141,0.229,6/11,13.29%,BCL2;BCL2L1;MCL1;BAX;RIPK1;RACK1
prerank,"ATPase activity, coupled to transmembrane movement of ions, rotational mechanism (GO:0044769)",-0.6588216317509574,-1.8947788245304167,0.0,0.08147828407289393,0.288,5/16,4.03%,ATP6V0D1;ATP6V0D2;ATP6V1B2;ATP6V0A1;ATP6V0B
prerank,"proton-transporting ATPase activity, rotational mechanism (GO:0046961)",-0.6588216317509574,-1.8947788245304167,0.0,0.08147828407289393,0.288,5/16,4.03%,ATP6V0D1;ATP6V0D2;ATP6V1B2;ATP6V0A1;ATP6V0B
prerank,low-density lipoprotein particle binding (GO:0030169),-0.6287369170991877,-1.864064784590232,0.0,0.09913565325673505,0.38,6/16,10.27%,MSR1;CD36;THBS1;PLTP;LDLR;STAB2
prerank,phosphatidylinositol-4-phosphate binding (GO:0070273),-0.5724354972883678,-1.8485978798783196,0.002564102564102564,0.09940286526012247,0.434,6/24,5.49%,OSBPL8;GOLPH3L;SESTD1;PLA2G4E;OSBP;PLEKHA3
prerank,voltage-gated potassium channel activity involved in cardiac muscle cell action potential repolarization (GO:0086008),0.6960806743788825,1.829830260895046,0.001736111111111111,0.5868434808925083,0.424,5/14,3.80%,KCNJ3;KCNH2;KCNA5;KCNE2;KCNJ8
prerank,hyaluronic acid binding (GO:0005540),-0.7193602439934998,-1.8017743797694887,0.009411764705882352,0.14351288671930182,0.6,5/10,12.56%,LYVE1;CD44;IMPG2;STAB2;CHODL
prerank,high voltage-gated calcium channel activity (GO:0008331),0.7466128385497584,1.7550946458577585,0.0018115942028985507,0.6950195339367761,0.748,6/10,16.45%,CACNB4;CACNB2;CACNA1S;CACNA1D;CACNA1B;CACNA1A
prerank,phosphatidylinositol phosphate binding (GO:1901981),-0.39210712596989244,-1.7356223670997561,0.0,0.24253942840798698,0.832,21/100,8.32%,IQGAP1;IQGAP2;OSBPL8;DENND1A;HIP1;KIF16B;GOLPH3L;SNX24;SESTD1;DENND1B;PLA2G4E;OSBP;SH3PXD2B;GBF1;ZFYVE16;HIP1R;PLEKHA3;ARAP1;GAB2;CYTH3;RACGAP1
prerank,"phosphatidylinositol-3,4,5-trisphosphate binding (GO:0005547)",-0.47766484046570223,-1.7026156059231938,0.005747126436781609,0.2910099044091101,0.906,11/34,8.32%,IQGAP1;IQGAP2;KIF16B;PLA2G4E;GBF1;ZFYVE16;HIP1R;ARAP1;GAB2;CYTH3;RACGAP1
prerank,voltage-gated calcium channel activity (GO:0005245),0.5288075009102664,1.7021390228308984,0.0015455950540958269,0.8251712658541281,0.908,16/37,17.42%,CACNB4;CACNG5;CACNG2;CACNB2;CACNA1S;CACNA2D3;PKD2;CACNA1G;CACNG7;CACNA2D2;CACNA1D;CACNA1B;CACNA2D1;CACNA1A;OPRM1;CACNG3
