Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,ligand-gated ion channel activity (GO:0015276),0.8348686709970132,2.5983198795455973,0.0,0.0,0.0,14/30,3.60%,GRID2;GRIA4;GRIK5;GRIK2;GRIN2A;GRIK1;GABRB1;GRIN2B;GRIA3;GRIN3A;GRID1;GRIA2;GRIK4;GRIA1
prerank,ligand-gated channel activity (GO:0022834),0.8348708826205037,2.578827784542458,0.0,0.0,0.0,14/29,3.60%,GRID2;GRIA4;GRIK5;GRIK2;GRIN2A;GRIK1;GABRB1;GRIN2B;GRIA3;GRIN3A;GRID1;GRIA2;GRIK4;GRIA1
prerank,transmitter-gated ion channel activity (GO:0022824),0.8303978967475041,2.5683641943431734,0.0,0.0,0.0,17/29,8.86%,GRID2;GRIA4;GRIK5;GRIK2;GABRB3;GRIK1;GABRB1;GABRG3;GABRA2;GRID1;GRIA2;GRIK4;GABRA3;GABRA5;GABRB2;GABRG2;GLRA2
prerank,glutamate receptor activity (GO:0008066),0.8953870071766902,2.544928202358669,0.0,0.0,0.0,13/19,3.60%,GRM7;GRID2;GRIA4;GRIK5;GRIK2;GRM5;GRIK1;GRM8;GRM1;GRID1;GRIA2;GRIK4;GRIA1
prerank,potassium channel activity (GO:0005267),0.6194025592210534,2.450746838513218,0.0,0.0,0.0,34/89,15.79%,KCND2;GRIK5;GRIK2;KCNB2;GRIK1;KCNQ3;KCNN2;KCNQ5;KCNC2;KCNK10;KCND3;KCNT2;KCNMB3;KCNMB2;KCNH7;KCNH5;KCNH1;GRIK4;KCNK2;HCN2;KCNA1;KCNH4;KCNF1;HCN1;TMEM175;KCNG1;KCNMA1;KCNV1;KCNH8;KCNA2;KCNS3;TMEM38A;GRIK3;KCNK12
prerank,voltage-gated cation channel activity (GO:0022843),0.6056240610858555,2.4374980455819886,0.0,0.0,0.0,34/97,13.91%,KCND2;KCNB2;GRIN2A;CACNA2D3;KCNQ3;CACNA1C;CACNA1E;KCNQ5;GRIN2B;KCNC2;CACNA2D1;KCND3;GRIN3A;KCNH7;KCNH5;CACNB2;KCNH1;NCS1;CACHD1;TMC1;HCN2;KCNA1;CACNG4;CACNG2;KCNH4;RYR1;KCNF1;HCN1;KCNG1;KCNMA1;KCNV1;KCNH8;KCNA2;KCNS3
prerank,voltage-gated potassium channel activity (GO:0005249),0.6212391508052006,2.418526406476506,0.0,0.0,0.0,30/80,13.91%,KCND2;KCNB2;KCNQ3;KCNN2;KCNQ5;KCNC2;KCND3;KCNT2;KCNH7;KCNH5;KCNH1;KCNJ3;KCNJ10;KCNJ6;KCNK2;KCNJ9;HCN2;KCNIP2;KCNA1;KCNH4;KCNJ16;KCNF1;HCN1;KCNG1;KCNMA1;KCNJ12;KCNV1;KCNH8;KCNA2;KCNS3
prerank,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1904315),0.7811917897909749,2.393716920499677,0.0,0.0,0.0,12/28,7.67%,GRID2;GRIK5;GRIK2;GRIK1;GABRG3;GABRA2;GRID1;GRIK4;GABRA3;GABRA5;GABRG2;CHRNA5
prerank,ionotropic glutamate receptor activity (GO:0004970),0.8662017628286751,2.377494994006331,0.0,0.0,0.0,11/17,3.60%,GRIA4;GRIK5;GRIK2;GRIN2A;GRIK1;GRIN2B;GRIA3;GRIN3A;GRIA2;GRIK4;GRIA1
prerank,neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential (GO:0099529),0.844872385636316,2.3737511031428498,0.0,0.0,0.0,11/19,7.52%,GRID2;GRIK5;GRIK2;GRIK1;GABRG3;GABRA2;GRID1;GRIK4;GABRA3;GABRA5;GABRG2
prerank,ion channel activity (GO:0005216),0.6003710759786574,2.3255952724594353,0.0,0.0,0.0,22/80,8.42%,GRID2;GRIA4;GRIK5;GRIK2;GRIN2A;GRIK1;UNC80;TRPM3;GABRB1;GRIN2B;GRIA3;GRIN3A;NALCN;TRPC1;GRID1;GRIA2;GRIK4;GRIA1;TMC1;CHRNA5;PKD1L3;TRPM1
prerank,ligand-gated cation channel activity (GO:0099094),0.6023434656007631,2.2784544118875107,0.0,0.0,0.0,19/75,7.72%,ASIC2;GRIA4;GRIK5;GRIK2;GRIN2A;GRIK1;KCNN2;GRIN2B;GRIA3;GRIN3A;GRIA2;GRIK4;GRIA1;KCNJ3;KCNJ10;KCNJ6;KCNJ9;CHRNA5;KCNJ16
prerank,neuropeptide receptor activity (GO:0008188),0.6939885184647419,2.157454694019277,0.0,0.00039990631378191186,0.005,12/29,15.71%,SORCS1;HCRTR2;SORCS3;GPR37;NPY2R;NTSR1;GPR143;NPSR1;GALR1;NPY1R;TACR3;OPRM1
prerank,heparan sulfate sulfotransferase activity (GO:0034483),0.804427190535292,2.1299776333701006,0.0,0.0007426831541664078,0.011,8/15,3.81%,HS3ST6;HS3ST5;HS6ST3;HS3ST4;HS6ST2;NDST4;NDST3;HS3ST1
prerank,ligand-gated anion channel activity (GO:0099095),0.783980828062577,2.124209786902503,0.0,0.0007509351892127012,0.012,10/17,8.86%,GABRB3;GABRB1;GABRG3;GLRA1;GABRA2;GABRA3;GABRA5;GABRB2;GABRG2;GLRA2
prerank,sodium channel activity (GO:0005272),0.6391944777753296,2.119516140963658,0.0,0.000758155719878208,0.013,12/37,10.58%,ASIC2;GRIK5;GRIK2;GRIK1;SCN2A;SCN1A;GRIK4;SCN3A;SCN9A;HCN2;SLC4A11;HCN1
prerank,GABA receptor activity (GO:0016917),0.7349331537254248,2.101448236637772,0.0,0.0009684005833738454,0.018,10/21,8.53%,GABRB3;GABRB1;GABRG3;GABRA2;GABRA3;GABRA5;GABRB2;GABRG2;GABBR1;GPR156
prerank,GABA-A receptor activity (GO:0004890),0.7462782863506715,2.0542457658059243,0.0,0.001877337973031753,0.035,8/18,7.52%,GABRB3;GABRB1;GABRG3;GABRA2;GABRA3;GABRA5;GABRB2;GABRG2
prerank,GABA-gated chloride ion channel activity (GO:0022851),0.827074085907606,2.0310483368463337,0.0,0.0022801675785810763,0.044,8/12,7.52%,GABRB3;GABRB1;GABRG3;GABRA2;GABRA3;GABRA5;GABRB2;GABRG2
prerank,phosphatidylinositol binding (GO:0035091),-0.5301920843602395,-2.0153561257561368,0.0,0.017521213998141837,0.015,38/91,20.61%,DENND1A;SNX10;PITPNC1;SNX2;SNX9;PITPNA;ITPR1;SNX27;SNX8;MTM1;FES;SNX24;WDFY3;PITPNM1;SNX5;ANKFY1;FCHO2;ESYT1;PICALM;HIP1;EEA1;ESYT2;MYO1E;SESTD1;SNX13;NCF1;AIDA;CCDC88A;ITPR3;RNF34;SNX16;APPL2;WDFY1;SNX1;SNX4;DENND1B;APPL1;MPPE1
