Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,cation channel complex (GO:0034703),-0.5874782736805181,-2.329777454199754,0.0,0.0,0.0,29/72,8.77%,AKAP6;GRIA4;UNC80;PDE4D;OLFM2;SHISA9;GRIA1;GRIN2A;GRIN2B;SHISA6;MCU;TRPC5;SCN2A;RYR3;RYR2;TRPC4;VWC2;VWC2L;CACNG2;GRIA2;GRIA3;CALM1;KCNA6;MCUB;PKD2;GRIN3A;MICU2;TRPC3;GRIN2D
prerank,ionotropic glutamate receptor complex (GO:0008328),-0.6976880126553515,-2.3027044856569807,0.0,0.0,0.0,17/32,8.77%,GRIK2;GRID2;GRIA4;OLFM2;SHISA9;GRIA1;GRIN2A;GRIN2B;SHISA6;VWC2;VWC2L;CACNG2;GRIA2;GRIA3;GRIK4;GRIN3A;GRIN2D
prerank,ion channel complex (GO:0034702),-0.6708327758486629,-2.283557369502058,0.0,0.0,0.0,14/35,14.74%,GRID2;LRRC8C;UNC80;SHISA9;TRPC5;TRPC4;STXBP5;PKD2;LRRC8B;TRPC3;ANO6;CHRNA4;KCNQ1;PKD1
prerank,AMPA glutamate receptor complex (GO:0032281),-0.702884085176269,-2.073489852063686,0.0,0.003656255712899551,0.012,10/20,5.13%,GRIA4;OLFM2;SHISA9;GRIA1;SHISA6;VWC2;VWC2L;CACNG2;GRIA2;GRIA3
prerank,postsynaptic density (GO:0014069),-0.4428492253148165,-1.944049408419426,0.0,0.0164250256641026,0.059,43/135,11.79%,DLG2;MAGI2;NLGN1;KCND2;CTNND2;PDLIM5;ADD3;GPHN;DNM3;DNAJC6;LRRC7;GRM5;SPOCK1;SHISA9;GRIA1;GRIN2A;GRIN2B;SHISA6;GRM1;SLC8A3;RPL30;NTRK2;RPS3;CACNG2;GRIA2;SHANK3;MTMR2;ARHGEF9;KCND3;CACNA1C;HOMER1;NETO1;DNM1;RPS27;INSYN2A;SYNDIG1;RPS25;GRIN2D;RPL38;ADCY8;P2RY1;SRCIN1;RPS14
prerank,asymmetric synapse (GO:0032279),-0.4396418350531454,-1.914065920938861,0.0,0.021937534277397308,0.096,35/128,8.38%,DLG2;MAGI2;NLGN1;GRM7;KCND2;CTNND2;PDLIM5;ADD3;GPHN;DNM3;DNAJC6;LRRC7;SPOCK1;SHISA9;GRIA1;GRIN2A;GRIN2B;SHISA6;SLC8A3;RPL30;NTRK2;RPS3;GRIA2;SHANK3;MTMR2;ARHGEF9;KCND3;CACNA1C;HOMER1;NETO1;DNM1;RPS27;INSYN2A;SYNDIG1;RPS25
prerank,postsynaptic density membrane (GO:0098839),-0.6478517971291116,-1.891127996088948,0.0,0.024589324135104677,0.127,9/20,8.77%,DLG2;GRM5;GRIN2A;GRIN2B;GRM1;CACNG2;NETO1;SYNDIG1;GRIN2D
prerank,postsynaptic specialization membrane (GO:0099634),-0.6361457901580128,-1.8770692065124148,0.0,0.02615629086920448,0.147,9/21,8.77%,DLG2;GRM5;GRIN2A;GRIN2B;GRM1;CACNG2;NETO1;SYNDIG1;GRIN2D
prerank,voltage-gated potassium channel complex (GO:0008076),-0.46649340227106045,-1.8477472350611437,0.0,0.03312505175789337,0.198,17/73,6.40%,KCNIP4;CNTNAP2;KCND2;DPP6;KCNB2;DPP10;KCNIP1;HCN1;KCNC2;KCNQ5;KCNJ3;KCNMB2;KCNH1;KCND3;KCNA6;KCNQ3;KCNAB2
prerank,potassium channel complex (GO:0034705),-0.45478741728981176,-1.8416644046300257,0.0025188916876574307,0.0324000506250791,0.209,18/80,6.64%,KCNIP4;CNTNAP2;GRIK2;KCND2;DPP6;KCNB2;DPP10;KCNIP1;KCNC2;KCNQ5;KCNJ3;KCNMB2;KCNH1;KCND3;KCNA6;KCNQ3;KCNAB2;GRIK4
prerank,glutamatergic synapse (GO:0098978),-0.468498380291156,-1.8189503762022798,0.0,0.0368182393466808,0.254,20/66,9.81%,LRRC4C;NLGN1;LRFN5;NRG3;PTPRD;ADGRL3;CADPS;CDKL5;SHISA6;ATP2B1;SLITRK1;IL1RAPL1;IL1RAPL2;APOE;PCLO;GSK3B;ACTB;LRRTM3;DLGAP1;DLGAP2
prerank,catenin complex (GO:0016342),-0.5422839201793542,-1.7936663897340848,0.004784688995215311,0.041437564746194915,0.298,14/31,13.46%,CTNNA2;CTNNA1;CDH8;APC2;CDH22;CDH4;CDH7;CDH20;CDH10;CDH11;CDH13;CDHR3;CDH5;CDH1
prerank,U1 snRNP (GO:0005685),0.6398291972226999,1.7881976436415983,0.00539568345323741,0.372052453686725,0.31,8/18,18.72%,SNRNP70;SNRPA;SNRPC;SNRPF;PRPF39;LUC7L3;LUC7L;SNRPN
prerank,calcium channel complex (GO:0034704),-0.49437457763699916,-1.7785725559455452,0.0,0.0451731475061199,0.341,14/45,8.54%,PDE4B;AKAP6;CACNA2D3;PDE4D;MCU;TRPC5;RYR3;RYR2;TRPC4;CALM1;CACNA1C;MCUB;MICU2;CACHD1
prerank,neuron projection (GO:0043005),-0.34506489089466397,-1.74853412620275,0.0,0.05400008437513183,0.417,109/529,10.00%,DLG2;MAGI2;CNTNAP2;NLGN1;GRM7;BRINP3;CTNNA2;ANK3;GPHN;KCNB2;IQGAP1;DNM3;ANK2;RIT2;ADGRL3;ALCAM;LRRK2;TENM3;UNC80;KIRREL3;CCR2;NRCAM;KCNN2;GPM6A;GABRB1;KCNC2;GRIA1;HTT;PCSK2;GRIN2B;MAP1B;SV2C;SLC8A3;SCN2A;BDNF;ADAM22;HRH1;ADCY2;APP;SYT1;MME;MYO5A;KIF1B;IL1RAPL1;HTR2C;TENM2;SV2B;RAPGEF2;NTRK2;CNTN6;CPEB3;EMB;GRIP1;NPTN;MARK3;GLRA1;NTRK3;MAP2;SLC5A7;GRIA2;APOE;SHANK3;MTMR2;GABRA3;PALLD;GABRG3;PCLO;STMN4;SLC4A10;GSK3B;HTR2B;GABRG1;CDC42;SCN3A;CHAT;STRN3;IGHMBP2;HOMER1;GABRA2;SNAP25;NCAM1;DNM1;BRINP2;RET;CHRM2;GRIN3A;OPRM1;CHRM3;PRKN;EPHA5;HTR1D;PLK2;GABRG2;ELAVL4;SLC12A5;ATP7A;ACTB;GABRB3;TENM4;CCSAP;RAB3A;RASGRF1;NCAM2;SPTBN4;MAP9;OPRD1;CDH13;CHRNA4;HTR4
prerank,phagocytic vesicle (GO:0045335),0.4387009655844232,1.7147009869360914,0.0,0.42676604981712574,0.541,40/93,22.60%,SRGAP2;ITGB5;TLR7;UNC93B1;ANXA3;ATP6V0B;ITGAV;TAP2;CTSS;PIK3C3;STX12;PIP4P1;TCIRG1;ATP6V0A2;PLA2G5;ZDHHC5;CLEC4E;APPL1;PLD4;RAB34;RAB39A;MTOR;HVCN1;ATP6V0A4;STX4;PDIA3;RAB20;RAB32;SNX3;ATP6V0E2;RAB7B;ATG5;SLC11A1;VAMP7;NOD2;SYT11;RAB8B;HGS;ATP6V0C;RAB9A
prerank,Ino80 complex (GO:0031011),0.6692822741193201,1.709308670190962,0.009057971014492754,0.2957573835271107,0.552,6/14,13.10%,UCHL5;INO80C;INO80E;NFRKB;ACTL6A;INO80B
prerank,axon (GO:0030424),-0.36520888595740036,-1.6848172254201716,0.0,0.09045014132834583,0.641,43/200,9.04%,CNTNAP2;GRM7;CTNNA2;IQGAP1;DNM3;NFIB;ADGRL3;ALCAM;LRRK2;UNC80;KIRREL3;KCNC2;HTT;MAP1B;SLC8A3;SCN2A;BDNF;ADAM22;APP;SYT1;MME;KIF1B;NTRK2;CNTN6;EMB;NPTN;NTRK3;SLC5A7;MTMR2;PALLD;PCLO;GSK3B;SCN3A;IGHMBP2;DNM1;RET;OPRM1;EPHA5;ELAVL4;ATP7A;ACTB;CCSAP;RAB3A
prerank,sarcolemma (GO:0042383),-0.46155847230716873,-1.684761740422506,0.005089058524173028,0.08479700749532422,0.641,12/51,5.46%,SGCZ;AHNAK;DMD;ANK3;ANK2;SLC8A3;PDE9A;RYR3;RYR2;SGCD;AQP4;SYNM
prerank,aggresome (GO:0016235),-0.5000134390657236,-1.6821257317779506,0.0023752969121140144,0.08146336258062167,0.647,13/34,19.24%,HOXC9;BAG3;TRIM37;XRN2;PRKN;ZDHHC17;PRDM16;EPS15;PRKCQ;HSPA1B;UBQLN1;KLHL14;POLD1
prerank,integral component of postsynaptic density membrane (GO:0099061),-0.6798675090013526,-1.6654386787937687,0.013186813186813187,0.08378302564781968,0.7,5/11,7.68%,LRRC4C;LRFN5;ADAM22;LRFN1;GSG1L
prerank,intrinsic component of postsynaptic density membrane (GO:0099146),-0.6798675090013526,-1.6654386787937687,0.013186813186813187,0.08378302564781968,0.7,5/11,7.68%,LRRC4C;LRFN5;ADAM22;LRFN1;GSG1L
prerank,transport vesicle membrane (GO:0030658),-0.4736339872680357,-1.6618314644646057,0.011848341232227487,0.08156262744160538,0.713,22/41,26.99%,CD74;GRIA1;SYT1;B2M;GOSR2;SEC23A;SAR1B;RAB3A;SEC24D;TMED2;LMAN1;SEC24B;RASSF9;SLC18A3;CA4;SEC24C;SLC18A1;FOLR1;SEC22B;SLC18A2;VTI1B;CNIH1
prerank,T cell receptor complex (GO:0042101),-0.6836336784808421,-1.6499861493313963,0.01764705882352941,0.08555370510623565,0.75,9/10,31.16%,CD3E;CD247;CD3D;TRAT1;CD8B;CD4;CD8A;SYK;CD3G
prerank,INO80-type complex (GO:0097346),0.5573360499039226,1.6467287249222016,0.014234875444839857,0.40898413107474557,0.751,8/24,13.10%,BRD8;UCHL5;INO80C;INO80E;NFRKB;SRCAP;ACTL6A;INO80B
prerank,integral component of postsynaptic specialization membrane (GO:0099060),-0.5894563244867258,-1.6068570553852386,0.027896995708154508,0.11531268017606278,0.859,5/15,7.68%,LRRC4C;LRFN5;ADAM22;LRFN1;GSG1L
prerank,dendrite (GO:0030425),-0.33280765973722126,-1.5870932557859798,0.0,0.1296197677482784,0.894,52/251,8.42%,MAGI2;CNTNAP2;NLGN1;GRM7;BRINP3;ANK3;GPHN;KCNB2;LRRK2;KIRREL3;CCR2;CDKL5;KCNC2;GRIA1;HTT;MAP1B;SLC8A3;BDNF;HRH1;ADCY2;MME;KIF1B;IL1RAPL1;HTR2C;TENM2;NTRK2;CPEB3;MARK3;MAP2;SLC5A7;GRIA2;APOE;MTMR2;GABRA3;GABRG3;SLC4A10;GSK3B;HTR2B;GABRG1;STRN3;HOMER1;GABRA2;BRINP2;CHRM2;OPRM1;CHRM3;EPHA5;HTR1D;PLK2;GABRG2;ELAVL4;ATP7A
prerank,polysomal ribosome (GO:0042788),-0.4898103645658954,-1.5826635530149589,0.020134228187919462,0.12839082561066503,0.902,14/29,21.68%,RPL36A;RPS29;RPL30;RPL7A;RPL41;NUFIP2;RPL18A;RPL38;BTF3;RPL24;RPL8;RPL19;RPL18;RPS23
prerank,prespliceosome (GO:0071010),0.6069626437534973,1.581255025724595,0.020370370370370372,0.4895347031556133,0.921,9/15,20.82%,SNRNP70;SF3B1;U2AF2;PRPF39;LUC7L3;SF3A1;LUC7L;SNRPN;LSM7
prerank,U2-type prespliceosome (GO:0071004),0.6069626437534973,1.581255025724595,0.020370370370370372,0.4895347031556133,0.921,9/15,20.82%,SNRNP70;SF3B1;U2AF2;PRPF39;LUC7L3;SF3A1;LUC7L;SNRPN;LSM7
prerank,GABA-A receptor complex (GO:1902711),-0.5567569160097396,-1.580988831248973,0.02666666666666667,0.12478519497686716,0.904,9/18,15.74%,GABRB1;GABRA3;GABRG3;GABRG1;GABRA2;GABRG2;GABRB3;GABRA5;GABRQ
prerank,clathrin vesicle coat (GO:0030125),0.640443238414615,1.5744627135351232,0.012750455373406194,0.441486612585543,0.926,5/12,12.16%,EPN1;NECAP2;AP2A1;CLTB;CLTA
prerank,GABA-ergic synapse (GO:0098982),-0.5801089564387635,-1.5704899632973286,0.043478260869565216,0.130197318817926,0.919,7/16,18.81%,LRFN5;ATP2B1;SLITRK1;PCLO;MDGA1;CBLN4;BSN
prerank,exocytic vesicle membrane (GO:0099501),-0.4444701934108981,-1.5661636821937468,0.016548463356973995,0.12471448058066163,0.923,15/41,12.61%,PTPRN2;SYN3;SYN1;MCTP2;BORCS5;SV2C;SYN2;SYT1;SV2B;UNC13C;SYNPR;SYNDIG1;MCTP1;DTNBP1;UNC13B
prerank,synaptic vesicle membrane (GO:0030672),-0.4444701934108981,-1.5661636821937468,0.016548463356973995,0.12471448058066163,0.923,15/41,12.61%,PTPRN2;SYN3;SYN1;MCTP2;BORCS5;SV2C;SYN2;SYT1;SV2B;UNC13C;SYNPR;SYNDIG1;MCTP1;DTNBP1;UNC13B
prerank,filopodium membrane (GO:0031527),-0.614296328723171,-1.5538737296422995,0.038135593220338986,0.13084934238313195,0.933,5/12,8.44%,DMD;UTRN;SYNE2;PALM;TBC1D10C
prerank,synaptic membrane (GO:0097060),-0.48182033933570445,-1.5416161989402293,0.023109243697478993,0.13695021398470936,0.947,7/26,4.69%,GPHN;SHISA9;GRIA1;GRIN2A;GRIN2B;SHISA6;MTMR2
prerank,sarcoplasmic reticulum (GO:0016529),-0.43817979998921436,-1.537496826599972,0.025943396226415096,0.13641553572991974,0.953,11/41,10.85%,ANK3;AKAP6;ITPR1;RYR3;RYR2;SYNE2;ATP2A2;DMPK;TMEM38B;ATP2A3;TMEM38A
prerank,cytosolic large ribosomal subunit (GO:0022625),-0.4141184632826583,-1.5368506119110763,0.01715686274509804,0.13246895698274527,0.953,21/53,21.08%,RPL36A;RPL30;RPL35A;RPL4;RPLP2;RPL7A;RPL41;RPL26;RPL18A;RPL38;RPL37;RPL24;RPLP0;RPLP1;RPL8;RPL22;RPL19;RPL13A;RPL18;RPL23A;RPL29
prerank,ribosome (GO:0005840),-0.4023448154656274,-1.5354950330860735,0.012658227848101266,0.1298524756217659,0.953,26/61,21.68%,RPL36A;RPS29;RPL30;RPS3;RPS7;RPL7A;RPL41;NUFIP2;SRP68;RPS27;RPL18A;RPS25;RPL38;SF1;BTF3;MRPS7;RPL24;RPS9;RPL8;RPS10;RPL19;RPL13A;RPL18;RPS5;RPS19;RPS23
