Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,cytokine receptor activity (GO:0004896),0.6278981669954494,1.904082609132132,0.0,0.12129592878504555,0.111,24/83,10.93%,CD74;CCR2;CD44;IFNLR1;FLT3;IL27RA;IFNGR1;IL18RAP;XCR1;CCR1;IL10RA;ACKR2;CCR9;IL6R;IL2RG;IL17RA;CCRL2;CSF2RB;IFNAR1;IL6ST;IL1R2;IL1RAPL2;IL31RA;IL17RB
prerank,C-C chemokine binding (GO:0019957),0.7579129327200047,1.8600688712578646,0.0,0.13822094210388913,0.221,6/22,6.59%,CCR2;XCR1;CCR1;ACKR2;CCR9;CCRL2
prerank,C-C chemokine receptor activity (GO:0016493),0.76158976522783,1.8440891252109175,0.0015313935681470138,0.12474361668332849,0.286,6/21,6.59%,CCR2;XCR1;CCR1;ACKR2;CCR9;CCRL2
prerank,microtubule minus-end binding (GO:0051011),-0.7270081152253762,-1.800141957029549,0.0026455026455026454,0.7230320699708455,0.433,9/13,20.55%,CAMSAP1;NUMA1;TUBGCP5;CAMSAP2;MACF1;TUBGCP6;HAUS4;CEP290;TUBGCP2
prerank,non-membrane spanning protein tyrosine kinase activity (GO:0004715),0.6626636509980791,1.7948957087898085,0.0014265335235378032,0.22637205313953268,0.556,10/35,7.23%,FGR;HCK;LYN;FYN;SYK;SLA;ZAP70;STYK1;PTK2B;DYRK1A
prerank,chemokine receptor activity (GO:0004950),0.717472259479398,1.7873444883739231,0.01037037037037037,0.20234793701195192,0.589,7/24,6.59%,CCR2;XCR1;CCR1;ACKR2;CCR9;GPR35;CCRL2
prerank,transmitter-gated ion channel activity (GO:0022824),-0.5664288404064304,-1.7858698089024048,0.003246753246753247,0.4365263823380924,0.483,14/29,18.53%,GRIA4;GRIA2;GABRG3;GABRG2;GRIK4;GRID2;GABRB1;GRIK1;GLRA3;GLRA2;GABRA4;GABRB3;GABRA2;GABRA5
prerank,chemokine binding (GO:0019956),0.6976805673738038,1.7682846497038256,0.0014388489208633094,0.2148536412975419,0.681,7/30,6.59%,CCR2;ITGA4;XCR1;CCR1;ACKR2;CCR9;CCRL2
prerank,MAP kinase kinase kinase activity (GO:0004709),0.831171278541544,1.7670535207729765,0.0034129692832764505,0.18832435454776725,0.688,7/11,14.60%,MAP3K15;MAP3K5;MAP3K1;MAP3K4;MAP3K7;MAP3K20;MAP3K13
prerank,MHC protein binding (GO:0042287),0.7223959224410594,1.7540789316010652,0.006472491909385114,0.19604807094327129,0.737,4/20,6.24%,CD74;LILRB1;PILRA;TAP1
prerank,thioesterase binding (GO:0031996),0.8306966593135268,1.7538551230738946,0.003389830508474576,0.1743694273404315,0.738,6/11,8.24%,TRAF1;CDC42;TRAF4;ADRA2A;TRAF3;RAC1
prerank,MHC class II protein complex binding (GO:0023026),0.8073230277333691,1.7260802078064554,0.010309278350515464,0.22726531773136052,0.858,1/11,0.02%,CD74
prerank,G protein-coupled chemoattractant receptor activity (GO:0001637),0.7635456909311176,1.7232531294373539,0.009787928221859706,0.2124174651380114,0.87,6/15,6.59%,CCR2;XCR1;CCR1;ACKR2;CCR9;CCRL2
prerank,"oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor (GO:0050664)",0.775954277221258,1.7169841729123858,0.0016556291390728477,0.21007389216583144,0.881,7/14,13.52%,KMO;CYBB;NOX1;CYB5R4;NCF2;AIFM1;NCF1
prerank,cadherin binding involved in cell-cell adhesion (GO:0098641),0.7104180183689246,1.6942765879630588,0.013029315960912053,0.2538028706659063,0.929,7/18,13.36%,PDLIM5;STXBP6;ANXA2;PDLIM1;ANXA1;S100A11;TMOD3
prerank,nucleotidyltransferase activity (GO:0016779),0.6888185021304013,1.6892886254661177,0.014218009478672985,0.24977827195547306,0.94,9/19,14.89%,DNTT;PAPSS1;TUT1;PAPSS2;TENT2;MTPAP;TUT7;PNPT1;TENT4B
prerank,N-methyltransferase activity (GO:0008170),-0.6080932060869564,-1.6880527623389312,0.0028169014084507044,0.8222938830089648,0.838,7/20,9.06%,METTL15;TRMT1;ZCCHC4;SETD3;HNMT;TRMT1L;DIMT1
prerank,inhibitory extracellular ligand-gated ion channel activity (GO:0005237),-0.6675838117934169,-1.681923719661584,0.012468827930174564,0.6578915051645798,0.862,7/13,18.53%,GABRG3;GABRG2;GLRA3;GLRA2;GABRA4;GABRA2;GABRA5
prerank,voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization (GO:1902282),0.788139256917854,1.6815998408749833,0.013422818791946308,0.2539378850171677,0.962,2/11,3.32%,KCNE3;KCNQ1
prerank,endodeoxyribonuclease activity (GO:0004520),0.7013563736652604,1.6762468505755796,0.01393188854489164,0.25440410644886735,0.966,11/20,20.00%,DNA2;RBBP8;MRE11;FEN1;MBD4;RPS3;EXOG;ERCC4;ENDOV;SETMAR;APEX1
