Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,condensed chromosome (GO:0000793),0.8674511550053167,1.994775433060756,0.0,0.0,0.0,22/54,5.08%,MKI67;CENPE;NCAPG;CENPA;RAD51;NCAPD2;AURKB;HMGB2;FANCD2;INCENP;SMC2;SUV39H1;NCAPD3;RCC1;SMARCA5;RGS12;SGO1;SMC6;LIG4;CHAMP1;CTCF;CHEK1
prerank,spindle microtubule (GO:0005876),0.8378711002176406,1.9631270605879587,0.0,0.00041242041969248583,0.001,17/60,3.90%,KIF11;CENPE;PRC1;KIF18B;KIF4A;CDK1;SKA3;BIRC5;AURKB;SKA1;KNTC1;SKA2;KIF18A;PLK1;AURKA;HAUS5;HAUS6
prerank,mitotic spindle (GO:0072686),0.8223390021218021,1.948870843071877,0.0,0.0005498938929233145,0.002,35/116,5.95%,KIF11;NUSAP1;KIF23;TPX2;KIF18B;CKAP2L;KIFC1;CDK1;KIF22;SKA3;KNSTRN;ECT2;SKA1;TACC3;MAD2L1;FAM83D;RACGAP1;KIF18A;SPAG5;CCSAP;ESPL1;MAPK1;PHLPP2;PYCR3;MAD1L1;NIN;HAUS5;HAUS6;CDC27;EPB41;MAP4;CEP295;HEPACAM2;IKBKG;CLASP1
prerank,spindle (GO:0005819),0.8151533253644883,1.9439486424376116,0.0,0.00041242041969248583,0.002,44/180,4.45%,KIF11;CENPF;NUSAP1;KIF23;TPX2;PRC1;KIF4A;BUB1B;TTK;CKAP2L;KIFC1;CDK1;KIF22;SKA3;BIRC5;KNSTRN;AURKB;ECT2;SKA1;TACC3;MAD2L1;KIF2C;FAM83D;RACGAP1;SKA2;CDC20;KIF20A;INCENP;SPAG5;CCSAP;PLK1;ESPL1;MAPK1;PHLPP2;PYCR3;AURKA;FBXO5;MAD1L1;NIN;CHAMP1;HASPIN;NEDD9;CDC27;EPB41
prerank,chromosome (GO:0005694),0.7771747409631451,1.879699592763044,0.0,0.0029694270217858983,0.017,38/152,7.36%,TOP2A;MKI67;CENPE;NCAPG;RAD51AP1;RAD51;BIRC5;NCAPD2;CDCA2;ESCO2;HMGB2;FANCD2;CENPH;INCENP;SMC2;RAD1;RAD21;BRCA1;TRIP13;POLR1B;BLM;RCC1;SMARCA5;NOL7;TOPBP1;SMC6;LIG4;CHAMP1;DDX18;CTCF;IK;EXOSC8;TEX11;SETX;STAG1;CCDC137;HMGB1;H3-3A
prerank,neuromuscular junction (GO:0031594),-0.49689781761508206,-1.853015069905692,0.0,0.27398718412705164,0.106,19/37,19.88%,SYNGR1;SPOCK1;ANK3;SERPINE2;PSEN2;SLC8A3;DLG2;SNTA1;PDZRN3;CDK5R1;TBC1D24;CDK5;UNC13A;SLC5A7;ASCC1;DLG1;DLG4;SYNGR2;TRIP4
prerank,cyclin-dependent protein kinase holoenzyme complex (GO:0000307),0.8418568613618826,1.8497909667897003,0.0,0.005636412402463974,0.036,8/28,2.55%,CCNF;CDK1;CCNB2;CKS2;CCNB1;CCNA2;CCNE1;CCNE2
prerank,"condensed chromosome, centromeric region (GO:0000779)",0.9571639817868215,1.8330834491002836,0.0,0.009073249233234689,0.065,6/10,2.94%,CENPE;CENPA;NCAPD2;AURKB;NCAPD3;SGO1
prerank,microtubule (GO:0005874),0.7684472507774446,1.830789174432699,0.0,0.00845461860369596,0.07,23/171,1.57%,KIF11;CENPE;KIF23;TPX2;KIF15;PRC1;KIF20B;KIF18B;KIF4A;KIF14;KIFC1;CDK1;KIF22;SKA3;BIRC5;AURKB;SKA1;KIF2C;SKA2;KIF18A;KIF20A;PLK1;CDK5RAP2
prerank,acrosomal vesicle (GO:0001669),0.8077388308452018,1.8129683466074176,0.001095290251916758,0.012372612590774575,0.106,5/39,8.22%,KNL1;DPEP3;VDAC2;ZPBP;PRKACA
prerank,vacuolar proton-transporting V-type ATPase complex (GO:0016471),-0.6238519099358715,-1.8030660703287482,0.0106951871657754,0.21392076299150575,0.165,11/18,19.14%,ATP6V1B2;ATP6V1C1;ATP6V0D2;ATP6V0A1;TCIRG1;ATP6V1H;ATP6V1A;ATP6AP2;TMEM199;ATP6V1F;ATP6V1G2
prerank,serine/threonine protein kinase complex (GO:1902554),0.7950775205498211,1.7974655637840158,0.0,0.01641433270376094,0.155,8/35,2.55%,CCNF;CDK1;CCNB2;CKS2;CCNB1;CCNA2;CCNE1;CCNE2
prerank,nuclear chromosome (GO:0000228),0.7380234939924022,1.7475478707105576,0.0,0.041392013030954945,0.359,20/78,7.36%,TOP2A;RAD51;BIRC5;NCAPD2;SMC2;SUV39H1;GINS1;BLM;RCC1;SMCHD1;RGS12;MCM6;TFPT;BRD8;IK;CHEK1;ACTR5;SETX;BRD4;H3-3A
prerank,microtubule cytoskeleton (GO:0015630),0.7263833181205925,1.7466200736490967,0.0,0.03897372966093992,0.365,55/299,7.21%,KIF11;CENPF;CENPE;KIF23;TPX2;KIF15;HMMR;PRC1;KIF20B;KIF18B;BUB1B;KIF14;TTK;CKAP2;KIFC1;KIF22;AURKB;GTSE1;SKA1;KIF2C;CCNB2;FAM83D;RACGAP1;KIF18A;CDC20;CKAP5;KIF20A;INCENP;CCSAP;PLK1;CDK5RAP2;AURKA;FBXO5;MAD1L1;TUBA1C;GAS2L3;CHAMP1;HASPIN;CRHBP;NEDD9;CDC27;MAP4;TUBGCP4;CCT7;HEPACAM2;TUBB4B;CLASP1;DISC1;CSPP1;TUBA1B;JAKMIP1;HDAC6;ANAPC7;CCT2;TCP1
prerank,integral component of vacuolar membrane (GO:0031166),-0.6949917816101716,-1.697434577447297,0.021052631578947368,0.4074681199838205,0.391,6/11,20.19%,TMEM175;SLC46A3;LAMP2;NPC1;LRRC8A;ATP10B
prerank,high-density lipoprotein particle (GO:0034364),-0.592866218047412,-1.6607454131725417,0.02092050209205021,0.42046494794882167,0.498,3/14,5.05%,APOE;PLA2G7;PLTP
prerank,anaphase-promoting complex (GO:0005680),0.7868038611902578,1.6591615927865209,0.02111801242236025,0.1389539567886991,0.822,5/19,6.89%,BUB1B;UBE2C;CDC23;CDC27;ANAPC7
