Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,IL-2/STAT5 Signaling,0.5315570538409109,1.653696851780138,0.0,0.01813508789966074,0.018,53/194,12.63%,MYO1E;PLIN2;BCL2;ALCAM;SPP1;PRKCH;CTSZ;PUS1;CSF1;BCL2L1;RRAGD;IGF2R;IL2RB;UMPS;P2RX4;LRRC8C;CD48;IL18R1;CAPG;MAFF;MUC1;CST7;LTB;CD44;ANXA4;DHRS3;EOMES;IRF6;GLIPR2;NFIL3;NRP1;IL3RA;ETFBKMT;KLF6;GPR83;SELL;LRIG1;BHLHE40;IGF1R;IRF8;MAPKAPK2;NFKBIZ;TRAF1;PLEC;WLS;PIM1;RNH1;HUWE1;TNFRSF1B;NDRG1;SLC1A5;ECM1;CD83
prerank,Coagulation,0.5447334037720629,1.644631636167611,0.0,0.011082553716459342,0.022,32/128,14.67%,PLAU;CTSB;CD9;FN1;GNG12;LRP1;MMP8;PLEK;OLR1;ANXA1;MAFF;HRG;BMP1;A2M;MMP9;TFPI2;DUSP14;F11;P2RY1;LAMP2;FYN;C3;DUSP6;APOC1;SERPINE1;GSN;C8G;CTSE;KLKB1;PROS1;MBL2;CLU
prerank,Unfolded Protein Response,0.5399465563334668,1.6373909503355435,0.0,0.00873170898872554,0.026,62/111,32.21%,CXXC1;ATF3;GOSR2;NFYA;EIF4A1;EIF4G1;CNOT4;MTHFD2;RPS14;ATP6V0D1;EDEM1;EEF2;EXOSC4;ERN1;TATDN2;VEGFA;XPOT;EIF2S1;ERO1A;NOLC1;DCTN1;DNAJB9;EXOC2;EXOSC9;EXOSC10;SPCS3;DCP1A;NFYB;EIF4A3;EDC4;HSPA9;CEBPG;WFS1;EXOSC5;PSAT1;CNOT6;RRP9;NPM1;ARFGAP1;EIF4A2;DKC1;CALR;LSM4;TARS1;BAG3;ATF4;HSPA5;KHSRP;YWHAZ;SSR1;FUS;EIF4E;NOP14;ZBTB17;HSP90B1;ASNS;NABP1;HERPUD1;DDX10;XBP1;FKBP14;DCP2
prerank,Allograft Rejection,0.5267776626641762,1.62798294060485,0.0,0.00730441040403002,0.029,52/184,11.65%,LCK;HIF1A;CD3E;CD96;CD247;CSF1;FLNA;IL2RB;ELF4;ITK;CD8B;AARS1;PTPRC;ITGAL;CD4;IL18RAP;FGR;HDAC9;CD8A;EIF3A;CAPG;TRAF2;CCL4;LTB;CD2;STAT4;GZMB;GZMA;CD7;CD3G;MMP9;CD28;NCR1;IL12RB1;TRAT1;NCK1;TPD52;IL27RA;PRKCB;PRF1;TAPBP;CCL13;IRF8;BRCA1;NCF4;B2M;SOCS5;RARS1;CRTAM;CCR2;CCL7;CCL5
prerank,Cholesterol Homeostasis,0.5481609785700806,1.597996255705065,0.0010515247108307045,0.008463041019841678,0.041,21/72,14.67%,LGALS3;ALCAM;LPL;CTNNB1;CD9;ATF3;ANXA5;FABP5;PLAUR;NFIL3;ANTXR2;S100A11;PPARG;JAG1;CPEB2;ACTG1;ATF5;GUSB;ALDOC;CXCL16;CLU
prerank,TNF-alpha Signaling via NF-kB,0.505250854308122,1.551483761495136,0.0,0.013601315924745554,0.075,78/192,24.77%,PLAU;LITAF;B4GALT5;ABCA1;CSF1;ATF3;PLEK;OLR1;NFE2L2;PLAUR;SAT1;SGK1;EIF1;ATP2B1;TANK;CCL4;TNIP1;MCL1;MAFF;CD44;ID2;NR4A3;SPHK1;SQSTM1;PANX1;TGIF1;NFIL3;JAG1;KLF6;CCNL1;BCL6;PLPP3;SIK1;PFKFB3;VEGFA;EGR2;PLK2;BHLHE40;GEM;RCAN1;TRAF1;JUN;FOSB;SERPINE1;CCL5;TNIP2;NAMPT;CD83;TIPARP;TNFRSF9;EFNA1;DRAM1;NFKB1;YRDC;NR4A2;NINJ1;TNFSF9;MAP2K3;MAP3K8;IL6;IFIT2;B4GALT1;TSC22D1;SOD2;SLC2A6;PTGER4;PPP1R15A;TNFAIP2;EGR1;EHD1;REL;SERPINB8;PMEPA1;TNF;GADD45A;KYNU;BIRC2;SDC4
prerank,Myc Targets V1,0.49167794837265066,1.5174874157279594,0.0,0.01755937082348103,0.113,104/197,32.71%,EPRS1;PSMD8;PSMD1;EIF4A1;EIF1AX;SRPK1;CCT2;RPS6;MCM7;MCM2;RPL18;HNRNPA3;DDX21;MRPL23;ETF1;SF3B3;TRIM28;XPOT;EIF4G2;EIF2S1;UBE2L3;HNRNPC;PSMA1;RPS2;PGK1;NOLC1;RACK1;PABPC1;FAM120A;LDHA;SLC25A3;RANBP1;SRSF7;PWP1;XPO1;SMARCC1;CDK2;PSMD14;DDX18;SYNCRIP;HNRNPA2B1;PPIA;HSPD1;DEK;PCBP1;CAD;PSMC6;C1QBP;PSMA6;RPL14;ODC1;HNRNPU;CNBP;GSPT1;CBX3;GNL3;PTGES3;TARDBP;SRSF2;EIF2S2;RPS3;MCM6;DUT;SNRPB2;CCT5;CUL1;RRP9;HSP90AB1;PABPC4;NPM1;PRPS2;CANX;AP3S1;EIF3B;HSPE1;AIMP2;G3BP1;SNRPG;HDAC2;CDK4;USP1;PSMD7;HPRT1;SNRPA;EIF4E;CSTF2;RUVBL2;SRSF1;PRDX3;TRA2B;PSMC4;PRPF31;IFRD1;HDGF;RPS10;VDAC3;SET;RFC4;RSL1D1;PSMD3;ILF2;SNRPD2;SNRPD1;NME1
prerank,Angiogenesis,0.5706939630320417,1.5082811913823282,0.010192525481313703,0.017757273568417806,0.13,13/34,16.20%,LPL;SPP1;POSTN;OLR1;PDGFA;NRP1;JAG1;VEGFA;LRPAP1;FSTL1;PRG2;CCND2;APOH
prerank,Complement,0.48717223162539963,1.5045030353946256,0.0,0.01667980306820648,0.135,52/184,16.43%,LGALS3;CTSB;S100A9;LCK;FN1;CTSD;LRP1;MMP8;MMP12;PLEK;ANXA5;OLR1;PLAUR;LTF;GPD2;LIPA;MAFF;PPP4C;GZMB;GZMA;C4BPB;DYRK2;RAF1;TFPI2;PRKCD;AKAP10;MSRB1;ATOX1;PIK3R5;KLK1;GATA3;GRB2;RASGRP1;LAMP2;FYN;C3;DUSP6;APOC1;PIM1;RHOG;SERPINE1;CCL5;F5;KLKB1;GCA;GZMK;CASP7;CLU;TIMP2;CASP4;DGKH;CBLB
prerank,Hypoxia,0.4776405651942851,1.4828337308251096,0.0,0.019847846201295365,0.174,76/197,23.04%,PLIN2;BCL2;ATF3;RRAGD;PLAUR;SLC6A6;ATP7A;LARGE1;ALDOA;GCNT2;GCK;MAFF;PRDX5;PKP1;SLC2A1;NFIL3;SLC25A1;HEXA;CAV1;SIAH2;GAA;GYS1;KLF6;AK4;PFKFB3;VEGFA;TPD52;NOCT;BHLHE40;HK1;KDM3A;PFKL;PGK1;ERO1A;HMOX1;B3GALT6;LDHA;NAGK;NDST1;JUN;PIM1;ENO1;SERPINE1;NDRG1;ALDOC;TIPARP;DTNA;EFNA1;MAP3K1;DCN;DDIT3;PFKP;ENO2;KLHL24;PLAC8;BGN;XPNPEP1;ISG20;GPI;WSB1;TMEM45A;IL6;NR3C1;SULT2B1;P4HA1;MT1E;CSRP2;PDK3;TPBG;VHL;TES;SDC3;HDLBP;PPP1R15A;PYGM;PGM2
prerank,Myc Targets V2,0.51819350917598,1.4699949397781693,0.017185821697099892,0.022897838257147397,0.218,29/57,24.98%,PUS1;DCTPP1;SORD;GRWD1;RRP12;PPAN;NOLC1;WDR43;UTP20;DDX18;HSPD1;FARSA;PLK4;TCOF1;MYBBP1A;SLC19A1;CBX3;GNL3;NOC4L;EXOSC5;TMEM97;RRP9;PRMT3;NPM1;NDUFAF4;PPRC1;HSPE1;AIMP2;CDK4
prerank,Epithelial Mesenchymal Transition,0.4734188021498045,1.4577627212330146,0.0,0.023844282238442822,0.246,66/194,21.56%,SPP1;FN1;ANPEP;LRP1;POSTN;FLNA;PLAUR;SAT1;LGALS1;ITGA5;COLGALT1;CAPG;SNTB1;VIM;CD44;TAGLN;ID2;TPM2;MATN3;FSTL3;BMP1;MCM7;TFPI2;FGF2;MYL9;ELN;SLC6A8;MGP;DAB2;COL4A1;WIPF1;VEGFA;CADM1;P3H1;GEM;BASP1;COL6A3;COL12A1;TPM4;SERPINE2;JUN;SERPINE1;FUCA1;FBLN1;ECM1;FSTL1;EFEMP2;DCN;PRRX1;LAMC1;ENO2;ACTA2;COL8A2;BGN;PMP22;IL6;ECM2;FERMT2;COL16A1;GLIPR1;DST;TIMP1;TNFRSF11B;CALU;PVR;LAMA3
prerank,Apoptosis,0.4763696090385104,1.4552774717461494,0.0,0.022552609311116557,0.252,68/158,25.05%,LGALS3;CTNNB1;ANKH;BCL2L1;ATF3;IGF2R;SAT1;ANXA1;LEF1;MCL1;VDAC2;CD44;CD2;SQSTM1;NEDD9;CAV1;HSPB1;BID;ETF1;SATB1;BCL2L11;PRF1;PSEN2;LMNA;DIABLO;PLCB2;RNASEL;BRCA1;WEE1;GSR;BAX;HMOX1;DAP;MGMT;JUN;GSN;DAP3;CDK2;SMAD7;H1-0;ROCK1;DCN;DDIT3;CASP7;CLU;ENO2;TIMP2;CASP4;CCND2;BGN;PDCD4;ISG20;IL6;RHOT2;CASP9;SOD2;BIK;TIMP1;DFFA;TNFSF10;LUM;F2R;DNAJA1;TNF;PPP3R1;GADD45A;SLC20A1;CDC25B
prerank,Inflammatory Response,0.4639165149622835,1.438962175010436,0.0,0.02655495013878894,0.304,44/194,12.39%,RGS1;LCK;HIF1A;ABCA1;CSF1;SLC31A2;IL2RB;P2RX4;CD48;OLR1;PLAUR;PTGIR;IL18R1;IL18RAP;CYBB;ITGA5;SLC7A1;ATP2B1;IRAK2;PDPN;OSMR;AXL;BDKRB1;TNFSF15;SPHK1;RAF1;C3AR1;KCNA3;KCNJ2;KLF6;PIK3R5;SELL;DCBLD2;RASGRP1;IFITM1;TAPBP;SRI;RHOG;SERPINE1;CCL7;CCL5;TNFRSF1B;SCN1B;NAMPT
prerank,Reactive Oxygen Species Pathway,0.5100018432360496,1.4072606818315447,0.04008667388949079,0.03841951955039238,0.442,15/48,17.51%,FTL;MSRA;PTPA;PDLIM1;PRDX6;PRDX1;ATOX1;SRXN1;GSR;TXNRD1;MBP;PFKP;CAT;GLRX2;SBNO2
