Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Allograft Rejection,-0.5114536453378302,-2.143031599735726,0.0,0.0,0.0,86/184,24.37%,LYN;PTPRC;ELF4;PRKCB;CD74;FGR;ABI1;CCR2;STAB1;TPD52;ITGB2;RARS1;ST8SIA4;FLNA;ITGAL;SPI1;BRCA1;IL15;CCR1;IL18;SRGN;CCND3;IFNAR2;CFP;EIF4G3;FYB1;TAPBP;PF4;ABCE1;CAPG;EIF3A;IL18RAP;STAT4;NME1;IGSF6;B2M;CD28;PTPN6;HIF1A;GALNT1;DARS1;GBP2;IFNGR2;LCK;IL2RG;TAP2;IL4R;NCF4;CTSS;CD2;FCGR2B;CCL5;ITK;GCNT1;PSMB10;ACVR2A;TRAF2;LCP2;CD40;IKBKB;HCLS1;IL27RA;IL2RB;RPS9;ZAP70;GPR65;RPL9;CSF1;IL7;C2;AARS1;CD79A;STAT1;NLRP3;CD3E;IFNGR1;IL6;CD247;TGFB1;SOCS5;RPL39;IL2RA;PRF1;CCL7;CD47;CD96
prerank,IL-6/JAK/STAT3 Signaling,-0.5594911473913055,-2.0862023201916227,0.0,0.0,0.0,44/82,24.07%,ITGA4;CD44;MAP3K8;CD38;GRB2;CBL;JUN;CD36;TNFRSF1B;PIK3R5;CSF2RA;CD9;IL10RB;STAT3;CCR1;PIM1;IL17RA;PF4;TNFRSF21;MYD88;IFNGR2;IL2RG;IL4R;STAM2;IFNAR1;CSF2RB;CNTFR;IL18R1;SOCS3;PTPN11;IL1R2;CSF1;IL7;STAT1;HAX1;PTPN1;IFNGR1;IL6;TGFB1;HMOX1;TYK2;IL2RA;DNTT;CCL7
prerank,TNF-alpha Signaling via NF-kB,-0.4922965346380749,-2.082056183321117,0.0,0.0,0.0,85/192,23.90%,ABCA1;CD44;ATP2B1;MAP3K8;B4GALT5;NAMPT;BIRC3;TNFAIP8;REL;LITAF;MCL1;BCL6;PLEK;JUN;NFE2L2;CCNL1;PLAU;ATF3;KYNU;CD83;SGK1;PMEPA1;CFLAR;IL18;NFKB1;PTPRE;TNFAIP2;PTGER4;KLF6;TIPARP;PFKFB3;JAG1;PANX1;PLK2;VEGFA;BHLHE40;SAT1;PLAUR;TRIB1;SIK1;EGR1;SDC4;TNIP2;IFNGR2;TRAF1;IL7R;TRIP10;RELA;KLF10;GADD45A;FOSL2;CCL5;IFIT2;CCRL2;SERPINE1;IER2;GCH1;BTG1;KLF2;ID2;TGIF1;RELB;SLC16A6;EHD1;NR4A1;MAP2K3;PHLDA1;IRS2;SOCS3;DUSP5;LDLR;CSF1;B4GALT1;ZC3H12A;PDLIM5;CEBPB;EGR2;TNFSF9;PLPP3;IL6;FUT4;CD69;MAFF;EIF1;DUSP2
prerank,Interferon Gamma Response,-0.49663936526809294,-2.070727458309089,0.0,0.0,0.0,86/184,21.53%,BANK1;EPSTI1;NAMPT;CD74;SLAMF7;CD38;RNF213;SAMHD1;ST8SIA4;ARID5B;IRF2;USP18;RIPK1;STAT3;DHX58;IL15;SAMD9L;PELI1;PARP14;PIM1;NLRC5;NFKB1;TNFAIP2;IRF5;IFNAR2;PSMB9;RNF31;CIITA;TAPBP;RSAD2;RBCK1;DDX60;MVP;HERC6;STAT4;IFI35;MYD88;B2M;BST2;HELZ2;EIF2AK2;SP110;ITGB7;CASP4;NOD1;IFITM2;PTPN6;HIF1A;IL4R;CSF2RB;IFIT1;OASL;CASP7;CCL5;IFIT2;CASP1;OAS3;PSMB10;MT2A;LCP2;GCH1;CD40;BTG1;LGALS3BP;PLA2G4A;LAP3;TRIM14;LATS2;ISG15;TNFSF10;IL2RB;TDRD7;CASP8;PSMB8;SOCS3;CMKLR1;ZNFX1;IL7;GBP6;OAS2;TXNIP;CD274;STAT1;TRIM25;PTPN1;SSPN
prerank,Interferon Alpha Response,-0.5351828030438059,-2.0179206513140926,0.0,0.0,0.0,49/90,25.05%,EPSTI1;CD74;IRF2;ELF1;USP18;DHX58;IL15;SAMD9L;PARP14;PSMB9;RNF31;RSAD2;DDX60;TMEM140;NUB1;HERC6;IFI35;B2M;BST2;HELZ2;EIF2AK2;SP110;UBA7;IFITM2;GBP2;PARP9;TENT5A;MOV10;IL4R;OASL;IFIT2;CCRL2;CASP1;LGALS3BP;LAP3;TRIM14;ISG15;TDRD7;CASP8;PSMB8;CSF1;IL7;TXNIP;TRIM25;IFITM1;CD47;IFI44;GBP4;STAT2
prerank,Mitotic Spindle,-0.4517074338485071,-1.9056402282340967,0.0,0.0,0.0,65/198,14.75%,DOCK2;NEDD9;AKAP13;NOTCH2;ABR;ARHGAP10;ABI1;ITSN1;MYH9;MYO9B;FGD6;ROCK1;KLC1;ARHGEF3;PPP4R2;NIN;ARL8A;BCL2L11;FLNA;ARHGEF2;CAPZB;WASF2;TLK1;KIF3B;KIF11;FGD4;RFC1;CNTRL;CDC42;DYNC1H1;TOP2A;INCENP;CENPF;ARFGEF1;KIF20B;DLGAP5;KIF23;KIF15;SMC4;RAB3GAP1;SASS6;WASL;KIF4A;CEP57;SUN2;ALS2;CENPE;CKAP5;LMNB1;YWHAE;MYO1E;TPX2;CDC42EP2;BUB1;LRPPRC;ARHGEF11;CDK1;CCDC88A;TUBD1;TRIO;MAP1S;RASA1;RACGAP1;NUSAP1;KIF2C
prerank,Complement,-0.4396498510514056,-1.8336229766874297,0.0,0.0007944976419125221,0.004,67/184,18.64%,LYN;CTSB;LIPA;CTSD;GRB2;LRP1;PPP4C;PLEK;PRKCD;AKAP10;C1QA;CD36;PIK3R5;GNAI3;DOCK10;IRF2;KYNU;LAMP2;DYRK2;PIM1;DPP4;ANXA5;USP8;ADAM9;PREP;PSMB9;FN1;C3;PIK3CG;GNG2;PRCP;TIMP2;RNF4;PLAUR;CASP4;CTSC;CTSH;MSRB1;LCK;DUSP6;PRSS36;CP;PIK3CA;F7;CPQ;CD46;CTSS;CASP7;CCL5;SERPINE1;FCER1G;CASP1;LCP2;CBLB;C1QC;PLA2G4A;EHD1;DGKG;LAP3;PLA2G7;GMFB;STX4;HSPA1A;GATA3;ANG;MMP8;DUSP5
prerank,Apoptosis,-0.44265828613591174,-1.8321201775169838,0.0,0.0006951854366734569,0.004,69/158,24.80%,NEDD9;CD44;CD38;BIRC3;MCL1;JUN;ROCK1;CREBBP;BCL2L11;EMP1;ATF3;RNASEL;BRCA1;CFLAR;IL18;TOP2A;VDAC2;ANXA1;GNA15;GSR;HGF;CTNNB1;TIMP2;SAT1;DNAJA1;CASP4;IGF2R;MGMT;APP;RELA;GADD45A;CD2;CASP7;HMGB2;CASP1;DFFA;GCH1;GPX4;FDXR;BID;TNFSF10;DAP3;CASP8;DNAJC3;SMAD7;WEE1;RARA;BNIP3L;ANKH;PDGFRB;CASP2;HSPB1;TXNIP;PPT1;MMP2;BGN;BCL2L2;IFNGR1;IL6;CD69;HMOX1;SPTAN1;BIK;LMNA;PRF1;PPP2R5B;DCN;GUCY2D;PSEN2
prerank,Unfolded Protein Response,-0.47326120521235954,-1.8319413782389236,0.0,0.0006179426103764061,0.004,50/111,24.04%,CNOT4;SLC30A5;ERN1;DCP1A;NFYA;ATF3;XPOT;TATDN2;HSPA9;CNOT2;NABP1;EIF4A2;PREB;FUS;RPS14;ATF6;NOP14;VEGFA;EXOSC5;DCP2;WFS1;CEBPG;DNAJB9;EIF4EBP1;EEF2;EIF4A1;XBP1;HSP90B1;IFIT1;DCTN1;SERP1;SEC31A;SLC7A5;NOLC1;EIF4G1;SRPRB;BAG3;EXOC2;DNAJC3;HYOU1;CXXC1;EXOSC10;ATP6V0D1;EXOSC4;CEBPB;ERO1A;IARS1;EDEM1;MTREX;SHC1
prerank,Inflammatory Response,-0.42219810684381626,-1.792954114657824,0.0,0.0012513337860122224,0.009,53/194,14.07%,LYN;CD48;CYBB;ABCA1;ATP2B1;MSR1;NAMPT;ABI1;P2RX7;STAB1;C3AR1;ADGRE1;AXL;ITGA5;TNFRSF1B;PIK3R5;GNAI3;P2RX4;C5AR1;RGS1;IRAK2;IL15;IL18;GPR132;NFKB1;PTPRE;PTGER4;KLF6;GNA15;TAPBP;AHR;HRH1;IL18RAP;BST2;EIF2AK2;PLAUR;HIF1A;SELENOS;SLC31A1;SLC28A2;IFNGR2;LCK;IL7R;IL4R;IFNAR1;RELA;CCL5;CCRL2;SERPINE1;ACVR2A;LCP2;GCH1;CD40
