Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,E2F Targets,0.8715846447511324,2.1129266475522277,0.0,0.0,0.0,96/198,5.38%,TOP2A;MKI67;CENPE;DIAPH3;HMMR;DLGAP5;KIF18B;KIF4A;BUB1B;CDCA8;DEPDC1;RAD51AP1;SPC24;CDK1;SMC4;SPC25;KIF22;CDKN3;BIRC5;NCAPD2;AURKB;E2F8;TCF19;TACC3;ASF1B;CIT;MAD2L1;KIF2C;UBE2T;CCNB2;RACGAP1;CENPM;RRM2;PSMC3IP;HMGB2;TMPO;CKS2;BARD1;EZH2;CDC20;LBR;MMS22L;CDCA3;LMNB1;SPAG5;TIPIN;JPT1;PLK1;CCNE1;CDKN2C;ATAD2;RAD1;SUV39H1;BRCA1;RAD21;STMN1;TRIP13;ESPL1;TK1;PRIM2;WEE1;GINS1;RPA2;HMGA1;CHEK2;CDC25A;BRCA2;XPO1;POLE;DSCC1;USP1;AURKA;RAD51C;CBX5;EIF2S1;PPM1D;DEK;SMC6;MCM6;HMGB3;HELLS;NUP107;NASP;TIMELESS;PA2G4;POLD1;SLBP;CTCF;PMS2;DUT;PCNA;TFRC;CHEK1;PPP1R8;LIG1;CDKN2A
prerank,G2-M Checkpoint,0.8730871543763163,2.1119180950874537,0.0,0.0,0.0,80/194,4.75%,TOP2A;KIF11;MKI67;CENPF;BUB1;KNL1;CENPE;NUSAP1;KIF23;TPX2;KIF15;HMMR;PRC1;KIF20B;CCNF;NDC80;KIF4A;CENPA;TTK;CDK1;STIL;SMC4;KIF22;UBE2C;CDKN3;BIRC5;AURKB;TACC3;MAD2L1;KIF2C;E2F2;CCNB2;TROAP;POLQ;RACGAP1;PBK;NEK2;TMPO;CKS2;BARD1;EZH2;CDC20;LBR;CCNA2;INCENP;SMC2;LMNB1;JPT1;PLK1;CDKN2C;SUV39H1;CHAF1A;CDC45;RAD21;STMN1;ESPL1;PRIM2;EXO1;RPA2;DBF4;HMGA1;CDC25A;BRCA2;XPO1;POLE;E2F1;NSD2;AURKA;FBXO5;SLC7A1;UCK2;MCM6;HMGB3;PML;ORC5;NASP;RPS6KA5;CDC27;CTCF;RBL1
prerank,Mitotic Spindle,0.8084261584411923,1.9472896033305906,0.0,0.0,0.0,50/198,4.45%,TOP2A;KIF11;CENPF;BUB1;CENPE;NUSAP1;KIF23;TPX2;KIF15;DLGAP5;PRC1;KIF20B;NDC80;KIF4A;TTK;CDK1;SMC4;KIF22;BIRC5;PIF1;ECT2;KIF2C;KNTC1;CCNB2;RACGAP1;NEK2;CKAP5;INCENP;LMNB1;PLK1;CDK5RAP2;ESPL1;ANLN;TUBGCP6;BRCA2;UXT;AURKA;FBXO5;CCDC88A;PCNT;TIAM1;NET1;FLNA;NIN;EZR;SUN2;NEDD9;CEP192;CDC27;EPB41
prerank,Spermatogenesis,0.7310516496906646,1.772662453745714,0.0,0.0022981226891099628,0.01,16/122,3.59%,BUB1;TTK;CDK1;CDKN3;KIF2C;CCNB2;NCAPH;GFI1;ADAD1;NEK2;EZH2;DBF4;DPEP3;AURKA;ART3;TOPBP1
prerank,Estrogen Response Late,0.596886004694345,1.4307738005412356,0.002,0.16325863583437178,0.587,18/186,5.47%,TOP2A;STIL;TMPRSS3;MYB;CDC20;KIF20A;DYNLT3;TIAM1;BATF;AFF1;TJP3;CD44;S100A9;RBBP8;DCXR;CAV1;XRCC3;SLC2A8
prerank,Pperoxisome,0.5738920615025082,1.3765040295247912,0.048830111902339775,0.24360100504565604,0.795,18/97,14.99%,TOP2A;CEL;ABCD1;YWHAH;EPHX2;TSPO;NUDT19;PEX11B;IDI1;ERCC3;SMARCC1;SLC27A2;PEX2;FIS1;ACSL5;ELOVL5;FDPS;IDH2
prerank,Apoptosis,0.5539352878863169,1.3313384834364965,0.036036036036036036,0.3331621292726843,0.92,21/158,8.17%,TOP2A;HMGB2;CD2;BRCA1;PMAIP1;WEE1;DAP;LEF1;ERBB3;VDAC2;CD38;CD44;NEDD9;TNFSF10;CAV1;CASP2;GSN;CDC25B;TSPO;DCN;TAP1
prerank,Pancreas Beta Cells,0.5855223856135241,1.3252379051235983,0.1426991150442478,0.31070618756766694,0.93,6/36,7.89%,FOXA2;NKX6-1;IAPP;FOXO1;AKT3;SPCS1
prerank,Myc Targets V1,0.5473223590463063,1.3188962647507636,0.025,0.2927297611995179,0.939,78/197,19.95%,MAD2L1;CDC20;CCNA2;CDC45;XPO1;USP1;EIF2S1;DEK;MCM6;DDX18;RPL14;PA2G4;RRM1;DUT;PCNA;CCT7;HNRNPC;UBA2;HNRNPA3;U2AF1;TFDP1;CCT2;TCP1;EEF1B2;XRCC6;SRSF3;ILF2;TXNL4A;HNRNPA2B1;POLD2;NCBP1;VBP1;LSM2;RNPS1;IMPDH2;IFRD1;RPS5;SMARCC1;RUVBL2;RPLP0;PSMA4;PRPF31;TYMS;FBL;CCT5;TOMM70;PSMC4;APEX1;CANX;BUB3;HNRNPR;RACK1;HNRNPU;GLO1;MYC;NAP1L1;CLNS1A;PPIA;LSM7;PSMD8;NDUFAB1;TRIM28;KPNB1;SRSF7;SRPK1;SNRPG;RPL18;GSPT1;YWHAE;PGK1;EPRS1;HNRNPA1;RPS6;NCBP2;RPS3;SRSF2;G3BP1;FAM120A
prerank,DNA Repair,0.549920626512604,1.3167794903599443,0.04020100502512563,0.26952382897881644,0.945,57/147,20.36%,RAD51;ERCC4;PRIM1;RPA2;POLA1;GTF3C5;POM121;RFC5;POLR2I;POLR2A;POLD1;POLH;FEN1;DUT;PCNA;LIG1;EDF1;MRPL40;RRM2B;ARL6IP1;ERCC3;IMPDH2;RFC2;CSTF3;NME4;NUDT9;TAF6;TYMS;POLD3;UPF3B;NT5C3A;POLR1D;POLR1C;NFX1;RAD52;RPA3;TP53;NELFB;TARBP2;TAF9;POLR2K;AAAS;AK3;POLR2J;CANT1;HCLS1;TAF1C;DDB2;CLP1;POLA2;CMPK2;NCBP2;SNAPC5;PNP;TK2;GTF2A2;RNMT
prerank,heme Metabolism,0.5474281231409842,1.2997127650162414,0.03203203203203203,0.2842986686673489,0.958,46/185,14.33%,SLC4A1;RHAG;E2F2;TRIM58;EPB42;ICAM4;SPTA1;KEL;ERMAP;GYPB;GYPE;GYPA;RHD;GYPC;LRP10;ALAS2;MKRN1;CDC27;EPB41;OSBP2;TFRC;AGPAT4;SLC25A37;ANK1;MBOAT2;TNRC6B;CTSE;CIR1;NUDT4;UCP2;NFE2L1;TFDP2;RIOK3;RBM38;MXI1;NFE2;RAD23A;BSG;KAT2B;ADIPOR1;UBAC1;HEBP1;ADD2;DCAF11;HTATIP2;USP15
prerank,TGF-beta Signaling,-0.31967684384196793,-1.2660603260653476,0.08333333333333333,0.44412607449856734,0.13384615384615384,20/54,18.44%,ACVR1;TGFBR1;BCAR3;IFNGR2;SMAD1;BMPR2;PPM1A;CTNNB1;SMAD3;ARID4B;SMAD6;SKIL;ENG;RAB31;SMAD7;SERPINE1;ID2;WWTR1;SMURF2;THBS1
prerank,Glycolysis,0.4852457538297304,1.1787003811752312,0.15415415415415415,0.7163248421955754,1.0,33/194,15.82%,HMMR;CENPA;DEPDC1;CDK1;KIF20A;STMN1;PGM2;AURKA;CD44;NASP;EXT1;MPI;TGFA;DCN;TPST1;EGFR;PPP2CB;TXN;CHST12;KIF2A;MXI1;FUT8;PHKA2;PSMC4;PAXIP1;NSDHL;PPIA;SLC25A13;RBCK1;TGFBI;SRD5A3;RPE;PMM2
