ular.0.index	ular.0.Term	ular.0.NES	ular.0.FDR q-val	MeV.1.4.11.index	MeV.1.4.11.Term	MeV.1.4.11.NES	MeV.1.4.11.FDR q-val	MeV.1.4.13.index	MeV.1.4.13.Term	MeV.1.4.13.NES	MeV.1.4.13.FDR q-val	MeV.1.4.15.index	MeV.1.4.15.Term	MeV.1.4.15.NES	MeV.1.4.15.FDR q-val	MeV.1.4.2.index	MeV.1.4.2.Term	MeV.1.4.2.NES	MeV.1.4.2.FDR q-val	MeV.1.4.20.index	MeV.1.4.20.Term	MeV.1.4.20.NES	MeV.1.4.20.FDR q-val	MeV.1.4.21.index	MeV.1.4.21.Term	MeV.1.4.21.NES	MeV.1.4.21.FDR q-val	MeV.1.4.4.index	MeV.1.4.4.Term	MeV.1.4.4.NES	MeV.1.4.4.FDR q-val	ular.2.index	ular.2.Term	ular.2.NES	ular.2.FDR q-val	MeV.1.4.6.index	MeV.1.4.6.Term	MeV.1.4.6.NES	MeV.1.4.6.FDR q-val	MeV.1.4.7.index	MeV.1.4.7.Term	MeV.1.4.7.NES	MeV.1.4.7.FDR q-val	MeV.1.4.8.index	MeV.1.4.8.Term	MeV.1.4.8.NES	MeV.1.4.8.FDR q-val	MeV.2.1.index	MeV.2.1.Term	MeV.2.1.NES	MeV.2.1.FDR q-val	MeV.2.8.index	MeV.2.8.Term	MeV.2.8.NES	MeV.2.8.FDR q-val	MeV.3.17.index	MeV.3.17.Term	MeV.3.17.NES	MeV.3.17.FDR q-val	MeV.Proliferative_Fibr.0.index	MeV.Proliferative_Fibr.0.Term	MeV.Proliferative_Fibr.0.NES	MeV.Proliferative_Fibr.0.FDR q-val	ytes.0.index	ytes.0.Term	ytes.0.NES	ytes.0.FDR q-val	ular.1.index	ular.1.Term	ular.1.NES	ular.1.FDR q-val	MeV.4.26.index	MeV.4.26.Term	MeV.4.26.NES	MeV.4.26.FDR q-val	MeV.4.30.index	MeV.4.30.Term	MeV.4.30.NES	MeV.4.30.FDR q-val	MeV.SMC.0.index	MeV.SMC.0.Term	MeV.SMC.0.NES	MeV.SMC.0.FDR q-val	MeV.4.4.index	MeV.4.4.Term	MeV.4.4.NES	MeV.4.4.FDR q-val
0.0	excitatory synapse (GO:0060076)	-1.777867609333918	0.0414139700318407	0.0	caveola (GO:0005901)	-1.77598105794719	0.0411585728629679	0.0	acrosomal vesicle (GO:0001669)	2.179009273218645	0.0	0.0	postsynaptic density (GO:0014069)	2.4000206882111312	0.0	0.0	voltage-gated potassium channel complex (GO:0008076)	2.464019634672621	0.0	0.0	sodium:potassium-exchanging ATPase complex (GO:0005890)	-1.786695672784333	0.0471339404640213	0.0	phagocytic vesicle (GO:0045335)	1.9010804548515208	0.0037895449162578	0.0	cell-substrate junction (GO:0030055)	-1.7252001025148374	0.0271629084133487	0.0	microvillus (GO:0005902)	1.9586845092154077	0.0104149832103287	0.0	cell-cell junction (GO:0005911)	-1.8573837729469256	0.0165398515905587	0.0	basement membrane (GO:0005604)	2.0542244798198763	0.0083985529520251	0	cytosolic large ribosomal subunit (GO:0022625)	2.600482563839686	0.0	0.0	supramolecular fiber (GO:0099512)	2.0748862763964526	0.0116159849462625	0.0	collagen-containing extracellular matrix (GO:0062023)	2.170012976598784	0.0008353021623679	0.0	basement membrane (GO:0005604)	2.14001700504142	0.0	0.0	spindle microtubule (GO:0005876)	2.0567619714762064	0.0	0.0	ion channel complex (GO:0034702)	2.0741638034527434	0.0090897353131052	0.0	microvillus (GO:0005902)	1.9843573796781016	0.017961368802021	0.0	apical junction complex (GO:0043296)	2.0183057717820776	0.019438511301996	0.0	NADPH oxidase complex (GO:0043020)	1.9099836340315612	0.0080742175553063	0.0	myofibril (GO:0030016)	2.2012594362094715	0.0	0.0	integral component of postsynaptic specialization membrane (GO:0099060)	-1.8004792838369956	0.0382274813930092
1.0	postsynaptic density membrane (GO:0098839)	-1.7843261151075769	0.0459322704903584	1.0	actin cytoskeleton (GO:0015629)	-1.796889841508086	0.0333083200038617	1.0	anchored component of plasma membrane (GO:0046658)	2.1099464748705463	0.0013425074718741	1.0	asymmetric synapse (GO:0032279)	2.382215117378172	0.0	1.0	potassium channel complex (GO:0034705)	2.398124457863953	0.0					1.0	tertiary granule membrane (GO:0070821)	1.8574771061673825	0.0056843173743867	1.0	focal adhesion (GO:0005925)	-1.7362982210370717	0.0257311589721106	1.0	collagen-containing extracellular matrix (GO:0062023)	-2.067267180083148	0.0018475141037907	1.0	cell-substrate junction (GO:0030055)	-1.9026123196611464	0.0094825831835294	1.0	collagen-containing extracellular matrix (GO:0062023)	1.959878692615259	0.0122478897217033	1	large ribosomal subunit (GO:0015934)	2.587605977161036	0.0	1.0	microvillus membrane (GO:0031528)	-1.7622059578981133	0.0374065625105222	1.0	basement membrane (GO:0005604)	2.131896395397608	0.0008353021623679	1.0	large ribosomal subunit (GO:0015934)	-1.9934816201905272	0.0085747424815663	1.0	mitotic spindle (GO:0072686)	2.0198362930677414	0.0	1.0	cation channel complex (GO:0034703)	2.010147459655642	0.0222698515171078					1.0	platelet dense granule (GO:0042827)	-2.0087730797897283	0.0173971227835396	1.0	bicellular tight junction (GO:0005923)	-1.9083311949148043	0.048672833299819	1.0	sarcoplasmic reticulum (GO:0016529)	2.178260941751992	0.0	1.0	connexin complex (GO:0005922)	-1.8270885008857087	0.0320961559255112
2.0	postsynaptic specialization membrane (GO:0099634)	-1.8083878091075305	0.040433112846876	2.0	adherens junction (GO:0005912)	-1.8018200157627215	0.0337823565069663	2.0	beta-catenin-TCF complex (GO:1990907)	-1.7956325989646802	0.0408279594261422	2.0	voltage-gated potassium channel complex (GO:0008076)	2.37113710805226	0.0	2.0	ionotropic glutamate receptor complex (GO:0008328)	2.3066661774608503	0.0					2.0	ficolin-1-rich granule membrane (GO:0101003)	1.8489155290022403	0.0041053403259459	2.0	cell-cell junction (GO:0005911)	-1.741700933168984	0.0246886033930682					2.0	focal adhesion (GO:0005925)	-1.937906679998865	0.004907428493902	2.0	postsynaptic specialization membrane (GO:0099634)	-1.7190685841101634	0.0478163000968297	2	ribosome (GO:0005840)	2.511729510921595	0.0	2.0	tight junction (GO:0070160)	-1.7971839876193534	0.0266002222297047	2.0	supramolecular fiber (GO:0099512)	2.10988096449412	0.0005568681082453	2.0	small ribosomal subunit (GO:0015935)	-2.0339678444302143	0.0042344407316377	2.0	spindle (GO:0005819)	2.006701274602386	0.0	2.0	ribosome (GO:0005840)	-1.8208049489026343	0.0212269326683291													2.0	sarcoplasmic reticulum membrane (GO:0033017)	2.1008572904163847	0.0	2.0	small ribosomal subunit (GO:0015935)	-1.874844714026239	0.0206012535707932
3.0	microfibril (GO:0001527)	-1.883041290700488	0.0159729867968201	3.0	cytoplasmic side of endoplasmic reticulum membrane (GO:0098554)	-1.9792592226015788	0.002809391846971	3.0	platelet dense granule lumen (GO:0031089)	-1.8071387390649707	0.0394376970146486	3.0	cytosolic small ribosomal subunit (GO:0022627)	2.3594804342580065	0.0	3.0	postsynaptic specialization membrane (GO:0099634)	2.15384311998683	0.0011979960792855					3.0	endolysosome (GO:0036019)	1.7972157968837534	0.0161055658940957	3.0	sodium channel complex (GO:0034706)	-1.7789802888953723	0.0170918406239428					3.0	polysomal ribosome (GO:0042788)	-2.3132571523960976	0.0	3.0	postsynaptic density membrane (GO:0098839)	-1.7758663413481022	0.0264714980948428	3	cytosolic small ribosomal subunit (GO:0022627)	2.4049396807928	0.0	3.0	cell-cell junction (GO:0005911)	-1.86160825672664	0.0136801142895624	3.0	microfibril (GO:0001527)	1.901372283660301	0.0100236259484159	3.0	cytosolic large ribosomal subunit (GO:0022625)	-2.1033639569909504	0.0038109966584739	3.0	condensed chromosome (GO:0000793)	1.9990998127759256	0.0	3.0	supramolecular fiber (GO:0099512)	-1.8455465258994632	0.0156408977556109													3.0	muscle myosin complex (GO:0005859)	2.056517062590828	0.0002117716960604	3.0	cytosolic small ribosomal subunit (GO:0022627)	-1.8813667237991976	0.0249118419538125
4.0	collagen-containing extracellular matrix (GO:0062023)	-1.8843596029829952	0.0206615749610608	4.0	cell-cell junction (GO:0005911)	-2.0283663525728786	0.0009932193398382	4.0	platelet dense granule (GO:0042827)	-1.8189360044999971	0.0401843659770602	4.0	ionotropic glutamate receptor complex (GO:0008328)	2.343199270543307	0.0	4.0	postsynaptic density membrane (GO:0098839)	2.1390426235331166	0.0011181296739998					4.0	azurophil granule lumen (GO:0035578)	1.7924519264438337	0.0149687024192184	4.0	voltage-gated potassium channel complex (GO:0008076)	-1.789377781438722	0.0157492438536194					4.0	ribosome (GO:0005840)	-2.537576826597275	0.0	4.0	AMPA glutamate receptor complex (GO:0032281)	-1.7927501647381976	0.0222606540874009	4	small ribosomal subunit (GO:0015935)	2.4036443905250167	0.0	4.0	adherens junction (GO:0005912)	-1.872919861115768	0.012583951285591	4.0	ionotropic glutamate receptor complex (GO:0008328)	-1.777362395975135	0.0400529544520644	4.0	cytosolic small ribosomal subunit (GO:0022627)	-2.1109994641506464	0.0076219933169478	4.0	chromosome (GO:0005694)	1.9742182734353653	0.0001389491966999	4.0	platelet alpha granule lumen (GO:0031093)	-1.898917359012952	0.0068894430590191													4.0	actin-based cell projection (GO:0098858)	2.0161055211696794	0.0022024256390286	4.0	ribosome (GO:0005840)	-1.885246335395078	0.0317229448100983
5.0	lysosomal lumen (GO:0043202)	-1.8955116694046132	0.0271779178333954	5.0	polysomal ribosome (GO:0042788)	-2.17928881249832	0.0	5.0	polysomal ribosome (GO:0042788)	-1.8251244263103112	0.0443476111008096	5.0	GABA-A receptor complex (GO:1902711)	2.29629762621586	0.0	5.0	neuron projection (GO:0043005)	2.1293927916687565	0.0009317747283332					5.0	T cell receptor complex (GO:0042101)	1.7770928550298912	0.0157897704844076	5.0	ion channel complex (GO:0034702)	-1.81295231079462	0.0120565876725305					5.0	cytosolic small ribosomal subunit (GO:0022627)	-2.5885171749917406	0.0	5.0	dendrite membrane (GO:0032590)	-1.837298946162548	0.0140491191006149	5	polysomal ribosome (GO:0042788)	2.303804753760513	0.0	5.0	apical junction complex (GO:0043296)	-1.9157181889788364	0.0076475638910401	5.0	voltage-gated potassium channel complex (GO:0008076)	-1.7834610282712655	0.0413923048397927					5.0	microtubule (GO:0005874)	1.971019740692108	0.0001157909972499	5.0	cytosolic small ribosomal subunit (GO:0022627)	-1.9231906717233287	0.0055860349127182													5.0	actin filament (GO:0005884)	1.9760679011220543	0.0067766942739342	5.0	large ribosomal subunit (GO:0015934)	-2.249941406090039	0.0
6.0	supramolecular fiber (GO:0099512)	-1.931621703256669	0.0324227791696647	6.0	cell-substrate junction (GO:0030055)	-2.246022361752793	0.0	6.0	ribosome (GO:0005840)	-1.8441906734850413	0.0402929723715928	6.0	neuron projection (GO:0043005)	2.2842728746721224	0.0	6.0	postsynaptic density (GO:0014069)	2.1043109011153343	0.0010268537822447					6.0	lysosomal lumen (GO:0043202)	1.7678258820743646	0.0152935205548976	6.0	catenin complex (GO:0016342)	-1.8209406334225589	0.0110632892563277					6.0	large ribosomal subunit (GO:0015934)	-2.593188109402172	0.0	6.0	excitatory synapse (GO:0060076)	-1.8410981525355687	0.0140056233758452	6	proton-transporting ATP synthase complex (GO:0045259)	2.085410255281985	0.0	6.0	caveola (GO:0005901)	-1.9166197009357109	0.0082218868709996	6.0	glutamatergic synapse (GO:0098978)	-1.7859422660243172	0.0433410950864873					6.0	condensed chromosome, centromeric region (GO:0000779)	1.885676674034508	0.0037714781961416	6.0	small ribosomal subunit (GO:0015935)	-1.9447743088574017	0.0047481296758104													6.0	actin cytoskeleton (GO:0015629)	1.967558381099024	0.0066556818761853	6.0	cytosolic large ribosomal subunit (GO:0022625)	-2.3466851813975564	0.0
				7.0	focal adhesion (GO:0005925)	-2.255471795992995	0.0	7.0	large ribosomal subunit (GO:0015934)	-1.8903850965485007	0.0313600964212868	7.0	small ribosomal subunit (GO:0015935)	2.2838827586270893	0.0	7.0	glutamatergic synapse (GO:0098978)	2.101095405842892	0.0008984970594641					7.0	vacuolar lumen (GO:0005775)	1.7400473963364438	0.0243951953984097	7.0	potassium channel complex (GO:0034705)	-1.8336531078264584	0.0095826385137515					7.0	small ribosomal subunit (GO:0015935)	-2.601201239351993	0.0	7.0	axon (GO:0030424)	-1.877728224026309	0.0083185573622062	7	mitochondrial proton-transporting ATP synthase complex (GO:0005753)	2.051230597689905	0.0	7.0	focal adhesion (GO:0005925)	-1.9473732461386737	0.0049210411124953	7.0	ribosome (GO:0005840)	-1.809491325908645	0.0368321356625274					7.0	microtubule cytoskeleton (GO:0015630)	1.8712840451387969	0.0058184976118106	7.0	platelet alpha granule (GO:0031091)	-1.955196767421565	0.0055860349127182													7.0	calcium channel complex (GO:0034704)	1.94488341366992	0.0099532697148408				
				8.0	cytosolic small ribosomal subunit (GO:0022627)	-2.3431284549594023	0.0	8.0	cytosolic large ribosomal subunit (GO:0022625)	-1.9410275396940877	0.0206955518470445	8.0	cytosolic large ribosomal subunit (GO:0022625)	2.269792886720874	0.0	8.0	GABA-A receptor complex (GO:1902711)	2.0820324104939245	0.0012423663044442					8.0	membrane raft (GO:0045121)	1.737467048360794	0.0225267392244215	8.0	axon (GO:0030424)	-1.855812970394297	0.0067496759372654					8.0	cytosolic large ribosomal subunit (GO:0022625)	-2.619699465693436	0.0	8.0	glutamatergic synapse (GO:0098978)	-2.003785168611517	0.0012816740232139	8	endocytic vesicle lumen (GO:0071682)	2.028633837737697	0.0	8.0	cell-substrate junction (GO:0030055)	-1.9565265509646517	0.0042855913592302	8.0	potassium channel complex (GO:0034705)	-1.8508939712499783	0.0252563215971616					8.0	acrosomal vesicle (GO:0001669)	1.847623465373481	0.0111931297341631	8.0	large ribosomal subunit (GO:0015934)	-1.9943749613025452	0.0039102244389027													8.0	filopodium (GO:0030175)	1.933322888765864	0.0116709734717755				
				9.0	small ribosomal subunit (GO:0015935)	-2.347893699982003	0.0	9.0	connexin complex (GO:0005922)	-1.979756657399808	0.0177390444403238	9.0	potassium channel complex (GO:0034705)	2.262526403519529	0.0	9.0	AMPA glutamate receptor complex (GO:0032281)	2.048452998501928	0.001597328105714					9.0	secretory granule membrane (GO:0030667)	1.7288370582563073	0.0243478260869565	9.0	GABA-A receptor complex (GO:1902711)	-1.870404649875446	0.0049141735967956									9.0	neuron projection (GO:0043005)	-2.008177678090544	0.0013732221677292	9	ficolin-1-rich granule lumen (GO:1904813)	1.971134644544359	0.0001014970819588	9.0	actin-based cell projection (GO:0098858)	-2.023477862685482	0.0019950166672278	9.0	ion channel complex (GO:0034702)	-1.8730876332716448	0.0231516281307315					9.0	cyclin-dependent protein kinase holoenzyme complex (GO:0000307)	1.845953694965284	0.0106296135475466	9.0	cytosolic large ribosomal subunit (GO:0022625)	-2.0154365239407466	0.0055860349127182													9.0	sarcolemma (GO:0042383)	1.8895195270658776	0.0236337212803455				
