ular.0.index	ular.0.Term	ular.0.NES	ular.0.FDR q-val	MeV.1.4.11.index	MeV.1.4.11.Term	MeV.1.4.11.NES	MeV.1.4.11.FDR q-val	MeV.1.4.13.index	MeV.1.4.13.Term	MeV.1.4.13.NES	MeV.1.4.13.FDR q-val	MeV.1.4.15.index	MeV.1.4.15.Term	MeV.1.4.15.NES	MeV.1.4.15.FDR q-val	MeV.1.4.2.index	MeV.1.4.2.Term	MeV.1.4.2.NES	MeV.1.4.2.FDR q-val	MeV.1.4.20.index	MeV.1.4.20.Term	MeV.1.4.20.NES	MeV.1.4.20.FDR q-val	MeV.1.4.21.index	MeV.1.4.21.Term	MeV.1.4.21.NES	MeV.1.4.21.FDR q-val	ular.2.index	ular.2.Term	ular.2.NES	ular.2.FDR q-val	MeV.1.4.6.index	MeV.1.4.6.Term	MeV.1.4.6.NES	MeV.1.4.6.FDR q-val	MeV.1.4.7.index	MeV.1.4.7.Term	MeV.1.4.7.NES	MeV.1.4.7.FDR q-val	MeV.1.4.8.index	MeV.1.4.8.Term	MeV.1.4.8.NES	MeV.1.4.8.FDR q-val	MeV.2.1.index	MeV.2.1.Term	MeV.2.1.NES	MeV.2.1.FDR q-val	MeV.2.8.index	MeV.2.8.Term	MeV.2.8.NES	MeV.2.8.FDR q-val	MeV.3.17.index	MeV.3.17.Term	MeV.3.17.NES	MeV.3.17.FDR q-val	MeV.Proliferative_Fibr.0.index	MeV.Proliferative_Fibr.0.Term	MeV.Proliferative_Fibr.0.NES	MeV.Proliferative_Fibr.0.FDR q-val	ytes.0.index	ytes.0.Term	ytes.0.NES	ytes.0.FDR q-val	MeV.4.12.index	MeV.4.12.Term	MeV.4.12.NES	MeV.4.12.FDR q-val	ular.1.index	ular.1.Term	ular.1.NES	ular.1.FDR q-val	MeV.4.30.index	MeV.4.30.Term	MeV.4.30.NES	MeV.4.30.FDR q-val	MeV.SMC.0.index	MeV.SMC.0.Term	MeV.SMC.0.NES	MeV.SMC.0.FDR q-val	MeV.4.34.index	MeV.4.34.Term	MeV.4.34.NES	MeV.4.34.FDR q-val	MeV.4.4.index	MeV.4.4.Term	MeV.4.4.NES	MeV.4.4.FDR q-val
0.0	Interferon Gamma Response	1.901682149204677	0.0053793034427542	0.0	Wnt-beta Catenin Signaling	-1.537761308362371	0.0489601310949566	0.0	Hedgehog Signaling	1.91323870339846	0.0097298799981466	0.0	Spermatogenesis	1.6140661522713593	0.0356448476992871	0.0	IL-6/JAK/STAT3 Signaling	-1.442947675086258	0.0404823308008642	0.0	Epithelial Mesenchymal Transition	-1.737005690437721	0.0062635150249794	0.0	Allograft Rejection	1.915062306565693	0.0	0.0	Epithelial Mesenchymal Transition	-2.4399231440405407	0.0	0.0	Bile Acid Metabolism	1.764434335772888	0.0121826801896417	0.0	Interferon Alpha Response	2.190543791330484	0.0	0	Oxidative Phosphorylation	1.9761338687728287	0.0	0.0	Bile Acid Metabolism	1.7613018431582037	0.011696136730595	0.0	Epithelial Mesenchymal Transition	2.1018255106267008	0.0009592887225081	0.0	Epithelial Mesenchymal Transition	1.7684199970656411	0.0207299918560746	0.0	G2-M Checkpoint	2.1416604996651407	0.0	0.0	Interferon Alpha Response	-1.81493875882116	0.004126463984465	0.0	Epithelial Mesenchymal Transition	1.9193821854696476	0.0009184078148155	0.0	Wnt-beta Catenin Signaling	1.7984998605464404	0.0291237760482048	0.0	Epithelial Mesenchymal Transition	1.9520196579360825	0.0	0.0	Myogenesis	2.3432775829888386	0.0	0.0	Interferon Alpha Response	-1.741007845152011	0.0080697224015493	0.0	Pancreas Beta Cells	-1.575954528605056	0.0346013167520117
1.0	IL-6/JAK/STAT3 Signaling	1.744467710879016	0.0199034227381905	1.0	Angiogenesis	-1.6902293517988154	0.0155457350556979	1.0	Interferon Alpha Response	-1.642616814003589	0.0245829675153643	1.0	Estrogen Response Early	-1.518526997761362	0.0427149178255372	1.0	Adipogenesis	-1.445154998371393	0.0424976849316432	1.0	UV Response Dn	-1.8939659234790536	0.0041756766833196	1.0	IL-6/JAK/STAT3 Signaling	1.723371266731223	0.0020053202373644					1.0	mTORC1 Signaling	-1.614475869085872	0.0381432169845268	1.0	Interferon Gamma Response	1.9181548619745132	0.0	1	Reactive Oxygen Species Pathway	1.9000161413868863	0.0	1.0	Epithelial Mesenchymal Transition	1.646733363761972	0.0192769660930177	1.0	UV Response Dn	1.8569005375664367	0.0028778661675245	1.0	TGF-beta Signaling	-1.755873282288228	0.0116045996413123	1.0	E2F Targets	2.118184300417928	0.0	1.0	TGF-beta Signaling	-1.9176063062503452	0.0020632319922325	1.0	Wnt-beta Catenin Signaling	-1.5621617821332987	0.0401721664275466	1.0	Epithelial Mesenchymal Transition	-1.580390602889715	0.0329723614029416	1.0	Coagulation	1.7651172846743557	0.0024271343289748									1.0	Wnt-beta Catenin Signaling	-1.8260041038103176	0.003218727139722
2.0	TGF-beta Signaling	1.6245256414759073	0.0486826961569255	2.0	Mitotic Spindle	-1.762209114634959	0.0121506894688213					2.0	Mitotic Spindle	-1.5472526637067547	0.0382822376738306	2.0	Hypoxia	-1.510777976890339	0.0227654133000198					2.0	Inflammatory Response	1.6717790812115187	0.0056817406725325					2.0	TGF-beta Signaling	-1.64847939984429	0.0421014753508456	2.0	Epithelial Mesenchymal Transition	1.8893923854829249	0.0008943293926944	2	Myc Targets V1	1.8213706696221743	0.0006620598336574	2.0	Androgen Response	-1.4739857187828598	0.0496606656642418	2.0	Bile Acid Metabolism	1.825781069451221	0.0022383403525191					2.0	Mitotic Spindle	2.000808987504622	0.0	2.0	Coagulation	-2.02612187481949	0.0									2.0	Angiogenesis	1.6932128304444063	0.0071195940316594												
3.0	Cholesterol Homeostasis	-1.4628947659490783	0.0386097820308346	3.0	TGF-beta Signaling	-1.8781991620437029	0.0021442393180273					3.0	TGF-beta Signaling	-1.5560171865285704	0.0461177833965444	3.0	Apical Junction	-1.5258131884153785	0.0198066959410794					3.0	Complement	1.612345697735133	0.0135359116022099					3.0	Angiogenesis	-1.7898647515141932	0.0172724001439366	3.0	UV Response Dn	1.6467123056904829	0.0172158408093681	3	Allograft Rejection	1.6948338873935596	0.002730996813837	3.0	Interferon Alpha Response	-1.5106976676578354	0.0457361145783139	3.0	Myogenesis	1.7337050952413715	0.0076743097800655					3.0	Spermatogenesis	1.760129331429778	0.0078366514158526													3.0	UV Response Dn	1.535896450511492	0.0422321373241618												
4.0	Epithelial Mesenchymal Transition	-2.270754698429877	0.0	4.0	Epithelial Mesenchymal Transition	-1.9513780023820289	0.0042884786360546					4.0	UV Response Dn	-1.9926278932411507	0.0	4.0	Wnt-beta Catenin Signaling	-1.5793422058421045	0.0135219906600683					4.0	Interferon Gamma Response	1.538275034718258	0.0332883159402496									4.0	Bile Acid Metabolism	1.623787312235618	0.0191386490036611	4	Coagulation	1.665972208119547	0.0031778872015558	4.0	mTORC1 Signaling	-1.5203672814202331	0.0488682082334295	4.0	Estrogen Response Early	1.629220344890419	0.0241740758072063																					4.0	Wnt-beta Catenin Signaling	-1.6243515560850748	0.0169918187539332												
												5.0	Epithelial Mesenchymal Transition	-2.178486473336611	0.0	5.0	PI3K/AKT/mTOR  Signaling	-1.607023956792947	0.0113473199972119																					5	Cholesterol Homeostasis	1.6470132266879451	0.0041378739603591	5.0	Adipogenesis	-1.5355519895253928	0.0491323607103669																																								
																6.0	Protein Secretion	-1.6323753318098977	0.0097116702678841																					6	UV Response Up	1.6245017211286783	0.0055329286098516	6.0	Mitotic Spindle	-1.6773352631259246	0.017962368431747																																								
																7.0	Apoptosis	-1.663436567663417	0.007283752700913																					7	Complement	1.6200676088693016	0.0053378574088633	7.0	Myc Targets V1	-1.7761901401811493	0.0063396594464989																																								
																8.0	Estrogen Response Early	-1.6749451538668565	0.0072289876430114																					8	Adipogenesis	1.5839005576326903	0.0087171211431566	8.0	Oxidative Phosphorylation	-1.7908391945541031	0.0079245743081237																																								
																9.0	Notch Signaling	-1.7168736367781745	0.0033224135126971																					9	Angiogenesis	1.5681508214892266	0.0102288244300078																																												
