Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Ribosome Homo sapiens hsa03010,-0.6800438677439534,-2.7667436502905,0.0,0.0,0.0,75/126,15.15%,RPL37A;FAU;RPL41;RPL13;RPL11;RPS21;RPL27A;RPLP1;RPL17;RPL23;RPS24;RPL19;RPL21;RPS9;RPL38;RPL6;RPS15;RPL37;RPL4;RPS8;RPS7;RPL8;RPS23;RPSA;RPS3;RPS19;RPS11;RPL34;RPL18A;RPL28;RPL26;RPL24;RPS29;RPS14;RPS12;RPS6;RPL23A;RPL18;RPS20;RPS18;RPS25;RPL3;RPL32;RPL36;RPS27A;RPL5;RPL14;RPS2;RPL27;RPS27;MRPL33;MRPL32;RPL29;RPL31;RPLP0;RPL35A;RPLP2;RPL7A;MRPS14;RPL7;RPS28;RPS10;RPS17;RPL30;RPS4X;MRPS16;RPS27L;RSL24D1;RPS26;RPS16;RPS5;MRPL23;MRPS5;RPL13A;UBA52
prerank,Bacterial invasion of epithelial cells Homo sapiens hsa05100,-0.6026901002167129,-2.237301516736923,0.0,0.0,0.0,39/69,21.35%,DNM3;GAB1;FN1;CAV1;ELMO1;ACTB;ACTG1;RAC1;CDH1;CBL;ITGB1;PTK2;DOCK1;CAV2;PXN;BCAR1;ARPC1B;ITGA5;ARPC3;CTNNB1;MET;CTNNA3;DNM2;ARHGEF26;RHOA;PIK3CD;CD2AP;CRK;DNM1;PIK3R5;RHOG;PIK3R3;ARPC4;ARPC5L;ARPC1A;SHC3;CTNNA1;SHC4;ARHGAP10
prerank,Retinol metabolism Homo sapiens hsa00830,0.7559391507917199,2.213587368785814,0.0,0.0,0.0,3/36,0.21%,CYP26B1;ALDH1A1;ALDH1A2
prerank,"Valine, leucine and isoleucine degradation Homo sapiens hsa00280",0.6726573046541126,2.045645768704586,0.0,0.00682353355686963,0.013,22/45,16.96%,PCCA;ABAT;ACADSB;MCCC2;ALDH7A1;IVD;EHHADH;DBT;HSD17B10;BCKDHA;HMGCL;ACADS;ACAA2;ALDH6A1;ACAT2;BCKDHB;AUH;HIBCH;HMGCLL1;OXCT1;ALDH2;HMGCS2
prerank,Ovarian steroidogenesis Homo sapiens hsa04913,0.6391392951410113,1.9451570815492565,0.0,0.020795530839983638,0.05,6/42,2.60%,IGF1;BMP6;ADCY5;ADCY1;GNAS;HSD17B1
prerank,Epithelial cell signaling in Helicobacter pylori infection Homo sapiens hsa05120,-0.49845149539236,-1.800294497240778,0.0024154589371980675,0.0418428401637796,0.115,31/64,24.56%,JAM2;ADAM10;RAC1;PLCG2;F11R;NFKBIA;NOD1;IKBKB;ATP6V0A1;TJP1;MET;CSK;JUN;PAK1;MAPK8;ATP6V1A;ATP6V0C;CHUK;GIT1;ATP6V1E1;TCIRG1;IGSF5;ATP6V0A4;ATP6V0A2;ATP6V0D2;JAM3;MAPK10;MAPK11;RELA;ATP6V0E2;ATP6V1B2
prerank,Hypertrophic cardiomyopathy (HCM) Homo sapiens hsa05410,0.5306002307142501,1.7964552310821298,0.0016155088852988692,0.09260509827180213,0.248,21/83,7.73%,IGF1;PRKAG2;CACNA2D3;ITGA9;TPM1;LAMA2;PRKAG3;DMD;TNNC1;TNNT2;CACNG1;SLC8A1;CACNA1D;CACNB4;CACNG7;ITGA3;ACE;PRKAA2;IL6;CACNA2D1;PRKAA1
prerank,Thyroid hormone synthesis Homo sapiens hsa04918,0.5501883682209752,1.7951149186554824,0.0,0.07564374343044047,0.254,14/66,6.79%,CREB5;ATP1A2;ADCY5;ADCY1;ITPR1;SLC5A5;GNAS;ATP1B3;DUOX2;PLCB1;LRP2;PRKCB;GNAQ;PRKCA
prerank,Leukocyte transendothelial migration Homo sapiens hsa04670,-0.44429670326245185,-1.7693661226121065,0.0,0.04409059604034628,0.151,24/108,7.26%,PECAM1;ACTB;CLDN5;ESAM;RAP1A;ACTG1;OCLN;ACTN4;MSN;JAM2;RAC1;CLDN11;ITGB1;PTK2;PLCG2;F11R;PTK2B;ACTN1;PXN;BCAR1;ITGA4;CTNNB1;GNAI1;CTNNA3
prerank,Adrenergic signaling in cardiomyocytes Homo sapiens hsa04261,0.4774622364246977,1.7231209968112913,0.0,0.13435862503645676,0.478,25/143,7.16%,CREB5;SCN7A;CACNA2D3;ATP1A2;ADCY5;ADCY1;PPP2R2B;TPM1;PPP1R1A;BCL2;TNNC1;GNAS;ATP1B3;TNNT2;PLCB1;CACNG1;SLC8A1;CACNA1D;CACNB4;CACNG7;GNAQ;ADRA1D;PRKCA;CACNA2D1;RAPGEF4
