Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Ascorbate and aldarate metabolism Homo sapiens hsa00053,-0.783335218717522,-2.076926684435683,0.0,0.0,0.0,4/14,17.60%,ALDH3A2;ALDH9A1;ALDH7A1;ALDH2
prerank,Vitamin digestion and absorption Homo sapiens hsa04977,0.8471156433778094,2.0497266867527064,0.0,0.015262554578122386,0.014,2/22,0.17%,CUBN;PLB1
prerank,Viral myocarditis Homo sapiens hsa05416,0.6865902990145022,1.7904517295660236,0.006402048655569782,0.38716013446503783,0.442,7/38,2.71%,CXADR;CD55;SGCG;DAG1;SGCA;SGCD;CAV1
prerank,Regulation of lipolysis in adipocytes Homo sapiens hsa04923,-0.4826174832247621,-1.7763581367243162,0.005555555555555556,0.05945042917218734,0.11,17/52,10.08%,PRKG1;PIK3R1;INSR;GNAS;ADCY5;AKT3;PDE3B;ADCY7;MGLL;PTGS2;PIK3CB;ADCY1;ADCY4;GNAI1;LIPE;PIK3CD;NPR1
prerank,Glycosaminoglycan biosynthesis - heparan sulfate / heparin Homo sapiens hsa00534,-0.561715104356803,-1.7413007658890107,0.0032679738562091504,0.05714614897171496,0.16,13/24,17.04%,HS6ST2;HS3ST3A1;NDST3;HS6ST3;XYLT1;XYLT2;EXTL3;HS3ST3B1;EXT2;B3GAT3;EXTL2;HS3ST1;B4GALT7
prerank,ECM-receptor interaction Homo sapiens hsa04512,0.5862677421250713,1.711087433311665,0.0,0.5606445048363623,0.686,16/81,5.75%,FN1;ITGB4;ITGA10;TNXB;CD44;ITGB8;LAMA4;LAMC2;COL4A3;COL4A4;DAG1;ITGB7;LAMA5;COL6A1;COL6A3;SDC4
prerank,Complement and coagulation cascades Homo sapiens hsa04610,0.5875051006978942,1.6863161929122663,0.009433962264150943,0.5273212606741284,0.748,9/69,6.42%,CD55;CLU;F5;C8A;CFH;SERPINC1;PROCR;THBD;KLKB1
prerank,Hedgehog signaling pathway Homo sapiens hsa04340,0.6087833081633176,1.6725984403494554,0.012626262626262626,0.4723251890109607,0.776,10/48,8.03%,WNT16;WNT1;SMO;WNT10A;GLI3;WNT11;WNT6;ZIC2;BMP4;WNT5B
prerank,Bacterial invasion of epithelial cells Homo sapiens hsa05100,0.5879913838535171,1.6667671774114512,0.009501187648456057,0.4151414845249288,0.794,18/69,12.62%,FN1;CDH1;GAB1;CAV1;CTNNA1;CLTB;CAV2;SHC1;PXN;ARHGAP10;ILK;CDC42;ACTB;ACTG1;RHOA;BCAR1;WASF1;DOCK1
prerank,Mucin type O-Glycan biosynthesis Homo sapiens hsa00512,-0.5257773830726536,-1.6591590752711358,0.0037174721189591076,0.09309292009908406,0.323,13/29,17.97%,ST3GAL1;GALNT7;GALNT18;GALNT13;GALNT15;C1GALT1;GALNT16;GALNT2;GALNT14;GCNT1;B4GALT5;C1GALT1C1;GALNT9
