Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Protein digestion and absorption Homo sapiens hsa04974,0.7380897145066068,2.15206913764351,0.0,0.0,0.0,19/79,2.25%,COL15A1;COL4A1;COL6A5;COL27A1;COL1A2;COL24A1;COL18A1;COL4A2;COL7A1;COL1A1;COL3A1;COL6A3;COL5A2;COL5A3;XPNPEP2;COL11A2;COL6A6;COL13A1;COL5A1
prerank,Complement and coagulation cascades Homo sapiens hsa04610,0.7094155796406083,2.0471609453540536,0.0,0.00048520531524074746,0.001,10/69,4.65%,C6;CFH;C3;VSIG4;KNG1;SERPING1;MASP1;PROS1;VTN;PLAT
prerank,ECM-receptor interaction Homo sapiens hsa04512,0.6835492454642833,1.9981958792477064,0.0,0.0006469404203209966,0.002,22/81,3.80%,COL4A1;COL6A5;COL1A2;IBSP;COL4A2;COL1A1;LAMA2;SPP1;ITGB8;COL6A3;LAMB1;HSPG2;GP1BB;LAMA1;THBS2;LAMC1;COL6A6;TNN;THBS4;ITGB5;VTN;ITGA8
prerank,Steroid hormone biosynthesis Homo sapiens hsa00140,0.7411041366092344,1.936937064296447,0.0,0.0019408212609629898,0.008,8/34,12.72%,CYP7B1;CYP1B1;HSD17B12;COMT;CYP1A1;HSD17B8;HSD11B1;SRD5A3
prerank,Asthma Homo sapiens hsa05310,0.8153797684421363,1.8007571845193957,0.0,0.03260579718417823,0.145,2/12,3.28%,CCL11;CD40
prerank,Amoebiasis Homo sapiens hsa05146,0.5990915687520907,1.7749947123175793,0.0,0.03978683584974129,0.203,24/87,10.93%,COL4A1;COL1A2;COL4A2;COL1A1;COL3A1;LAMA2;CXCL1;LAMB1;LAMA1;LAMC1;PRKCA;TLR2;IL1R1;LAMC3;PIK3R1;RAB7A;RAB7B;LAMA4;GNAS;TGFB3;NFKB1;COL4A5;CD14;PIK3R5
prerank,Staphylococcus aureus infection Homo sapiens hsa05150,0.6717641092304966,1.7652758166651827,0.0025157232704402514,0.03923231548946615,0.232,6/33,8.73%,CFH;C3;MASP1;ICAM1;FCGR2B;C1QB
prerank,Systemic lupus erythematosus Homo sapiens hsa05322,0.6670091940797991,1.750076219530992,0.0025188916876574307,0.04269806774118578,0.274,6/34,8.73%,C6;C3;CD40;TRIM21;C7;C1QB
prerank,Prion diseases Homo sapiens hsa05020,0.6646104652804006,1.7177558722782964,0.00628140703517588,0.05984198887969219,0.4,8/33,9.54%,C6;LAMC1;CASP12;CCL5;BAX;C7;C1QB;MAP2K1
prerank,Fat digestion and absorption Homo sapiens hsa04975,0.6576608458424639,1.7051721383809626,0.0012468827930174563,0.06365893735958605,0.445,6/34,11.86%,CEL;ABCA1;PLA2G5;CD36;SLC27A4;MOGAT3
prerank,Salivary secretion Homo sapiens hsa04970,-0.40447892887109926,-1.6921592102717207,0.0,0.33467528873009084,0.234,22/70,7.13%,ATP1B3;SLC12A2;ADRA1B;ATP1B1;AMY1A;AMY1B;AMY1C;ATP1A2;CST3;ITPR2;PRKG1;PLCB4;PLCB1;ADCY5;ADCY9;ITPR3;ATP2B2;PRKCB;ADRA1A;CHRM3;ADCY4;CALM1
prerank,TNF signaling pathway Homo sapiens hsa04668,0.5641264470169004,1.6835961922158043,0.0021390374331550803,0.07877969936545227,0.549,39/106,17.84%,MMP3;MAP3K14;CXCL5;CREB3L1;CXCL1;MMP14;BCL3;TNFAIP3;CREB3L3;BIRC3;JAG1;CFLAR;MAP2K4;ICAM1;AKT3;CCL5;PIK3R1;CREB3L2;MLKL;CXCL10;CASP7;MAP2K1;NFKB1;MAPK11;PIK3R5;CREB3L4;CREB3;TRAF2;CCL2;JUNB;CASP8;MAPK9;BAG4;TNF;CX3CL1;ATF2;TNFRSF1A;ITCH;PTGS2
prerank,Inflammatory bowel disease (IBD) Homo sapiens hsa05321,0.6026839558705126,1.6748058429659307,0.0011876484560570072,0.08013974456726346,0.572,14/49,16.76%,RORA;IL23R;TLR2;STAT1;SMAD2;STAT3;IL22;TGFB3;NFKB1;STAT6;SMAD3;IFNGR1;TNF;IFNGR2
prerank,Phenylalanine metabolism Homo sapiens hsa00360,-0.5707194862755522,-1.6629899457956827,0.016339869281045753,0.21168507661726593,0.289,12/16,40.63%,MAOA;MAOB;DDC;ALDH3B1;MIF;AOC3;GOT2;IL4I1;GOT1;GLYAT;AOC2;ALDH3A1
