Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Ribosome Homo sapiens hsa03010,-0.5620904157157091,-2.116264218664508,0.0,0.0,0.0,78/126,28.69%,RPLP1;RPS14;RPL9;RPS12;RPL41;RPS20;MRPL33;RPL18A;RPS13;RPS19;RPS23;RPS4X;RPS11;RPL13;RPL18;RPL34;RPL32;RPS9;RPS8;RPL27A;RPL12;RPL37;RPS18;RPL11;RPS16;RPS5;RPL24;RPS15A;RPL39;RPL28;RPS24;RPLP2;RPS27;FAU;RPL26;RPL14;MRPS7;MRPS6;RPL10;RPL7;MRPS18A;RPL10A;RPS6;MRPL24;RPS15;RPL23;RPL17;RPL22;RPL31;MRPL15;RPL15;RPSA;RPL38;RPS25;RPS7;RPLP0;RPL27;RPL36A;RPL36AL;MRPL17;MRPL12;RPS26;MRPL1;RPS27L;RPL35A;RPL8;RPS29;RPL36;MRPL35;MRPL4;RPL13A;RPS3;MRPL21;MRPL34;MRPS2;RPL29;RPL21;RPS2
prerank,Morphine addiction Homo sapiens hsa05032,0.6309559336856916,1.9149064458596774,0.0032520325203252032,0.18654403560865895,0.162,21/86,10.56%,PDE8B;PDE4D;PDE4C;GNB4;GNG2;PDE3A;PDE7B;ADCY3;ADCY8;ADCY6;GABRG2;GABRA2;PDE4B;SLC32A1;ADCY9;GNG5;GRK5;CACNA1A;KCNJ3;KCNJ6;PDE8A
prerank,cGMP-PKG signaling pathway Homo sapiens hsa04022,0.5898556549500065,1.9059095194621267,0.0,0.1081955406530222,0.183,29/158,4.05%,GUCY1A2;TRPC6;EDNRA;CACNA1C;KCNJ8;MEF2C;PRKG1;PIK3CD;ATP2A3;PDE3A;ATP1A2;PIK3R1;MYLK;PDE5A;VASP;ITPR2;ROCK1;KCNMB1;AKT3;ATP1A4;FXYD2;PIK3CA;MYL9;ITPR1;ADCY3;ADCY8;ATP2B3;ADCY6;PPP3CA
prerank,Phosphatidylinositol signaling system Homo sapiens hsa04070,0.6261124967610084,1.872462066520983,0.0016420361247947454,0.11223732809120979,0.271,19/91,5.88%,INPP4B;PIP5K1B;DGKB;PTEN;PLCE1;IMPA2;PIK3CD;DGKH;PIK3R1;DGKG;ITPR2;CDS2;INPP5A;PIP4K2A;PIK3CA;ITPR1;ITPKB;INPP5J;PIP4K2C
prerank,Neuroactive ligand-receptor interaction Homo sapiens hsa04080,0.5372298303878936,1.8327748749356967,0.0,0.14527116773024315,0.4,26/243,6.61%,GRM3;GRM7;EDNRA;CYSLTR2;P2RY14;S1PR3;PTH1R;TBXA2R;ADORA2A;ADCYAP1R1;TACR2;GIPR;CHRNA3;GRIK1;GRM5;TACR1;HTR1B;GABRG2;GRID1;GRIA2;GRM1;GABRA2;HTR2C;TRHR;OPRK1;CHRNA7
prerank,Inositol phosphate metabolism Homo sapiens hsa00562,0.6226157189740258,1.7973577386111406,0.0017064846416382253,0.17721683382822598,0.54,17/68,9.65%,INPP4B;PIP5K1B;PTEN;PLCE1;IMPA2;PIK3CD;INPP5A;PIP4K2A;PIK3CA;ITPKB;INPP5J;PIP4K2C;PIK3C2A;PIKFYVE;MTMR14;INPP5B;MTMR7
prerank,Phospholipase D signaling pathway Homo sapiens hsa04072,0.5511059300166127,1.7609935029692172,0.0014792899408284023,0.21685744139506602,0.655,19/133,4.00%,GRM3;GRM7;PDGFRB;PIP5K1B;DGKB;PIK3CD;GAB1;PLD1;RAPGEF4;DGKH;PIK3R1;DGKG;AKT3;PIK3CA;ADCY3;ADCY8;GRM5;ADCY6;CYTH3
prerank,Notch signaling pathway Homo sapiens hsa04330,0.6383698322334433,1.739470662983626,0.017152658662092625,0.22864968936032767,0.716,5/48,2.67%,NOTCH3;NOTCH1;DTX3;MAML2;DLL3
prerank,Nicotinate and nicotinamide metabolism Homo sapiens hsa00760,-0.5965794943040613,-1.7136350394563622,0.0,0.18181621584214944,0.259,18/29,24.63%,NADK2;AOX1;ENPP1;ENPP3;NAMPT;CD38;NT5E;NNT;NUDT12;NADK;NMNAT1;NNMT;QPRT;NT5C1A;PNP;NT5C2;NAPRT;NT5C
prerank,Dorso-ventral axis formation Homo sapiens hsa04320,0.6875208465148315,1.6995445189626102,0.035916824196597356,0.2837801141696724,0.813,6/25,4.06%,NOTCH3;NOTCH1;CPEB1;ETS1;SPIRE1;FMN2
