Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,SRP-dependent cotranslational protein targeting to membrane (GO:0006614),-0.7269047416661465,-2.878944853006951,0.0,0.0,0.0,58/87,15.90%,RPLP1;RPS15;RPL38;RPL18A;RPL41;RPS12;RPS20;RPL5;RPL32;RPS10;RPS23;RPL10;RPS24;RPL7;RPL37A;RPS17;RPS16;RPL39;RPS27A;RPL13;RPLP0;RPL30;RPS5;RPL35A;RPS8;RPS7;RPL22;RPL29;RPS3;RPS28;RPL7A;RPS26;SRP19;RPL6;RPL18;RPL36;RPS25;RPL28;RPL27;RPS29;RPL24;RPL23;RPL17;RPS27;RPS9;RPL21;RPL34;SEC61A1;RPL10A;RPL35;RPL12;RPL19;RPL14;SRP14;RPS18;RPS13;RPL37;RPS15A
prerank,cotranslational protein targeting to membrane (GO:0006613),-0.6956586167079879,-2.8093401395368476,0.0,0.0,0.0,58/91,15.90%,RPLP1;RPS15;RPL38;RPL18A;RPL41;RPS12;RPS20;RPL5;RPL32;RPS10;RPS23;RPL10;RPS24;RPL7;RPL37A;RPS17;RPS16;RPL39;RPS27A;RPL13;RPLP0;RPL30;RPS5;RPL35A;RPS8;RPS7;RPL22;RPL29;RPS3;RPS28;RPL7A;RPS26;SRP19;RPL6;RPL18;RPL36;RPS25;RPL28;RPL27;RPS29;RPL24;RPL23;RPL17;RPS27;RPS9;RPL21;RPL34;SEC61A1;RPL10A;RPL35;RPL12;RPL19;RPL14;SRP14;RPS18;RPS13;RPL37;RPS15A
prerank,protein targeting to ER (GO:0045047),-0.6804821528774363,-2.757341394333784,0.0,0.0,0.0,60/99,15.90%,RPLP1;RPS15;RPL38;RPL18A;RPL41;RPS12;RPS20;RPL5;RPL32;RPS10;RPS23;RPL10;RPS24;RPL7;RPL37A;RPS17;RPS16;RPL39;RPS27A;RPL13;RPLP0;RPL30;RPS5;RPL35A;RPS8;RPS7;CHMP4B;CHMP4A;RPL22;RPL29;RPS3;RPS28;RPL7A;RPS26;SRP19;RPL6;RPL18;RPL36;RPS25;RPL28;RPL27;RPS29;RPL24;RPL23;RPL17;RPS27;RPS9;RPL21;RPL34;SEC61A1;RPL10A;RPL35;RPL12;RPL19;RPL14;SRP14;RPS18;RPS13;RPL37;RPS15A
prerank,cytoplasmic translation (GO:0002181),-0.6746204104865997,-2.7092867289948446,0.0,0.0,0.0,59/91,15.90%,RPLP1;RPS15;RPL38;RPL18A;RPL41;RPS12;RPS20;RPL5;RPL32;RPS10;RPS23;RPL10;RPS24;RPL7;RPL37A;EIF3M;RPS17;RPS16;RPL39;RPS27A;RPL13;RPLP0;RPL30;RPS5;RPL35A;RPS8;RPS7;RPL22;RPL29;RPS3;RPS28;RPL7A;RPS26;RPL6;RPL18;RPL36;RPS25;RPL28;FTSJ1;RPL27;RPS29;RPL24;RPL23;RPL17;RPS27;RPS9;RPL22L1;TMA7;RPL21;RPL34;RPL10A;RPL35;RPL12;RPL19;RPL14;RPS18;RPS13;RPL37;RPS15A
prerank,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)",-0.602377409756854,-2.4677715915829954,0.0,0.0,0.0,59/110,15.90%,RPLP1;RPS15;RPL38;RPL18A;RPL41;RPS12;RPS20;RPL5;RPL32;RPS10;RPS23;RPL10;RPS24;EIF3E;RPL7;RPL37A;RPS17;RPS16;PABPC1;RPL39;RPS27A;RPL13;RPLP0;RPL30;RPS5;RPL35A;RPS8;RPS7;RPL22;RPL29;RPS3;RPS28;RPL7A;RPS26;RPL6;RPL18;RPL36;RPS25;RPL28;RPL27;RPS29;RPL24;RPL23;RPL17;RPS27;RPS9;NCBP2;RPL21;RPL34;RPL10A;RPL35;RPL12;RPL19;RPL14;NCBP1;RPS18;RPS13;RPL37;RPS15A
prerank,peptide biosynthetic process (GO:0043043),-0.5393083096459879,-2.359564122221181,0.0,0.0,0.0,79/153,22.48%,RPLP1;PCSK5;RPS15;RPL38;RPL18A;RPL41;EEF1A1;RPS12;RPS20;DARS1;RPL5;RPL32;RPS10;RPS23;RPL10;RPS24;RPL7;RPL37A;RPS17;RPS16;RPL39;RPS27A;RPL13;RPLP0;RPL30;MRPL52;RPS5;RPL35A;RPS8;RPS7;RPL22;RPL29;RPS3;RPS28;RPL7A;RPS26;GGTA1;RPL6;RPL18;RPL36;AGO2;RPS25;RPL28;RPL27;RPS29;RPL24;RPL23;RPL17;MRPL23;YARS2;RPS27;RPS9;RPL21;MRPL10;ASMT;RPL34;RPL10A;RPL35;RPL12;RPL19;RPL14;RPS18;RPS13;RPL37;RPS15A;MRPS12;DMD;MRPL43;MRPL55;MRPL36;MRPL35;RPL3;GGT7;RRBP1;RPL15;RPS21;RPL8;GGT1;RPS19
prerank,regulation of cell migration involved in sprouting angiogenesis (GO:0090049),-0.7136657145115514,-2.2773449392895664,0.0,0.0,0.0,19/32,14.50%,RHOJ;RHOA;MEOX2;THBS1;NOTCH1;JCAD;KDR;AKT3;STARD13;PTGS2;PIK3C2A;ANXA1;HDAC7;HDAC9;GATA2;KLF4;FGF2;VEGFA;SRPX2
prerank,branching morphogenesis of an epithelial tube (GO:0048754),-0.6513372142887501,-2.1644738349253148,0.0,0.0007881580796064133,0.005,19/39,13.96%,NRP1;COL4A1;SLIT2;LRP6;TIE1;ENG;LRP5;PKD1;BMP4;RASIP1;KDR;SIX1;TGFBR2;MET;NOTCH4;FGF2;SEMA3E;BMP2;VEGFA
prerank,epithelial tube morphogenesis (GO:0060562),-0.6728183119063347,-2.1401697200672833,0.0,0.0012610529273702612,0.009,14/32,7.36%,MEF2C;PODXL;COL4A1;SLIT2;ACVR1;ACVRL1;PKD1;BMP4;RASIP1;MTSS1;SOX17;MET;HES1;PRKX
prerank,regulation of ossification (GO:0030278),-0.6422698016245298,-2.1228120928269116,0.0,0.0026482111474775485,0.018,17/36,12.38%,MEF2C;ZBTB16;BMPR2;PTN;SGMS2;LRP6;ACVR1;TGFB2;NOTCH1;BMP4;S1PR1;WNT5A;MDK;NBR1;TWIST1;BMP2;ECM1
prerank,regulation of endothelial cell proliferation (GO:0001936),-0.5416343944899105,-2.121329699862067,0.0,0.0025221058547405225,0.019,29/88,12.38%,PTPRM;NRP1;TEK;CAV1;SPARC;NRP2;BMPR2;TIE1;ACVRL1;THBS1;VEGFC;CDH13;F3;BMP4;KDR;AKT3;PRKD1;XDH;PPP1R16B;WNT5A;FLT4;AGGF1;FGF2;CAV2;PIK3CD;APOE;NRAS;BMP2;ECM1
prerank,negative regulation of vascular permeability (GO:0043116),-0.8265802534887625,-2.0930989272100664,0.0,0.004203509757900871,0.033,11/12,15.01%,PDE3A;CLDN5;SLIT2;RAMP2;PTPRJ;PDE2A;CEACAM1;DDAH1;SH3GL2;VEGFA;FERMT2
prerank,positive regulation of endothelial cell proliferation (GO:0001938),-0.538220163911716,-2.082410937900956,0.0,0.004947207638144871,0.044,27/75,12.38%,NRP1;TEK;NRP2;BMPR2;VEGFC;CDH13;F3;PLCG1;JCAD;BMP4;KDR;AKT3;PRKD1;AGTR1;PPP1R16B;WNT5A;MDK;GATA2;FLT4;IGF2;AGGF1;FGF2;PIK3CD;NRAS;ITGA4;BMP2;ECM1
