Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,maintenance of blood-brain barrier (GO:0035633),-0.6136085880241289,-2.0963061072850864,0.0,0.107458979870909,0.095,14/30,9.19%,TJP1;GJB6;OCLN;PECAM1;CDH5;LAMA2;CLDN5;ESAM;JAM2;LSR;F11R;SLC1A1;CLDN1;MFSD2A
prerank,B cell receptor signaling pathway (GO:0050853),-0.6210139062237261,-2.0778223682777717,0.0,0.07030026720526757,0.12,11/32,11.83%,BCL2;TEC;PRKCB;RFTN1;BMX;NFATC2;CD38;VAV3;SYK;PIK3CD;SH2B2
prerank,vasculature development (GO:0001944),-0.7411170964580643,-2.0629575335692336,0.0,0.06025737189022934,0.15,14/16,21.08%,CDH5;ERRFI1;PDGFRB;NOTCH4;PDGFRA;FLT4;BMPR2;SOX18;ACVRL1;APLNR;ACVR2B;STRA6;STK11;FOXF1
prerank,collagen fibril organization (GO:0030199),0.7285664406320519,2.040176175565192,0.0,0.0009989914849276092,0.001,30/88,5.11%,COL12A1;PLOD2;COL6A3;COL6A2;COL6A1;ADAMTS3;ADAMTS2;COL8A2;COL8A1;BMP1;COL11A1;COL3A1;DDR2;COL1A2;COL1A1;COL5A3;COL14A1;P4HB;COL15A1;SERPINH1;COL5A2;COL27A1;COL16A1;LOXL1;CYP1B1;TLL1;TGFB2;PLOD1;P3H1;PLOD3
prerank,high-density lipoprotein particle remodeling (GO:0034375),-0.7186485767261761,-1.9989417010727997,0.003816793893129771,0.11574436850581551,0.335,5/15,11.38%,PLTP;APOE;ABCG1;ABCA5;SCARB1
prerank,cyclic-nucleotide-mediated signaling (GO:0019935),-0.5974632020031625,-1.953457905274262,0.0,0.16892149919894292,0.513,17/35,6.94%,KSR1;PDE7B;RAPGEF3;IRAG1;PDE4D;APOE;ADGRG6;RAPGEF2;RIMS2;CAP2;GUCY1B1;ADCY1;NUDT4;AHR;AKAP6;HTR2C;PDE2A
prerank,"regulation of synaptic transmission, glutamatergic (GO:0051966)",-0.5176938319592126,-1.872793500940092,0.0,0.33576746669944457,0.805,18/46,14.69%,ATP1A2;GRM7;GRM5;NRXN1;SHANK3;GRM3;GRM8;GRM1;CACNG7;OPHN1;CACNG8;CDH2;HOMER1;CACNG3;CACNG4;RELN;DGKZ;TPRG1L
prerank,regulation of bicellular tight junction assembly (GO:2000810),-0.6354905956783637,-1.86517125754647,0.0091324200913242,0.31132975476618496,0.835,6/19,6.25%,TJP1;ROCK2;OCLN;CLDN5;PRKCH;F11R
prerank,bicarbonate transport (GO:0015701),0.7738615160254142,1.8595852367633376,0.0,0.24325442657987284,0.33,7/25,7.46%,SLC4A10;SLC26A7;SLC4A4;SLC26A6;SLC4A8;SLC4A11;SLC4A2
prerank,melanocyte differentiation (GO:0030318),-0.7292728321471502,-1.856436590693289,0.003205128205128205,0.3007847146853948,0.858,4/11,4.80%,LRMDA;KIT;ENPP1;MITF
prerank,negative regulation of leukocyte activation (GO:0002695),-0.6696355524299175,-1.852022883943643,0.0,0.27986201611239847,0.871,12/15,24.26%,IL31RA;NR1H3;LRFN5;CD200;ZC3H12A;CD300A;HAVCR2;CD84;GPER1;CD300LF;MILR1;GRN
prerank,negative regulation of cellular response to growth factor stimulus (GO:0090288),0.6595490617790655,1.8428097791252585,0.0,0.2330980131497755,0.43,11/79,2.22%,BMPER;THBS1;SLIT2;HTRA3;FGF2;SKIL;NEDD4;CRIM1;EMILIN1;SMAD9;SMAD6
prerank,positive regulation of blood coagulation (GO:0030194),0.8290272871838485,1.8312753153318533,0.0,0.22502283197994397,0.511,3/17,1.08%,THBS1;ST3GAL4;F3
prerank,positive regulation of leukocyte proliferation (GO:0070665),-0.6967197158126682,-1.8165001876778284,0.013937282229965157,0.35451420462084926,0.942,7/12,21.30%,IL34;LYN;BST2;CSF1;PTK2;MAPK3;CSF1R
prerank,response to ketone (GO:1901654),0.7625545319320981,1.8123317235705516,0.0,0.26173576905103363,0.628,5/24,4.18%,THBS1;SLIT3;SLIT2;TGFB3;TGFB2
prerank,carboxylic acid transmembrane transport (GO:1905039),0.7047109446414285,1.8047515599791846,0.0,0.2529113442675064,0.68,10/40,6.91%,SLC38A2;SLC38A1;SLC23A1;SLC23A2;SLC5A6;SLC16A1;SLC38A6;ABCC1;SLC38A3;SLC7A10
