Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,cytosolic large ribosomal subunit (GO:0022625),-0.7002377783718459,-2.3466851813975564,0.0,0.0,0.0,44/53,25.12%,RPL38;RPLP1;RPL21;RPL41;RPL37A;RPLP2;RPL27A;RPL34;RPL13;RPL9;RPL30;RPL37;RPL19;RPL18A;RPL18;RPL23;RPL17;RPL22;RPL23A;RPL26;RPL35A;RPL11;RPL13A;RPL7;RPL36;RPL32;RPL39;RPL8;RPL14;RPL24;RPL29;RPL10A;RPL3;RPL12;RPL27;RPL5;RPL4;RPL31;RPL36AL;RPL36A;RPL7A;RPL35;RPL28;RPLP0
prerank,large ribosomal subunit (GO:0015934),-0.6766039144235005,-2.249941406090039,0.0,0.0,0.0,44/57,25.12%,RPL38;RPLP1;RPL21;RPL41;RPL37A;RPLP2;RPL27A;RPL34;RPL13;RPL9;RPL30;RPL37;RPL19;RPL18A;RPL18;RPL23;RPL17;RPL22;RPL23A;RPL26;RPL35A;RPL11;RPL13A;RPL7;RPL36;RPL32;RPL39;RPL8;RPL14;RPL24;RPL29;RPL10A;RPL3;RPL12;RPL27;RPL5;RPL4;RPL31;RPL36AL;RPL36A;RPL7A;RPL35;RPL28;RPLP0
prerank,ribosome (GO:0005840),-0.5587121840124285,-1.8852463353950781,0.0,0.031722944810098325,0.071,41/61,22.92%,RPL38;RPS9;RPS13;RPL41;RPS21;RPS19;RPS29;RPS3;RPS23;RPS5;RPS4X;RPL9;RPS27;RPL30;RPL19;RPS11;RPL18A;RPL18;RPS7;RPL23;RPS25;RPS18;RPL11;RPL13A;RPL36;RPL32;RPS17;RPL39;RPL8;RPL24;SF1;RPL10A;BTF3;RPL27;RPS28;RPS10;SERP1;MRPS12;RPL31;RPL36A;RPL7A
prerank,cytosolic small ribosomal subunit (GO:0022627),-0.6200453545388611,-1.8813667237991978,0.0,0.02491184195381251,0.075,27/36,18.55%,RPS14;RPS9;RPS13;RPS21;RPS19;RPS29;RPS8;RPS3;RPS23;RPS5;RPS4X;RPS16;RPS15;RPS27;RPS11;RPS24;RPS7;RPS20;RPS25;RPS18;RPS17;RPS2;MRPS11;RPS12;RPS27A;RPS28;RPS10
prerank,small ribosomal subunit (GO:0015935),-0.6024790994883854,-1.874844714026239,0.0,0.020601253570793267,0.078,28/41,18.55%,RPS14;RPS9;RPS13;RPS21;RPS19;RPS29;RPS8;RPS3;RPS23;RPS5;RPS4X;RPS16;RPS15;RPS27;RPS11;RPS24;RPS7;RPS20;RPS25;RPS18;RPS17;RPS2;MRPS11;RACK1;RPS12;RPS27A;RPS28;RPS10
prerank,connexin complex (GO:0005922),-0.6875124528310939,-1.8270885008857087,0.0,0.032096155925511245,0.142,5/19,4.86%,GJB6;GJB2;GJC1;GJD3;GJA1
prerank,spanning component of membrane (GO:0089717),0.8242514690297007,1.8017947358919577,0.001639344262295082,0.3424786562171693,0.256,3/18,0.69%,SLC4A4;SLC12A2;SLC24A3
prerank,integral component of postsynaptic specialization membrane (GO:0099060),-0.7271744643811706,-1.8004792838369956,0.005319148936170213,0.038227481393009244,0.194,8/15,13.52%,CDH2;LRRC4C;LRFN2;LRFN5;LRRC4B;SORCS3;GSG1L;ADAM22
prerank,basolateral plasma membrane (GO:0016323),0.614495605858479,1.7910107427171944,0.0,0.21512238712248377,0.306,27/143,6.74%,SLC4A10;SLC47A1;SLC26A7;SLC4A4;SLC23A2;EGFR;SLC38A1;SLC5A6;PKD1;ANK2;EZR;DISP1;ANXA2;SLC16A1;PLPP3;CNNM2;CXADR;CD44;SLC39A14;SLC26A6;DLG2;LRP1;LDLR;SLC4A2;B4GALT1;DLG1;IDE
prerank,spanning component of plasma membrane (GO:0044214),0.8060691091478738,1.691308161670485,0.02037351443123939,0.6223126557260911,0.774,3/13,4.92%,SLC4A4;SLC24A3;TRPM4
