Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,SRP-dependent cotranslational protein targeting to membrane (GO:0006614),-0.6005820729806731,-2.5088478577883118,0.0,0.0,0.0,59/87,21.11%,RPL13;RPS8;RPS23;RPS29;RPL37A;RPS21;RPL38;RPS11;RPL21;RPL35A;RPL17;RPL23;RPL3;RPS15;RPS7;RPL18A;RPS20;RPS6;RPS18;RPL14;RPLP1;RPS13;RPL9;RPL37;RPL8;RPS14;RPL10;RPL32;RPL18;RPS28;RPSA;RPS5;RPL15;RPS24;RPS19;SRP68;RPL27;RPL39;RPL24;RPL12;RPS12;RPS4X;RPS27;RPL27A;RPS9;RPL30;RPL19;RPL28;RPL31;RPL13A;RPL36A;SEC61B;RPL29;RPLP2;RPLP0;RPL10A;RPS10;RPL35;RPS26
prerank,cotranslational protein targeting to membrane (GO:0006613),-0.570030705884471,-2.4138244894849556,0.0,0.0008572298795605801,0.001,61/91,21.23%,RPL13;RPS8;RPS23;RPS29;RPL37A;RPS21;SIL1;RPL38;RPS11;RPL21;RPL35A;RPL17;RPL23;RPL3;RPS15;RPS7;RPL18A;RPS20;RPS6;RPS18;RPL14;RPLP1;RPS13;RPL9;RPL37;RPL8;RPS14;RPL10;RPL32;RPL18;RPS28;RPSA;RPS5;RPL15;RPS24;RPS19;SRP68;RPL27;RPL39;RPL24;RPL12;RPS12;RPS4X;RPS27;RPL27A;RPS9;RPL30;RPL19;RPL28;RPL31;RPL13A;RPL36A;SEC62;RPL29;RPLP2;RPLP0;RPL10A;RPS10;RPL35;RPS26;SSR2
prerank,cytoplasmic translation (GO:0002181),-0.5616434918451281,-2.396366834915288,0.0,0.00057148658637372,0.001,60/91,22.11%,RPL13;RPS8;EIF3M;RPS23;RPS29;RPL37A;RPS21;RPL38;RPS11;RPL21;RPL35A;RPL17;RPL23;RPL3;RPS15;RPS7;RPL18A;RPS20;RPS6;RPS18;RPL14;RPLP1;RPS13;RPL9;RPL37;RPL8;RPS14;RPL10;RPL32;RPL18;RPS28;RPSA;RPS5;RPL15;RPS24;RPS19;RPL27;RPL39;RPL24;RPL12;RPS12;RWDD1;RPS4X;RPS27;RPL27A;RPS9;RPL30;RPL19;RPL28;RPL31;RPL13A;RPL36A;RPL29;RPLP0;RPL10A;RPS10;RPL35;RPS26;TMA7;RPS27A
prerank,protein targeting to ER (GO:0045047),-0.565953472784359,-2.357595652630768,0.0,0.00042861493978029006,0.001,65/99,22.11%,RPL13;RPS8;RPS23;RPS29;RPL37A;RPS21;RPL38;RPS11;RPL21;RPL35A;RPL17;RPL23;RPL3;RPS15;RPS7;RPL18A;RPS20;RPS6;RPS18;RPL14;RPLP1;RPS13;RPL9;RPL37;RPL8;EDEM1;RPS14;SPCS2;RPL10;RPL32;RPL18;RPS28;RPSA;RPS5;RPL15;RPS24;RPS19;SRP68;RPL27;RPL39;RPL24;RPL12;RPS12;SGTA;RPS4X;RPS27;RPL27A;RPS9;RPL30;RPL19;SGTB;RPL28;RPL31;RPL13A;RPL36A;SEC62;RPL29;RPLP2;RPLP0;RPL10A;RPS10;RPL35;RPS26;ZFAND2A;RPS27A
prerank,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)",-0.4964784358189707,-2.2027506225833884,0.0,0.0027431356145938566,0.007,70/110,25.00%,RPL13;RPS8;RPS23;RPS29;RPL37A;RPS21;RPL38;RPS11;RPL21;RPL35A;RPL17;RPL23;RPL3;RPS15;EIF4G1;RPS7;RPL18A;RPS20;RPS6;RPS18;RPL14;RPLP1;RPS13;RPL9;RPL37;RPL8;RPS14;RPL10;RPL32;RPL18;RPS28;RPSA;RPS5;RPL15;RPS24;RPS19;RPL27;RPL39;RPL24;RPL12;RPS12;RPS4X;RPS27;RPL27A;RPS9;RPL30;RPL19;RPL28;EIF4A3;RPL31;RBM8A;RPL13A;SMG1;RPL36A;RPL29;RPLP2;RPLP0;DCP1A;RPL10A;RPS10;RPL35;RPS26;NCBP1;RPS27A;CASC3;RPS3;RPL4;MAGOH;EIF3E;UPF1
prerank,microtubule cytoskeleton organization involved in mitosis (GO:1902850),0.9075824217007714,2.1733089358398465,0.0,0.0,0.0,50/125,2.99%,KNL1;KIF11;CENPF;KIF4A;CENPE;NUF2;CDCA8;SPC25;NSL1;CENPM;KIF2C;NUSAP1;CENPH;CENPP;ZWILCH;CCNB1;KNTC1;NDC80;STIL;CENPK;CENPA;DLGAP5;INCENP;TTK;BUB1B;SGO1;PLK1;SKA1;BIRC5;BUB1;ESPL1;CENPI;SPDL1;KIF18A;CENPN;CDC20;WDR62;AURKB;CENPQ;CKAP5;CENPU;SKA2;XPO1;STMN1;DSN1;ITGB3BP;PMF1;GPSM2;AURKA;NUP160
prerank,mitotic sister chromatid segregation (GO:0000070),0.9081617364798685,2.16053146995625,0.0,0.0,0.0,41/98,2.82%,PRC1;KIF18B;CENPE;KIF14;CDCA8;NSL1;KIF23;CEP55;KIF2C;NUSAP1;NCAPG;CCNB1;NDC80;CDK1;CENPK;KIFC1;DLGAP5;SGO1;NCAPG2;PLK1;CDCA5;SPAG5;ESPL1;KNSTRN;SPDL1;NCAPH;SMC2;KIF18A;SMC4;KIF22;NCAPD3;NCAPD2;NCAPH2;PSRC1;HASPIN;PDS5A;DSN1;KMT5A;SMC1A;RB1;PDS5B
prerank,mitotic spindle organization (GO:0007052),0.9008474225410247,2.1482990938315565,0.0,0.0,0.0,56/153,3.24%,KNL1;KIF11;PRC1;CENPF;TPX2;KIF4A;CENPE;NUF2;CDCA8;SPC25;NSL1;CENPM;KIF23;KIF2C;CENPH;CENPP;ZWILCH;CCNB1;KNTC1;NDC80;STIL;CENPK;KIFC1;CENPA;DLGAP5;INCENP;TTK;BUB1B;SGO1;PLK1;SKA1;BIRC5;BUB1;CENPI;SPDL1;KIF18A;CENPN;CDC20;WDR62;AURKB;CEP192;CENPQ;CKAP5;CENPU;SKA2;XPO1;STMN1;DSN1;ITGB3BP;SMC1A;PMF1;GPSM2;CCDC61;AURKA;NUP160;RHOA
prerank,centromere complex assembly (GO:0034508),0.9363204707136767,2.125894291411567,0.0,0.0,0.0,18/36,2.07%,KNL1;CENPF;MIS18BP1;CENPE;CENPM;CENPH;CENPP;CENPK;CENPA;DLGAP5;CENPI;HJURP;CENPN;CENPQ;CENPU;HELLS;OIP5;ITGB3BP
prerank,chromosome condensation (GO:0030261),0.9240632295453151,2.0897753640615764,0.0,0.0,0.0,17/36,2.58%,TOP2A;NUSAP1;NCAPG;CCNB1;CDK1;INCENP;NCAPG2;PLK1;CDCA5;NCAPH;SMC2;SMC4;NCAPD3;NCAPD2;NCAPH2;KMT5A;RB1
prerank,mitotic nuclear division (GO:0140014),0.8927436479359308,2.0759336087738935,0.0,0.0,0.0,23/71,2.42%,KIF11;TPX2;KIF18B;CDCA8;NSL1;NUSAP1;NDC80;CENPK;KIFC1;SGO1;NCAPG2;PLK1;SPAG5;ESPL1;KNSTRN;KIF18A;SMC4;UBE2C;CEP192;UBE2S;DSN1;SMC1A;CCDC61
prerank,chromatin remodeling at centromere (GO:0031055),0.9295212740604271,2.0753606985103916,0.0,0.0,0.0,15/31,2.07%,KNL1;MIS18BP1;CENPM;CENPH;CENPP;CENPK;CENPA;CENPI;HJURP;CENPN;CENPQ;CENPU;HELLS;OIP5;ITGB3BP
prerank,sister chromatid segregation (GO:0000819),0.9497425464673392,2.07339221204375,0.0,0.0,0.0,19/31,2.58%,TOP2A;KIF18B;CDCA8;NSL1;NUSAP1;NDC80;CENPK;KIFC1;SGO1;NCAPG2;PLK1;SPAG5;ESPL1;KNSTRN;KIF18A;SMC4;DSN1;SMC1A;RB1
prerank,DNA replication-independent nucleosome assembly (GO:0006336),0.9136522976163436,2.0714663621980853,0.0,0.0,0.0,16/38,2.07%,KNL1;MIS18BP1;CENPM;CENPH;CENPP;CENPK;CENPA;ASF1B;CENPI;HJURP;CENPN;ATRX;CENPQ;CENPU;OIP5;ITGB3BP
prerank,CENP-A containing nucleosome assembly (GO:0034080),0.932541492202622,2.0628942426417827,0.0,0.0,0.0,14/29,2.07%,KNL1;MIS18BP1;CENPM;CENPH;CENPP;CENPK;CENPA;CENPI;HJURP;CENPN;CENPQ;CENPU;OIP5;ITGB3BP
prerank,CENP-A containing chromatin organization (GO:0061641),0.932541492202622,2.0628942426417827,0.0,0.0,0.0,14/29,2.07%,KNL1;MIS18BP1;CENPM;CENPH;CENPP;CENPK;CENPA;CENPI;HJURP;CENPN;CENPQ;CENPU;OIP5;ITGB3BP
prerank,mitotic metaphase plate congression (GO:0007080),0.8988123104592227,2.0544727751119884,0.0,0.0,0.0,14/51,1.69%,CENPE;KIF14;NUF2;CDCA8;CEP55;KIF2C;CCNB1;NDC80;KIFC1;CDCA5;SPDL1;KIF18A;KIF22;PSRC1
prerank,histone exchange (GO:0043486),0.90983963771968,2.0480136519682905,0.0,0.0,0.0,14/37,2.07%,KNL1;MIS18BP1;CENPM;CENPH;CENPP;CENPK;CENPA;CENPI;HJURP;CENPN;CENPQ;CENPU;OIP5;ITGB3BP
prerank,mitotic spindle assembly (GO:0090307),0.8991293773106072,2.034524751913235,0.0,0.0,0.0,14/42,4.74%,KIF11;PRC1;TPX2;KIF4A;KIF23;KIFC1;RACGAP1;AURKB;CEP192;SMC1A;CCDC61;RHOA;CHEK2;SMC3
prerank,positive regulation of cell cycle process (GO:0090068),0.8539509252000381,2.0315329772074797,0.0,0.0,0.0,26/91,3.52%,KIF20B;KIF14;KIF23;ECT2;NUSAP1;E2F7;CCNB1;NDC80;E2F8;SPAG5;RACGAP1;CEP295;ATRX;AURKB;DBF4;GEN1;CIT;DDX11;PLK4;GPSM2;PHIP;AURKA;CSPP1;RHOA;RAD21;CDC6
prerank,cytoskeleton-dependent cytokinesis (GO:0061640),0.8803262024889752,2.0238144545356764,0.0,0.0,0.0,18/56,3.24%,KIF4A;KIF23;CEP55;ECT2;NUSAP1;CKAP2;CENPA;INCENP;PLK1;RACGAP1;ESPL1;KIF20A;AURKB;ANLN;CIT;STMN1;ROCK2;RHOA
prerank,mitotic cytokinesis (GO:0000281),0.8864016121671241,2.022716406616801,0.0,0.0,0.0,16/47,3.07%,KIF4A;KIF23;CEP55;ECT2;NUSAP1;CKAP2;CENPA;INCENP;PLK1;RACGAP1;ESPL1;KIF20A;ANLN;CIT;STMN1;ROCK2
prerank,mitotic chromosome condensation (GO:0007076),0.9202147182212987,2.017799921428238,0.0,0.0,0.0,15/26,2.58%,NUSAP1;NCAPG;CCNB1;CDK1;NCAPG2;PLK1;CDCA5;NCAPH;SMC2;SMC4;NCAPD3;NCAPD2;NCAPH2;KMT5A;RB1
prerank,cellular response to cadmium ion (GO:0071276),-0.6222043687705882,-1.9949383384455721,0.0,0.08486575807649742,0.244,15/24,20.66%,MAPK8;MAPK9;JUN;MAPK3;MAPK1;CHUK;MT2A;MT1X;MT1A;MT1H;MT1B;MT1G;MT1M;MT1F;MT1E
