Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,regulation of smoothened signaling pathway (GO:0008589),-0.5804989432564461,-2.0816275097176393,0.0,0.0504051606286948,0.046,17/50,10.12%,GLI3;ZIC1;FGFR2;GPC3;SMO;DCDC2;GAS1;TULP3;IFT81;CREBBP;ARMC9;RORA;EVC;MEGF8;INTU;GLI1;PTCH1
prerank,mesonephric tubule development (GO:0072164),-0.776552679787205,-2.048072984813849,0.0,0.044589180556153095,0.078,8/15,11.56%,FGFR2;BMP7;SLIT2;BMP4;OSR1;SIX1;SALL1;PKD1
prerank,retinoid metabolic process (GO:0001523),-0.5355716517881212,-2.008650201066013,0.0,0.056544250705266606,0.147,12/71,3.85%,GPC6;ALDH1A1;LRP1;ALDH1A2;SDC2;GPC3;HSPG2;RBP1;CYP26B1;APOE;ABCA4;RBP4
prerank,ureteric bud development (GO:0001657),-0.73776385186955,-2.002730958468218,0.0,0.04822416810149167,0.165,8/17,11.31%,FGFR2;GPC3;BMP7;SLIT2;BMP4;OSR1;SIX1;SALL1
prerank,skeletal system morphogenesis (GO:0048705),-0.5831849876398418,-1.9977492273565176,0.0,0.04148732451746418,0.178,14/42,7.78%,FGFR2;HOXC4;PDGFRA;TGFBR1;CYP26B1;HOXA3;HOXB3;FBN2;HOXB4;MEGF8;SIX1;ANKRD11;SFRP4;WWOX
prerank,vasodilation (GO:0042311),0.8985567408464343,1.9863638200713036,0.0,0.17935798028198344,0.145,5/13,2.69%,NOS1;NOS3;KLF2;F2RL1;ADRB2
prerank,cellular nitrogen compound biosynthetic process (GO:0044271),0.8152256470478176,1.9837101907556112,0.0,0.09778556552096837,0.157,7/26,6.04%,NOS1;ACER2;NOS3;GCH1;SPTLC2;SPTLC1;ASAH2
prerank,embryonic skeletal system development (GO:0048706),-0.6023221706173408,-1.9721883259155717,0.0,0.05395937067302585,0.257,15/35,7.82%,COL1A1;HOXC4;PDGFRA;SULF1;SULF2;OSR1;HOXA3;WNT5A;HOXB3;RBP4;XYLT1;HOXB4;MEGF8;SIX1;WNT9A
prerank,negative regulation of blood pressure (GO:0045776),0.8760906635020866,1.9442027950825664,0.0,0.17091363092784106,0.335,3/13,0.94%,NOS1;NOS3;BMPR2
prerank,establishment of endothelial barrier (GO:0061028),0.7682019335469027,1.940934298487785,0.0014619883040935672,0.1375584509789788,0.353,12/29,9.87%,PECAM1;RAPGEF2;F11R;RAPGEF1;F2RL1;SOX18;MSN;RAPGEF6;PPP1R16B;ROBO4;TJP2;TJP1
prerank,activation of protein kinase A activity (GO:0034199),-0.7151390705908068,-1.937026099937917,0.0026595744680851063,0.0817006724476097,0.405,10/16,14.50%,ADCY5;ADCY9;ADCY1;ADCY2;PRRC1;ADCY7;PRKACA;PRKAR2A;PRKAR2B;PRKAR1A
prerank,regulation of systemic arterial blood pressure by hormone (GO:0001990),0.8493766365282359,1.9317926212872667,0.0033003300330033004,0.1317318499246206,0.401,3/14,1.04%,NOS3;EDN1;ACE
prerank,B cell receptor signaling pathway (GO:0050853),0.7351090586801635,1.9250477792835836,0.0014144271570014145,0.12717190127338374,0.444,4/32,5.56%,BMX;PLCG2;MEF2C;PLEKHA1
