Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,retinoid binding (GO:0005501),-0.8108533474130662,-2.335843772052501,0.0,0.003186367400794486,0.001,7/22,3.85%,NR2F2;ALDH1A2;PTGDS;RBP1;CYP26B1;ABCA4;RBP4
prerank,transmembrane receptor protein phosphatase activity (GO:0019198),0.8271278299685857,1.9004576445466292,0.0,0.11714790362829133,0.182,7/16,8.10%,PTPRM;PTPRB;PTPRG;PTPRR;PTPRE;PTPRU;PTPRO
prerank,transmembrane receptor protein tyrosine phosphatase activity (GO:0005001),0.8271278299685857,1.9004576445466292,0.0,0.11714790362829133,0.182,7/16,8.10%,PTPRM;PTPRB;PTPRG;PTPRR;PTPRE;PTPRU;PTPRO
prerank,transmembrane receptor protein serine/threonine kinase binding (GO:0070696),-0.7393578255458008,-1.8392480400382816,0.0,0.24057073875998367,0.33,5/13,6.87%,BMP6;BMP5;BMP7;BMP4;SRC
prerank,histone methyltransferase activity (H3-K9 specific) (GO:0046974),0.8768427878632123,1.8326545012762525,0.0017699115044247787,0.2586003515778049,0.479,2/10,0.09%,PRDM16;MECOM
prerank,guanyl-nucleotide exchange factor activity (GO:0005085),0.570608362035169,1.7989726112326316,0.0,0.32470871213152946,0.667,29/147,6.96%,RASGRF2;EPS8L2;PREX2;SPATA13;FGD5;CYTH3;CCDC88C;RAPGEF2;KALRN;DOCK9;ARHGEF28;ELMO1;DENND3;ARHGEF15;RAPGEF1;ARHGEF2;RASGRP2;ABR;RAPGEF5;HERC2;CYTH1;NUCB2;BCR;RAPGEF4;RAPGEF6;FGD6;SMCR8;MADD;RAB3GAP2
prerank,BMP receptor binding (GO:0070700),-0.7393621211297395,-1.7962890357182089,0.004672897196261682,0.2644684942659424,0.474,5/12,6.87%,BMP6;BMP5;BMP7;BMP4;SRC
prerank,FMN binding (GO:0010181),0.8478633613614235,1.7687878415708265,0.0051635111876075735,0.3952891088403589,0.807,2/11,0.41%,NOS1;NOS3
prerank,platelet-derived growth factor binding (GO:0048407),-0.746875210983325,-1.7607775672484864,0.005141388174807198,0.290490494705764,0.611,7/11,2.71%,COL1A2;COL3A1;COL1A1;PDGFRB;COL5A1;PDGFRA;COL6A1
prerank,"3',5'-cyclic-nucleotide phosphodiesterase activity (GO:0004114)",-0.6068284097879244,-1.753400136533697,0.017341040462427744,0.25023605320906034,0.638,5/21,2.89%,PDE1A;PDE5A;PDE7B;PDE3A;PDE8B
prerank,amino acid binding (GO:0016597),0.6889217292516729,1.752923874060778,0.007062146892655367,0.4045896478006133,0.873,7/31,11.15%,NOS1;NOS3;CASTOR1;ASS1;GRIN2B;CAD;GRIN3A
prerank,P-type ion transporter activity (GO:0015662),0.8207347667436357,1.7475323012133341,0.0,0.3717900865594972,0.886,5/12,4.35%,ATP2A3;ATP2B4;ATP2B2;ATP2C1;ATP7A
prerank,inorganic anion transmembrane transporter activity (GO:0015103),-0.570343227910103,-1.735650669124577,0.006493506493506494,0.24605837150579643,0.689,8/27,6.71%,SLC22A8;SLC26A7;SLC39A14;SLC26A2;ANO1;SLC39A8;SLC22A6;SLC5A5
