Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,UV Response Dn,-0.4475838306294047,-1.8939659234790538,0.0,0.004175676683319663,0.004,53/144,10.88%,MAGI2;CELF2;NOTCH2;TGFBR3;LPAR1;COL1A2;MAP1B;KCNMA1;DAB2;PDLIM5;AMPH;FHL2;COL1A1;SMAD3;NFIB;PDGFRB;TFPI;COL11A1;CDON;COL3A1;ANXA2;IGFBP5;SDC2;MMP16;NRP1;MAPK14;TGFBR2;COL5A2;VAV2;PLPP3;KIT;EFEMP1;SCN8A;ANXA4;SCHIP1;F3;PEX14;PIK3R3;CDKN1B;LDLR;NIPBL;BHLHE40;GRK5;RND3;DBP;MGMT;RXRA;FZD2;LTBP1;GJA1;NFKB1;DDAH1;MTA1
prerank,Epithelial Mesenchymal Transition,-0.3890049284892464,-1.7370056904377207,0.0,0.006263515024979495,0.012,86/194,22.43%,CALD1;NOTCH2;TGFBR3;LAMA2;COL1A2;LRP1;FBN1;DAB2;TIMP3;SPOCK1;ADAM12;COL1A1;DPYSL3;FSTL1;PDGFRB;PRRX1;ABI3BP;COL11A1;COL3A1;PLOD2;IGFBP2;FBLN1;CCN2;MGP;COL5A1;WIPF1;VIM;TPM1;COL5A2;FLNA;LOXL1;NID2;FBN2;VCAN;COL12A1;MMP14;ITGB5;ITGA5;COL8A2;MFAP5;ANPEP;CDH11;EDIL3;COL6A2;GAS1;PLOD1;SPARC;THBS2;THBS1;SAT1;PCOLCE2;FAP;GJA1;FN1;FOXC2;SNTB1;RHOB;ECM1;TNFRSF11B;IGFBP4;PCOLCE;SPP1;QSOX1;TPM4;JUN;TGFB1;COL6A3;COL5A3;SCG2;LAMA1;LGALS1;SFRP4;TGFBI;ENO2;COL16A1;MMP2;CCN1;COPA;EFEMP2;P3H1;LUM;LOX;PFN2;EMP3;PDLIM4;VEGFA
prerank,Myc Targets V1,0.3853352960069564,1.481663351366037,0.008838383838383838,0.41520675612889124,0.332,74/197,19.73%,PSMC4;SNRPD2;NCBP1;PSMD8;TRIM28;MRPL23;EIF2S1;RUVBL2;PRPF31;SNRPD1;PCBP1;CCT2;NME1;GOT2;CCT5;EIF3B;PHB2;AP3S1;IARS1;SSBP1;PWP1;CDC45;HNRNPC;UBA2;SF3B3;EIF4H;CDK4;RPLP0;SF3A1;RANBP1;TARDBP;U2AF1;COX5A;EIF4G2;RPL34;ERH;RPS3;ORC2;PA2G4;HDGF;ILF2;HSPE1;XPO1;PSMD14;PSMC6;EEF1B2;PSMD1;SRSF7;RRM1;SNRPA;SSB;ODC1;TRA2B;TCP1;RSL1D1;EIF1AX;PSMA4;KPNB1;VDAC3;NPM1;LDHA;EIF2S2;SNRPA1;RAD23B;YWHAQ;HDAC2;SNRPB2;HPRT1;RPS2;SNRPD3;YWHAE;NDUFAB1;EXOSC7;RPL14
prerank,Reactive Oxygen Species Pathway,0.46539798537235805,1.4553295492110976,0.037096774193548385,0.2720489764683375,0.411,15/48,14.46%,GCLC;TXNRD2;HMOX2;OXSR1;SOD1;SBNO2;GCLM;NDUFB4;TXN;NDUFS2;SOD2;EGLN2;PRNP;PTPA;MSRA
prerank,Angiogenesis,-0.42537647720145433,-1.3596208667458427,0.08624708624708624,0.14197300723286854,0.328,15/34,23.04%,FSTL1;COL3A1;PRG2;NRP1;COL5A2;VAV2;VCAN;VTN;TNFRSF21;SPP1;PTK2;PDGFA;LUM;VEGFA;PGLYRP1
prerank,Wnt-beta Catenin Signaling,0.43893872492312275,1.3563080804883607,0.09800664451827243,0.4994943835578999,0.755,11/42,13.02%,JAG2;LEF1;PSEN2;HEY1;PPARD;AXIN1;HEY2;NOTCH1;RBPJ;GNAI1;HDAC5
prerank,Interferon Gamma Response,0.35184361949283505,1.353653171313824,0.03096774193548387,0.3837218836262265,0.764,48/184,17.36%,PSMB10;UPP1;LY6E;TNFAIP3;BPGM;IFITM2;LYSMD2;IFIT1;IFI35;XAF1;EPSTI1;IRF9;TRIM14;B2M;CDKN1A;GBP4;ICAM1;SELP;PIM1;LCP2;IFITM3;ADAR;TRIM25;RAPGEF6;LATS2;LGALS3BP;RBCK1;SOD2;PNP;NOD1;IFI27;USP18;IRF2;CD274;SP110;NLRC5;NFKBIA;GCH1;MT2A;IL7;NAMPT;TDRD7;PELI1;OGFR;PFKP;WARS1;RTP4;STAT3
prerank,PI3K/AKT/mTOR  Signaling,0.3710551344238728,1.3123606946423085,0.0743801652892562,0.4293749487550903,0.858,26/104,13.74%,ARPC3;TRIB3;RALB;PIN1;TIAM1;MAP3K7;VAV3;RPS6KA1;RPTOR;PFN1;CFL1;CDKN1A;AKT1S1;MAPK8;YWHAB;PIKFYVE;PLCG1;SLC2A1;CDK4;ARF1;PLCB1;PRKAA2;NOD1;RIT1;DDIT3;MAP2K6
prerank,Myogenesis,-0.29080759815571605,-1.2858889835111493,0.02843601895734597,0.19808366266497654,0.52,35/195,10.45%,SORBS1;NCAM1;SVIL;LAMA2;IGF1;GNAO1;AEBP1;GSN;ADAM12;COL1A1;ACSL1;COL3A1;FHL1;AGL;SIRT2;PDLIM7;ADCY9;IGFBP7;SCHIP1;ITGB5;AKT2;PTGIS;LPIN1;COL6A2;BHLHE40;COL15A1;SMTN;SPARC;BIN1;ACTN2;SPTAN1;CKB;LSP1;DMPK;SPEG
prerank,Apical Surface,-0.36825831914504625,-1.2677326072651194,0.11023622047244094,0.18185071955857132,0.566,11/43,13.05%,EFNA5;NTNG1;NCOA6;SULF2;B4GALT1;FLOT2;EPHB4;GAS1;ATP6V0A4;SCUBE1;CRYBG1
prerank,Interferon Alpha Response,0.36094227177488375,1.2604234088201005,0.1044349070100143,0.5586925032113477,0.95,27/90,17.12%,LY6E;IFITM2;IFI35;EPSTI1;IRF9;TRIM14;B2M;GBP4;IFITM3;ADAR;TRIM25;CNP;IFITM1;LGALS3BP;CD47;IFI27;USP18;IRF2;SP110;NCOA7;MOV10;IL7;TDRD7;OGFR;GMPR;WARS1;RTP4
prerank,Apical Junction,-0.27832346258791585,-1.240672829145814,0.04291845493562232,0.19068923520493128,0.641,67/191,21.52%,FBN1;EGFR;ITGA9;PARVA;RSU1;ADAM23;NEGR1;PKD1;SGCE;CTNNA1;LIMA1;WASL;PARD6G;MAPK14;VAV2;NLGN2;B4GALT1;CLDN11;JAM3;VCAN;VCL;CNTN1;ADAMTS5;ADRA1B;MAP3K20;PIK3R3;AKT2;CDH11;EPB41L2;MPZL2;ACTN2;WNK4;CDH1;SPEG;SYMPK;CNN2;CD34;NRXN2;CDH4;INPPL1;DLG1;SIRPA;IKBKG;MYL12B;NF2;TNFRSF11B;PPP2R2C;CTNND1;CADM2;PTK2;NECTIN3;FYB1;ITGB4;NEXN;ATP1A3;CLDN14;CADM3;MSN;THBS3;CDH8;TGFBI;PBX2;CX3CL1;COL16A1;MMP2;ARPC2;SDC3
prerank,Unfolded Protein Response,0.34169781192388055,1.231904237070353,0.1377840909090909,0.6046782210109987,0.972,33/111,17.43%,ATF3;BANF1;ATF6;EIF2S1;DDX10;IFIT1;SEC11A;WFS1;PDIA6;ATP6V0D1;RPS14;IARS1;CNOT2;CEBPG;GOSR2;SPCS3;EXOSC9;HYOU1;TATDN2;EXOSC1;CNOT6;FKBP14;PDIA5;DCP1A;FUS;EXOC2;DKC1;PARN;SHC1;CALR;LSM1;NPM1;SLC7A5
