Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,cyclic-nucleotide-mediated signaling (GO:0019935),-0.6819493188334388,-2.295777320536419,0.0,0.001922452040628479,0.002,15/35,7.70%,PDE7B;RIMS2;AKAP6;PDE4D;CD36;PDE9A;PDE7A;ADCY2;ADGRG6;HTR2C;RAPGEF2;GUCY1B1;APOE;HTR2B;EPHA5
prerank,regulation of cation channel activity (GO:2001257),-0.5475818594441649,-2.2415868002746686,0.0,0.002883678060942718,0.006,29/89,8.82%,DLG2;FGF14;NLGN1;AHNAK;DMD;ANK3;GRIA4;ANK2;LRRC7;PDE4D;FGF12;SHISA9;GRIA1;GRIN2A;GRIN2B;SHISA6;APP;DLG3;CACNG2;GRIA2;GRIA3;CALM1;HOMER1;NETO1;DAPK1;OPRM1;GSG1L;FGF11;ACTN2
prerank,glutamate receptor signaling pathway (GO:0007215),-0.6621499039292058,-2.230144861045612,0.0,0.0022428607140665587,0.007,16/37,7.14%,GRM7;GRIK2;GRID2;PLCB1;GRIA4;GRM8;GRM5;GRIN2A;GRIN2B;GRM1;APP;GRIA2;GRIA3;HOMER1;GRIK4;GRIN3A
prerank,regulation of MHC class II biosynthetic process (GO:0045346),-0.8611392446295529,-2.164686514174797,0.0,0.007209195152356795,0.027,6/11,7.72%,TMEM106A;CIITA;PF4;JAK2;TAF7;SIRT1
prerank,regulation of neurotransmitter receptor activity (GO:0099601),-0.5759136748056259,-2.146896164357968,0.0,0.007497562958451067,0.036,21/57,9.81%,DLG2;NLGN1;GRIA4;LRRC7;SHISA9;GRIA1;GRIN2A;GRIN2B;SHISA6;APP;DLG3;CACNG2;GRIA2;GRIA3;NETO1;DAPK1;OPRM1;GSG1L;ACTN2;DLGAP1;DLGAP2
prerank,regulation of NMDA receptor activity (GO:2000310),-0.6564822302609981,-2.113064686816292,0.0,0.01361736862111839,0.075,15/32,8.82%,DLG2;NLGN1;GRIA4;LRRC7;CCR2;GRIA1;GRIN2A;GRIN2B;APP;DLG3;GRIA2;GRIA3;DAPK1;OPRM1;ACTN2
prerank,cellular response to copper ion (GO:0071280),0.7805997747677493,2.0879472110362,0.0,0.048377068051389346,0.044,9/16,8.98%,MT1B;MT1G;MT1X;MT1F;MT1E;MT1M;MT1H;MT1A;MT2A
prerank,regulation of synapse assembly (GO:0051963),-0.5767895198717582,-2.072836234300751,0.0,0.019773792417892923,0.119,20/46,15.32%,NRXN1;NLGN1;PDLIM5;GRID2;LRFN5;GPC6;PTPRD;BDNF;CLSTN2;SLITRK1;APP;IL1RAPL1;IL1RAPL2;SYNDIG1;SETD5;LHFPL4;IL1RAP;MDGA1;SNCA;GPC4
prerank,cellular zinc ion homeostasis (GO:0006882),0.682228856856592,2.062992422170068,0.0,0.03756942518884491,0.066,12/26,8.98%,SLC30A5;SLC30A10;MT1B;MT1G;MT1X;MT1F;MT1E;MT1M;MT1H;MT1A;SLC30A8;MT2A
prerank,positive regulation of calcium ion transmembrane transporter activity (GO:1901021),-0.6673939515434761,-2.0609534229646567,0.0,0.020786512689295426,0.141,7/22,8.29%,AKAP6;ANK2;HTT;RYR2;CALM1;PKD2;VMP1
prerank,neuron cell-cell adhesion (GO:0007158),-0.7841541035377756,-2.043463767797749,0.0,0.023710241834417906,0.177,8/14,14.09%,NRXN1;NLGN1;NRXN3;ASTN2;RET;NCAM2;ASTN1;NRXN2
prerank,modulation of excitatory postsynaptic potential (GO:0098815),-0.6432122838844102,-2.02701526194835,0.0,0.02614534775254731,0.209,9/26,4.69%,NRXN1;NLGN1;RIMS2;LRRK2;SLC8A3;APP;PRKCZ;SHANK3;MTMR2
