Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,clathrin adaptor activity (GO:0035615),0.810086372358073,1.92325560066786,0.0,0.47331784355956885,0.317,3/15,0.32%,DAB2;AP2A2;HIP1
prerank,low-density lipoprotein particle binding (GO:0030169),0.8095083116714412,1.8975301661459845,0.0017271157167530224,0.336407723521677,0.415,7/16,3.55%,STAB1;MSR1;PLTP;COLEC12;LDLR;CD36;SCARF1
prerank,protein kinase C binding (GO:0005080),0.6470259036153443,1.8950629971959558,0.0,0.2327472040644161,0.421,11/43,7.67%,HDAC9;NELL1;PDLIM5;GRK5;HINT1;ADAM9;UGT1A7;UGT1A10;RACK1;HSPB1;PRKCB
prerank,lipoprotein particle binding (GO:0071813),0.7674198480930836,1.8836665968949864,0.001694915254237288,0.2073210389145219,0.468,7/20,3.55%,STAB1;MSR1;PLTP;COLEC12;LDLR;CD36;SCARF1
prerank,phospholipase activity (GO:0004620),-0.4939150833109345,-1.8550383193510234,0.0,0.37678615630414725,0.27,14/67,6.27%,PLCL1;PNPLA7;ABHD12;PLCB2;MGLL;PLD4;ENPP2;PLCB4;SMPD4;PLA2G6;LYPLA2;LIPH;LPL;PITPNM3
prerank,cadherin binding involved in cell-cell adhesion (GO:0098641),0.7563328334581895,1.8272955416728147,0.006968641114982578,0.31352417488677226,0.685,7/18,5.98%,PDLIM5;RAB10;S100A11;TMOD3;STXBP6;PDLIM1;ANXA2
prerank,retinoic acid binding (GO:0001972),0.8186225947305211,1.8252226268954779,0.005434782608695652,0.26876760469343286,0.698,10/12,17.22%,UGT1A8;UGT1A6;UGT1A7;UGT1A4;UGT1A10;UGT1A1;CYP26C1;CYP26B1;RARA;NR2F2
prerank,retinoid binding (GO:0005501),0.7093614425191507,1.8019501320004292,0.011764705882352941,0.2958935043267907,0.79,13/22,18.29%,UGT1A8;UGT1A6;UGT1A7;UGT1A4;UGT1A10;UGT1A1;CYP26C1;CYP26B1;RARA;RBP4;NR2F2;RBP1;ABCA4
prerank,glucuronosyltransferase activity (GO:0015020),0.7133782484982296,1.7895942598103898,0.007054673721340388,0.2958236522247305,0.827,8/19,3.64%,EXT1;LARGE2;UGT1A8;UGT1A6;UGT1A7;UGT1A4;UGT1A10;UGT1A1
prerank,phosphoric diester hydrolase activity (GO:0008081),-0.5449737645713528,-1.785025867643743,0.002652519893899204,0.4383762010846329,0.508,8/35,3.40%,PLCL1;MPPED2;PLCB2;PLD4;PLCXD3;ENPP2;PLCB4;SMPD4
prerank,lysophospholipase activity (GO:0004622),-0.6323743866570581,-1.7816046668285452,0.002380952380952381,0.3074326605009114,0.526,6/20,5.00%,PNPLA7;ABHD12;MGLL;ENPP2;PLA2G6;LYPLA2
prerank,death receptor activity (GO:0005035),0.8008370888533303,1.7791678406815614,0.005597014925373134,0.2920749227475026,0.857,3/11,4.18%,TNFRSF25;TNFRSF1B;TNFRSF11A
prerank,glutamate receptor activity (GO:0008066),-0.6319068297727027,-1.7624008982120176,0.004796163069544364,0.289059159747069,0.603,6/19,3.80%,GRID2;GRM7;GRIA2;GRIK2;GRM3;GRIA4
prerank,monocarboxylic acid binding (GO:0033293),0.7107881774504801,1.7252088163059949,0.01517706576728499,0.43547197466338017,0.967,9/18,9.99%,NR1H4;UGT1A8;UGT1A6;UGT1A7;UGT1A4;UGT1A10;UGT1A1;CYP26C1;CYP26B1
prerank,mannose binding (GO:0005537),0.7703212779960824,1.7150041100291047,0.021352313167259787,0.432778223600297,0.977,4/12,8.45%,CLEC6A;CLN5;ACR;CLEC4D
prerank,"DNA-binding transcription activator activity, RNA polymerase II-specific (GO:0001228)",0.4599797782842601,1.7142765737014825,0.0,0.3988322187294301,0.978,68/254,17.73%,RBPJ;ETV1;TCF4;IRF4;MEF2A;ZBTB16;RREB1;TFEC;ESR1;TCF12;MEF2C;NR1H4;MITF;KLF6;HOXD8;RAX;ALX1;HOXA10;NR3C1;CLOCK;GRHL2;NFIC;SMAD4;NR4A1;FOSL2;KLF4;YY1;REL;SATB2;CEBPG;NR4A2;IRF2;KLF10;ATF6;FOXC2;ESRRB;MDM2;FOXJ3;MLXIP;STAT6;CREBRF;SP1;TFDP1;ELF1;MYBL2;FOXK2;HINFP;NFIA;FOXO3;FOXO1;CREB1;NR1H2;STAT3;KLF5;MYC;MTF1;SMARCD1;NR2C2;ELK1;ZFP62;HOXB3;CREB3L1;NFATC3;GLIS2;RELA;MEF2B;MECOM;GMEB1
prerank,"hydrolase activity, hydrolyzing N-glycosyl compounds (GO:0016799)",0.7089240096841039,1.7139974156613125,0.016728624535315983,0.36898029603618643,0.978,4/16,3.66%,CD38;BST1;RPS3;DNPH1
prerank,ionotropic glutamate receptor binding (GO:0035255),-0.7461572460057662,-1.7096359882976768,0.0020408163265306124,0.3974886923648147,0.813,7/10,16.99%,GNAS;DLG4;SHANK1;IGSF11;SHANK2;SHISA7;SQSTM1
prerank,endonuclease activity (GO:0004519),0.5731896405270908,1.7056355080417716,0.0075528700906344415,0.3661647189993005,0.983,16/49,13.53%,ENDOG;ANG;RPS3;ENDOU;ERN1;NYNRIN;RNASEK;SND1;SMG6;RNASEL;CPSF3;ZRANB3;LACTB2;ZC3H12A;ZC3H12D;PIWIL2
prerank,phosphatidylinositol binding (GO:0035091),0.514878394595044,1.6908714071279665,0.0028011204481792717,0.38712966323095316,0.991,14/91,3.78%,DENND1A;SNX2;HIP1;SNX9;WDFY3;FCHO2;SNX8;SESTD1;ANKFY1;SNX24;MTM1;DENND1B;PITPNA;SNX27
prerank,MAP kinase kinase kinase activity (GO:0004709),0.7499767013118984,1.6882540578570995,0.017964071856287425,0.3716743035492947,0.993,4/11,9.28%,EGFR;MAP3K5;MAP3K1;MAP3K20
prerank,acylglycerol lipase activity (GO:0047372),-0.7053250714292808,-1.6876216482431758,0.0044943820224719105,0.41456828461486533,0.88,5/11,17.06%,ABHD12;MGLL;ABHD15;ABHD16A;FAAH
prerank,hyaluronic acid binding (GO:0005540),0.771833856623842,1.6788431737495995,0.023529411764705882,0.37684798166732325,0.997,2/10,2.35%,LYVE1;CD44
prerank,superoxide-generating NAD(P)H oxidase activity (GO:0016175),0.7714080669875742,1.6673522097462814,0.0186219739292365,0.3918237244893952,0.998,4/10,15.09%,CYBB;NCF2;CYBA;NOX4
prerank,solute:proton symporter activity (GO:0015295),-0.621768436966657,-1.665009295720636,0.011990407673860911,0.43475325727401604,0.924,7/16,12.85%,SLC2A9;SLC36A1;SLC25A3;SLC11A2;SLC2A13;SLC17A5;CTNS
prerank,phosphatidylglycerol binding (GO:1901611),0.716332516266259,1.6585177134469091,0.02010968921389397,0.3980172775387284,0.998,3/13,4.51%,PLTP;PITPNA;GSDME
