Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Apical Surface,0.6309615971018101,1.4862230463919477,0.04279279279279279,0.5377715313229854,0.399,8/43,9.77%,SCUBE1;BRCA1;GAS1;CX3CL1;FLOT2;DCBLD2;LYN;B4GALT1
prerank,DNA Repair,0.5881213947719182,1.4612096891171136,0.005035246727089627,0.3473740776719096,0.478,36/147,13.65%,POLR2D;CETN2;MPG;ZWINT;POLR1C;POLR1D;SNAPC5;TSG101;AK3;USP11;RFC2;POLE4;COX17;CSTF3;POLR2A;POLA1;NT5C3A;SDCBP;GPX4;POLA2;POLD3;POLB;HPRT1;DGUOK;NUDT9;ERCC4;DCTN4;STX3;CANT1;SEC61A1;GTF2B;TMED2;REV3L;TP53;NFX1;GTF2H1
prerank,Estrogen Response Late,0.5538975353404357,1.4005219604572416,0.006012024048096192,0.4331204486424295,0.699,26/186,11.86%,CXCL12;TFPI2;WFS1;LLGL2;TPD52L1;RNASEH2A;HOMER2;UGDH;OLFM1;AREG;CPE;MYOF;RABEP1;FARP1;METTL3;HPRT1;CKB;RBBP8;SNX10;MAPT;CD44;IDH2;AFF1;DNAJC1;NCOR2;CHST8
prerank,Mitotic Spindle,0.5450061937692962,1.375588568007733,0.00906344410876133,0.42282413244321354,0.797,63/198,15.14%,PLK1;MID1;VCL;FGD6;ARHGEF3;RHOF;ALMS1;PLEKHG2;RAB3GAP1;LLGL1;BCL2L11;WASF1;ITSN1;MAPRE1;NF1;SASS6;CEP250;FLNA;YWHAE;ARHGEF12;MAP3K11;NIN;CAPZB;PCNT;DYNLL2;TUBGCP6;KIF20B;ABI1;FARP1;ARFGEF1;BRCA2;EZR;KIF11;DLG1;EPB41;RANBP9;RAPGEF5;SPTBN1;SSH2;NCK1;TUBGCP2;PCGF5;APC;ACTN4;CNTRL;CD2AP;AKAP13;CDC42;PXN;PALLD;NOTCH2;ABL1;RABGAP1;MYO9B;WASF2;MYO1E;FLNB;PKD2;RASAL2;WASL;TSC1;CLASP1;ARL8A
prerank,Epithelial Mesenchymal Transition,0.5427389986424236,1.3512857725579,0.020080321285140562,0.4308248765062109,0.866,23/194,10.00%,CXCL12;TFPI2;THBS2;GAS1;IGFBP3;PMEPA1;IGFBP2;VEGFC;ADAM12;JUN;AREG;SGCG;THBS1;FLNA;TPM1;QSOX1;WIPF1;ITGB5;COL11A1;DAB2;CD44;BGN;CDH11
prerank,Complement,0.5338928871670829,1.3447699342327295,0.02914572864321608,0.3846771248854625,0.878,32/184,14.29%,GZMK;TFPI2;ANG;CP;PLA2G7;CD36;IRF1;GMFB;GRB2;CTSC;DYRK2;EHD1;SCG3;CFH;PDGFB;PRDM4;LIPA;PLA2G4A;LYN;F3;RAF1;XPNPEP1;GNAI3;PPP4C;SH2B3;FN1;DOCK9;KCNIP3;FYN;ANXA5;GNG2;CALM1
prerank,Pancreas Beta Cells,0.5474614462373242,1.2486809192506738,0.19661016949152543,0.7715726598185314,0.988,1/36,0.09%,ISL1
prerank,KRAS Signaling Dn,0.49545922219124333,1.241248429740291,0.09919839679358718,0.7172818965339066,0.994,13/179,10.08%,FGF22;SNN;IGFBP2;SELENOP;CAMK1D;TGFB2;SIDT1;CLSTN3;PTPRJ;MTHFR;NR6A1;MAST3;EPHA5
prerank,Coagulation,0.49776248656682426,1.2359902114648817,0.1301715438950555,0.6640279988150107,0.994,15/128,13.79%,TFPI2;ANG;USP11;PEF1;THBS1;CFH;PDGFB;PROC;F3;FURIN;CAPN2;GDA;WDR1;FN1;FYN
prerank,E2F Targets,0.48982591346660215,1.2322466880458085,0.0732196589769308,0.6152470909203646,0.995,30/198,9.38%,PLK1;BRCA1;RFC2;POLE4;RNASEH2A;RAD50;SUV39H1;ILF3;PSIP1;SYNCRIP;ASF1A;NUP205;PRKDC;IPO7;POLA2;PPP1R8;POLD3;BRCA2;ING3;MRE11;USP1;NBN;CSE1L;AK2;PRIM2;EZH2;CCP110;CHEK2;CNOT9;ORC2
