MeV.1.4.1.index	MeV.1.4.1.Term	MeV.1.4.1.NES	MeV.1.4.1.FDR q-val	MeV.1.4.11.index	MeV.1.4.11.Term	MeV.1.4.11.NES	MeV.1.4.11.FDR q-val	MeV.1.4.12.index	MeV.1.4.12.Term	MeV.1.4.12.NES	MeV.1.4.12.FDR q-val	MeV.1.4.13.index	MeV.1.4.13.Term	MeV.1.4.13.NES	MeV.1.4.13.FDR q-val	MeV.1.4.15.index	MeV.1.4.15.Term	MeV.1.4.15.NES	MeV.1.4.15.FDR q-val	MeV.1.4.2.index	MeV.1.4.2.Term	MeV.1.4.2.NES	MeV.1.4.2.FDR q-val	MeV.1.4.20.index	MeV.1.4.20.Term	MeV.1.4.20.NES	MeV.1.4.20.FDR q-val	MeV.1.4.21.index	MeV.1.4.21.Term	MeV.1.4.21.NES	MeV.1.4.21.FDR q-val	MeV.1.4.4.index	MeV.1.4.4.Term	MeV.1.4.4.NES	MeV.1.4.4.FDR q-val	MeV.1.4.5.index	MeV.1.4.5.Term	MeV.1.4.5.NES	MeV.1.4.5.FDR q-val	MeV.1.4.6.index	MeV.1.4.6.Term	MeV.1.4.6.NES	MeV.1.4.6.FDR q-val	MeV.1.4.7.index	MeV.1.4.7.Term	MeV.1.4.7.NES	MeV.1.4.7.FDR q-val	MeV.1.4.8.index	MeV.1.4.8.Term	MeV.1.4.8.NES	MeV.1.4.8.FDR q-val	MeV.2.1.index	MeV.2.1.Term	MeV.2.1.NES	MeV.2.1.FDR q-val	MeV.2.8.index	MeV.2.8.Term	MeV.2.8.NES	MeV.2.8.FDR q-val	MeV.3.17.index	MeV.3.17.Term	MeV.3.17.NES	MeV.3.17.FDR q-val	MeV.3.30.index	MeV.3.30.Term	MeV.3.30.NES	MeV.3.30.FDR q-val	MeV.4.1.index	MeV.4.1.Term	MeV.4.1.NES	MeV.4.1.FDR q-val	MeV.4.12.index	MeV.4.12.Term	MeV.4.12.NES	MeV.4.12.FDR q-val	MeV.4.21.index	MeV.4.21.Term	MeV.4.21.NES	MeV.4.21.FDR q-val	MeV.4.26.index	MeV.4.26.Term	MeV.4.26.NES	MeV.4.26.FDR q-val	MeV.4.30.index	MeV.4.30.Term	MeV.4.30.NES	MeV.4.30.FDR q-val	MeV.4.31.index	MeV.4.31.Term	MeV.4.31.NES	MeV.4.31.FDR q-val	MeV.4.4.index	MeV.4.4.Term	MeV.4.4.NES	MeV.4.4.FDR q-val
0.0	cotranslational protein targeting to membrane (GO:0006613)	2.0394785321756737	0.0126372138144966	0.0	regulation of extrinsic apoptotic signaling pathway via death domain receptors (GO:1902041)	-1.822485114345612	0.0497470368941247	0.0	collagen fibril organization (GO:0030199)	2.1898420770888736	0.0	0.0	dopamine metabolic process (GO:0042417)	-1.9880457700356404	0.0487030512705518	0.0	anterograde trans-synaptic signaling (GO:0098916)	2.678016335747113	0.0	0.0	anterograde trans-synaptic signaling (GO:0098916)	2.623171756420188	0.0	0.0	response to copper ion (GO:0046688)	2.4190881953063816	0.0	0	regulation of T cell proliferation (GO:0042129)	2.0187820515800388	0.0	0.0	neuronal action potential (GO:0019228)	-1.8451226653187969	0.0466644939477537	0.0	branching involved in ureteric bud morphogenesis (GO:0001658)	-1.9138495016096797	0.0495681009037224	0.0	positive regulation of focal adhesion assembly (GO:0051894)	-1.843731663292036	0.0487928096582155	0.0	regulation of postsynaptic membrane potential (GO:0060078)	-1.8435139331781425	0.0439940842894675	0.0	cytoplasmic translation (GO:0002181)	2.717078230529809	0.0	0.0	sequestering of extracellular ligand from receptor (GO:0035581)	2.127673508869227	0.0343102077892585	0.0	extracellular structure organization (GO:0043062)	2.1334519690952867	0.0020261982342334	0.0	collagen fibril organization (GO:0030199)	2.1865631935095178	0.0121698620907809	0.0	microtubule cytoskeleton organization involved in mitosis (GO:1902850)	2.164452262753865	0.0	0.0	response to ATP (GO:0033198)	2.09732453011469	0.0469627445458611	0.0	collagen fibril organization (GO:0030199)	2.034744706079758	0.0039852124525052	0.0	regulation of smoothened signaling pathway (GO:0008589)	-2.0110156921874816	0.0451621384137809	0.0	negative regulation of epithelial cell migration (GO:0010633)	-2.029479852881663	0.026819251110952	0.0	superoxide anion generation (GO:0042554)	1.941149084251555	0.0446005165075451	0.0	muscle contraction (GO:0006936)	2.6165780695655845	0.0	0.0	bicarbonate transport (GO:0015701)	2.019813114180732	0.0290364720038623
1.0	SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	1.9770788134146369	0.0368585402922819	1.0	epiboly involved in wound healing (GO:0090505)	-1.83523321352518	0.0425680864219468	1.0	cellular component disassembly (GO:0022411)	2.1255597396333186	0.0	1.0	protein targeting to ER (GO:0045047)	-2.020248074299423	0.042220062326591	1.0	chemical synaptic transmission (GO:0007268)	2.6305858371882	0.0	1.0	chemical synaptic transmission (GO:0007268)	2.618979411855272	0.0	1.0	cellular response to copper ion (GO:0071280)	2.3345200151255443	0.0	1	positive regulation of T cell activation (GO:0050870)	2.0007259227776064	0.0	1.0	growth hormone receptor signaling pathway (GO:0060396)	-1.8455687700787624	0.0481279926657282	1.0	retinoid metabolic process (GO:0001523)	-1.991999515821202	0.0131408958151235	1.0	gene expression (GO:0010467)	-1.8543608736347013	0.044194542936567	1.0	ncRNA processing (GO:0034470)	-1.8542279804449409	0.0391059989508988	1.0	SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	2.712163252576281	0.0	1.0	zinc ion homeostasis (GO:0055069)	-1.8583367738952972	0.0458049414761	1.0	external encapsulating structure organization (GO:0045229)	2.119102117409452	0.0010130991171167	1.0	icosanoid secretion (GO:0032309)	-1.9233433375287807	0.0457660643521123	1.0	mitotic spindle organization (GO:0007052)	2.162832888091543	0.0	1.0	regulation of cytosolic calcium ion concentration (GO:0051480)	2.057175450498634	0.0477678201666473	1.0	cyclic-nucleotide-mediated signaling (GO:0019935)	-2.060603015527107	0.0472226219201735	1.0	ureteric bud development (GO:0001657)	-2.028010126061383	0.0425055420364997	1.0	regulation of dendritic cell apoptotic process (GO:2000668)	-2.051892311963494	0.0216486927886603	1.0	maintenance of blood-brain barrier (GO:0035633)	-2.231909456301272	0.0103121361645506	1.0	muscle filament sliding (GO:0030049)	2.397388902856506	0.0	1.0	organic anion transport (GO:0015711)	1.975986724967486	0.0466657585776359
2.0	membrane lipid biosynthetic process (GO:0046467)	1.957441950848945	0.0466874843702237	2.0	regulation of T cell migration (GO:2000404)	-1.8405693353953407	0.0398568593109515	2.0	extracellular matrix disassembly (GO:0022617)	2.1176910601539927	0.0003405990172754	2.0	regulation of smooth muscle cell migration (GO:0014910)	-2.02384722091386	0.0493884418927368	2.0	cytoplasmic translation (GO:0002181)	2.5000795245449168	0.0	2.0	cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	2.4714459335568977	0.0	2.0	zinc ion homeostasis (GO:0055069)	2.330225568675795	0.0	2	regulation of immune response (GO:0050776)	1.9910111337369492	0.0003412055938091	2.0	regulation of interleukin-2 production (GO:0032663)	-1.862251094292538	0.0385728646643116	2.0	skeletal system development (GO:0001501)	-2.010973191548453	0.0096976760161359	2.0	neuron projection organization (GO:0106027)	-1.8553250645584496	0.0447245765979747	2.0	negative regulation of vascular permeability (GO:0043116)	-1.8572849466284755	0.0385548107982333	2.0	protein targeting to ER (GO:0045047)	2.689153124271192	0.0	2.0	ncRNA processing (GO:0034470)	-1.869526505979038	0.0408597094418883	2.0	positive regulation of osteoblast differentiation (GO:0045669)	2.026890466258712	0.0104686908768728	2.0	regulation of vascular associated smooth muscle cell migration (GO:1904752)	-1.9320881811240909	0.0431687826188839	2.0	mitotic sister chromatid segregation (GO:0000070)	2.143617160988586	0.0	2.0	positive regulation of calcium ion transport (GO:0051928)	2.055197463529129	0.0414464856626965					2.0	mesonephric tubule development (GO:0072164)	-2.086441957815802	0.0434715770827837	2.0	positive regulation of nuclear division (GO:0051785)	-2.0546637693212744	0.0257754748514987					2.0	actin-myosin filament sliding (GO:0033275)	2.397388902856506	0.0	2.0	response to glucocorticoid (GO:0051384)	1.966479300920384	0.0404436574339511
3.0	protein targeting to ER (GO:0045047)	1.9534317955220009	0.039754568458104	3.0	negative regulation of blood vessel endothelial cell migration (GO:0043537)	-1.8434673364744183	0.0388999386239772	3.0	external encapsulating structure organization (GO:0045229)	2.101378038227108	0.0002554492629565	3.0	cellular response to zinc ion (GO:0071294)	-2.0666686929546367	0.0496706615606953	3.0	SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	2.498096679850416	0.0	3.0	neurotransmitter secretion (GO:0007269)	2.4203100240065045	0.0	3.0	response to zinc ion (GO:0010043)	2.3202803794447457	0.0	3	neutrophil chemotaxis (GO:0030593)	1.9846072625417357	0.0002559041953568	3.0	positive regulation of synapse assembly (GO:0051965)	-1.8764678943729007	0.0320246527092427	3.0	membrane depolarization during cardiac muscle cell action potential (GO:0086012)	-2.023923268781804	0.0083356428678022	3.0	Fc receptor mediated stimulatory signaling pathway (GO:0002431)	-1.856993085879379	0.0448594923644844	3.0	regulation of ryanodine-sensitive calcium-release channel activity (GO:0060314)	-1.8577296638937983	0.0391461920324986	3.0	cotranslational protein targeting to membrane (GO:0006613)	2.687222366817544	0.0	3.0	sphingosine biosynthetic process (GO:0046512)	-1.869559722967583	0.0418780679212765	3.0	diterpenoid metabolic process (GO:0016101)	2.0160081819871807	0.0116506398468423	3.0	regulation of nitric-oxide synthase activity (GO:0050999)	-1.9389552226163689	0.0408554983581928	3.0	sister chromatid segregation (GO:0000819)	2.1253420949118937	0.0	3.0	skin development (GO:0043588)	-1.916419019626675	0.0459717422014095									3.0	negative regulation of endothelial cell migration (GO:0010596)	-2.05537720822312	0.0317119523271391					3.0	myofibril assembly (GO:0030239)	2.342974839703546	0.0	3.0	positive regulation of protein tyrosine kinase activity (GO:0061098)	-1.961834162573204	0.0385457359423091
4.0	positive regulation of acute inflammatory response (GO:0002675)	1.9494099793945676	0.0353841986805906	4.0	zinc ion homeostasis (GO:0055069)	-1.8439607456241056	0.0391513483330629	4.0	extracellular structure organization (GO:0043062)	2.0925705321819974	0.0004087188207305					4.0	cotranslational protein targeting to membrane (GO:0006613)	2.485429014968264	0.0	4.0	signal release from synapse (GO:0099643)	2.392617611285353	0.0	4.0	cellular zinc ion homeostasis (GO:0006882)	2.3199704826335057	0.0	4	positive regulation of T cell proliferation (GO:0042102)	1.9844064099228007	0.0002047233562855	4.0	chemical synaptic transmission (GO:0007268)	-1.8765035188539965	0.0332563701211367	4.0	mesonephric tubule development (GO:0072164)	-2.0480653810614067	0.0063042677151445	4.0	Fc-gamma receptor signaling pathway involved in phagocytosis (GO:0038096)	-1.8785841613433645	0.0327383669023636	4.0	ribosomal small subunit biogenesis (GO:0042274)	-1.876677651829063	0.0306369739261284	4.0	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	2.6547303591631835	0.0	4.0	sphingoid biosynthetic process (GO:0046520)	-1.869559722967583	0.0418780679212765	4.0	retinoid metabolic process (GO:0001523)	2.0112100624189564	0.0111440902882839	4.0	cell junction organization (GO:0034330)	-1.9413744251445724	0.0414724636151915	4.0	mitotic nuclear division (GO:0140014)	2.119566878527821	0.0	4.0	androgen receptor signaling pathway (GO:0030521)	-1.9258585392749008	0.0411711531927667									4.0	amino acid import across plasma membrane (GO:0089718)	-2.0778436601976558	0.0301052134092308					4.0	sarcomere organization (GO:0045214)	2.272710185336544	0.0	4.0	regulation of synaptic transmission, glutamatergic (GO:0051966)	-2.019622974413569	0.0165759820093206
5.0	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	1.9310168235172471	0.046511967511689	5.0	endocardial cushion morphogenesis (GO:0003203)	-1.8444566841331285	0.0394965279149644	5.0	extracellular matrix organization (GO:0030198)	2.087800397277445	0.0005108985259131					5.0	protein targeting to ER (GO:0045047)	2.336125826407152	0.0	5.0	modulation of chemical synaptic transmission (GO:0050804)	2.309267810441294	0.0001092781680282	5.0	response to cadmium ion (GO:0046686)	2.3116098560874843	0.0	5	regulation of natural killer cell mediated cytotoxicity (GO:0042269)	1.983891058112476	0.0001706027969045	5.0	positive regulation of glial cell differentiation (GO:0045687)	-1.881671080034935	0.0322217274951458	5.0	ureteric bud development (GO:0001657)	-2.0496262832654613	0.0073549790010019	5.0	Fc-gamma receptor signaling pathway (GO:0038094)	-1.8840482525002644	0.0310438016650605	5.0	regulation of cardiac muscle contraction (GO:0055117)	-1.8769740153884893	0.0312160035605855	5.0	peptide biosynthetic process (GO:0043043)	2.5916377234513948	0.0	5.0	positive regulation of cell-substrate adhesion (GO:0010811)	-1.8842721427837965	0.0354555911182236	5.0	extracellular matrix organization (GO:0030198)	1.996148383460938	0.0153653366096036	5.0	semaphorin-plexin signaling pathway (GO:0071526)	-1.943103351439649	0.0424806448170713	5.0	centromere complex assembly (GO:0034508)	2.084739949433509	0.0	5.0	eye morphogenesis (GO:0048592)	-1.92640968971814	0.0452484896200697									5.0	transport across blood-brain barrier (GO:0150104)	-2.0925338514445557	0.0360247778436301					5.0	striated muscle contraction (GO:0006941)	2.1649301711515703	0.0006112401015158	5.0	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	-2.044286404871713	0.0125240752959311
6.0	establishment of endothelial barrier (GO:0061028)	1.927071875512257	0.0448320204371428	6.0	beta-catenin destruction complex disassembly (GO:1904886)	-1.8451748917070216	0.0396927362861507	6.0	regulation of humoral immune response (GO:0002920)	2.013694709611232	0.0045251012295165					6.0	regulation of neurotransmitter receptor activity (GO:0099601)	2.3106218750565626	0.0	6.0	glutamate receptor signaling pathway (GO:0007215)	2.2916652405008047	0.0001873340023341	6.0	cellular response to cadmium ion (GO:0071276)	2.280577964012374	0.0	6	positive regulation of phagocytosis (GO:0050766)	1.9628244584390155	0.0001462309687753	6.0	negative regulation of cell-substrate adhesion (GO:0010812)	-1.885953229509175	0.0306609655746459	6.0	regulation of smoothened signaling pathway (GO:0008589)	-2.056650007006841	0.0078453109344021	6.0	cellular zinc ion homeostasis (GO:0006882)	-1.8888387346979183	0.0292758750867636	6.0	ribonucleoprotein complex biogenesis (GO:0022613)	-1.88041907015349	0.0303340599658506	6.0	nuclear-transcribed mRNA catabolic process (GO:0000956)	2.526687049581008	0.0	6.0	negative regulation of ubiquitin-dependent protein catabolic process (GO:2000059)	-1.8905159124606317	0.0329139716832255	6.0	skeletal system development (GO:0001501)	1.9590763405839144	0.0318402579665255	6.0	positive regulation of wound healing (GO:0090303)	-1.9499974057938452	0.0405701396268856	6.0	DNA replication-independent nucleosome assembly (GO:0006336)	2.0641709211905286	0.0	6.0	sprouting angiogenesis (GO:0002040)	-2.010721279457988	0.0090900983611747																	6.0	heart contraction (GO:0060047)	2.1363516812686374	0.0007858801305203	6.0	cytoplasmic translation (GO:0002181)	-2.2994655577116543	0.0
7.0	skeletal system morphogenesis (GO:0048705)	-1.8880030676142328	0.0395971300107317	7.0	lipid translocation (GO:0034204)	-1.845668295368864	0.039948069242137	7.0	chemokine-mediated signaling pathway (GO:0070098)	1.9987761350363809	0.0060030576794796					7.0	cellular response to copper ion (GO:0071280)	2.290995217885862	0.0	7.0	regulation of neurotransmitter receptor activity (GO:0099601)	2.2866104242147043	0.0001639172520424	7.0	cellular response to zinc ion (GO:0071294)	2.275739893657075	0.0	7	negative regulation of antigen receptor-mediated signaling pathway (GO:0050858)	1.9579468278258292	0.0001279520976784	7.0	cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	-1.8879715736320808	0.0310760007895232	7.0	dermatan sulfate biosynthetic process (GO:0030208)	-2.0617202338229386	0.0085808088345023	7.0	branching involved in blood vessel morphogenesis (GO:0001569)	-1.891500863096227	0.0290996443890668	7.0	membrane repolarization during cardiac muscle cell action potential (GO:0086013)	-1.8907317230438296	0.02712512233836	7.0	rRNA metabolic process (GO:0016072)	2.4903776706728205	0.0	7.0	regulation of cell communication by electrical coupling involved in cardiac conduction (GO:1901844)	-1.9018639861318631	0.0283971508587431	7.0	positive regulation of smooth muscle cell migration (GO:0014911)	1.9530462348816409	0.0324191717477351	7.0	oligosaccharide biosynthetic process (GO:0009312)	-1.9545825510914625	0.0405498808934256	7.0	positive regulation of cell cycle process (GO:0090068)	2.060084583208413	0.0	7.0	embryonic skeletal system development (GO:0048706)	-2.035991684464576	0.0054340807785484																	7.0	actomyosin structure organization (GO:0031032)	2.121193453143375	0.0011460751903421	7.0	protein targeting to ER (GO:0045047)	-2.329397287935504	0.0
8.0	regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum (GO:0010880)	-1.892627221559364	0.0386642444447526	8.0	cellular response to copper ion (GO:0071280)	-1.846653674655612	0.0401382130677529	8.0	regulation of immune effector process (GO:0002697)	1.9850510272569	0.0070390463570257					8.0	glutamate receptor signaling pathway (GO:0007215)	2.2792346411137347	0.0	8.0	neuron cell-cell adhesion (GO:0007158)	2.2678139941410755	0.0001457042240377	8.0	digestive tract development (GO:0048565)	-1.96695546779224	0.04853796083054	8	positive regulation of interleukin-12 production (GO:0032735)	1.9576934341406504	0.0001137351979363	8.0	positive regulation of nervous system development (GO:0051962)	-1.9113940078304743	0.0211631446225415	8.0	collagen fibril organization (GO:0030199)	-2.1053046764232946	0.0042495434228011	8.0	negative regulation of blood vessel endothelial cell migration (GO:0043537)	-1.896476984461489	0.0279116684191604	8.0	regulation of cell communication by electrical coupling involved in cardiac conduction (GO:1901844)	-1.908517641929348	0.0213937537000586	8.0	translation (GO:0006412)	2.474600501505783	0.0	8.0	ribosome biogenesis (GO:0042254)	-1.9024814122802487	0.029030526693574	8.0	sequestering of extracellular ligand from receptor (GO:0035581)	1.9515904094309235	0.0293798743963849	8.0	vascular endothelial growth factor signaling pathway (GO:0038084)	-1.9735540890684269	0.0323131863369485	8.0	chromatin remodeling at centromere (GO:0031055)	2.056176540987523	0.0	8.0	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	-2.0366524849009777	0.0061532973521798																	8.0	cardiac muscle cell development (GO:0055013)	2.0729856653418546	0.0050936675126319	8.0	SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	-2.383472332774443	0.0
9.0	cardiac muscle cell action potential (GO:0086001)	-1.8949759021676744	0.0388647851317067	9.0	negative regulation of cell-matrix adhesion (GO:0001953)	-1.8475326486842096	0.0403706357364149	9.0	response to interferon-gamma (GO:0034341)	1.9822689542338183	0.0068460402472363					9.0	response to copper ion (GO:0046688)	2.253941884189729	7.896746005650883e-05	9.0	neurotransmitter transport (GO:0006836)	2.257071502283395	0.0001967007024509	9.0	regulation of NMDA receptor activity (GO:2000310)	-2.0191009854457342	0.027373152328851	9	neutrophil migration (GO:1990266)	1.9562149908598452	0.0002047233562855	9.0	positive regulation of phosphate metabolic process (GO:0045937)	-1.9127781443996497	0.0215676232531635	9.0	dermatan sulfate metabolic process (GO:0030205)	-2.117553547753933	0.0044129874006011	9.0	organic anion transport (GO:0015711)	-1.9025879862515176	0.0264397425757257	9.0	neuron cell-cell adhesion (GO:0007158)	-1.9176751764401263	0.0192455691373527	9.0	rRNA processing (GO:0006364)	2.4579192377132166	0.0	9.0	diol biosynthetic process (GO:0034312)	-1.909316248295759	0.026721662514321	9.0	negative regulation of reproductive process (GO:2000242)	1.941479802125891	0.0340401303351219	9.0	establishment of endothelial intestinal barrier (GO:0090557)	-1.9905761870602268	0.0259538686102045	9.0	histone exchange (GO:0043486)	2.0466096428523217	0.0	9.0	protein targeting to ER (GO:0045047)	-2.040118471606653	0.0069364442879117																	9.0	cardiac muscle contraction (GO:0060048)	2.0591836268338177	0.0066930791115984	9.0	cotranslational protein targeting to membrane (GO:0006613)	-2.384161533819916	0.0
