MeV.1.4.1.index	MeV.1.4.1.Term	MeV.1.4.1.NES	MeV.1.4.1.FDR q-val	MeV.1.4.11.index	MeV.1.4.11.Term	MeV.1.4.11.NES	MeV.1.4.11.FDR q-val	MeV.1.4.12.index	MeV.1.4.12.Term	MeV.1.4.12.NES	MeV.1.4.12.FDR q-val	MeV.1.4.13.index	MeV.1.4.13.Term	MeV.1.4.13.NES	MeV.1.4.13.FDR q-val	MeV.1.4.15.index	MeV.1.4.15.Term	MeV.1.4.15.NES	MeV.1.4.15.FDR q-val	MeV.1.4.2.index	MeV.1.4.2.Term	MeV.1.4.2.NES	MeV.1.4.2.FDR q-val	MeV.1.4.21.index	MeV.1.4.21.Term	MeV.1.4.21.NES	MeV.1.4.21.FDR q-val	MeV.1.4.4.index	MeV.1.4.4.Term	MeV.1.4.4.NES	MeV.1.4.4.FDR q-val	MeV.1.4.5.index	MeV.1.4.5.Term	MeV.1.4.5.NES	MeV.1.4.5.FDR q-val	MeV.1.4.6.index	MeV.1.4.6.Term	MeV.1.4.6.NES	MeV.1.4.6.FDR q-val	MeV.1.4.7.index	MeV.1.4.7.Term	MeV.1.4.7.NES	MeV.1.4.7.FDR q-val	MeV.1.4.8.index	MeV.1.4.8.Term	MeV.1.4.8.NES	MeV.1.4.8.FDR q-val	MeV.2.1.index	MeV.2.1.Term	MeV.2.1.NES	MeV.2.1.FDR q-val	MeV.2.8.index	MeV.2.8.Term	MeV.2.8.NES	MeV.2.8.FDR q-val	MeV.3.17.index	MeV.3.17.Term	MeV.3.17.NES	MeV.3.17.FDR q-val	MeV.3.30.index	MeV.3.30.Term	MeV.3.30.NES	MeV.3.30.FDR q-val	MeV.4.1.index	MeV.4.1.Term	MeV.4.1.NES	MeV.4.1.FDR q-val	MeV.4.21.index	MeV.4.21.Term	MeV.4.21.NES	MeV.4.21.FDR q-val	MeV.4.26.index	MeV.4.26.Term	MeV.4.26.NES	MeV.4.26.FDR q-val	MeV.4.30.index	MeV.4.30.Term	MeV.4.30.NES	MeV.4.30.FDR q-val	MeV.4.31.index	MeV.4.31.Term	MeV.4.31.NES	MeV.4.31.FDR q-val	MeV.4.4.index	MeV.4.4.Term	MeV.4.4.NES	MeV.4.4.FDR q-val	MeV.NA.index	MeV.NA.Term	MeV.NA.NES	MeV.NA.FDR q-val
0.0	postsynaptic density membrane (GO:0098839)	-1.839344824694075	0.0209915297336162	0.0	caveola (GO:0005901)	-1.779442263776441	0.0336636077738266	0.0	collagen-containing extracellular matrix (GO:0062023)	2.063739988839849	0.0	0.0	acrosomal vesicle (GO:0001669)	2.183061586958604	0.0	0.0	voltage-gated potassium channel complex (GO:0008076)	2.395291826942338	0.0	0.0	voltage-gated potassium channel complex (GO:0008076)	2.472484184767839	0.0	0.0	tertiary granule membrane (GO:0070821)	1.8865130769552092	0.0057145762367176	0.0	integral component of postsynaptic specialization membrane (GO:0099060)	-1.6925729362806208	0.0445521394137994	0.0	microvillus (GO:0005902)	1.9281409951001507	0.03234729262336	0.0	cell-cell junction (GO:0005911)	-1.8309713464625144	0.0250545988543634	0.0	basement membrane (GO:0005604)	2.058108116084799	0.0034452116310344	0	cytosolic large ribosomal subunit (GO:0022625)	2.591727504724341	0.0	0.0	supramolecular fiber (GO:0099512)	2.0742351065500264	0.0077451410200204	0.0	collagen-containing extracellular matrix (GO:0062023)	2.136949493682464	0.0	0.0	basement membrane (GO:0005604)	2.21033022739652	0.0	0.0	spindle microtubule (GO:0005876)	2.089115304950164	0.0	0.0	ion channel complex (GO:0034702)	2.112007112175101	0.0008960665767166	0.0	microvillus (GO:0005902)	2.018027449610748	0.005959641309055	0.0	apical junction complex (GO:0043296)	2.032400295654835	0.0181558617990075	0.0	NADPH oxidase complex (GO:0043020)	1.9296557705711777	0.0091064256001962	0.0	myofibril (GO:0030016)	2.263844686637366	0.0	0.0	ribosome (GO:0005840)	-1.829286320214342	0.0277529584990481	0.0	polysomal ribosome (GO:0042788)	-2.006135861460117	0.0408534596700825
1.0	postsynaptic specialization membrane (GO:0099634)	-1.8443672397301525	0.0235904810339687	1.0	adherens junction (GO:0005912)	-1.7997126518805815	0.0278756598855106					1.0	anchored component of plasma membrane (GO:0046658)	2.1414977513703923	0.0	1.0	cytosolic small ribosomal subunit (GO:0022627)	2.3673245648651093	0.0	1.0	potassium channel complex (GO:0034705)	2.3890540514130127	0.0	1.0	phagocytic vesicle (GO:0045335)	1.868921081086516	0.0042859321775382	1.0	cell-cell junction (GO:0005911)	-1.721859586734184	0.0345690428335056	1.0	collagen-containing extracellular matrix (GO:0062023)	-2.088486694722225	0.0009205756885823	1.0	cell-substrate junction (GO:0030055)	-1.9359071647678576	0.0049950624298256	1.0	collagen-containing extracellular matrix (GO:0062023)	1.9312689571520885	0.0248055237434481	1	large ribosomal subunit (GO:0015934)	2.580001731730945	0.0	1.0	basement membrane (GO:0005604)	1.8805793275328595	0.0438891324467826	1.0	basement membrane (GO:0005604)	2.118525659297059	0.0	1.0	large ribosomal subunit (GO:0015934)	-1.9794540250995123	0.0095117745276046	1.0	mitotic spindle (GO:0072686)	2.0313453650643725	0.0	1.0	cation channel complex (GO:0034703)	2.03439734073224	0.0098567323438835					1.0	tight junction (GO:0070160)	1.9525455319693052	0.0453896544975189					1.0	sarcoplasmic reticulum (GO:0016529)	2.1382669687752576	0.0	1.0	integral component of postsynaptic specialization membrane (GO:0099060)	-1.8319504251484195	0.0318202024170121				
2.0	microfibril (GO:0001527)	-1.855765198493084	0.0249899163495431	2.0	actin cytoskeleton (GO:0015629)	-1.801480403894904	0.0297238752025951					2.0	platelet dense granule (GO:0042827)	-1.8292060012954328	0.0284887557744047	2.0	postsynaptic density (GO:0014069)	2.3371607355642454	0.0	2.0	ionotropic glutamate receptor complex (GO:0008328)	2.337837722384618	0.0	2.0	ficolin-1-rich granule membrane (GO:0101003)	1.868571349831089	0.0028572881183588	2.0	focal adhesion (GO:0005925)	-1.7650074242686804	0.0206490105480004					2.0	focal adhesion (GO:0005925)	-1.961391966301995	0.003669841785178	2.0	postsynaptic specialization membrane (GO:0099634)	-1.7603703659603387	0.0308629100659827	2	ribosome (GO:0005840)	2.531585016922369	0.0	2.0	proton-transporting ATP synthase complex (GO:0045259)	-1.7212807809084247	0.0476614302879266	2.0	supramolecular fiber (GO:0099512)	2.115987599761626	0.0	2.0	small ribosomal subunit (GO:0015935)	-2.0011667896720327	0.0093004017603245	2.0	condensed chromosome (GO:0000793)	2.0133982739435647	0.0	2.0	ribosome (GO:0005840)	-1.8311995813500743	0.0170206517240919					2.0	bicellular tight junction (GO:0005923)	1.9409694116141825	0.0391784386189111					2.0	muscle myosin complex (GO:0005859)	2.0858083842750363	0.0005644159907113	2.0	connexin complex (GO:0005922)	-1.832601735606997	0.0375143439021616				
3.0	collagen-containing extracellular matrix (GO:0062023)	-1.8876377998184668	0.0203251319642951	3.0	cytoplasmic side of endoplasmic reticulum membrane (GO:0098554)	-1.942817051187161	0.0057847234048127					3.0	ribosome (GO:0005840)	-1.866076707664626	0.0198182648865424	3.0	asymmetric synapse (GO:0032279)	2.3344226566756023	0.0	3.0	postsynaptic specialization membrane (GO:0099634)	2.174533951272135	0.0002022383270043	3.0	T cell receptor complex (GO:0042101)	1.8435858515939527	0.0045240395207348	3.0	cell-substrate junction (GO:0030055)	-1.7774899254776722	0.018145715115412					3.0	polysomal ribosome (GO:0042788)	-2.295424212711556	0.0	3.0	postsynaptic density membrane (GO:0098839)	-1.7990082804530705	0.0203375934952045	3	small ribosomal subunit (GO:0015935)	2.423278108795304	0.0	3.0	tight junction (GO:0070160)	-1.7558406846555763	0.0365735281028881	3.0	microfibril (GO:0001527)	1.923117366282613	0.0072986477213426	3.0	cytosolic large ribosomal subunit (GO:0022625)	-2.080882224252866	0.0025364732073612	3.0	spindle (GO:0005819)	1.9969486912775296	0.0001727244636862	3.0	supramolecular fiber (GO:0099512)	-1.845369760157248	0.0153996372741783					3.0	platelet dense granule (GO:0042827)	-1.9755400373835923	0.0444122124593936					3.0	sarcoplasmic reticulum membrane (GO:0033017)	2.065761872050613	0.0016932479721339	3.0	cytosolic small ribosomal subunit (GO:0022627)	-1.9061929692426864	0.0125606062172416				
4.0	lysosomal lumen (GO:0043202)	-1.8896825145009617	0.0294881012924609	4.0	cell-cell junction (GO:0005911)	-2.0102591290650103	0.0016767314216848					4.0	polysomal ribosome (GO:0042788)	-1.8661466461606055	0.0237819178638509	4.0	ionotropic glutamate receptor complex (GO:0008328)	2.3040943353526764	0.0	4.0	postsynaptic density membrane (GO:0098839)	2.168706451129145	0.0001617906616034	4.0	azurophil granule lumen (GO:0035578)	1.7825340940561625	0.0140959547172369	4.0	voltage-gated potassium channel complex (GO:0008076)	-1.7883091962864195	0.0172749455046105					4.0	ribosome (GO:0005840)	-2.51869436120529	0.0	4.0	excitatory synapse (GO:0060076)	-1.8071302298201464	0.0196043893341088	4	cytosolic small ribosomal subunit (GO:0022627)	2.416256477683509	0.0	4.0	microvillus membrane (GO:0031528)	-1.7917036665783297	0.0258607390265972	4.0	ribosome (GO:0005840)	-1.802547784532745	0.0414112004345824	4.0	cytosolic small ribosomal subunit (GO:0022627)	-2.0819355469868324	0.0050729464147224	4.0	microtubule (GO:0005874)	1.9931125369149587	0.0001381795709489	4.0	platelet alpha granule lumen (GO:0031093)	-1.877321281105612	0.0094559176244954													4.0	actin filament (GO:0005884)	2.023461618532171	0.0025398719582009	4.0	small ribosomal subunit (GO:0015935)	-1.9341903744367075	0.0111649833042147				
				5.0	polysomal ribosome (GO:0042788)	-2.145435817079875	0.0					5.0	large ribosomal subunit (GO:0015934)	-1.8878721998777697	0.021985887608508	5.0	potassium channel complex (GO:0034705)	2.278774897934555	0.0	5.0	postsynaptic density (GO:0014069)	2.134343042299032	0.0002696511026724	5.0	endolysosome (GO:0036019)	1.7683701789399424	0.0163500375661644	5.0	sodium channel complex (GO:0034706)	-1.7967975133930771	0.0163074237148311					5.0	cytosolic small ribosomal subunit (GO:0022627)	-2.5843843897309933	0.0	5.0	AMPA glutamate receptor complex (GO:0032281)	-1.81558082786628	0.0187897180440025	5	polysomal ribosome (GO:0042788)	2.304405506828945	0.0	5.0	apical junction complex (GO:0043296)	-1.8542220002764345	0.009929464643318	5.0	glutamatergic synapse (GO:0098978)	-1.8026804945827424	0.0464124591336837					5.0	chromosome (GO:0005694)	1.9799746935228988	0.0002302992849149	5.0	cytosolic small ribosomal subunit (GO:0022627)	-1.881941503138816	0.0102123910344551													5.0	actin-based cell projection (GO:0098858)	2.0177004042600317	0.0021165599651674	5.0	large ribosomal subunit (GO:0015934)	-2.2692799138329613	0.0				
				6.0	cell-substrate junction (GO:0030055)	-2.25765966848887	0.0					6.0	cytosolic large ribosomal subunit (GO:0022625)	-1.9425519122367576	0.0136250571094979	6.0	neuron projection (GO:0043005)	2.277530346179449	0.0	6.0	AMPA glutamate receptor complex (GO:0032281)	2.1294760421160164	0.0003466942748645	6.0	lysosomal lumen (GO:0043202)	1.7627850460552636	0.0165994833542751	6.0	ion channel complex (GO:0034702)	-1.8054118263083665	0.0154615306130457					6.0	cytosolic large ribosomal subunit (GO:0022625)	-2.589565364247868	0.0	6.0	dendrite membrane (GO:0032590)	-1.843022914967196	0.0137599749137992	6	proton-transporting ATP synthase complex (GO:0045259)	2.051318097165572	0.0	6.0	cell-cell junction (GO:0005911)	-1.8572075579006768	0.0102859069638474	6.0	potassium channel complex (GO:0034705)	-1.831690512990081	0.0346279479466406					6.0	microtubule cytoskeleton (GO:0015630)	1.875115211443284	0.0060206813056332	6.0	small ribosomal subunit (GO:0015935)	-1.9170203464722444	0.006240905632167													6.0	actin cytoskeleton (GO:0015629)	1.9707989820880556	0.0055635290512973	6.0	cytosolic large ribosomal subunit (GO:0022625)	-2.292736739995937	0.0				
				7.0	focal adhesion (GO:0005925)	-2.283546118599548	0.0					7.0	connexin complex (GO:0005922)	-1.9712341773729989	0.0154830194426113	7.0	small ribosomal subunit (GO:0015935)	2.277079851495638	0.0	7.0	neuron projection (GO:0043005)	2.125730821144357	0.0003033574905064	7.0	secretory granule membrane (GO:0030667)	1.7380314858378516	0.0251203247072381	7.0	dendrite (GO:0030425)	-1.822097078194134	0.0132590473499564					7.0	large ribosomal subunit (GO:0015934)	-2.589887687286454	0.0	7.0	axon (GO:0030424)	-1.869578311692555	0.0106157768244199	7	mitochondrial proton-transporting ATP synthase complex (GO:0005753)	2.041304976467332	0.0	7.0	adherens junction (GO:0005912)	-1.857242967874542	0.0111430658775013	7.0	ion channel complex (GO:0034702)	-1.877848743498684	0.0207834408196118					7.0	condensed chromosome, centromeric region (GO:0000779)	1.864517737014936	0.0072544274748204	7.0	platelet alpha granule (GO:0031091)	-1.9394231365131347	0.0052953138697174													7.0	calcium channel complex (GO:0034704)	1.9604408318598996	0.006243851897244								
				8.0	ribosome (GO:0005840)	-2.33356329870234	0.0					8.0	gap junction (GO:0005921)	-2.0166363278862383	0.0136250571094979	8.0	cytosolic large ribosomal subunit (GO:0022625)	2.270509732998381	0.0	8.0	glutamatergic synapse (GO:0098978)	2.1203005830896977	0.0002696511026724	8.0	vacuolar lumen (GO:0005775)	1.7286959892811606	0.0282554047259929	8.0	catenin complex (GO:0016342)	-1.82957541067722	0.0132534880009627					8.0	small ribosomal subunit (GO:0015935)	-2.626481014003875	0.0	8.0	neuron projection (GO:0043005)	-2.018435354852363	0.0010926179655543	8	ficolin-1-rich granule lumen (GO:1904813)	1.990568192868538	0.0	8.0	caveola (GO:0005901)	-1.9113176531376976	0.0048142858876693	8.0	small ribosomal subunit (GO:0015935)	-1.935043478622932	0.0123299514075899					8.0	acrosomal vesicle (GO:0001669)	1.825506127014204	0.020726935642344	8.0	large ribosomal subunit (GO:0015934)	-1.979361529955017	0.0034041303448183													8.0	filopodium (GO:0030175)	1.935000456193998	0.0107239038235151								
				9.0	small ribosomal subunit (GO:0015935)	-2.3469981558431874	0.0									9.0	GABA-A receptor complex (GO:1902711)	2.249596950022294	0.0	9.0	GABA-A receptor complex (GO:1902711)	2.0526277597578653	0.0009707439696207	9.0	tertiary granule (GO:0070820)	1.7256402222458704	0.0276204518108021	9.0	potassium channel complex (GO:0034705)	-1.8373706175159803	0.0119128907007694									9.0	glutamatergic synapse (GO:0098978)	-2.0319171878929407	0.0008513906225098	9	endocytic vesicle lumen (GO:0071682)	1.9895429258919173	0.0	9.0	focal adhesion (GO:0005925)	-1.9713183882361764	0.0014563214810199	9.0	polysomal ribosome (GO:0042788)	-1.9840732818851197	0.0101581986028439					9.0	nuclear chromosome (GO:0000228)	1.820654342021315	0.0211414743551909	9.0	cytosolic large ribosomal subunit (GO:0022625)	-1.9999032637459309	0.0056735505746973													9.0	sarcolemma (GO:0042383)	1.9299277497585037	0.0103288126300172								
