MeV.1.4.1.index	MeV.1.4.1.Term	MeV.1.4.1.NES	MeV.1.4.1.FDR q-val	MeV.1.4.11.index	MeV.1.4.11.Term	MeV.1.4.11.NES	MeV.1.4.11.FDR q-val	MeV.1.4.12.index	MeV.1.4.12.Term	MeV.1.4.12.NES	MeV.1.4.12.FDR q-val	MeV.1.4.15.index	MeV.1.4.15.Term	MeV.1.4.15.NES	MeV.1.4.15.FDR q-val	MeV.1.4.2.index	MeV.1.4.2.Term	MeV.1.4.2.NES	MeV.1.4.2.FDR q-val	MeV.1.4.20.index	MeV.1.4.20.Term	MeV.1.4.20.NES	MeV.1.4.20.FDR q-val	MeV.1.4.21.index	MeV.1.4.21.Term	MeV.1.4.21.NES	MeV.1.4.21.FDR q-val	MeV.1.4.4.index	MeV.1.4.4.Term	MeV.1.4.4.NES	MeV.1.4.4.FDR q-val	MeV.1.4.5.index	MeV.1.4.5.Term	MeV.1.4.5.NES	MeV.1.4.5.FDR q-val	MeV.1.4.6.index	MeV.1.4.6.Term	MeV.1.4.6.NES	MeV.1.4.6.FDR q-val	MeV.1.4.7.index	MeV.1.4.7.Term	MeV.1.4.7.NES	MeV.1.4.7.FDR q-val	MeV.1.4.8.index	MeV.1.4.8.Term	MeV.1.4.8.NES	MeV.1.4.8.FDR q-val	MeV.2.1.index	MeV.2.1.Term	MeV.2.1.NES	MeV.2.1.FDR q-val	MeV.2.8.index	MeV.2.8.Term	MeV.2.8.NES	MeV.2.8.FDR q-val	MeV.3.17.index	MeV.3.17.Term	MeV.3.17.NES	MeV.3.17.FDR q-val	MeV.3.30.index	MeV.3.30.Term	MeV.3.30.NES	MeV.3.30.FDR q-val	MeV.4.1.index	MeV.4.1.Term	MeV.4.1.NES	MeV.4.1.FDR q-val	MeV.4.12.index	MeV.4.12.Term	MeV.4.12.NES	MeV.4.12.FDR q-val	MeV.4.21.index	MeV.4.21.Term	MeV.4.21.NES	MeV.4.21.FDR q-val	MeV.4.26.index	MeV.4.26.Term	MeV.4.26.NES	MeV.4.26.FDR q-val	MeV.4.30.index	MeV.4.30.Term	MeV.4.30.NES	MeV.4.30.FDR q-val	MeV.4.31.index	MeV.4.31.Term	MeV.4.31.NES	MeV.4.31.FDR q-val	MeV.4.34.index	MeV.4.34.Term	MeV.4.34.NES	MeV.4.34.FDR q-val	MeV.4.4.index	MeV.4.4.Term	MeV.4.4.NES	MeV.4.4.FDR q-val
0.0	glutamate receptor activity (GO:0008066)	-2.006223512341455	0.0161908653939712	0.0	retinoid binding (GO:0005501)	2.3927227321342106	0.0	0.0	chemokine activity (GO:0008009)	2.0230212936594447	0.0018847192907585	0	transmitter-gated ion channel activity (GO:0022824)	2.543514057843008	0.0	0.0	transmitter-gated ion channel activity (GO:0022824)	2.5603656812103583	0.0	0.0	voltage-gated cation channel activity (GO:0022843)	-1.9162011715933105	0.0257194871596235	0.0	phosphotyrosine residue binding (GO:0001784)	1.8234621099112045	0.0312382445971506	0.0	retinoid binding (GO:0005501)	2.114818441241259	0.0020104533792492	0.0	cation channel activity (GO:0005261)	-1.936849507462893	0.0327509943129019	0.0	retinoid binding (GO:0005501)	2.2074744159005637	0.0	0.0	retinoid binding (GO:0005501)	2.1090524718564043	0.0049703027524764	0.0	rRNA binding (GO:0019843)	2.066464412739	0.0	0.0	transmitter-gated ion channel activity (GO:0022824)	2.068199164722364	0.0308735335690138	0.0	metalloendopeptidase activity (GO:0004222)	2.0116762674962354	0.0091371399661555	0.0	ligand-gated ion channel activity (GO:0015276)	2.1108460294239384	0.0154070794270042	0.0	microtubule motor activity (GO:0003777)	2.087451655236588	0.0	0.0	cyclic-nucleotide phosphodiesterase activity (GO:0004112)	2.019930916988176	0.0340879236360451	0.0	solute:sodium symporter activity (GO:0015370)	1.924832992710666	0.0098500087656041	0.0	retinoid binding (GO:0005501)	-2.332843510903594	0.0	0.0	transmitter-gated ion channel activity (GO:0022824)	-2.012438414641175	0.0166210754161565	0.0	oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor (GO:0050664)	1.9132028292147223	0.0295517367614055	0.0	actin binding (GO:0003779)	2.1559359056366243	0.0009801936259408	0.0	I-SMAD binding (GO:0070411)	-2.069548038831283	0.0089627172177274	0.0	solute:sodium symporter activity (GO:0015370)	2.024350124522968	0.0041172429879542
				1.0	phosphatidylcholine transporter activity (GO:0008525)	-1.920900997088824	0.0374939011422066	1.0	chemokine receptor binding (GO:0042379)	1.9976516489363625	0.0032982587588273	1	glutamate receptor activity (GO:0008066)	2.3773799885350093	0.0	1.0	ligand-gated channel activity (GO:0022834)	2.47415244971291	0.0	1.0	retinoic acid binding (GO:0001972)	-1.9508732428049391	0.0175360139724705					1.0	semaphorin receptor binding (GO:0030215)	-1.7267460831137529	0.0491052219311894	1.0	retinoid binding (GO:0005501)	-2.2487526814423564	0.0	1.0	aldehyde dehydrogenase (NAD+) activity (GO:0004029)	2.123403163749386	0.0004894099727003	1.0	sialyltransferase activity (GO:0008373)	-1.805808890811217	0.0487551990024229	1.0	oxidoreduction-driven active transmembrane transporter activity (GO:0015453)	2.061752665905832	0.0	1.0	transmembrane receptor protein serine/threonine kinase binding (GO:0070696)	2.0392241179718757	0.0293796529124487	1.0	chloride channel activity (GO:0005254)	-2.0305976600362494	0.0234046947064087	1.0	ligand-gated channel activity (GO:0022834)	2.108904383261208	0.008185010945596	1.0	motor activity (GO:0003774)	2.067121474683969	0.0	1.0	store-operated calcium channel activity (GO:0015279)	2.0076565618296	0.035350439326269	1.0	chloride transmembrane transporter activity (GO:0015108)	1.8473597762531584	0.045310040321779					1.0	amino acid:sodium symporter activity (GO:0005283)	-2.0171091609778897	0.0208611456753802	1.0	superoxide-generating NAD(P)H oxidase activity (GO:0016175)	1.8798813560747372	0.0295517367614055	1.0	alpha-actinin binding (GO:0051393)	2.1209590671253284	0.0024504840648521	1.0	retinoid binding (GO:0005501)	-2.324758285355406	0.0	1.0	sulfate transmembrane transporter activity (GO:0015116)	1.93139549328994	0.0267620794217028
				2.0	phosphatidylinositol-3,4,5-trisphosphate binding (GO:0005547)	-1.927515634152264	0.0445873418988402	2.0	platelet-derived growth factor binding (GO:0048407)	1.9931611647054144	0.0028270789361377	2	ligand-gated cation channel activity (GO:0099094)	2.300692300259927	0.0	2.0	ligand-gated ion channel activity (GO:0015276)	2.4679194839220204	0.0	2.0	cation channel activity (GO:0005261)	-1.956258267613759	0.0207509498674235					2.0	cadherin binding (GO:0045296)	-1.7303809768082128	0.049166421513898					2.0	aldehyde dehydrogenase [NAD(P)+] activity (GO:0004030)	2.121648770865079	0.0003262733151335	2.0	voltage-gated potassium channel activity involved in cardiac muscle cell action potential repolarization (GO:0086008)	-1.813840773670704	0.0476971098069379	2.0	MHC protein binding (GO:0042287)	1.9962277587169064	0.0	2.0	BMP receptor binding (GO:0070700)	2.013433972612798	0.0315374805274873									2.0	DNA replication origin binding (GO:0003688)	1.8948708529242653	0.0292532843683738	2.0	3',5'-cyclic-nucleotide phosphodiesterase activity (GO:0004114)	2.007157361740019	0.0272229945704527	2.0	L-glutamate transmembrane transporter activity (GO:0005313)	-1.967794303620064	0.048772340070152					2.0	3',5'-cyclic-AMP phosphodiesterase activity (GO:0004115)	-2.0258473480308763	0.0386694407641194	2.0	monocarboxylic acid binding (GO:0033293)	-1.9463912417672515	0.0288169747751909	2.0	muscle alpha-actinin binding (GO:0051371)	1.9939890410043415	0.0241781094398749					2.0	glutamate receptor activity (GO:0008066)	-2.001937018653705	0.031918175031404
				3.0	3',5'-cyclic-AMP phosphodiesterase activity (GO:0004115)	-2.1068309735764825	0.0015200230192786	3.0	serine-type endopeptidase activity (GO:0004252)	1.947359048150724	0.0096591863651373	3	ligand-gated channel activity (GO:0022834)	2.2974311010777515	0.0	3.0	voltage-gated cation channel activity (GO:0022843)	2.4305012688056813	0.0	3.0	platelet-derived growth factor binding (GO:0048407)	-1.962220683321501	0.0257194871596235					3.0	3',5'-cyclic-AMP phosphodiesterase activity (GO:0004115)	-1.7688389082387923	0.0311535361097314					3.0	retinoic acid binding (GO:0001972)	2.0111534109589835	0.0124799543038578	3.0	glutamate receptor binding (GO:0035254)	-1.822717275797871	0.0457064987201443	3.0	NADH dehydrogenase (quinone) activity (GO:0050136)	1.9410472267531813	0.0011785121284378	3.0	ligand-gated channel activity (GO:0022834)	1.9997171854096996	0.0303755733501588									3.0	microtubule binding (GO:0008017)	1.8844952388818184	0.030411830283953	3.0	inositol 1,4,5 trisphosphate binding (GO:0070679)	1.9743280482238212	0.0479124704439968	3.0	inositol 1,4,5 trisphosphate binding (GO:0070679)	-2.047664305398836	0.024386170035076									3.0	monocarboxylic acid transmembrane transporter activity (GO:0008028)	-1.946907374436541	0.0336198039043894	3.0	actinin binding (GO:0042805)	1.975010576472176	0.0267102763068889								
				4.0	cadherin binding (GO:0045296)	-2.2019650403196604	0.0	4.0	metalloendopeptidase activity (GO:0004222)	1.8567222470000255	0.0482488138434176	4	ligand-gated ion channel activity (GO:0015276)	2.295428695333663	0.0	4.0	glutamate receptor activity (GO:0008066)	2.4012472655049484	0.0	4.0	transmembrane receptor protein tyrosine kinase activity (GO:0004714)	-1.9795001273412889	0.0280576223559529					4.0	store-operated calcium channel activity (GO:0015279)	-1.7708545809659486	0.0316674007824051					4.0	cadherin binding (GO:0045296)	-2.0828345662771537	0.0020496570282488	4.0	ligand-gated anion channel activity (GO:0099095)	-1.8251249942964365	0.0477535143713807	4.0	NADH dehydrogenase (ubiquinone) activity (GO:0008137)	1.9410472267531813	0.0011785121284378	4.0	ligand-gated ion channel activity (GO:0015276)	1.9910146207229893	0.0276865881683414									4.0	single-stranded DNA helicase activity (GO:0017116)	1.8699276217741043	0.0371893238900911	4.0	cyclic nucleotide binding (GO:0030551)	1.9683953998216115	0.0463974516157281	4.0	intracellular ligand-gated ion channel activity (GO:0005217)	-2.052767064911583	0.0445312670205735									4.0	transmembrane receptor protein tyrosine phosphatase activity (GO:0005001)	-1.9779186034339429	0.027536220340738	4.0	BMP receptor binding (GO:0070700)	-1.958575719330279	0.0301755685475692								
								5.0	serine-type peptidase activity (GO:0008236)	1.8520226071914143	0.0435056036283421	5	ionotropic glutamate receptor activity (GO:0004970)	2.2574744162524527	0.0	5.0	ionotropic glutamate receptor activity (GO:0004970)	2.258006123228028	0.0002928828381544	5.0	retinoid binding (GO:0005501)	-2.2566419104116138	0.0					5.0	glutamate receptor binding (GO:0035254)	-1.7803246005041424	0.0292529279510781									5.0	transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1904315)	-1.831487664475586	0.049100878404508	5.0	proton transmembrane transporter activity (GO:0015078)	1.9380342598650375	0.0011223925032741	5.0	transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1904315)	1.9899877613007544	0.0235701170258062									5.0	single-stranded DNA binding (GO:0003697)	1.8688619499643588	0.0320048309178743	5.0	3',5'-cyclic-AMP phosphodiesterase activity (GO:0004115)	1.954121030629035	0.0463974516157281													5.0	transmembrane receptor protein phosphatase activity (GO:0019198)	-1.9779186034339429	0.027536220340738	5.0	transmembrane receptor protein serine/threonine kinase binding (GO:0070696)	-2.010472397853198	0.0208107369293581								
								6.0	lipoprotein particle receptor binding (GO:0070325)	1.849367726397664	0.0397137279124113	6	GABA-A receptor activity (GO:0004890)	2.249596950022294	0.0	6.0	neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential (GO:0099529)	2.193071151296876	0.0002510424327038									6.0	cAMP binding (GO:0030552)	-1.804205635009608	0.0220814710583865									6.0	voltage-gated cation channel activity (GO:0022843)	-1.8610962198468912	0.0376406460048247	6.0	mRNA 5'-UTR binding (GO:0048027)	1.902785139045876	0.0019241014341842	6.0	aldehyde dehydrogenase [NAD(P)+] activity (GO:0004030)	1.973346236522876	0.0244711878980202													6.0	cation channel activity (GO:0005261)	1.9465420542909968	0.048291225151064													6.0	intracellular ligand-gated ion channel activity (GO:0005217)	-1.9990518911814612	0.0352207469474556												
								7.0	monocarboxylic acid binding (GO:0033293)	1.835500075687622	0.0449976730668592	7	transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1904315)	2.2491105547958403	0.0	7.0	ligand-gated anion channel activity (GO:0099095)	2.1825703720421696	0.0002196621286158									7.0	potassium ion transmembrane transporter activity (GO:0015079)	-1.8095602295276	0.0214155012038757									7.0	cation:chloride symporter activity (GO:0015377)	-1.8871967833777867	0.0269701950168499	7.0	cytochrome-c oxidase activity (GO:0004129)	1.877270555741066	0.0025253831323668	7.0	neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential (GO:0099529)	1.949495431504622	0.0297531230765899													7.0	calcium ion transmembrane transporter activity (GO:0015085)	1.943277506103931	0.0464921402924949													7.0	retinoic acid binding (GO:0001972)	-2.0526695069623138	0.0245477933270145												
								8.0	transmitter-gated ion channel activity (GO:0022824)	-2.088856221159452	0.003517161321621	8	GABA receptor activity (GO:0016917)	2.2212427978871703	9.572906786179687e-05	8.0	potassium channel activity (GO:0005267)	2.18075052259824	0.0001952552254363									8.0	GABA-gated chloride ion channel activity (GO:0022851)	-1.849396205910783	0.0131772074480758									8.0	neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential (GO:0099529)	-1.89175298139769	0.0283745175878207	8.0	amyloid-beta binding (GO:0001540)	1.875886625136168	0.0022447850065482	8.0	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor (GO:0016620)	1.9264371406287235	0.0385089235914581													8.0	glutamate receptor activity (GO:0008066)	1.9420437269806996	0.0439871943889371													8.0	retinoid binding (GO:0005501)	-2.717745575934813	0.0												
								9.0	glutamate receptor activity (GO:0008066)	-2.1388477088164906	0.002344774214414	9	ligand-gated anion channel activity (GO:0099095)	2.213450020991472	8.615616107561719e-05	9.0	transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1904315)	2.179655419387256	0.0001757297028926									9.0	GABA-A receptor activity (GO:0004890)	-1.8602087137558747	0.0117923520258931									9.0	cell adhesion mediator activity (GO:0098631)	-1.9344608742782916	0.0169718984218183	9.0	MHC class II protein complex binding (GO:0023026)	1.8740431388232	0.002104485943639	9.0	aldehyde dehydrogenase (NAD+) activity (GO:0004029)	1.9215872193884167	0.0370482402828166													9.0	glucuronosyltransferase activity (GO:0015020)	-1.862460105795373	0.0335542642325364																												
