Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Ribosome Homo sapiens hsa03010,-0.5624904887742507,-2.2462946340527274,0.0,0.0,0.0,69/126,18.78%,RPLP1;RPS14;RPL37A;RPL38;RPL30;RPL8;RPL21;RPL41;RPL14;RPL9;RPS24;RPL13;RPS27;RPLP2;RPS21;RPS23;RPS9;FAU;RPS29;RPS15;RPL22;RPS5;RPS16;RPL5;RPS4X;RPS2;RPS13;RPL34;RPL23;RPL17;RPS19;RPS8;RPS20;RPS27A;RPS17;RPL13A;RPS12;RPS7;RPS3;RPL27A;RPL3;RPL24;RPS18;RPL18;RPL39;RPS11;MRPL3;RPL23A;RPL7A;RPL35A;RPL26;RPL32;RPL18A;RPS25;RPL36;RPL12;RPS10;RPL27;RPL11;MRPS11;RPL31;RPL19;RPLP0;MRPL2;RPS15A;RPS28;RPL37;RPL29;MRPL35
prerank,Ascorbate and aldarate metabolism Homo sapiens hsa00053,-0.7476787465284875,-1.9094409872217295,0.0,0.025385469703307323,0.032,3/14,8.56%,ALDH7A1;UGDH;ALDH9A1
prerank,Platelet activation Homo sapiens hsa04611,-0.4764703182907615,-1.8863268131918187,0.0,0.02485660575115509,0.047,27/115,6.10%,PLCB1;ITPR1;LYN;MYLK;VWF;TLN2;PIK3R1;PLCB4;ADCY5;PRKG1;GUCY1A2;PTGS1;NOS3;ADCY1;AKT3;GNAS;ADCY7;COL1A2;APBB1IP;VASP;ADCY2;COL1A1;PRKACB;TLN1;ACTB;RASGRP2;MAPK3
prerank,Circadian entrainment Homo sapiens hsa04713,-0.49872462247883886,-1.871079979276609,0.0,0.023798877846850617,0.06,36/88,15.58%,PLCB1;ITPR1;PLCB4;ADCY5;PRKG1;CACNA1D;RPS6KA5;GUCY1A2;ADCY1;GNG2;GNAS;CALM1;ADCY7;GRIN2A;ADCY2;GNB4;PRKACB;GNG11;GRIA4;GRIA2;MAPK3;GRIA3;GRIN2B;CALM3;CAMK2A;RYR2;NOS1AP;ADCY4;GNG5;GRIN1;CAMK2B;RYR3;CACNA1I;GNG12;ADCY3;ADCY8
prerank,Long-term depression Homo sapiens hsa04730,-0.5019890384174432,-1.7959235024339006,0.0,0.04378993523820513,0.128,14/57,7.06%,PLCB1;IGF1;ITPR1;LYN;IGF1R;PLCB4;PRKG1;GUCY1A2;GNAS;GRM1;GRIA2;MAPK3;GRIA3;GRID2
prerank,Bladder cancer Homo sapiens hsa05219,0.6646507355021487,1.7497016323218106,0.010115606936416185,0.4892914605251566,0.377,5/39,2.50%,CDH1;EGFR;THBS1;NRAS;KRAS
prerank,Thyroid hormone synthesis Homo sapiens hsa04918,-0.4779695777175247,-1.7465314991116843,0.004484304932735426,0.06002605856927878,0.201,13/66,4.67%,ATP1A2;PLCB1;ITPR1;PLCB4;ATP1B3;ADCY5;CREB5;ADCY1;GNAS;ADCY7;ATP1B2;ADCY2;PRKACB
prerank,TGF-beta signaling pathway Homo sapiens hsa04350,0.6016907877553768,1.7410924269544978,0.002472187886279357,0.27142287486843264,0.399,29/83,14.78%,BMP4;THBS1;SMAD9;BMP5;TGFB3;INHBA;BMP6;SMAD6;GDF6;GDF5;BAMBI;BMPR1A;E2F5;TGFBR1;ID4;TGFBR2;ID1;EP300;CREBBP;NOG;ACVR1;TGFB2;RHOA;INHBB;MAPK1;CHRD;PPP2R1B;SMURF1;AMHR2
prerank,Parkinson's disease Homo sapiens hsa05012,-0.4447828139140781,-1.7253774237543449,0.0,0.06754348188915699,0.252,55/109,27.08%,ADCY5;SDHA;VDAC3;SNCA;PRKACB;COX4I1;COX7C;GPR37;UQCR10;UBE2J2;UQCRH;NDUFA8;COX8A;COX6B1;LRRK2;NDUFB3;NDUFS4;COX6A1;ADORA2A;NDUFA6;COX5B;CASP3;UBB;COX7A2;COX6C;NDUFS3;UQCR11;NDUFA12;NDUFC2;NDUFS2;NDUFB7;NDUFA1;NDUFB8;NDUFA3;NDUFB9;UCHL1;PARK7;NDUFB4;SLC25A4;NDUFS5;CYCS;NDUFC1;UQCRC2;UQCRB;NDUFA4L2;COX7B2;SLC18A2;NDUFA10;NDUFB11;UQCRFS1;NDUFA9;NDUFA5;COX4I2;NDUFS6;NDUFA11
prerank,Oxidative phosphorylation Homo sapiens hsa00190,-0.4346873724435985,-1.6950522289048242,0.0,0.07774300096637868,0.316,54/99,27.08%,SDHA;COX4I1;COX7C;UQCR10;UQCRH;NDUFA8;COX8A;COX6B1;NDUFB3;COX17;ATP6V1D;NDUFS4;COX6A1;NDUFA6;ATP6AP1;COX5B;COX7A2;ATP6V1A;ATP6V0B;COX6C;PPA1;NDUFS3;UQCR11;NDUFA12;LHPP;NDUFC2;NDUFS2;NDUFB7;NDUFA1;NDUFB8;COX10;ATP6V0C;NDUFA3;NDUFB9;NDUFB4;NDUFS5;ATP6V1F;NDUFC1;UQCRC2;UQCRB;NDUFA4L2;COX7B2;ATP6V0E2;NDUFA10;NDUFB11;ATP6V1E1;PPA2;ATP6V1C1;UQCRFS1;NDUFA9;NDUFA5;COX4I2;NDUFS6;NDUFA11
