Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,SRP-dependent cotranslational protein targeting to membrane (GO:0006614),-0.5152080752706033,-2.0976646162752344,0.0,0.054186176248031244,0.044,51/87,25.05%,RPL37A;RPL19;RPL8;RPL37;RPS15;RPS29;RPL35A;RPS7;RPS20;RPL32;RPS27;RPL26;RPL27;RPS24;RPLP0;RPS19;RPL31;RPL41;RPL13A;SEC61B;RPL30;RPL29;RPS16;RPL3;RPLP1;RPS17;RPS3;RPL23;RPL17;RPL9;RPL38;RPL36;RPS26;RPS8;RPS12;RPL18A;RPS21;RPS18;RPLP2;RPS6;RPS15A;RPL14;RPS2;RPL10A;RPL39;RPL34;RPL5;RPL22;RPS9;RPS14;RPS25
prerank,cellular response to zinc ion (GO:0071294),-0.7692293791533743,-2.0666686929546367,0.0,0.0496706615606953,0.082,11/15,16.01%,MT1A;MT1H;MT1E;MT1F;MT1M;MT1X;MT1G;MT1B;GLRA2;P2RX4;MT2A
prerank,blood vessel diameter maintenance (GO:0097746),-0.6010315430679962,-2.032123880634506,0.0,0.05719651937292187,0.129,17/34,19.18%,ROCK2;ECE1;NOS3;GCLM;NPR1;ACE;BDKRB2;AGTR1;KLF2;EDNRA;EDN1;EDN3;ACE2;NOS1;PER2;GCLC;AGT
prerank,regulation of smooth muscle cell migration (GO:0014910),-0.6828256513952492,-2.0238472209138596,0.0,0.049388441892736806,0.147,7/20,4.89%,IGF1;PDGFRB;LRP1;SLIT2;IGFBP3;IGFBP5;ACE
prerank,protein targeting to ER (GO:0045047),-0.4869824844920958,-2.020248074299423,0.0,0.042220062326591014,0.154,53/99,22.61%,RPL37A;RPL19;RPL8;RPL37;RPS15;RPS29;RPL35A;RPS7;RPS20;RPL32;RPS27;RPL26;RPL27;RPS24;RPLP0;RPS19;RPL31;RPL41;SGTA;RPL13A;RPL30;RPL29;RPS16;RPL3;RPLP1;RPS17;RPS3;SEC62;RPL23;RPL17;RPL9;RPL38;RPL36;RPS26;RPS8;ZFAND2A;RPS12;RPL18A;RPS21;SPCS1;RPS18;RPLP2;RPS6;SGTB;RPS15A;RPL14;RPS2;RPL10A;GET3;RPL39;RPL34;RPL5;RPL22
prerank,dorsal/ventral pattern formation (GO:0009953),0.8071742465075165,2.015572021284107,0.0,0.2993294057109207,0.226,5/20,4.27%,PTCH1;FBXL15;GLI2;BMPR1B;NBL1
prerank,smoothened signaling pathway (GO:0007224),0.744302371204715,1.9979486232385018,0.0,0.21769411324430601,0.305,6/32,5.28%,PTCH1;PTCH2;GLI1;GLI2;STIL;HIPK1
prerank,cotranslational protein targeting to membrane (GO:0006613),-0.4839756847061099,-1.9925363549256623,0.0,0.05399802980272558,0.23,42/91,16.50%,RPL37A;RPL19;RPL8;RPL37;RPS15;RPS29;RPL35A;RPS7;RPS20;RPL32;RPS27;SSR1;RPL26;RPL27;RPS24;RPLP0;RPS19;RPL31;RPL41;RPL13A;RPL30;RPL29;RPS16;RPL3;RPLP1;RPS17;RPS3;SEC62;RPL23;RPL17;RPL9;RPL38;RPL36;RPS26;RPS8;RPS12;RPL18A;RPS21;RPS18;RPLP2;RPS6;RPS15A
prerank,dopamine metabolic process (GO:0042417),-0.703937923516334,-1.9880457700356404,0.0,0.04870305127055189,0.241,8/18,12.75%,SNCAIP;MOXD1;MAOA;COMT;ATP7A;GCH1;MAOB;TGFB2
prerank,negative regulation of cell activation (GO:0050866),-0.735948597166,-1.9787331393002683,0.0,0.05108175990048778,0.283,6/14,6.95%,PDGFRA;NOS3;THBD;LDLR;APOE;CD200
prerank,regulation of cell morphogenesis (GO:0022604),0.7441960525739084,1.9773387253359114,0.0,0.2236369123127569,0.418,5/30,2.67%,NTNG2;NTNG1;EFNA5;FMNL2;CAPZB
prerank,embryonic skeletal system morphogenesis (GO:0048704),-0.5984067287341763,-1.9652474913994207,0.0,0.05581677877401366,0.349,15/31,17.56%,OSR1;PDGFRA;HOXA3;TGFBR1;FGFR2;HOXB4;DSCAML1;HOXB9;TBX1;HOXC4;HOXA9;FUZ;MEGF8;HOXD4;HOXD3
prerank,smooth muscle contraction (GO:0006939),-0.7185313224280816,-1.9635581979305088,0.0,0.05136397956844628,0.355,8/14,11.69%,ROCK2;MYLK;SLC8A1;BDKRB2;MYH11;PIK3C2A;ACTA2;EDNRA
prerank,somite development (GO:0061053),0.9053803841094517,1.9621987877340261,0.0,0.22520080680445448,0.498,2/11,0.06%,PTCH1;MEOX2
prerank,negative regulation of smooth muscle cell migration (GO:0014912),-0.7575027837349838,-1.956731294981882,0.0,0.05244154557337872,0.385,6/14,2.58%,PRKG1;LRP1;SLIT2;TPM1;IGFBP3;IGFBP5
prerank,basement membrane organization (GO:0071711),0.8527618048841829,1.9562991635484293,0.0,0.20042871805596452,0.533,5/14,1.47%,NTNG2;NTNG1;PXDN;NID1;LAMB2
prerank,positive regulation of embryonic development (GO:0040019),-0.669616832150684,-1.9482338164256048,0.0025575447570332483,0.05277507790823876,0.412,5/19,6.20%,PLCB1;OSR1;WNT4;CFL1;ZBED3
prerank,heart trabecula morphogenesis (GO:0061384),-0.7122874616235211,-1.9432917143467723,0.0,0.051841582083452964,0.432,8/18,2.84%,ENG;TEK;ADGRG6;TGFBR3;RBPJ;FKBP1A;RBP4;TGFBR1
prerank,regulation of smoothened signaling pathway (GO:0008589),0.6789749693832536,1.9388765519486522,0.0,0.23004887972871707,0.637,10/50,7.03%,PTCH1;RORA;GPC3;PTCH2;GLI1;GLIS2;INTU;KIF7;IFT81;PDCL
prerank,hemidesmosome assembly (GO:0031581),0.8812140829131347,1.9334663661254823,0.0,0.21742601704572928,0.667,3/11,1.47%,ITGB4;ITGA6;LAMC1
prerank,cellular zinc ion homeostasis (GO:0006882),-0.6172577294534727,-1.9279536894340485,0.0,0.06039500894311816,0.489,12/26,6.86%,SLC30A10;SLC39A10;SLC39A8;MT1A;MT1H;MT1E;MT1F;MT1M;MT1X;MT1G;MT1B;SLC39A14
prerank,response to zinc ion (GO:0010043),-0.6238045158427008,-1.9199248710694647,0.0,0.06329246420082538,0.532,13/25,17.57%,MT1A;MT1H;MT1E;MT1F;MT1M;MT1X;MT1G;MT1B;GLRA2;P2RX4;MT2A;SLC30A4;D2HGDH
prerank,cellular response to copper ion (GO:0071280),-0.7062377850206631,-1.9109405565644466,0.0,0.06723883589111168,0.581,8/16,3.81%,MT1A;MT1H;MT1E;MT1F;MT1M;MT1X;MT1G;MT1B
