Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,transmitter-gated ion channel activity (GO:0022824),0.8461840667943605,2.543514057843008,0.0,0.0,0.0,19/29,9.42%,GRIA2;GABRB3;GABRA5;GABRB1;GRIA4;GABRA2;GRID1;GRID2;GABRG3;GABRA3;GRIK1;GABRA4;GABRB2;GRIN2D;GLRA3;GRIK2;GRIK5;GABRG2;GLRA2
prerank,glutamate receptor activity (GO:0008066),0.8784414757097184,2.3773799885350093,0.0,0.0,0.0,13/19,4.69%,GRIA2;GRM5;GRIA4;GRM7;GRM1;GRID1;GRID2;GRM8;GRIA1;GRIK1;GRIN2D;GRIK2;GRIK5
prerank,ligand-gated cation channel activity (GO:0099094),0.6420595749948537,2.300692300259927,0.0,0.0,0.0,23/75,8.42%,GRIA2;GRIN1;GRIA4;KCNJ3;ASIC2;KCNJ6;KCNN2;GRIN2A;ASIC4;GRIA1;GRIK1;GRIN2B;GRIN2D;GRIK2;GRIK5;KCNJ11;KCNN1;ASIC1;KCNJ10;TRPM2;GRIA3;KCNN3;KCNK1
prerank,ligand-gated channel activity (GO:0022834),0.7693407526255897,2.2974311010777515,0.0,0.0,0.0,14/29,7.38%,GRIA2;GRIN1;GABRB1;GRIA4;GRID1;GRID2;GRIN2A;GRIA1;GRIK1;GRIN2B;GRIN2D;GRIK2;GRIK5;GRIA3
prerank,ligand-gated ion channel activity (GO:0015276),0.7673416365064851,2.295428695333663,0.0,0.0,0.0,14/30,7.38%,GRIA2;GRIN1;GABRB1;GRIA4;GRID1;GRID2;GRIN2A;GRIA1;GRIK1;GRIN2B;GRIN2D;GRIK2;GRIK5;GRIA3
prerank,ionotropic glutamate receptor activity (GO:0004970),0.8402822459251097,2.2574744162524527,0.0,0.0,0.0,12/17,10.09%,GRIA2;GRIN1;GRIA4;GRIN2A;GRIA1;GRIK1;GRIN2B;GRIN2D;GRIK2;GRIK5;GRIA3;GRIN3A
prerank,GABA-A receptor activity (GO:0004890),0.8413660293576423,2.249596950022294,0.0,0.0,0.0,10/18,8.57%,GABRB3;GABRA5;GABRB1;GABRA2;GABRG3;GABRA3;GABRA4;GABRB2;GABRD;GABRG2
prerank,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1904315),0.7588015872250028,2.2491105547958403,0.0,0.0,0.0,11/28,8.57%,GABRA5;GABRA2;GRID1;GRID2;GABRG3;GABRA3;GRIK1;GABRA4;GRIK2;GRIK5;GABRG2
prerank,GABA receptor activity (GO:0016917),0.7900890120439867,2.2212427978871703,0.0,9.572906786179689e-05,0.001,10/21,8.57%,GABRB3;GABRA5;GABRB1;GABRA2;GABRG3;GABRA3;GABRA4;GABRB2;GABRD;GABRG2
prerank,ligand-gated anion channel activity (GO:0099095),0.8349907050644522,2.213450020991472,0.0,8.615616107561719e-05,0.001,12/17,9.42%,GABRB3;GABRA5;GABRB1;GABRA2;GLRA1;GABRG3;GABRA3;GABRA4;GABRB2;GLRA3;GABRG2;GLRA2
