Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,SRP-dependent cotranslational protein targeting to membrane (GO:0006614),-0.5984242797396009,-2.7350589501253246,0.0,0.0,0.0,59/87,21.25%,RPL13;RPS8;RPS23;RPS29;RPL37A;RPS21;RPL38;RPS11;RPL21;RPL35A;RPL17;RPL23;RPL3;RPS15;RPS7;RPS20;RPL18A;RPS6;RPS18;RPL14;RPLP1;RPS13;RPL9;RPL37;RPL8;RPS14;RPSA;RPL10;RPL18;RPL32;RPS28;RPS5;SRP68;RPS24;RPL15;RPS19;RPL39;RPL12;RPL27;RPL24;RPS12;RPS4X;RPS27;RPL27A;RPS9;RPL30;RPL19;RPL28;RPL31;RPL13A;RPL36A;SEC61B;RPLP2;RPL29;RPLP0;RPL10A;RPS10;RPL35;RPS26
prerank,protein targeting to ER (GO:0045047),-0.5683890862607436,-2.6214307112476085,0.0,0.0,0.0,69/99,24.74%,RPL13;RPS8;RPS23;RPS29;RPL37A;RPS21;RPL38;RPS11;RPL21;RPL35A;RPL17;RPL23;RPL3;RPS15;RPS7;RPS20;RPL18A;RPS6;RPS18;RPL14;RPLP1;RPS13;RPL9;RPL37;RPL8;EDEM1;RPS14;RPSA;SPCS2;RPL10;RPL18;RPL32;RPS28;RPS5;SRP68;RPS24;RPL15;RPS19;RPL39;RPL12;RPL27;RPL24;RPS12;SGTA;RPS4X;RPS27;RPL27A;RPS9;RPL30;SGTB;RPL19;RPL28;RPL31;RPL13A;RPL36A;SEC62;RPLP2;RPL29;RPLP0;RPL10A;RPS10;RPL35;RPS26;ZFAND2A;RPS27A;RPS3;RPL4;SEC63;SPCS1
prerank,cotranslational protein targeting to membrane (GO:0006613),-0.5687965203955773,-2.55411787828928,0.0,0.0,0.0,61/91,21.25%,RPL13;RPS8;RPS23;RPS29;RPL37A;RPS21;SIL1;RPL38;RPS11;RPL21;RPL35A;RPL17;RPL23;RPL3;RPS15;RPS7;RPS20;RPL18A;RPS6;RPS18;RPL14;RPLP1;RPS13;RPL9;RPL37;RPL8;RPS14;RPSA;RPL10;RPL18;RPL32;RPS28;RPS5;SRP68;RPS24;RPL15;RPS19;RPL39;RPL12;RPL27;RPL24;RPS12;RPS4X;RPS27;RPL27A;RPS9;RPL30;RPL19;RPL28;RPL31;RPL13A;RPL36A;SEC62;RPLP2;RPL29;RPLP0;RPL10A;SSR2;RPS10;RPL35;RPS26
prerank,cytoplasmic translation (GO:0002181),-0.5583296114488692,-2.4546670090774203,0.0,0.0,0.0,61/91,23.10%,RPL13;RPS8;EIF3M;RPS23;RPS29;RPL37A;RPS21;RPL38;RPS11;RPL21;RPL35A;RPL17;RPL23;RPL3;RPS15;RPS7;RPS20;RPL18A;RPS6;RPS18;RPL14;RPLP1;RPS13;RPL9;RPL37;RPL8;RPS14;RPSA;RPL10;RPL18;RPL32;RPS28;RPS5;RPS24;RPL15;RPS19;RPL39;RWDD1;RPL12;RPL27;RPL24;RPS12;RPS4X;RPS27;RPL27A;RPS9;RPL30;RPL19;RPL28;RPL31;RPL13A;RPL36A;RPL29;RPLP0;RPL10A;RPS10;RPL35;RPS26;TMA7;RPS27A;RPS3
prerank,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)",-0.494076185296543,-2.1936803935237696,0.0,0.004771911056773898,0.012,72/110,26.41%,RPL13;RPS8;RPS23;RPS29;RPL37A;RPS21;RPL38;RPS11;RPL21;RPL35A;RPL17;RPL23;RPL3;RPS15;EIF4G1;RPS7;RPS20;RPL18A;RPS6;RPS18;RPL14;RPLP1;RPS13;RPL9;RPL37;RPL8;RPS14;RPSA;RPL10;RPL18;RPL32;RPS28;RPS5;RPS24;RPL15;RPS19;RPL39;RPL12;RPL27;RPL24;RPS12;RPS4X;RPS27;RPL27A;RPS9;RPL30;RPL19;RPL28;EIF4A3;RPL31;RBM8A;SMG1;RPL13A;RPL36A;RPLP2;RPL29;RPLP0;DCP1A;RPL10A;RPS10;NCBP1;RPL35;RPS26;RPS27A;CASC3;RPS3;RPL4;MAGOH;EIF3E;UPF1;GSPT1;RPS25
prerank,microtubule cytoskeleton organization involved in mitosis (GO:1902850),0.9082481613095686,2.164452262753865,0.0,0.0,0.0,50/125,2.94%,KNL1;KIF11;CENPF;KIF4A;CENPE;NUF2;CDCA8;SPC25;NSL1;CENPM;KIF2C;NUSAP1;CENPH;CENPP;ZWILCH;CCNB1;KNTC1;NDC80;STIL;CENPK;CENPA;DLGAP5;INCENP;TTK;BUB1B;SGO1;SKA1;PLK1;BIRC5;BUB1;ESPL1;CENPI;SPDL1;KIF18A;CDC20;WDR62;CENPN;AURKB;CENPQ;CKAP5;CENPU;SKA2;STMN1;XPO1;DSN1;ITGB3BP;PMF1;GPSM2;AURKA;NUP160
prerank,mitotic spindle organization (GO:0007052),0.9008249861373486,2.162832888091543,0.0,0.0,0.0,56/153,3.25%,KNL1;KIF11;PRC1;CENPF;TPX2;KIF4A;CENPE;NUF2;CDCA8;SPC25;NSL1;CENPM;KIF23;KIF2C;CENPH;CENPP;ZWILCH;CCNB1;KNTC1;NDC80;STIL;CENPK;CENPA;DLGAP5;KIFC1;INCENP;TTK;BUB1B;SGO1;SKA1;PLK1;BIRC5;BUB1;CENPI;SPDL1;KIF18A;CDC20;WDR62;CENPN;AURKB;CEP192;CENPQ;CKAP5;CENPU;SKA2;STMN1;XPO1;DSN1;ITGB3BP;SMC1A;PMF1;GPSM2;CCDC61;AURKA;NUP160;RHOA
prerank,mitotic sister chromatid segregation (GO:0000070),0.9084635797089631,2.143617160988586,0.0,0.0,0.0,41/98,2.82%,PRC1;KIF18B;CENPE;KIF14;CDCA8;NSL1;KIF23;CEP55;KIF2C;NUSAP1;NCAPG;CCNB1;NDC80;CDK1;CENPK;DLGAP5;KIFC1;SGO1;NCAPG2;PLK1;CDCA5;SPAG5;ESPL1;KNSTRN;SPDL1;NCAPH;SMC2;KIF18A;SMC4;KIF22;NCAPD3;NCAPD2;NCAPH2;HASPIN;PDS5A;DSN1;PSRC1;KMT5A;SMC1A;RB1;PDS5B
prerank,sister chromatid segregation (GO:0000819),0.950185985246619,2.1253420949118937,0.0,0.0,0.0,19/31,2.56%,TOP2A;KIF18B;CDCA8;NSL1;NUSAP1;NDC80;CENPK;KIFC1;SGO1;NCAPG2;PLK1;SPAG5;ESPL1;KNSTRN;KIF18A;SMC4;DSN1;SMC1A;RB1
prerank,mitotic nuclear division (GO:0140014),0.8926641498353666,2.1195668785278214,0.0,0.0,0.0,23/71,2.40%,KIF11;KIF18B;TPX2;CDCA8;NSL1;NUSAP1;NDC80;CENPK;KIFC1;SGO1;NCAPG2;PLK1;SPAG5;ESPL1;KNSTRN;KIF18A;SMC4;UBE2C;CEP192;DSN1;UBE2S;SMC1A;CCDC61
