Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,collagen fibril organization (GO:0030199),0.7417138656882171,2.1762584329720265,0.0,0.0,0.0,32/88,8.31%,COL15A1;COL4A1;COL27A1;COL1A2;CYP1B1;COL24A1;COL18A1;COL4A2;COL7A1;COL1A1;COL3A1;LUM;TLL2;COL6A3;COL8A1;COL5A2;COL23A1;COL5A3;COL11A2;COL13A1;PLOD2;COL5A1;ADAMTS2;DPT;COL11A1;DDR2;BMP1;SERPINH1;LOXL1;PXDN;NF1;TGFBR1
prerank,extracellular structure organization (GO:0043062),0.6799406634329614,2.1253456468976317,0.0,0.0010300230994777645,0.002,67/204,8.45%,MMP3;MMP13;COL15A1;COL4A1;MMP27;COL27A1;COL1A2;COL24A1;IBSP;COL18A1;DCN;COL4A2;COL7A1;COL1A1;COL3A1;LAMA2;MMP2;LUM;POSTN;FBN2;SPP1;ITGB8;COL6A3;COL8A1;COL5A2;SPARC;COL23A1;MMP14;LAMB1;HSPG2;COL5A3;ADAM19;LAMA1;LAMC1;COL11A2;BGN;ADAM12;MMP11;NID1;ST7;COL13A1;COL5A1;ITGB5;ADAMTS2;VTN;VCAN;FBN1;COL11A1;ITGA8;ADAMTSL2;ADAMTS5;DDR2;ADAMTS7;LAMC3;ICAM1;MMP12;ADAMTS1;LOXL1;PXDN;NF1;LAMA4;ADAMTS6;ADAMTS12;MMP17;TGFBR1;ADAMTS15;MMP16
prerank,external encapsulating structure organization (GO:0045229),0.6783716176324238,2.1193083597650593,0.0,0.0006866820663185096,0.002,66/205,8.45%,MMP3;MMP13;COL15A1;COL4A1;MMP27;COL27A1;COL1A2;COL24A1;IBSP;COL18A1;DCN;COL4A2;COL7A1;COL1A1;COL3A1;LAMA2;MMP2;LUM;POSTN;FBN2;SPP1;ITGB8;COL6A3;COL8A1;COL5A2;SPARC;COL23A1;MMP14;LAMB1;HSPG2;COL5A3;ADAM19;LAMA1;LAMC1;COL11A2;BGN;ADAM12;MMP11;NID1;ST7;COL13A1;COL5A1;ITGB5;ADAMTS2;VTN;VCAN;FBN1;COL11A1;ITGA8;ADAMTSL2;ADAMTS5;DDR2;ADAMTS7;LAMC3;ICAM1;MMP12;ADAMTS1;LOXL1;PXDN;NF1;LAMA4;ADAMTS6;ADAMTS12;MMP17;ADAMTS15;MMP16
prerank,extracellular matrix organization (GO:0030198),0.6671992773098706,2.1014322164416073,0.0,0.0005150115497388822,0.002,83/276,8.45%,MMP3;MMP13;COL15A1;COL4A1;MMP27;SCUBE1;COL27A1;COL1A2;CYP1B1;COL24A1;IBSP;COL18A1;DCN;COL4A2;COL7A1;COL1A1;COL3A1;LAMA2;MMP2;CREB3L1;LUM;GPM6B;POSTN;FBN2;SPP1;TLL2;ITGB8;COL6A3;COL8A1;COL5A2;SPARC;COL23A1;MMP14;LAMB1;SH3PXD2B;HSPG2;COL5A3;ADAM19;LAMA1;LAMC1;COL11A2;FLRT2;BGN;ADAM12;MMP11;NID1;ST7;COL13A1;PLOD2;COL5A1;ITGB5;ADAMTS2;LCP1;TIMP1;VTN;DPT;VCAN;FBN1;COL11A1;ITGA8;ADAMTSL2;ADAMTS5;DDR2;ADAMTS7;BMP1;CAPN2;LAMC3;ICAM1;MMP12;ADAMTS1;SERPINH1;LOXL1;CTSS;PXDN;KLK2;NF1;LAMA4;ADAMTS6;ADAMTS12;MMP17;TGFBR1;ADAMTS15;MMP16
prerank,cellular potassium ion homeostasis (GO:0030007),-0.7629642379251708,-2.0843822689043163,0.0031545741324921135,0.11068938459038948,0.105,5/13,2.41%,ATP1B3;SLC12A2;ATP1B1;ATP1A2;KCNJ2
prerank,cellular component disassembly (GO:0022411),0.7364972261501768,2.0676109954892024,0.0,0.0010300230994777645,0.004,21/53,10.11%,MMP3;MMP13;SCUBE1;MMP2;TLL2;MMP14;SH3PXD2B;LAMC1;MMP11;LCP1;TIMP1;ADAMTS5;BMP1;CAPN2;MMP12;CTSS;KLK2;ADAMTS15;MMP16;ADAMTS4;CTSK
prerank,extracellular matrix disassembly (GO:0022617),0.736179397642616,2.065050139331701,0.0,0.0008583525828981369,0.004,21/53,10.11%,MMP3;MMP13;SCUBE1;MMP2;TLL2;MMP14;SH3PXD2B;LAMC1;MMP11;LCP1;TIMP1;ADAMTS5;BMP1;CAPN2;MMP12;CTSS;KLK2;ADAMTS15;MMP16;ADAMTS4;CTSK
prerank,regulation of humoral immune response (GO:0002920),0.7439963368220331,2.0403547138388336,0.0,0.0016186077277507728,0.01,10/44,8.73%,C6;CFH;C3;SERPING1;PROS1;VTN;GATA6;FCGR2B;C7;C1QB
prerank,potassium ion homeostasis (GO:0055075),-0.6194473398140609,-2.0236935388919663,0.0,0.13633692492230898,0.24,7/23,3.73%,ATP1B3;SLC12A7;SLC12A2;ATP1B1;ATP1A2;KCNJ2;SLC12A6
prerank,negative regulation of immune effector process (GO:0002698),-0.7188863037110543,-2.002633597436315,0.0,0.11608886676553043,0.292,9/13,19.68%,CD55;FER;CD47;GRN;RPS19;RC3H1;HAVCR2;ENPP3;APPL1
prerank,regulation of complement activation (GO:0030449),0.7424702864221426,1.9996212961839237,0.0,0.006823903034040189,0.041,6/40,3.33%,C6;CFH;C3;SERPING1;PROS1;VTN
prerank,regulation of immune effector process (GO:0002697),0.7385876798419211,1.994275503189863,0.0,0.006637926641078927,0.045,9/41,8.73%,C6;CFH;C3;SERPING1;PROS1;VTN;FCGR2B;C7;C1QB
prerank,positive regulation of sodium ion transmembrane transport (GO:1902307),-0.7505050119639936,-1.993241755846718,0.0,0.09989042024010758,0.322,6/12,14.11%,DMD;ATP1B3;ATP1B1;WNK4;WNK3;FXYD1
prerank,regulation of vascular endothelial growth factor production (GO:0010574),0.7876795368765444,1.9913531773990714,0.0,0.00638614321676214,0.048,8/26,9.14%,RORA;CYP1B1;C3;SULF1;CCBE1;ARNT;EIF2AK3;HPSE
prerank,chemokine-mediated signaling pathway (GO:0070098),0.7312436016269138,1.9850621998995623,0.0,0.006648330914811025,0.055,9/42,8.47%,CCL11;CCL7;CXCL5;CXCL1;CXCL12;XCL1;CCR1;CCL5;CXCL10
prerank,endoderm formation (GO:0001706),0.7602440090690618,1.9818959590469973,0.0,0.0064376443717360276,0.058,11/35,3.76%,COL4A2;COL7A1;MMP2;COL8A1;MMP14;LAMB1;ITGB5;DUSP2;VTN;DUSP5;COL11A1
prerank,positive regulation of vascular endothelial growth factor production (GO:0010575),0.7947841159873127,1.978047434926273,0.0,0.00641783623520761,0.061,8/24,9.14%,RORA;CYP1B1;C3;SULF1;CCBE1;ARNT;EIF2AK3;HPSE
prerank,establishment of endothelial barrier (GO:0061028),-0.585609800153597,-1.941900111652244,0.0,0.14830577707720477,0.504,15/29,17.06%,TJP1;PECAM1;RAPGEF3;TJP2;EZR;PPP1R16B;RAPGEF6;RDX;RAPGEF2;PDE2A;PDE4D;ROBO4;RAP1A;SOX18;F11R
prerank,potassium ion import across plasma membrane (GO:1990573),-0.5283303575247602,-1.9359943333827425,0.0,0.13063747151521576,0.519,9/41,3.89%,ATP1B3;SLC12A7;SLC12A2;ATP1B1;ATP1A2;KCNJ2;ABCC9;SLC12A6;KCNJ3
prerank,negative regulation of axon extension (GO:0030517),-0.5738908095385588,-1.9334348274518502,0.0,0.11634598496434664,0.536,22/30,26.92%,SEMA6A;MAP2;SEMA3C;SEMA7A;SEMA6D;SEMA3D;SEMA4D;SEMA5A;SEMA5B;SEMA4B;MAG;SEMA3G;RNF6;SEMA3B;CDKL3;TRIM46;SEMA6C;SEMA6B;SEMA4A;SEMA4G;SEMA3F;RTN4R
prerank,negative regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043124),0.7192130381507542,1.9220588891133272,0.0,0.022807654345579072,0.208,8/38,5.02%,RORA;NR1H4;ADIPOQ;TNIP1;TNFAIP3;STAT1;TREM2;TLE1
