Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,polysomal ribosome (GO:0042788),-0.5932736651958197,-2.0061358614601175,0.0,0.04085345967008256,0.028,17/29,21.66%,RPL11;RPS23;RPL6;RPL18A;RPL24;RPL38;RPL8;RPL19;RPL36;RPL32;RPS28;RPL39;RPS26;RPL10A;RPL7A;RPL31;RPL36A
prerank,cytosolic small ribosomal subunit (GO:0022627),-0.4829664874149865,-1.7929312074710158,0.006622516556291391,0.18384056851537153,0.231,17/36,16.97%,EIF2A;RPS24;RPS15A;RPS23;RPS19;RPS20;RPS16;RPS6;RPS18;RPS13;RPS28;RPS5;RPS2;RPS17;RPS26;RPS27;RPS10
prerank,supramolecular fiber (GO:0099512),0.7458911921511714,1.7564123907853761,0.0027137042062415195,0.3336984633044379,0.254,9/17,13.06%,FBN2;MFAP4;ADAMTS10;FBLN1;MFAP2;LTBP1;MFAP5;FBN1;FBLN5
prerank,ribosome (GO:0005840),-0.41353224252334264,-1.724698705953396,0.0,0.21668354589720265,0.375,28/61,17.70%,RPL11;NCK1;RPS23;EIF2AK2;RPL6;RPL18A;RPL24;RPS19;RPL38;RPL8;RPL19;RPS18;RPS13;SF1;RPL36;RPL32;RPS28;RPS5;RPL15;RPL39;HSPA14;RPL27;RPS17;RPS26;RPS27;RPL10A;RPS10;RPL7A
prerank,intracellular vesicle (GO:0097708),-0.6577584504834965,-1.6948242594303202,0.013377926421404682,0.20546887069365055,0.449,5/11,9.55%,ITSN2;EGFR;APPL1;ITSN1;PLCG2
prerank,cytosolic large ribosomal subunit (GO:0022625),-0.4017348413152394,-1.6531603565786646,0.0,0.22877937415246236,0.552,24/53,17.70%,RPL11;RPL5;RPL37A;RPL6;RPL18A;RPL24;RPL38;RPL8;RPL19;RPL21;RPL3;RPL28;RPL22;RPL34;RPLP0;RPL36;RPL10;RPL32;RPL15;RPL39;RPL12;RPL27;RPL10A;RPL7A
prerank,small ribosomal subunit (GO:0015935),-0.436181552266609,-1.6434628265786055,0.0,0.2032659880643814,0.573,18/41,16.97%,MRPS9;EIF2A;RPS24;RPS15A;RPS23;RPS19;RPS20;RPS16;RPS6;RPS18;RPS13;RPS28;RPS5;RPS2;RPS17;RPS26;RPS27;RPS10
prerank,microfibril (GO:0001527),0.7618187086200141,1.619738296838588,0.01355421686746988,1.0,0.84,7/10,12.67%,FBN2;MFAP4;ADAMTS10;MFAP2;LTBP1;MFAP5;FBN1
prerank,spanning component of plasma membrane (GO:0044214),0.7020958631453816,1.544598591664428,0.027972027972027972,1.0,0.981,3/13,8.64%,SLC4A4;AJAP1;SLC24A4
prerank,lamellar body (GO:0042599),0.6959392931386774,1.526377999558621,0.03225806451612903,1.0,0.99,5/12,21.50%,CKAP4;SFTPA1;SFTPA2;CTSH;NAPSA
prerank,cornified envelope (GO:0001533),0.6016211716750436,1.5224798467422425,0.028241335044929396,1.0,0.992,5/25,10.86%,SCEL;ANXA1;KAZN;PPL;JUP
prerank,anchored component of external side of plasma membrane (GO:0031362),0.6450596164492428,1.505045147871014,0.055632823365785816,1.0,0.996,3/16,7.55%,IGSF21;THY1;CD24
prerank,intrinsic component of mitochondrial outer membrane (GO:0031306),0.5979252933594679,1.4803028509865093,0.0494148244473342,1.0,0.999,10/22,18.22%,DMPK;FIS1;FUNDC2;TOMM20;FUNDC1;MFN1;MFN2;GDAP1;SPIRE1;SYNJ2BP
prerank,triglyceride-rich plasma lipoprotein particle (GO:0034385),0.7013896187512835,1.4648713655253,0.05,1.0,0.999,3/11,17.19%,SELENOS;PCYOX1;APOE
prerank,very-low-density lipoprotein particle (GO:0034361),0.7013896187512835,1.4648713655253,0.05,1.0,0.999,3/11,17.19%,SELENOS;PCYOX1;APOE
prerank,secretory vesicle (GO:0099503),0.5746436646174661,1.452948801602138,0.05804111245465538,1.0,1.0,4/28,1.18%,UNC13D;SYT3;SYT10;IGF1
prerank,anaphase-promoting complex (GO:0005680),0.6126740930247233,1.4399037953956408,0.08422459893048129,1.0,1.0,10/19,18.59%,CUL7;CDC23;UBE2S;CDC16;ANAPC2;ANAPC11;ANAPC4;CDC26;ANAPC10;ANAPC5
prerank,spanning component of membrane (GO:0089717),0.6112365221621455,1.4393836945841465,0.06533333333333333,1.0,1.0,5/18,14.38%,SLC4A4;AJAP1;SLC24A4;NLGN3;NLGN2
prerank,integral component of mitochondrial outer membrane (GO:0031307),0.5807192096790998,1.4334316299085752,0.07441253263707572,0.9904736881635704,1.0,9/21,18.22%,DMPK;FIS1;FUNDC2;TOMM20;FUNDC1;MFN1;GDAP1;SPIRE1;SYNJ2BP
prerank,rough endoplasmic reticulum (GO:0005791),0.5581164899160105,1.4247667876251218,0.06144578313253012,0.9839036176864225,1.0,12/28,17.28%,SUCO;MACO1;CKAP4;HM13;UBA1;LRPAP1;RPL4;SFTPA1;SFTPA2;STX17;EPHA5;SEC62
prerank,secondary lysosome (GO:0005767),0.6111940333330689,1.4137040339406917,0.08647140864714087,0.9973876292099311,1.0,3/16,6.12%,PLA2G5;CLN3;SQSTM1
prerank,smooth endoplasmic reticulum (GO:0005790),0.5972441786185776,1.4101410207120275,0.07236842105263158,0.9599823967691248,1.0,5/19,15.47%,GBA2;SYVN1;ERP29;SLMAP;STX17
prerank,recycling endosome membrane (GO:0055038),0.5016151454417807,1.4001656939809584,0.06,0.9728923419666912,1.0,25/52,22.41%,RAB11FIP4;RAC1;ATP9A;LZTR1;VAMP3;RAP2A;RAB12;NDRG1;CLIP3;GRIA1;VTI1B;SCAMP5;SCAMP1;RAB8A;RAB8B;SLC9A7;SLC9A6;VAMP8;EHD1;CMTM6;RAB11FIP3;B2M;GGA3;EHD3;RAB11B
prerank,desmosome (GO:0030057),0.6059460488107409,1.3988497558202007,0.08943089430894309,0.9280056243236443,1.0,4/15,10.86%,KAZN;UBA1;JAM3;JUP
prerank,intrinsic component of external side of plasma membrane (GO:0031233),0.578220172130796,1.390523881753394,0.10013351134846461,0.9297327723826913,1.0,4/20,15.02%,IGSF21;THY1;CD24;F3
prerank,nBAF complex (GO:0071565),0.6264205599857394,1.387267963241954,0.07526881720430108,0.9019926997336769,1.0,6/14,9.07%,SMARCD3;SMARCC2;SMARCB1;SMARCD1;DPF2;ARID1B
prerank,large ribosomal subunit (GO:0015934),-0.32912841509612384,-1.3740743076495248,0.020833333333333332,0.9507870298848207,0.989,24/57,17.70%,RPL11;RPL5;RPL37A;RPL6;RPL18A;RPL24;RPL38;RPL8;RPL19;RPL21;RPL3;RPL28;RPL22;RPL34;RPLP0;RPL36;RPL10;RPL32;RPL15;RPL39;RPL12;RPL27;RPL10A;RPL7A
prerank,intrinsic component of endoplasmic reticulum membrane (GO:0031227),0.4561781000442476,1.3648447191863184,0.035015447991761074,1.0,1.0,19/118,9.63%,EMC1;PIGG;CLN3;RTN2;SLC35B2;SLC35B1;SELENOS;EIF2AK3;ELOVL1;EDEM1;BNIP1;SYVN1;TEX261;MMGT1;TBL2;SGPL1;DPAGT1;AUP1;ELOVL4
prerank,integral component of endoplasmic reticulum membrane (GO:0030176),0.4545250438742181,1.3639895555270518,0.03412616339193381,0.9616059949611427,1.0,20/121,9.63%,EMC1;PIGG;CLN3;RTN2;SLC35B2;SLC35B1;SELENOS;EIF2AK3;ELOVL1;EDEM1;BNIP1;SYVN1;TEX261;MMGT1;TBL2;SGPL1;HM13;DPAGT1;AUP1;ELOVL4
prerank,voltage-gated calcium channel complex (GO:0005891),0.5332810944436153,1.358662212678587,0.10097323600973236,0.953692197412421,1.0,6/29,10.31%,CACNA2D2;CACNG3;CACNB4;CACNA2D3;CATSPER3;CACNB1
prerank,exocytic vesicle (GO:0070382),0.533714673829417,1.3543720292580936,0.09575757575757576,0.9413636846163627,1.0,4/30,1.18%,UNC13D;SYT3;SYT10;IGF1
prerank,NuA4 histone acetyltransferase complex (GO:0035267),-0.4377433504612734,-1.3502407697870513,0.11304347826086956,0.9349734795818528,0.996,13/19,36.13%,EPC1;TRRAP;ACTB;MSL3;ACTL6A;ING3;RUVBL1;EPC2;KAT5;MRGBP;YEATS4;DMAP1;RUVBL2
prerank,acetylcholine-gated channel complex (GO:0005892),-0.47164211265897527,-1.344973502111091,0.10996563573883161,0.8483100743258322,0.998,3/14,14.43%,STXBP5;CHRFAM7A;CHRNA7
prerank,acrosomal membrane (GO:0002080),0.6230462841496629,1.3388092363813282,0.1574468085106383,1.0,1.0,2/11,12.57%,CCDC136;ACRBP
prerank,voltage-gated potassium channel complex (GO:0008076),0.4602193958216637,1.3330971880300602,0.08178844056706652,1.0,1.0,12/73,15.40%,KCNG2;KCNAB2;KCNA4;KCNC1;KCNMA1;KCNC2;KCNQ4;KCND3;KCNA1;DPP10;CNTNAP2;KCNQ2
prerank,PRC1 complex (GO:0035102),0.583024260583634,1.3246407221357264,0.1361760660247593,1.0,1.0,3/15,7.33%,CBX8;PCGF1;PCGF6
prerank,platelet dense tubular network (GO:0031094),0.6337251373922953,1.3223871142289036,0.17027417027417027,0.9963008717623879,1.0,3/10,6.44%,ATP2A2;ITPR1;DMTN
prerank,myofibril (GO:0030016),0.522763409248959,1.313586922923456,0.11237373737373738,1.0,1.0,4/27,9.86%,TNNI3;MYL1;DES;PDE4DIP
prerank,filopodium membrane (GO:0031527),-0.4963245473419218,-1.299622359835421,0.171875,0.9509243524383336,1.0,5/12,17.19%,UTRN;DMD;ITGA3;SYNE2;PALM
prerank,H4/H2A histone acetyltransferase complex (GO:0043189),-0.43040667631613705,-1.288919074559297,0.14522821576763487,0.910901070023579,1.0,12/18,36.13%,EPC1;TRRAP;ACTB;MSL3;ACTL6A;ING3;RUVBL1;KAT5;MRGBP;YEATS4;DMAP1;RUVBL2
prerank,proton-transporting V-type ATPase complex (GO:0033176),0.5817937166202591,1.2877871142509616,0.1884892086330935,1.0,1.0,5/14,14.32%,ATP6AP2;ATP6V0A2;ATP6V1G1;TCIRG1;ATP6V1D
prerank,Golgi lumen (GO:0005796),0.4391806745444718,1.2853260633602508,0.10721868365180467,1.0,1.0,22/83,20.34%,WNT5A;MMP11;PCSK5;GPC6;DCN;GPC1;WNT4;APP;DAG1;SOD3;GPC4;OMD;TGFB1;LUM;HSPG2;F8;MMP14;GPC5;PROS1;HS3ST1;PCSK6;MMP16
prerank,SCF ubiquitin ligase complex (GO:0019005),0.4499656357632024,1.2684604432037452,0.14084507042253522,1.0,1.0,12/57,9.57%,SPSB3;SPSB1;FBXL12;FBXL14;FBXO38;FBXO7;USP47;FBH1;FBXO31;FBXO45;FBXW5;CUL4B
prerank,clathrin coat (GO:0030118),-0.44723493790765617,-1.2684290539870575,0.17328519855595667,0.9189024494910483,1.0,6/15,13.37%,EPS15L1;CLTA;CLTB;EPN2;EPS15;NECAP1
prerank,sarcoplasmic reticulum membrane (GO:0033017),0.5179372463518203,1.2651309398317867,0.17026683608640406,1.0,1.0,4/25,6.74%,CHERP;DMPK;ATP2A2;NOS1AP
prerank,platelet alpha granule lumen (GO:0031093),0.4443715864096266,1.2635277652932935,0.13867822318526543,1.0,1.0,13/62,16.49%,MAGED2;IGF1;APOOL;SERPING1;SPARC;EGF;APP;VTI1B;NHLRC2;GTPBP2;TGFB1;F8;SERPINE1
prerank,glial cell projection (GO:0097386),0.5654677452287223,1.26339795337823,0.19688385269121814,1.0,1.0,8/14,20.98%,SIRT2;KCNJ10;ABCA7;MAPT;FMR1;SLC1A2;ATP1B2;ITGB1
prerank,recycling endosome (GO:0055037),0.42338830649159415,1.2604250791074818,0.09155645981688708,1.0,1.0,50/135,22.41%,CLN3;RAB11FIP4;RAC1;VPS16;ATP9A;MLC1;LZTR1;SNF8;RELCH;VAMP3;SLC30A10;RAP2A;RAB12;TUBA1A;CLCN4;ENTR1;NDRG1;RAB10;CLIP3;APP;MYO5A;GRIA1;VTI1B;GPR161;RAB13;TMEM230;SCAMP5;SCAMP1;STX8;RAB8A;RAB8B;SLC9A7;SLC9A6;VAMP8;DENND6A;MCTP1;SORL1;ATG9A;ZDHHC2;SLC11A2;EHD1;CMTM6;RAB11FIP3;ABCG1;COMMD1;SYT11;B2M;GGA3;EHD3;RAB11B
