Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Mitotic Spindle,-0.4897849417581101,-2.1437602688407273,0.0,0.0,0.0,86/198,21.21%,SPTBN1;RAPGEF5;SPTAN1;WASF2;AKAP13;RASAL2;BCR;FGD6;ABI1;CLIP1;PKD2;MYH9;CD2AP;ARHGEF3;RAB3GAP1;NET1;DOCK4;RALBP1;RANBP9;ARHGAP10;FARP1;ARAP3;YWHAE;MID1;TLK1;PDLIM5;CEP57;RICTOR;ARHGAP5;NCK1;PXN;DLG1;ABL1;ARHGEF12;CEP250;SORBS2;EZR;ARHGDIA;CDC42BPA;WASL;ITSN1;EPB41L2;ROCK1;NOTCH2;ARHGEF2;DST;SHROOM1;SMC4;BCAR1;FLNA;SHROOM2;NCK2;NIN;KIF23;ARHGEF11;ARFGEF1;RASA1;ACTN4;CSNK1D;PAFAH1B1;NEDD9;KPTN;TRIO;KIF11;ABR;BCL2L11;KIF15;PREX1;ALMS1;TUBGCP5;HDAC6;ALS2;ARHGAP29;CAPZB;PCM1;CNTRL;CENPE;STAU1;WASF1;KIF3B;CLIP2;CDC42EP1;PRC1;NF1;VCL;PCGF5
prerank,TGF-beta Signaling,-0.5301279436224561,-1.9178407460791471,0.0,0.0,0.0,28/54,26.95%,SPTBN1;TJP1;ENG;XIAP;BMPR2;SMURF2;THBS1;ID1;SMURF1;HDAC1;SKIL;SMAD1;CDH1;UBE2D3;KLF10;SMAD7;RHOA;SMAD6;SKI;CTNNB1;PMEPA1;IFNGR2;SERPINE1;PPP1CA;MAP3K7;BMP2;APC;SLC20A1
prerank,UV Response Dn,-0.4245068068205516,-1.8361747812529121,0.0,0.002045702861659344,0.004,50/144,12.32%,TJP1;GRK5;APBB2;IGF1R;PLCB4;PTPRM;RBPMS;NFIB;DYRK1A;ZMIZ1;CAV1;NEK7;DAB2;SLC7A1;ADD3;ADGRL2;PRKCE;ANXA2;CDK13;RXRA;RND3;WDR37;ID1;NR3C1;SYNE1;CDKN1B;TGFBR3;PDLIM5;TGFBR2;NIPBL;NFKB1;IRS1;DLG1;TOGARAM1;COL5A2;CDON;CDC42BPA;NOTCH2;MIOS;AKT3;ANXA4;PRDM2;ACVR2A;PIK3CD;TENT4A;PTGFR;FBLN5;SMAD7;PHF3;MGLL
prerank,Notch Signaling,-0.5506013629446658,-1.7670101940783944,0.0,0.004986400725294651,0.013,17/32,24.03%,ST3GAL6;MAML2;NOTCH3;HES1;RBX1;PSEN2;NOTCH2;PPARD;NOTCH1;FBXW11;JAG1;APH1A;CCND1;TCF7L2;FZD7;FZD5;ARRB1
prerank,Interferon Gamma Response,-0.4011637867395037,-1.7458704266912266,0.0017331022530329288,0.004909686867982425,0.016,91/184,31.43%,PELI1;NOD1;ZNFX1;SAMD9L;ST8SIA4;IRF2;IFIH1;LY6E;PTPN1;TRIM25;PSMA2;PLA2G4A;IL15;TNFSF10;ICAM1;CD38;RNF213;BPGM;NFKB1;NFKBIA;SAMHD1;NMI;FAS;TOR1B;GCH1;PARP14;GBP6;PSME2;EPSTI1;IFI44;IRF1;LATS2;NAMPT;CASP8;IL4R;LYSMD2;HELZ2;STAT2;DDX60;TRIM14;TXNIP;JAK2;IFITM3;HERC6;ARL4A;USP18;GBP4;CD40;PLSCR1;TNFAIP3;IFI35;PSMB2;CMPK2;VCAM1;SLC25A28;SSPN;ARID5B;NLRC5;CMKLR1;TNFAIP2;PSME1;WARS1;IFNAR2;CFH;FCGR1A;RIPK1;CASP1;PIM1;IL7;SP110;IRF7;PTPN2;IFITM2;PSMB10;IL15RA;PSMA3;PNP;CXCL10;TDRD7;OASL;BST2;SELP;RSAD2;RNF31;BATF2;RAPGEF6;BANK1;VAMP8;RTP4;TAP1;STAT3
prerank,Interferon Alpha Response,-0.44384473797960716,-1.7329851481012104,0.0,0.004602831438733524,0.018,47/90,29.36%,ELF1;SAMD9L;IRF2;IFIH1;LY6E;TRIM25;IL15;NMI;PARP14;PSME2;EPSTI1;IFI44;IRF1;CASP8;UBA7;IL4R;HELZ2;STAT2;DDX60;TRIM14;TXNIP;IFITM3;HERC6;USP18;GBP4;PLSCR1;IFI35;CMPK2;MOV10;SLC25A28;PSME1;PROCR;WARS1;CASP1;IL7;SP110;IRF7;IFITM2;PARP9;PSMA3;CXCL10;TDRD7;OASL;BST2;RSAD2;RNF31;BATF2
prerank,Estrogen Response Early,-0.378102685501533,-1.6727580831844964,0.0,0.008767297978540046,0.04,65/189,21.12%,ABLIM1;IGF1R;SLC2A1;ABHD2;AFF1;MYOF;PODXL;ELF1;KLF4;CBFA2T3;ADD3;NRIP1;SLC7A5;SVIL;SLC26A2;ADCY9;FARP1;IGFBP4;TIPARP;IL6ST;HES1;SLC19A2;ELOVL5;KCNK5;MAST4;SLC22A5;MINDY1;SLC16A1;TMEM164;TGM2;TBC1D30;SCARB1;RBBP8;FKBP5;NAV2;NADSYN1;FRK;KLF10;TPD52L1;ABAT;JAK2;HR;THSD4;PDLIM3;CCN5;SNX24;MLPH;FOXC1;DHCR7;GAB2;ADCY1;RARA;PPIF;SLC39A6;NXT1;PEX11A;CCND1;B4GALT1;SLC1A1;ANXA9;SLC7A2;CXCL12;SLC1A4;TOB1;REEP1
prerank,Protein Secretion,-0.42451051946143703,-1.670220407964152,0.001692047377326565,0.007863170374503103,0.041,41/96,22.93%,SGMS1;SEC31A;CTSC;ARCN1;EGFR;RAB2A;AP2B1;AP2S1;PAM;BNIP3;TSPAN8;SEC24D;MAPK1;RAB5A;DST;TPD52;IGF2R;ADAM10;ARFGEF1;GOLGA4;COPE;AP1G1;VPS45;RPS6KA3;ICA1;SSPN;LAMP2;SOD1;STX12;VAMP3;SCAMP1;AP3B1;CLN5;AP2M1;M6PR;TMX1;GLA;SEC22B;ATP6V1H;ARFGEF2;BET1
prerank,Apoptosis,-0.3877144247597973,-1.6636154614641276,0.0017331022530329288,0.007330435254279315,0.043,61/158,23.27%,LEF1;SPTAN1;XIAP;CREBBP;CAV1;MCL1;BTG3;APP;DAP3;TNFSF10;MMP2;BIRC3;CD38;CDKN1B;TGFBR3;PSEN2;FAS;PDCD4;TGFB2;GCH1;PTK2;JUN;ROCK1;IRF1;IER3;IGF2R;CASP8;CFLAR;EMP1;BGN;BCAP31;LMNA;PSEN1;TXNIP;SMAD7;IFITM3;TIMP3;NEDD9;FDXR;HGF;GPX1;DAP;BTG2;EBP;BCL2L11;RARA;PLAT;ANXA1;CTNNB1;ANKH;SOD1;CCND1;BRCA1;CTH;PDGFRB;CASP2;RETSAT;GADD45A;RELA;BIK;CASP1
prerank,PI3K/AKT/mTOR  Signaling,-0.39800731693154967,-1.6081310889828957,0.005208333333333333,0.011967361740707163,0.077,43/104,25.25%,SLC2A1;RAC1;NOD1;GSK3B;PLCG1;EGFR;CDKN1B;ITPR2;NCK1;PLCB1;ARHGDIA;NGF;SMAD2;MAPK1;RAF1;UBE2D3;AKT1;THEM4;STAT2;GNA14;RPTOR;RPS6KA1;DUSP3;MKNK2;MAPK8;RPS6KA3;GRB2;TNFRSF1A;PIK3R3;PLA2G12A;CFL1;AP2M1;PTEN;AKT1S1;PTPN11;MAP2K3;RIPK1;RALB;PPP1CA;TRIB3;CAB39L;MAP3K7;CAB39
prerank,Wnt-beta Catenin Signaling,-0.46022386383810876,-1.583908509313837,0.014311270125223614,0.01311109561336216,0.092,15/42,17.95%,LEF1;JAG2;PSEN2;NKD1;MAML1;PPARD;TP53;NOTCH4;AXIN2;NOTCH1;NUMB;JAG1;CTNNB1;HEY1;HEY2
