Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Epithelial Mesenchymal Transition,0.6273484739325614,2.104512045407041,0.0,0.0,0.0,65/194,10.16%,IGFBP2;FMOD;LAMA1;FBN1;COL1A2;COL1A1;GJA1;FBLN5;CCN2;ELN;TIMP3;LOXL1;CDH11;TGFBR3;CALD1;MATN3;LUM;SNTB1;SPARC;COL5A1;COL8A2;AREG;LOX;LRP1;DCN;BGN;LAMA2;FBN2;IGFBP4;SERPINE1;COL11A1;TPM1;PRRX1;CCN1;LAMC1;PCOLCE;NNMT;MMP2;MFAP5;PMEPA1;GADD45B;NID2;MYLK;THBS2;PDGFRB;DPYSL3;NOTCH2;FSTL1;FBLN1;SFRP1;ECM2;ITGB5;SERPINH1;TNC;SDC1;PMP22;ENO2;DAB2;FOXC2;EMP3;ITGB3;ITGAV;HTRA1;SLIT3;FGF2
prerank,UV Response Dn,0.5711641792945381,1.8748048504581862,0.0,0.001878242903763529,0.004,46/144,10.98%,LTBP1;NRP1;CELF2;COL1A2;FHL2;COL1A1;GJA1;PDLIM5;FBLN5;TGFBR3;ATXN1;SMAD3;PLPP3;SERPINE1;COL11A1;DLC1;GRK5;RUNX1;BMPR1A;CCN1;LAMC1;FZD2;KIT;NFIB;PTPN21;PDGFRB;BCKDHB;NOTCH2;SYNJ2;LDLR;IGFBP5;TFPI;APBB2;AKT3;PLCB4;PMP22;LPAR1;ATRN;DAB2;RBPMS;ZMIZ1;ITGB3;PTPRM;NR1D2;TENT4A;SLC22A18
prerank,Bile Acid Metabolism,0.5764037614145533,1.8032822711868837,0.0,0.0034434453235664703,0.011,31/105,15.76%,ALDH1A1;BMP6;ATXN1;AR;CYP7B1;ABCA1;SLC27A5;ABCA9;ACSL1;EPHX2;OPTN;RBP1;NEDD4;APOA1;EFHC1;PXMP2;CYP27A1;BBOX1;IDI1;IDH2;SLC29A1;LONP2;SLC22A18;PEX6;DIO2;ABCA3;GSTK1;ABCD2;RXRA;FADS1;NPC1
prerank,Myogenesis,0.5146296451988891,1.7234875979084043,0.0,0.010095555607728969,0.041,52/195,12.60%,IGF1;DAPK2;PTGIS;COL1A1;SVIL;ACTN2;GSN;SPARC;LSP1;LAMA2;ACSL1;DMPK;AEBP1;TNNT1;GADD45B;MYLK;ADCY9;CNN3;LARGE1;NCAM1;NAV2;MRAS;PKIA;ITGB5;DES;SMTN;BDKRB2;TNNC1;WWTR1;MYL4;DTNA;SIRT2;MYO1C;SPTAN1;GAA;AGL;CAMK2B;EIF4A2;CSRP3;TNNT3;FGF2;CKB;PYGM;EFS;PPP1R3C;IGFBP3;HBEGF;EPHB3;SPDEF;COL6A3;GPX3;GNAO1
prerank,Estrogen Response Early,0.4865879902914203,1.6288213657840225,0.0,0.026671049233442115,0.131,28/189,5.50%,FHL2;ADCY1;SLC24A3;SLC7A2;GJA1;THSD4;SVIL;FARP1;AREG;AR;CYP26B1;IGFBP4;DLC1;BCL2;PTGES;RHOD;KAZN;DHRS3;AFF1;ABAT;OLFM1;MPPED2;OLFML3;ADCY9;TMEM164;NAV2;CCN5;RHOBTB3
prerank,Spermatogenesis,-0.3744107704614849,-1.5465221283046342,0.0,0.07155393546645065,0.05205205205205205,40/122,22.11%,SLC12A2;STRBP;SHE;RAD17;ARL4A;MLLT10;EZH2;CLGN;NOS1;CAMK4;GMCL1;MAP7;DBF4;PGS1;NEFH;TOPBP1;IP6K1;DCC;ART3;PRKAR2A;GRM8;SIRT1;ACRBP;MTOR;CFTR;HSPA4L;PCSK1N;CLPB;DPEP3;CHFR;TTK;NCAPH;CCNB2;COIL;GPR182;GAD1;DDX25;NPY5R;SNAP91;CDKN3
prerank,Xenobiotic Metabolism,0.4001678118328547,1.3472723269904634,0.05133928571428571,0.39161364543469585,0.899,27/183,10.42%,IGF1;RBP4;PDLIM5;SLC1A5;IGFBP4;SERPINE1;PTGES;TPST1;PYCR1;APOE;SMOX;VTN;FETUB;COMT;FBLN1;TDO2;GSTM4;ATOH8;KYNU;CYP27A1;CYB5A;ALDH2;DCXR;GART;SSR3;CDO1;TMEM176B
prerank,Hypoxia,0.39555686309632454,1.3307292426798023,0.05150214592274678,0.38356403298999503,0.925,34/197,11.70%,PDK1;CP;PAM;RORA;ERRFI1;CCN2;AMPD3;COL5A1;LOX;TMEM45A;DCN;BGN;SERPINE1;BCL2;CCN1;MXI1;LARGE1;CSRP2;CCN5;NDRG1;SAP30;DTNA;ENO2;RBPJ;GAA;EGFR;EXT1;PYGM;KDELR3;PPP1R3C;IGFBP3;ADM;NDST1;RRAGD
prerank,IL-2/STAT5 Signaling,0.3982890762666912,1.3282651298163417,0.041758241758241756,0.34266193975535886,0.929,27/194,9.62%,NRP1;ITIH5;WLS;RORA;ENPP1;RHOH;RABGAP1L;SLC1A5;BCL2;DHRS3;IKZF2;COCH;GADD45B;PHLDA1;TWSG1;FGL2;CSF1;IKZF4;NDRG1;ALCAM;BATF;DENND5A;MYO1C;MAP3K8;BMP2;IGF2R;ITGAV
prerank,Coagulation,0.40192026126021024,1.3045456904126047,0.07834101382488479,0.3693877710734941,0.957,15/128,6.12%,FBN1;TIMP3;GSN;SPARC;LRP1;CPQ;SERPINE1;SERPING1;MMP2;CFH;APOA1;USP11;CTSH;MMP11;C8G
prerank,Angiogenesis,0.47466505902648126,1.2840929224578703,0.18958031837916064,0.39001713896649687,0.978,5/34,4.05%,NRP1;LUM;FGFR1;VTN;FSTL1
prerank,Reactive Oxygen Species Pathway,-0.35668417053802337,-1.255324136229362,0.1310344827586207,0.4124476846226542,0.44744744744744747,18/48,17.51%,HMOX2;ABCC1;FTL;GSR;GPX4;IPCEF1;EGLN2;PFKP;GCLM;HHEX;ATOX1;FES;NDUFA6;SBNO2;SRXN1;PDLIM1;TXN;GCLC
prerank,TNF-alpha Signaling via NF-kB,0.37211443407789124,1.248449365365286,0.09912854030501089,0.45940113932507043,0.99,41/192,14.02%,PDLIM5;SPSB1;SMAD3;AREG;PLPP3;ABCA1;SERPINE1;CCN1;PMEPA1;GADD45B;PHLDA1;CFLAR;CSF1;MSC;IRF1;LDLR;BCL6;CCL4;TNC;KYNU;IL12B;SIK1;B4GALT1;NFE2L2;PANX1;DENND5A;IL15RA;RCAN1;MAP3K8;BMP2;CEBPB;KLF9;HBEGF;TNFAIP6;TNIP2;NR4A1;CCNL1;RIPK2;IFIT2;SDC4;G0S2
prerank,Apoptosis,0.3765831813730265,1.2470361039686964,0.12008978675645342,0.4253437575814492,0.991,32/158,12.97%,TIMP3;TGFBR3;TXNIP;LUM;GSN;DCN;BGN;NEDD9;ANKH;MMP2;GADD45B;CFLAR;PDGFRB;IRF1;DPYD;GUCY2D;TIMP2;SPTAN1;ENO2;DNAJC3;BCL2L11;BMP2;IGF2R;BCAP31;SLC20A1;RNASEL;TSPO;CASP7;F2;GPX3;PDCD4;CD14
prerank,Apical Junction,0.3710957524763291,1.2434595668446826,0.1111111111111111,0.40266638252222736,0.993,26/191,9.48%,ITGA9;FBN1;ADRA1B;ACTN2;ADAMTS5;NEGR1;CDH11;CDK8;FYB1;PARVA;SHROOM2;ITGA3;MMP2;MYH10;CNN2;MAP3K20;LIMA1;SRC;AKT3;VCL;B4GALT1;PARD6G;EGFR;ACTN4;RSU1;TSPAN4
prerank,Pperoxisome,0.39176374061558183,1.2307552467148015,0.15655339805825244,0.4073103897018625,0.995,19/97,15.48%,ALDH1A1;ATXN1;DHRS3;ACSL1;EPHX2;IDI1;IDH2;ABCB9;LONP2;ABCC5;TSPO;PEX6;PEX2;MVP;GSTK1;DLG4;ABCD2;PEX11B;FADS1
prerank,Complement,0.36407036754564387,1.2196951829998561,0.12934782608695652,0.40826739918139915,0.996,22/184,7.13%,CP;ACTN2;CBLB;LRP1;CPQ;SERPINE1;LYN;GZMK;DOCK4;KCNIP3;DOCK10;SERPING1;ZEB1;CFH;IRF1;MT3;CTSH;PLA2G4A;SRC;RBSN;KYNU;TIMP2
prerank,TGF-beta Signaling,0.40441259262946117,1.172281554313646,0.2583668005354752,0.5189232972554175,1.0,15/54,10.77%,SMAD3;SERPINE1;BMPR1A;PMEPA1;TGFBR1;SMURF2;ACVR1;ENG;SKI;LTBP2;WWTR1;BMP2;SMAD1;SLC20A1;NCOR2
prerank,Myc Targets V1,-0.25993541976015866,-1.1672161487657633,0.06097560975609756,0.5148283155573556,0.6796796796796797,71/197,28.74%,RPL34;CUL1;YWHAQ;RPL18;EIF4E;TOMM70;PPIA;RPS3;ACP1;PRPS2;HSP90AB1;PABPC1;PWP1;SRPK1;PCBP1;HNRNPD;RPS5;SNRPD1;EIF4A1;PA2G4;RPL6;LSM2;G3BP1;TYMS;RPL14;HNRNPA2B1;EEF1B2;KARS1;SNRPA1;PSMA4;SRSF7;PSMB2;PRPF31;STARD7;CSTF2;RPLP0;RPS6;AP3S1;RPL22;RACK1;SNRPD3;COX5A;MRPS18B;PSMC4;NPM1;EIF3D;NOP16;C1QBP;AIMP2;PSMA6;SNRPA;GOT2;PABPC4;MCM5;HDDC2;LSM7;RPS10;IFRD1;IMPDH2;NDUFAB1;TRIM28;SRM;RUVBL2;NOP56;USP1;NOLC1;UBA2;SET;RRM1;EIF4H;APEX1
prerank,Oxidative Phosphorylation,-0.2636098006883893,-1.1596510018682167,0.10752688172043011,0.40637235047927633,0.6966966966966966,76/195,26.25%,SLC25A12;COX4I1;TOMM70;GPI;DLAT;GPX4;ATP1B1;PDHX;ATP5F1A;MDH1;ATP5F1E;NDUFC1;GLUD1;ATP6V1D;ALAS1;UQCRH;COX17;ATP5ME;LDHB;GRPEL1;SDHD;COX6A1;ISCU;COX5B;TCIRG1;ATP5MG;ATP5F1C;ATP6V1H;NDUFA6;SLC25A4;NDUFA5;ATP5MF;CYCS;SUPV3L1;SURF1;SLC25A11;OGDH;MRPS12;ECH1;NDUFA7;NDUFA8;NDUFB7;DLST;SDHB;MPC1;NDUFA3;MTX2;ATP5PD;COX5A;ABCB7;PDP1;COX6C;MRPL34;IDH3B;MRPL15;ACAA2;NDUFS7;NDUFS1;TIMM10;GOT2;RETSAT;UQCR10;NDUFB3;COX8A;UQCR11;PMPCA;BCKDHA;ATP6V1F;MRPS22;UQCRQ;UQCRC1;IMMT;MTRR;NDUFAB1;UQCRFS1;ATP5MC2
prerank,Myc Targets V2,-0.3063340010662044,-1.1258410868240882,0.22357723577235772,0.40286215741865805,0.7717717717717718,27/57,30.57%,HK2;TFB2M;PA2G4;PPAN;SUPV3L1;TMEM97;MPHOSPH10;IMP4;EXOSC5;NPM1;PRMT3;RRP12;NOP16;AIMP2;PPRC1;MCM5;TBRG4;NIP7;SRM;NOP56;NOLC1;NOC4L;PLK1;GRWD1;DCTPP1;GNL3;RABEPK
prerank,KRAS Signaling Up,0.3335724267396606,1.1143773167684328,0.25942350332594233,0.674510172204491,1.0,30/189,14.04%,ITGBL1;NRP1;RBP4;IGF2;RABGAP1L;GYPC;PRRX1;ANKH;PIGR;CFH;MMP11;TFPI;ENG;ALDH1A2;ADGRA2;ATG10;EPHB2;BMP2;SPRY2;WDR33;TMEM176B;IGFBP3;CCSER2;HBEGF;FBXO4;MYCN;CFHR2;BPGM;G0S2;ETS1
prerank,Protein Secretion,0.36127814259505614,1.1112946649693567,0.29890643985419196,0.6471068537605292,1.0,19/96,9.11%,PAM;SEC24D;ABCA1;SEC31A;GNAS;GOLGA4;LMAN1;SCRN1;MON2;ARFGEF2;STX16;ZW10;ARFGAP3;CD63;RAB22A;COPB1;EGFR;GOSR2;IGF2R
prerank,Apical Surface,0.3907151319816883,1.0955500173790658,0.35027472527472525,0.6627231803595105,1.0,8/43,8.55%,ATP6V0A4;LYN;SULF2;SHROOM2;AKAP7;B4GALT1;SCUBE1;CROCC
prerank,KRAS Signaling Dn,0.32946020135024884,1.0862766574624547,0.3407821229050279,0.6590284788580283,1.0,22/179,11.79%,IGFBP2;CAMK1D;GDNF;THRB;EDAR;NTF3;MTHFR;SIDT1;ADRA2C;VPREB1;CPEB3;IL12B;SPHK2;TCF7L1;COPZ2;CNTFR;PRKN;AKR1B10;KCND1;CPA2;SLC5A5;STAG3
prerank,Androgen Response,0.3457206646122078,1.0623047435805997,0.3624242424242424,0.6982144394395233,1.0,30/98,16.47%,PDLIM5;SEC24D;MAF;PGM3;ARID5B;ANKH;PMEPA1;PTPN21;MYL12A;IQGAP2;LMAN1;NDRG1;B4GALT1;ZMIZ1;IDI1;ITGAV;NGLY1;UAP1;SPDEF;SMS;ELL2;APPBP2;ADRM1;MERTK;FADS1;SLC38A2;HMGCS1;SORD;AKT1;ADAMTS1
prerank,mTORC1 Signaling,-0.2327515561532021,-1.028858240205059,0.4235294117647059,0.6322847756626614,0.9369369369369369,56/197,19.18%,SLC6A6;ADIPOR2;SLC2A1;ADD3;SKAP2;SLC7A5;EGLN3;GBE1;TFRC;WARS1;CTSC;PPIA;GSR;ELOVL5;GPI;HK2;TES;NAMPT;NIBAN1;ME1;PFKL;ARPC5L;TPI1;FDXR;BTG2;DHFR;GTF2H1;ALDOA;ATP6V1D;DDIT4;CCNG1;STARD4;PIK3R3;LGMN;BCAT1;FADS2;UBE2D3;SC5D;RIT1;SLC1A4;VLDLR;PSMA4;DHCR7;RPN1;TMEM97;PITPNB;TM7SF2;HMGCR;PNO1;GCLC;CDKN1A;PNP;PSMC4;TOMM40;CFP;YKT6
prerank,Estrogen Response Late,0.29802153322305586,0.9998005135337753,0.4922048997772829,0.8684312189583008,1.0,24/186,10.77%,SLC24A3;FARP1;DNAJC1;AREG;CYP26B1;IGFBP4;BCL2;PTGES;AFF1;OLFM1;ASCL1;KIF20A;LARGE1;SCUBE2;CCN5;NAB2;TNNC1;BATF;TJP3;DCXR;IDH2;SLC29A1;CKB;NCOR2
prerank,Notch Signaling,0.3770480619628716,0.9993909159811208,0.47058823529411764,0.8315307985900929,1.0,6/32,8.59%,TCF7L2;NOTCH2;FZD1;SAP30;DTX4;ARRB1
prerank,Hedgehog Signaling,0.37122564462368557,0.9861297357301814,0.4749262536873156,0.8360137424772459,1.0,6/36,10.12%,NRP1;NKX6-1;TLE1;PML;CNTFR;SLIT1
