from,to,value
Imm.M0Like.1,Imm.M0Like.1,4
Imm.M0Like.1,Imm.M0Like.2,16
Imm.M0Like.1,Imm.DAM.0,8
Imm.M0Like.1,Imm.MHCII.0,9
Imm.M0Like.1,Imm.Interferon.0,8
Imm.M0Like.1,MeV.ImmuneDoublets.0,6
Imm.M0Like.1,Imm.PVM.0,11
Imm.M0Like.1,Imm.DAM.1,10
Imm.M0Like.1,Imm.Proliferative.0,5
Imm.M0Like.1,Neu.CSFcN.0,38
Imm.M0Like.1,Neu.Epend.0,31
Imm.M0Like.1,MeV.Epithelial.0,16
Imm.M0Like.1,MeV.Pericytes.0,16
Imm.M0Like.1,MeV.Endothelial.0,15
Imm.M0Like.1,MeV.SMC.0,6
Imm.M0Like.1,MeV.FibCollagen.1,7
Imm.M0Like.1,MeV.Fib.5,10
Imm.M0Like.1,MeV.Fib.4,17
Imm.M0Like.1,MeV.FibProlif.0,8
Imm.M0Like.1,MeV.Endothelial.3,14
Imm.M0Like.1,MeV.FibCollagen.2,22
Imm.M0Like.1,MeV.VLMC.1,24
Imm.M0Like.1,MeV.FibLaminin.0,13
Imm.M0Like.1,MeV.VLMC.0,18
Imm.M0Like.1,MeV.Fib.3,16
Imm.M0Like.1,MeV.FibUnknown.6,24
Imm.M0Like.1,MeV.LowQuality.0,18
Imm.M0Like.1,Imm.M0Like.0,25
Imm.M0Like.1,MeV.Endothelial.1,23
Imm.M0Like.1,MeV.Fib.2,17
Imm.M0Like.1,MeV.FibCollagen.0,22
Imm.M0Like.1,MeV.Fib.0,16
Imm.M0Like.1,MeV.Fib.1,15
Imm.M0Like.1,MeV.Endothelial.2,14
Imm.M0Like.1,MeV.FibCollagen.3,10
Imm.M0Like.2,Imm.M0Like.1,16
Imm.M0Like.2,Imm.M0Like.2,10
Imm.M0Like.2,Imm.DAM.0,9
Imm.M0Like.2,Imm.MHCII.0,10
Imm.M0Like.2,Imm.Interferon.0,13
Imm.M0Like.2,MeV.ImmuneDoublets.0,8
Imm.M0Like.2,Imm.PVM.0,12
Imm.M0Like.2,Imm.DAM.1,15
Imm.M0Like.2,Imm.Proliferative.0,5
Imm.M0Like.2,Neu.CSFcN.0,38
Imm.M0Like.2,Neu.Epend.0,37
Imm.M0Like.2,MeV.Epithelial.0,18
