gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	Imm.DAM.0	Imm.DAM.1	Imm.Interferon.0	Imm.M0Like.0	Imm.M0Like.1	Imm.M0Like.2	Imm.MHCII.0	Imm.NA	Imm.PVM.0	Imm.Proliferative.0	MeV.ECM.0	MeV.ECM.1	MeV.ECM.2	MeV.EndoUnknowed.4	MeV.Endothelial.0	MeV.Endothelial.1	MeV.Endothelial.2	MeV.Endothelial.3	MeV.EpithelialECad.0	MeV.Fib.0	MeV.Fib.1	MeV.Fib.2	MeV.Fib.3	MeV.Fib.4	MeV.Fib.5	MeV.Fib.6	MeV.FibCD34.7	MeV.FibProlif.0	MeV.FibUnknown.8	MeV.ImmuneDoublets.0	MeV.LowQuality.0	MeV.NA	MeV.Pericytes.0	MeV.SMC.0	MeV.VLMC.0	MeV.VLMC.1	Neu.CSFcN.0	Neu.Epend.0
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS09B8977D7	UBASH3B	0.7115	0.7985	0.7179	0.654	0.728	0.7758	0.7045	1.0	0.6446	0.5556	0.2333	0.1321	0.0859	0.0312	0.1326	0.1652	0.1789	0.1023	0.0694	0.1136	0.1176	0.1122	0.1747	0.3191	0.575	0.4405	0.1111	0.2857	0.12	0.5652	0.1471	0.1538	0.1217	0.1224	0.3333	0.3929	0.2273	0.1092
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS05760BB78	UBASH3B	0.7115	0.7985	0.7179	0.654	0.728	0.7758	0.7045	1.0	0.6446	0.5556	0.2333	0.1321	0.0859	0.0312	0.1326	0.1652	0.1789	0.1023	0.0694	0.1136	0.1176	0.1122	0.1747	0.3191	0.575	0.4405	0.1111	0.2857	0.12	0.5652	0.1471	0.1538	0.1217	0.1224	0.3333	0.3929	0.2273	0.1092
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS0259A0EB4	UBASH3B	0.7115	0.7985	0.7179	0.654	0.728	0.7758	0.7045	1.0	0.6446	0.5556	0.2333	0.1321	0.0859	0.0312	0.1326	0.1652	0.1789	0.1023	0.0694	0.1136	0.1176	0.1122	0.1747	0.3191	0.575	0.4405	0.1111	0.2857	0.12	0.5652	0.1471	0.1538	0.1217	0.1224	0.3333	0.3929	0.2273	0.1092
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS099F73A95	SULT1A1	0.0	0.0075	0.0	0.0095	0.0082	0.0135	0.0	0.0	0.0331	0.0	0.0222	0.0	0.0505	0.0625	0.0466	0.0	0.0407	0.0568	0.2083	0.0284	0.0667	0.0585	0.0218	0.0	0.075	0.0833	0.0185	0.0952	0.012	0.0	0.049	0.0769	0.0106	0.0408	0.1014	0.0268	0.0051	0.0
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS0D89E7C19	SULT1A1	0.0	0.0075	0.0	0.0095	0.0082	0.0135	0.0	0.0	0.0331	0.0	0.0222	0.0	0.0505	0.0625	0.0466	0.0	0.0407	0.0568	0.2083	0.0284	0.0667	0.0585	0.0218	0.0	0.075	0.0833	0.0185	0.0952	0.012	0.0	0.049	0.0769	0.0106	0.0408	0.1014	0.0268	0.0051	0.0
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS0412B081A	SULT1A1	0.0	0.0075	0.0	0.0095	0.0082	0.0135	0.0	0.0	0.0331	0.0	0.0222	0.0	0.0505	0.0625	0.0466	0.0	0.0407	0.0568	0.2083	0.0284	0.0667	0.0585	0.0218	0.0	0.075	0.0833	0.0185	0.0952	0.012	0.0	0.049	0.0769	0.0106	0.0408	0.1014	0.0268	0.0051	0.0
SULT2A1	Q06520	True	ST2A1_HUMAN	DHEAsulfate_bySULT2A1	CPI-CS0FF565F1C	SULT2A1	0.0	0.0	0.0	0.0	0.0027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SULT2A1	Q06520	True	ST2A1_HUMAN	DHEAsulfate_bySULT2A1	CPI-CS04A65DD62	SULT2A1	0.0	0.0	0.0	0.0	0.0027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SULT2A1	Q06520	True	ST2A1_HUMAN	DHEAsulfate_bySULT2A1	CPI-CS0006C277B	SULT2A1	0.0	0.0	0.0	0.0	0.0027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CYP21A2	P08686	True	CP21A_HUMAN	Desoxycorticosterone_byCYP21A2	CPI-CS012A5546C	CYP21A2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Desmosterol_byDHCR7	CPI-CS086D3E39F	DHCR7	0.0	0.0	0.0256	0.0213	0.011	0.0179	0.0227	0.0	0.0165	0.0556	0.0111	0.0071	0.0051	0.0	0.0036	0.0087	0.0203	0.0227	0.0833	0.0114	0.0039	0.0049	0.0262	0.0213	0.025	0.0	0.0	0.0476	0.0	0.0	0.0049	0.0	0.0212	0.0204	0.0348	0.0268	0.1162	0.0168
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Desmosterol_byDHCR7	CPI-CS0DC57DE37	DHCR7	0.0	0.0	0.0256	0.0213	0.011	0.0179	0.0227	0.0	0.0165	0.0556	0.0111	0.0071	0.0051	0.0	0.0036	0.0087	0.0203	0.0227	0.0833	0.0114	0.0039	0.0049	0.0262	0.0213	0.025	0.0	0.0	0.0476	0.0	0.0	0.0049	0.0	0.0212	0.0204	0.0348	0.0268	0.1162	0.0168
PTGR1	Q14914	True	PTGR1_HUMAN	12oxoLeukotrieneB4_byPTGR1	CPI-CS0A5B6BD7A	PTGR1	0.0	0.0075	0.0513	0.0047	0.011	0.0045	0.0	0.0	0.0165	0.0	0.0	0.0036	0.0	0.0	0.0036	0.0	0.0	0.0	0.0	0.0114	0.0118	0.0146	0.0175	0.0213	0.0	0.0119	0.037	0.0952	0.0	0.0	0.0	0.0	0.0	0.0204	0.0058	0.0089	0.0	0.0
PTGR1	Q14914	True	PTGR1_HUMAN	12oxoLeukotrieneB4_byPTGR1	CPI-CS04A56D5BE	PTGR1	0.0	0.0075	0.0513	0.0047	0.011	0.0045	0.0	0.0	0.0165	0.0	0.0	0.0036	0.0	0.0	0.0036	0.0	0.0	0.0	0.0	0.0114	0.0118	0.0146	0.0175	0.0213	0.0	0.0119	0.037	0.0952	0.0	0.0	0.0	0.0	0.0	0.0204	0.0058	0.0089	0.0	0.0
CYP11A1	P05108	True	CP11A_HUMAN	22Hydroxycholesterol_byCYP11A1	CPI-CS08D535BCF	CYP11A1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0041	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS045C37E64	DAGLA	0.1154	0.1493	0.2564	0.1019	0.1538	0.1435	0.0455	0.0	0.0744	0.1111	0.0667	0.0786	0.2172	0.0312	0.0358	0.0087	0.0447	0.0795	0.0972	0.1136	0.1882	0.0927	0.1048	0.0851	0.05	0.0476	0.1852	0.1905	0.048	0.1739	0.0343	0.0769	0.0794	0.0408	0.1014	0.1696	0.1313	0.0504
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS01F7D06F1	DAGLB	0.3269	0.2761	0.2564	0.2299	0.3242	0.2915	0.2273	0.3333	0.1901	0.1667	0.0333	0.0321	0.0556	0.0312	0.0323	0.0174	0.0488	0.0795	0.0833	0.0398	0.0627	0.0878	0.0873	0.0638	0.025	0.0595	0.1296	0.0952	0.024	0.3043	0.0392	0.0	0.0159	0.0204	0.1159	0.0804	0.0808	0.0588
DHRS9	Q9BPW9	True	DHRS9_HUMAN	5alphaDihydroprogesterone_byDHRS9	CPI-CS072C12EF4	DHRS9	0.0	0.0149	0.0	0.0024	0.0	0.0	0.0227	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0185	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0089	0.0	0.0
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CC0067AC6C9	CHAT	0.0	0.0075	0.0	0.0118	0.0	0.0179	0.0	0.0	0.0	0.0	0.0111	0.0	0.0051	0.0	0.0036	0.0087	0.0081	0.0	0.0	0.0057	0.0	0.0049	0.0087	0.0	0.025	0.0	0.0	0.0952	0.0	0.0	0.0196	0.0	0.0053	0.0	0.0087	0.0	0.0101	0.0
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CC0253C0919	CHAT	0.0	0.0075	0.0	0.0118	0.0	0.0179	0.0	0.0	0.0	0.0	0.0111	0.0	0.0051	0.0	0.0036	0.0087	0.0081	0.0	0.0	0.0057	0.0	0.0049	0.0087	0.0	0.025	0.0	0.0	0.0952	0.0	0.0	0.0196	0.0	0.0053	0.0	0.0087	0.0	0.0101	0.0
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CC034FE836A	CHAT	0.0	0.0075	0.0	0.0118	0.0	0.0179	0.0	0.0	0.0	0.0	0.0111	0.0	0.0051	0.0	0.0036	0.0087	0.0081	0.0	0.0	0.0057	0.0	0.0049	0.0087	0.0	0.025	0.0	0.0	0.0952	0.0	0.0	0.0196	0.0	0.0053	0.0	0.0087	0.0	0.0101	0.0
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CS063516AC0	CHAT	0.0	0.0075	0.0	0.0118	0.0	0.0179	0.0	0.0	0.0	0.0	0.0111	0.0	0.0051	0.0	0.0036	0.0087	0.0081	0.0	0.0	0.0057	0.0	0.0049	0.0087	0.0	0.025	0.0	0.0	0.0952	0.0	0.0	0.0196	0.0	0.0053	0.0	0.0087	0.0	0.0101	0.0
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CS0C5C5E217	CHAT	0.0	0.0075	0.0	0.0118	0.0	0.0179	0.0	0.0	0.0	0.0	0.0111	0.0	0.0051	0.0	0.0036	0.0087	0.0081	0.0	0.0	0.0057	0.0	0.0049	0.0087	0.0	0.025	0.0	0.0	0.0952	0.0	0.0	0.0196	0.0	0.0053	0.0	0.0087	0.0	0.0101	0.0
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CS07EEAD824	CHAT	0.0	0.0075	0.0	0.0118	0.0	0.0179	0.0	0.0	0.0	0.0	0.0111	0.0	0.0051	0.0	0.0036	0.0087	0.0081	0.0	0.0	0.0057	0.0	0.0049	0.0087	0.0	0.025	0.0	0.0	0.0952	0.0	0.0	0.0196	0.0	0.0053	0.0	0.0087	0.0	0.0101	0.0
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CS09DCE99A5	CHAT	0.0	0.0075	0.0	0.0118	0.0	0.0179	0.0	0.0	0.0	0.0	0.0111	0.0	0.0051	0.0	0.0036	0.0087	0.0081	0.0	0.0	0.0057	0.0	0.0049	0.0087	0.0	0.025	0.0	0.0	0.0952	0.0	0.0	0.0196	0.0	0.0053	0.0	0.0087	0.0	0.0101	0.0
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CS088613CD3	CHAT	0.0	0.0075	0.0	0.0118	0.0	0.0179	0.0	0.0	0.0	0.0	0.0111	0.0	0.0051	0.0	0.0036	0.0087	0.0081	0.0	0.0	0.0057	0.0	0.0049	0.0087	0.0	0.025	0.0	0.0	0.0952	0.0	0.0	0.0196	0.0	0.0053	0.0	0.0087	0.0	0.0101	0.0
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CS08ED696DC	CHAT	0.0	0.0075	0.0	0.0118	0.0	0.0179	0.0	0.0	0.0	0.0	0.0111	0.0	0.0051	0.0	0.0036	0.0087	0.0081	0.0	0.0	0.0057	0.0	0.0049	0.0087	0.0	0.025	0.0	0.0	0.0952	0.0	0.0	0.0196	0.0	0.0053	0.0	0.0087	0.0	0.0101	0.0
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC0AFC21177	INHBA	0.0	0.0075	0.0	0.0024	0.0	0.0	0.0	0.0	0.0083	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0139	0.0114	0.0078	0.0	0.0044	0.0638	0.0	0.0119	0.0	0.0	0.004	0.0	0.0147	0.0	0.0053	0.0	0.0232	0.0089	0.0101	0.0168
