gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	Imm.DAM.0	Imm.DAM.1	Imm.Interferon.0	Imm.M0Like.0	Imm.M0Like.1	Imm.M0Like.2	Imm.MHCII.0	Imm.PVM.0	Imm.Proliferative.0	MeV.ECM.0	MeV.ECM.1	MeV.ECM.2	MeV.EndoUnknowed.4	MeV.Endothelial.0	MeV.Endothelial.1	MeV.Endothelial.2	MeV.Endothelial.3	MeV.EpithelialECad.0	MeV.Fib.0	MeV.Fib.1	MeV.Fib.2	MeV.Fib.3	MeV.Fib.4	MeV.Fib.5	MeV.Fib.6	MeV.FibCD34.7	MeV.FibProlif.0	MeV.FibUnknown.8	MeV.ImmuneDoublets.0	MeV.LowQuality.0	MeV.Pericytes.0	MeV.SMC.0	MeV.VLMC.0	MeV.VLMC.1	Neu.CSFcN.0	Neu.Epend.0
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS09B8977D7	0.5814	0.8193	0.606	0.6369	0.8218	0.7768	0.8087	0.7046	0.3741	0.1045	0.0673	0.0495	0.0239	0.0423	0.2149	0.1121	0.0275	0.0	0.0922	0.0494	0.0199	0.065	0.1489	0.227	0.4041	0.067	0.0347	0.0929	0.5249	0.0997	0.0694	0.0413	0.137	0.255	0.127	0.1679
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS05760BB78	0.5814	0.8193	0.606	0.6369	0.8218	0.7768	0.8087	0.7046	0.3741	0.1045	0.0673	0.0495	0.0239	0.0423	0.2149	0.1121	0.0275	0.0	0.0922	0.0494	0.0199	0.065	0.1489	0.227	0.4041	0.067	0.0347	0.0929	0.5249	0.0997	0.0694	0.0413	0.137	0.255	0.127	0.1679
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS0259A0EB4	0.5814	0.8193	0.606	0.6369	0.8218	0.7768	0.8087	0.7046	0.3741	0.1045	0.0673	0.0495	0.0239	0.0423	0.2149	0.1121	0.0275	0.0	0.0922	0.0494	0.0199	0.065	0.1489	0.227	0.4041	0.067	0.0347	0.0929	0.5249	0.0997	0.0694	0.0413	0.137	0.255	0.127	0.1679
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS099F73A95	0.0	0.0	0.0	0.0137	0.0034	0.0109	0.0	0.0	0.0	0.0	0.0	0.0218	0.0649	0.0206	0.0	0.0186	0.0941	0.138	0.0205	0.0215	0.0202	0.0	0.0	0.046	0.0401	0.0	0.0389	0.0	0.0	0.0335	0.0	0.0308	0.058	0.008	0.0	0.0
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS0D89E7C19	0.0	0.0	0.0	0.0137	0.0034	0.0109	0.0	0.0	0.0	0.0	0.0	0.0218	0.0649	0.0206	0.0	0.0186	0.0941	0.138	0.0205	0.0215	0.0202	0.0	0.0	0.046	0.0401	0.0	0.0389	0.0	0.0	0.0335	0.0	0.0308	0.058	0.008	0.0	0.0
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS0412B081A	0.0	0.0	0.0	0.0137	0.0034	0.0109	0.0	0.0	0.0	0.0	0.0	0.0218	0.0649	0.0206	0.0	0.0186	0.0941	0.138	0.0205	0.0215	0.0202	0.0	0.0	0.046	0.0401	0.0	0.0389	0.0	0.0	0.0335	0.0	0.0308	0.058	0.008	0.0	0.0
SULT2A1	Q06520	True	ST2A1_HUMAN	DHEAsulfate_bySULT2A1	CPI-CS0FF565F1C	0.0	0.0	0.0	0.0	0.0019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SULT2A1	Q06520	True	ST2A1_HUMAN	DHEAsulfate_bySULT2A1	CPI-CS04A65DD62	0.0	0.0	0.0	0.0	0.0019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SULT2A1	Q06520	True	ST2A1_HUMAN	DHEAsulfate_bySULT2A1	CPI-CS0006C277B	0.0	0.0	0.0	0.0	0.0019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CYP21A2	P08686	True	CP21A_HUMAN	Desoxycorticosterone_byCYP21A2	CPI-CS012A5546C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0031	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Desmosterol_byDHCR7	CPI-CS086D3E39F	0.0	0.0	0.0128	0.0098	0.0036	0.0035	0.0104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0242	0.0	0.0	0.0	0.0	0.0042	0.0	0.0	0.0	0.0333	0.0	0.0	0.0	0.0138	0.0	0.0024	0.0027	0.0484	0.0
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Desmosterol_byDHCR7	CPI-CS0DC57DE37	0.0	0.0	0.0128	0.0098	0.0036	0.0035	0.0104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0242	0.0	0.0	0.0	0.0	0.0042	0.0	0.0	0.0	0.0333	0.0	0.0	0.0	0.0138	0.0	0.0024	0.0027	0.0484	0.0
PTGR1	Q14914	True	PTGR1_HUMAN	12oxoLeukotrieneB4_byPTGR1	CPI-CS0A5B6BD7A	0.0	0.0019	0.0	0.0036	0.0037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0043	0.0	0.0	0.0	0.0	0.0111	0.0	0.0	0.0065	0.0043	0.0	0.0	0.0575	0.0426	0.0	0.0	0.0	0.0	0.0	0.0051	0.0072	0.0	0.0
PTGR1	Q14914	True	PTGR1_HUMAN	12oxoLeukotrieneB4_byPTGR1	CPI-CS04A56D5BE	0.0	0.0019	0.0	0.0036	0.0037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0043	0.0	0.0	0.0	0.0	0.0111	0.0	0.0	0.0065	0.0043	0.0	0.0	0.0575	0.0426	0.0	0.0	0.0	0.0	0.0	0.0051	0.0072	0.0	0.0
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS045C37E64	0.0731	0.0767	0.0918	0.0669	0.0799	0.1082	0.0	0.0383	0.0606	0.0684	0.0542	0.0725	0.0274	0.0156	0.0	0.0029	0.0223	0.0534	0.0941	0.0773	0.0559	0.0315	0.0543	0.043	0.0	0.1925	0.1163	0.0518	0.0472	0.0073	0.0436	0.0455	0.0356	0.1003	0.052	0.068
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS01F7D06F1	0.1792	0.1713	0.1343	0.1642	0.2078	0.2041	0.2037	0.1334	0.059	0.0	0.0253	0.0345	0.0447	0.0226	0.0	0.0373	0.0007	0.0581	0.0	0.0238	0.0282	0.0402	0.021	0.044	0.0323	0.0936	0.0	0.006	0.157	0.0276	0.0139	0.0	0.0552	0.0622	0.0525	0.049
DHRS9	Q9BPW9	True	DHRS9_HUMAN	5alphaDihydroprogesterone_byDHRS9	CPI-CS072C12EF4	0.0	0.0047	0.0	0.0049	0.0	0.0	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0062	0.0	0.0
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CC0067AC6C9	0.0	0.006	0.0	0.0049	0.0	0.0151	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0206	0.0	0.0	0.0199	0.0	0.0	0.0118	0.0	0.0	0.0	0.0	0.0	0.0
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CC0253C0919	0.0	0.006	0.0	0.0049	0.0	0.0151	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0206	0.0	0.0	0.0199	0.0	0.0	0.0118	0.0	0.0	0.0	0.0	0.0	0.0
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CC034FE836A	0.0	0.006	0.0	0.0049	0.0	0.0151	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0206	0.0	0.0	0.0199	0.0	0.0	0.0118	0.0	0.0	0.0	0.0	0.0	0.0
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CS063516AC0	0.0	0.006	0.0	0.0049	0.0	0.0151	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0206	0.0	0.0	0.0199	0.0	0.0	0.0118	0.0	0.0	0.0	0.0	0.0	0.0
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CS0C5C5E217	0.0	0.006	0.0	0.0049	0.0	0.0151	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0206	0.0	0.0	0.0199	0.0	0.0	0.0118	0.0	0.0	0.0	0.0	0.0	0.0
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CS07EEAD824	0.0	0.006	0.0	0.0049	0.0	0.0151	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0206	0.0	0.0	0.0199	0.0	0.0	0.0118	0.0	0.0	0.0	0.0	0.0	0.0
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CS09DCE99A5	0.0	0.006	0.0	0.0049	0.0	0.0151	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0206	0.0	0.0	0.0199	0.0	0.0	0.0118	0.0	0.0	0.0	0.0	0.0	0.0
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CS088613CD3	0.0	0.006	0.0	0.0049	0.0	0.0151	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0206	0.0	0.0	0.0199	0.0	0.0	0.0118	0.0	0.0	0.0	0.0	0.0	0.0
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CS08ED696DC	0.0	0.006	0.0	0.0049	0.0	0.0151	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0206	0.0	0.0	0.0199	0.0	0.0	0.0118	0.0	0.0	0.0	0.0	0.0	0.0
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC0AFC21177	0.0	0.0005	0.0	0.0	0.0	0.0	0.0	0.0034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0067	0.0088	0.0037	0.0	0.0077	0.018	0.0	0.007	0.0	0.0	0.0	0.0	0.0088	0.0	0.0	0.0044	0.0078	0.0125	0.0
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC028D7588F	0.0	0.0005	0.0	0.0	0.0	0.0	0.0	0.0034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0067	0.0088	0.0037	0.0	0.0077	0.018	0.0	0.007	0.0	0.0	0.0	0.0	0.0088	0.0	0.0	0.0044	0.0078	0.0125	0.0
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC0288FD89F	0.0	0.0005	0.0	0.0	0.0	0.0	0.0	0.0034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0067	0.0088	0.0037	0.0	0.0077	0.018	0.0	0.007	0.0	0.0	0.0	0.0	0.0088	0.0	0.0	0.0044	0.0078	0.0125	0.0
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC0E6BCEC26	0.0	0.0005	0.0	0.0	0.0	0.0	0.0	0.0034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0067	0.0088	0.0037	0.0	0.0077	0.018	0.0	0.007	0.0	0.0	0.0	0.0	0.0088	0.0	0.0	0.0044	0.0078	0.0125	0.0
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC0021FE823	0.0	0.0005	0.0	0.0	0.0	0.0	0.0	0.0034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0067	0.0088	0.0037	0.0	0.0077	0.018	0.0	0.007	0.0	0.0	0.0	0.0	0.0088	0.0	0.0	0.0044	0.0078	0.0125	0.0
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC00485C63D	0.0	0.0005	0.0	0.0	0.0	0.0	0.0	0.0034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0067	0.0088	0.0037	0.0	0.0077	0.018	0.0	0.007	0.0	0.0	0.0	0.0	0.0088	0.0	0.0	0.0044	0.0078	0.0125	0.0
INHBB	P09529	True	INHBB_HUMAN	Activin_ligand_ab	CPI-CC0AFC21177	0.0	0.0005	0.0	0.0	0.0	0.0	0.0	0.0034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0067	0.0088	0.0037	0.0	0.0077	0.018	0.0	0.007	0.0	0.0	0.0	0.0	0.0088	0.0	0.0	0.0044	0.0078	0.0125	0.0
INHBB	P09529	True	INHBB_HUMAN	Activin_ligand_ab	CPI-CC028D7588F	0.0	0.0005	0.0	0.0	0.0	0.0	0.0	0.0034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0067	0.0088	0.0037	0.0	0.0077	0.018	0.0	0.007	0.0	0.0	0.0	0.0	0.0088	0.0	0.0	0.0044	0.0078	0.0125	0.0
INHBB	P09529	True	INHBB_HUMAN	Activin_ligand_ab	CPI-CC0288FD89F	0.0	0.0005	0.0	0.0	0.0	0.0	0.0	0.0034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0067	0.0088	0.0037	0.0	0.0077	0.018	0.0	0.007	0.0	0.0	0.0	0.0	0.0088	0.0	0.0	0.0044	0.0078	0.0125	0.0
INHBB	P09529	True	INHBB_HUMAN	Activin_ligand_ab	CPI-CC0E6BCEC26	0.0	0.0005	0.0	0.0	0.0	0.0	0.0	0.0034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0067	0.0088	0.0037	0.0	0.0077	0.018	0.0	0.007	0.0	0.0	0.0	0.0	0.0088	0.0	0.0	0.0044	0.0078	0.0125	0.0
